ann_term	CC	annotation
GO:0044265	5.78736723676531e-15	cellular macromolecule catabolic process
GO:0016998	6.21334120567661e-15	cell wall macromolecule catabolic process
GO:0044036	6.21334120567661e-15	cell wall macromolecule metabolic process
GO:0006022	1.03040622003872e-13	aminoglycan metabolic process
GO:0009057	1.33399951839875e-13	macromolecule catabolic process
GO:0006026	1.50536842084977e-13	aminoglycan catabolic process
GO:1901136	1.50536842084977e-13	carbohydrate derivative catabolic process
GO:1901565	8.08429905646865e-13	organonitrogen compound catabolic process
GO:0003796	1.03069417659881e-12	lysozyme activity
GO:1901575	1.53596815570223e-12	organic substance catabolic process
GO:0044248	2.06566167345376e-12	cellular catabolic process
GO:0016032	4.12417645544549e-12	viral process
GO:0019058	4.12417645544549e-12	viral life cycle
GO:0071554	2.31609263508904e-11	cell wall organization or biogenesis
GO:0000270	3.93933596476726e-11	peptidoglycan metabolic process
GO:0030203	3.93933596476726e-11	glycosaminoglycan metabolic process
GO:0009056	4.7532007960335e-11	catabolic process
GO:0006027	5.17146783794613e-11	glycosaminoglycan catabolic process
GO:0009253	5.17146783794613e-11	peptidoglycan catabolic process
GO:0061783	5.17146783794613e-11	peptidoglycan muralytic activity
GO:0019835	3.31266420033237e-10	cytolysis
GO:0019076	4.48739493579576e-10	viral release from host cell
GO:0035890	4.48739493579576e-10	exit from host
GO:0035891	4.48739493579576e-10	exit from host cell
GO:0052126	4.48739493579576e-10	movement in host environment
GO:0008767	2.6567146242615e-09	UDP-galactopyranose mutase activity
GO:0051701	3.54634477946783e-09	biological process involved in interaction with host
GO:0019068	6.78757390562084e-09	virion assembly
GO:0016798	1.30405703914395e-08	hydrolase activity, acting on glycosyl bonds
GO:0044403	1.47253336060665e-08	biological process involved in symbiotic interaction
GO:0004553	2.90176392915885e-08	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0033554	3.62197018691863e-08	cellular response to stress
GO:0006974	6.63313526071908e-08	cellular response to DNA damage stimulus
GO:0006281	6.95807738290705e-08	DNA repair
GO:0044419	5.4758986656171e-07	biological process involved in interspecies interaction between organisms
GO:0003677	6.93694344475209e-07	DNA binding
GO:0003676	8.76212909968338e-07	nucleic acid binding
GO:0006950	1.14154256578392e-06	response to stress
GO:0016811	1.20474030745189e-06	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	2.78890346435138e-06	urea metabolic process
GO:0043419	2.78890346435138e-06	urea catabolic process
GO:0000287	2.96518668812742e-06	magnesium ion binding
GO:0005488	3.22115688210235e-06	binding
GO:1901135	4.57751620193739e-06	carbohydrate derivative metabolic process
GO:0004386	4.81307541759569e-06	helicase activity
GO:0051276	6.17533029811281e-06	chromosome organization
GO:0097159	6.41128720116101e-06	organic cyclic compound binding
GO:1901363	6.41128720116101e-06	heterocyclic compound binding
GO:0015695	7.19462457817058e-06	organic cation transport
GO:0015837	7.19462457817058e-06	amine transport
GO:0018941	7.19462457817058e-06	organomercury metabolic process
GO:0018942	7.19462457817058e-06	organometal metabolic process
GO:0034229	7.19462457817058e-06	ethanolamine transport
GO:0046413	7.19462457817058e-06	organomercury catabolic process
GO:0005275	7.19462457817058e-06	amine transmembrane transporter activity
GO:0015101	7.19462457817058e-06	organic cation transmembrane transporter activity
GO:0015665	7.19462457817058e-06	alcohol transmembrane transporter activity
GO:0018836	7.19462457817058e-06	alkylmercury lyase activity
GO:0034228	7.19462457817058e-06	ethanolamine transmembrane transporter activity
GO:0008745	8.5154139831401e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0032880	9.31470343188635e-06	regulation of protein localization
GO:0050708	9.31470343188635e-06	regulation of protein secretion
GO:0051046	9.31470343188635e-06	regulation of secretion
GO:0051223	9.31470343188635e-06	regulation of protein transport
GO:0070201	9.31470343188635e-06	regulation of establishment of protein localization
GO:1903530	9.31470343188635e-06	regulation of secretion by cell
GO:0004842	1.56967902591759e-05	ubiquitin-protein transferase activity
GO:0019787	1.56967902591759e-05	ubiquitin-like protein transferase activity
GO:0016151	1.93890122897545e-05	nickel cation binding
GO:0004197	2.11862643550298e-05	cysteine-type endopeptidase activity
GO:0006807	2.24996329349655e-05	nitrogen compound metabolic process
GO:0043170	2.45623114799522e-05	macromolecule metabolic process
GO:0004470	3.52809271883506e-05	malic enzyme activity
GO:0004471	3.52809271883506e-05	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	3.52809271883507e-05	malate dehydrogenase activity
GO:0046872	3.56219440974918e-05	metal ion binding
GO:0003697	3.95137539523551e-05	single-stranded DNA binding
GO:0043933	4.10374450513662e-05	protein-containing complex organization
GO:0043565	4.34447782985971e-05	sequence-specific DNA binding
GO:0071704	4.70471551343653e-05	organic substance metabolic process
GO:0005576	5.10030951644945e-05	extracellular region
GO:0006260	5.87955532625434e-05	DNA replication
GO:0071941	7.19664130721275e-05	nitrogen cycle metabolic process
GO:0009451	7.26258439773992e-05	RNA modification
GO:0044237	7.7910593779572e-05	cellular metabolic process
GO:0043190	8.20309377252537e-05	ATP-binding cassette (ABC) transporter complex
GO:0098533	8.20309377252537e-05	ATPase dependent transmembrane transport complex
GO:0043169	8.5547980185479e-05	cation binding
GO:0098796	9.65989262015981e-05	membrane protein complex
GO:0098797	9.65989262015988e-05	plasma membrane protein complex
GO:1902495	9.65989262015988e-05	transmembrane transporter complex
GO:1990351	9.65989262015988e-05	transporter complex
GO:0003678	0.000100752554482379	DNA helicase activity
GO:0090304	0.000122546770512748	nucleic acid metabolic process
GO:0044238	0.000130669559690726	primary metabolic process
GO:0008641	0.000140965779360232	ubiquitin-like modifier activating enzyme activity
GO:0006139	0.000141045781625187	nucleobase-containing compound metabolic process
GO:0016866	0.000143723829137071	intramolecular transferase activity
GO:0016645	0.000155027307459761	oxidoreductase activity, acting on the CH-NH group of donors
GO:0016646	0.000155027307459761	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0008094	0.000155062679572433	ATP-dependent activity, acting on DNA
GO:0034641	0.000155566597112855	cellular nitrogen compound metabolic process
GO:0008483	0.000164937397310193	transaminase activity
GO:0016769	0.000164937397310193	transferase activity, transferring nitrogenous groups
GO:0044260	0.000195570882468376	cellular macromolecule metabolic process
GO:0006725	0.000236828582937963	cellular aromatic compound metabolic process
GO:1901360	0.000248531727338844	organic cyclic compound metabolic process
GO:0046483	0.000256646324565676	heterocycle metabolic process
GO:0016747	0.000259959342844812	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0065003	0.000265414030077539	protein-containing complex assembly
GO:0043605	0.000289948527238608	cellular amide catabolic process
GO:0008152	0.000295167697194224	metabolic process
GO:0003924	0.000296226417716324	GTPase activity
GO:0001522	0.000323040028517777	pseudouridine synthesis
GO:0009982	0.000323040028517777	pseudouridine synthase activity
GO:0016903	0.000349114470913024	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0008150	0.000382818801491091	biological_process
GO:0042398	0.000409161022873095	cellular modified amino acid biosynthetic process
GO:0046903	0.000452565671438981	secretion
GO:0045333	0.000483643242250374	cellular respiration
GO:0016407	0.000498509385265956	acetyltransferase activity
GO:0008907	0.000503619047165928	integrase activity
GO:0019069	0.000537923031896476	viral capsid assembly
GO:0008104	0.000540530560836804	protein localization
GO:0015031	0.000540530560836804	protein transport
GO:0045184	0.000540530560836804	establishment of protein localization
GO:0006575	0.000552049558800519	cellular modified amino acid metabolic process
GO:0015980	0.000585308172671948	energy derivation by oxidation of organic compounds
GO:0006310	0.000592976226010103	DNA recombination
GO:1901564	0.000605366652180657	organonitrogen compound metabolic process
GO:0140096	0.000659343089062813	catalytic activity, acting on a protein
GO:0016787	0.000664775282684722	hydrolase activity
GO:0009987	0.000699936640276023	cellular process
GO:0009060	0.000735536540231296	aerobic respiration
GO:0032259	0.000809135469691194	methylation
GO:0006259	0.000824094547924755	DNA metabolic process
GO:0005509	0.000828088159587917	calcium ion binding
GO:0006305	0.000893304221435635	DNA alkylation
GO:0006306	0.000893304221435635	DNA methylation
GO:0043414	0.000893304221435635	macromolecule methylation
GO:0044728	0.000893304221435635	DNA methylation or demethylation
GO:0006119	0.000938995205722566	oxidative phosphorylation
GO:0019646	0.000938995205722566	aerobic electron transport chain
GO:0070069	0.000938995205722566	cytochrome complex
GO:0003842	0.000944111144701816	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0005887	0.000960969925100577	integral component of plasma membrane
GO:0031226	0.000960969925100577	intrinsic component of plasma membrane
GO:0022904	0.00115721484052826	respiratory electron transport chain
GO:0006935	0.00123445316860062	chemotaxis
GO:0042330	0.00123445316860062	taxis
GO:0016043	0.00129275509724486	cellular component organization
GO:0009306	0.00134726453054622	protein secretion
GO:0032940	0.00134726453054622	secretion by cell
GO:0035592	0.00134726453054622	establishment of protein localization to extracellular region
GO:0071692	0.00134726453054622	protein localization to extracellular region
GO:0140352	0.00134726453054622	export from cell
GO:0016051	0.00145440362384162	carbohydrate biosynthetic process
GO:0140640	0.00155136664162727	catalytic activity, acting on a nucleic acid
GO:0004536	0.00166915152240109	deoxyribonuclease activity
GO:0071840	0.00174370912375186	cellular component organization or biogenesis
GO:0005886	0.00177595143763841	plasma membrane
GO:0016877	0.00182220721702242	ligase activity, forming carbon-sulfur bonds
GO:0007165	0.00187888982968572	signal transduction
GO:0022411	0.00200455160406323	cellular component disassembly
GO:0032984	0.00200455160406323	protein-containing complex disassembly
GO:0009426	0.00208979505150916	bacterial-type flagellum basal body, distal rod
GO:0030694	0.00208979505150916	bacterial-type flagellum basal body, rod
GO:0009427	0.00210406310862361	bacterial-type flagellum basal body, distal rod, L ring
GO:0006760	0.00231314407354824	folic acid-containing compound metabolic process
GO:0140097	0.00234829190593258	catalytic activity, acting on DNA
GO:0006508	0.00257592044296199	proteolysis
GO:0023052	0.0027116014220021	signaling
GO:0043242	0.00273123631114531	negative regulation of protein-containing complex disassembly
GO:0051129	0.00273123631114531	negative regulation of cellular component organization
GO:0060567	0.00273123631114531	negative regulation of DNA-templated transcription, termination
GO:0009889	0.0027416009620474	regulation of biosynthetic process
GO:0010556	0.0027416009620474	regulation of macromolecule biosynthetic process
GO:0031326	0.0027416009620474	regulation of cellular biosynthetic process
GO:0080090	0.00279176598773501	regulation of primary metabolic process
GO:0031323	0.00279176598773502	regulation of cellular metabolic process
GO:0051171	0.00279176598773502	regulation of nitrogen compound metabolic process
GO:0019222	0.00279229782868097	regulation of metabolic process
GO:0060255	0.00279229782868097	regulation of macromolecule metabolic process
GO:0010468	0.00291057883921044	regulation of gene expression
GO:0009396	0.00296572818348134	folic acid-containing compound biosynthetic process
GO:0042559	0.00296572818348134	pteridine-containing compound biosynthetic process
GO:0046653	0.00296572818348134	tetrahydrofolate metabolic process
GO:0046654	0.00296572818348134	tetrahydrofolate biosynthetic process
GO:0004146	0.00296572818348134	dihydrofolate reductase activity
GO:0003896	0.00298501127766339	DNA primase activity
GO:0015074	0.00303250991076208	DNA integration
GO:0009428	0.00312103464474121	bacterial-type flagellum basal body, distal rod, P ring
GO:0003674	0.00317238463784288	molecular_function
GO:0016746	0.00326529236523506	acyltransferase activity
GO:0005996	0.00330101221121555	monosaccharide metabolic process
GO:0000150	0.00339436419808539	DNA strand exchange activity
GO:0008233	0.00341925858415816	peptidase activity
GO:0006353	0.00345418362450873	DNA-templated transcription, termination
GO:0031554	0.00345418362450873	regulation of DNA-templated transcription, termination
GO:0043244	0.00345418362450873	regulation of protein-containing complex disassembly
GO:0044282	0.00347620141365302	small molecule catabolic process
GO:0040011	0.00381430633959024	locomotion
GO:0016211	0.00385244702376955	ammonia ligase activity
GO:0016880	0.00385244702376955	acid-ammonia (or amide) ligase activity
GO:0004356	0.00385244702376956	glutamate-ammonia ligase activity
GO:0006013	0.00397480015620087	mannose metabolic process
GO:0004559	0.00397480015620087	alpha-mannosidase activity
GO:0015923	0.00397480015620087	mannosidase activity
GO:0051252	0.00405151629837439	regulation of RNA metabolic process
GO:2001141	0.00405151629837439	regulation of RNA biosynthetic process
GO:0019219	0.00412180847296835	regulation of nucleobase-containing compound metabolic process
GO:0009271	0.00413210106174068	phage shock
GO:0098586	0.00413210106174068	cellular response to virus
GO:1990904	0.00413210106174068	ribonucleoprotein complex
GO:0004040	0.00413210106174068	amidase activity
GO:0015934	0.00413210106174068	large ribosomal subunit
GO:0044391	0.00413210106174068	ribosomal subunit
GO:0070403	0.00413210106174068	NAD+ binding
GO:0032775	0.00420935172081761	DNA methylation on adenine
GO:0009007	0.00420935172081761	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.00420935172081761	DNA-methyltransferase activity
GO:0006355	0.00429007522308702	regulation of transcription, DNA-templated
GO:1903506	0.00429007522308702	regulation of nucleic acid-templated transcription
GO:0008757	0.00441000338410347	S-adenosylmethionine-dependent methyltransferase activity
GO:0016788	0.00449016370844868	hydrolase activity, acting on ester bonds
GO:0006351	0.00454306822948657	transcription, DNA-templated
GO:0097659	0.00454306822948657	nucleic acid-templated transcription
GO:0008378	0.00457959993028191	galactosyltransferase activity
GO:0008918	0.00457959993028191	lipopolysaccharide 3-alpha-galactosyltransferase activity
GO:0035250	0.00457959993028191	UDP-galactosyltransferase activity
GO:0033036	0.004701099349326	macromolecule localization
GO:0032774	0.00471530616121947	RNA biosynthetic process
GO:0016620	0.00471896581245087	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0007154	0.00475514597150562	cell communication
GO:0004518	0.00491412965981011	nuclease activity
GO:0034654	0.00501585596593392	nucleobase-containing compound biosynthetic process
GO:0005976	0.00522676391566024	polysaccharide metabolic process
GO:0006030	0.00525745446124093	chitin metabolic process
GO:0006032	0.00525745446124093	chitin catabolic process
GO:0046348	0.00525745446124093	amino sugar catabolic process
GO:1901071	0.00525745446124093	glucosamine-containing compound metabolic process
GO:1901072	0.00525745446124093	glucosamine-containing compound catabolic process
GO:0004568	0.00525745446124093	chitinase activity
GO:0047429	0.00541632641472717	nucleoside-triphosphate diphosphatase activity
GO:0008047	0.00602358226921608	enzyme activator activity
GO:0046034	0.00602501758450782	ATP metabolic process
GO:0008080	0.00686501696984032	N-acetyltransferase activity
GO:0016410	0.00686501696984032	N-acyltransferase activity
GO:0034069	0.00686501696984032	aminoglycoside N-acetyltransferase activity
GO:0046353	0.00686501696984032	aminoglycoside 3-N-acetyltransferase activity
GO:0032879	0.00770740388236764	regulation of localization
GO:0051049	0.00770740388236764	regulation of transport
GO:0010467	0.00795888933477673	gene expression
GO:0019700	0.00815175381089759	organic phosphonate catabolic process
GO:0019318	0.0082152326314791	hexose metabolic process
GO:0046914	0.00821807943416105	transition metal ion binding
GO:0006417	0.00825519194062736	regulation of translation
GO:0010608	0.00825519194062736	post-transcriptional regulation of gene expression
GO:0010629	0.00825519194062736	negative regulation of gene expression
GO:0017148	0.00825519194062736	negative regulation of translation
GO:0032268	0.00825519194062736	regulation of cellular protein metabolic process
GO:0032269	0.00825519194062736	negative regulation of cellular protein metabolic process
GO:0034248	0.00825519194062736	regulation of cellular amide metabolic process
GO:0034249	0.00825519194062736	negative regulation of cellular amide metabolic process
GO:0051246	0.00825519194062736	regulation of protein metabolic process
GO:0051248	0.00825519194062736	negative regulation of protein metabolic process
GO:2000112	0.00825519194062736	regulation of cellular macromolecule biosynthetic process
GO:2000113	0.00825519194062736	negative regulation of cellular macromolecule biosynthetic process
GO:0001539	0.00846163319877921	cilium or flagellum-dependent cell motility
GO:0048870	0.00846163319877921	cell motility
GO:0051674	0.00846163319877921	localization of cell
GO:0071973	0.00846163319877921	bacterial-type flagellum-dependent cell motility
GO:0097588	0.00846163319877921	archaeal or bacterial-type flagellum-dependent cell motility
GO:0016868	0.00847507207001147	intramolecular transferase activity, phosphotransferases
GO:0071705	0.00848512921523592	nitrogen compound transport
GO:0009425	0.00858644532008889	bacterial-type flagellum basal body
GO:0006040	0.00959066574870149	amino sugar metabolic process
GO:0015035	0.00968340850338448	protein-disulfide reductase activity
GO:0015036	0.00968340850338448	disulfide oxidoreductase activity
GO:0016881	0.00988460705423492	acid-amino acid ligase activity
GO:0016780	0.010180078677627	phosphotransferase activity, for other substituted phosphate groups
GO:0006928	0.0104452628604591	movement of cell or subcellular component
GO:0019438	0.0107812941062009	aromatic compound biosynthetic process
GO:0001897	0.0108980373717817	cytolysis by symbiont of host cells
GO:0001907	0.0108980373717817	killing by symbiont of host cells
GO:0019836	0.0108980373717817	hemolysis by symbiont of host erythrocytes
GO:0030597	0.0108980373717817	RNA glycosylase activity
GO:0030598	0.0108980373717817	rRNA N-glycosylase activity
GO:0006091	0.0113111892007612	generation of precursor metabolites and energy
GO:0008234	0.0114702681045345	cysteine-type peptidase activity
GO:0090305	0.0115600792108734	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.0115600792108734	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.0115600792108734	5'-3' exonuclease activity
GO:0035312	0.0115600792108734	5'-3' exodeoxyribonuclease activity
GO:0051908	0.0115600792108734	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0000271	0.0116719881803828	polysaccharide biosynthetic process
GO:0006750	0.0126464342764914	glutathione biosynthetic process
GO:0004363	0.0126464342764914	glutathione synthase activity
GO:0005737	0.0128645147215743	cytoplasm
GO:0016070	0.0129375214258655	RNA metabolic process
GO:0008270	0.0129402801507412	zinc ion binding
GO:0051082	0.0129676234098506	unfolded protein binding
GO:0004529	0.0131757332500972	exodeoxyribonuclease activity
GO:0016796	0.0131757332500972	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016895	0.0131757332500972	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0005694	0.0142980103392926	chromosome
GO:0008851	0.0148125534907826	ethanolamine ammonia-lyase activity
GO:1901362	0.0150666141979266	organic cyclic compound biosynthetic process
GO:0018130	0.0151134394479366	heterocycle biosynthetic process
GO:0043167	0.0155422715618373	ion binding
GO:0140102	0.0158912528836156	catalytic activity, acting on a rRNA
GO:0004527	0.0166960039912535	exonuclease activity
GO:0000160	0.0168237952179816	phosphorelay signal transduction system
GO:0035556	0.0168237952179817	intracellular signal transduction
GO:0009059	0.0170313696158315	macromolecule biosynthetic process
GO:0072330	0.017318440839549	monocarboxylic acid biosynthetic process
GO:0016879	0.0175160471678648	ligase activity, forming carbon-nitrogen bonds
GO:0030246	0.0177420416246616	carbohydrate binding
GO:0042802	0.0184811372098644	identical protein binding
GO:0042803	0.0184811372098644	protein homodimerization activity
GO:0070840	0.0184811372098644	dynein complex binding
GO:0044271	0.0188241892152606	cellular nitrogen compound biosynthetic process
GO:0071944	0.0207146039353732	cell periphery
GO:0004175	0.021373476055955	endopeptidase activity
GO:0051604	0.0213905940471165	protein maturation
GO:0006633	0.0217590755094163	fatty acid biosynthetic process
GO:0015740	0.0227226474819949	C4-dicarboxylate transport
GO:0015556	0.0227226474819949	C4-dicarboxylate transmembrane transporter activity
GO:0003774	0.0227651616705253	cytoskeletal motor activity
GO:0004252	0.0242024672042465	serine-type endopeptidase activity
GO:0016741	0.0245919285016121	transferase activity, transferring one-carbon groups
GO:0006801	0.0256721923137083	superoxide metabolic process
GO:0072593	0.0256721923137083	reactive oxygen species metabolic process
GO:0005525	0.0264738973524265	GTP binding
GO:0008170	0.0281431125219623	N-methyltransferase activity
GO:0043213	0.0282948332322439	bacteriocin transport
GO:0019538	0.0285509233898733	protein metabolic process
GO:0006749	0.0299731418756648	glutathione metabolic process
GO:0004519	0.0302423679750474	endonuclease activity
GO:0016705	0.0306325315374809	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0006996	0.0312956357371522	organelle organization
GO:0051539	0.0320246183051789	4 iron, 4 sulfur cluster binding
GO:0003723	0.032627317284535	RNA binding
GO:0005315	0.0326801823423008	inorganic phosphate transmembrane transporter activity
GO:0009288	0.033320506624329	bacterial-type flagellum
GO:0003824	0.0334545629752981	catalytic activity
GO:0016799	0.0341723450211194	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0071805	0.0347597292165831	potassium ion transmembrane transport
GO:0019001	0.0348944418081708	guanyl nucleotide binding
GO:0032561	0.0348944418081708	guanyl ribonucleotide binding
GO:0015562	0.0361297909755609	efflux transmembrane transporter activity
GO:0044877	0.0361894830532741	protein-containing complex binding
GO:0006605	0.0363823110315896	protein targeting
