ann_term	CC	annotation
GO:0016998	0.648011520307209	cell wall macromolecule catabolic process
GO:0044036	0.648011520307209	cell wall macromolecule metabolic process
GO:0006022	0.643141517335142	aminoglycan metabolic process
GO:0044265	0.642673034007328	cellular macromolecule catabolic process
GO:0006026	0.636238850747556	aminoglycan catabolic process
GO:1901136	0.636238850747556	carbohydrate derivative catabolic process
GO:0009057	0.620889623691316	macromolecule catabolic process
GO:0016032	0.612878156717698	viral process
GO:0019058	0.612878156717698	viral life cycle
GO:1901565	0.608092231697997	organonitrogen compound catabolic process
GO:0044248	0.607972181728115	cellular catabolic process
GO:0019076	0.606783358596264	viral release from host cell
GO:0035890	0.606783358596264	exit from host
GO:0035891	0.606783358596264	exit from host cell
GO:0052126	0.606783358596264	movement in host environment
GO:0003796	0.605396397010588	lysozyme activity
GO:0044403	0.604856604675799	biological process involved in symbiotic interaction
GO:0051701	0.602533385443201	biological process involved in interaction with host
GO:0019835	0.594614286690698	cytolysis
GO:0000270	0.593085270908885	peptidoglycan metabolic process
GO:0030203	0.593085270908885	glycosaminoglycan metabolic process
GO:0006027	0.58502978335834	glycosaminoglycan catabolic process
GO:0009253	0.58502978335834	peptidoglycan catabolic process
GO:0061783	0.58502978335834	peptidoglycan muralytic activity
GO:0044419	0.555009624064169	biological process involved in interspecies interaction between organisms
GO:0009056	0.55340574107027	catabolic process
GO:0004842	0.552169263549994	ubiquitin-protein transferase activity
GO:0019787	0.552169263549994	ubiquitin-like protein transferase activity
GO:0032880	0.507611970274653	regulation of protein localization
GO:0050708	0.507611970274653	regulation of protein secretion
GO:0051046	0.507611970274653	regulation of secretion
GO:0051223	0.507611970274653	regulation of protein transport
GO:0070201	0.507611970274653	regulation of establishment of protein localization
GO:1903530	0.507611970274653	regulation of secretion by cell
GO:0033554	0.503604099077435	cellular response to stress
GO:0006974	0.500554573668785	cellular response to DNA damage stimulus
GO:0004197	0.4960870683028	cysteine-type endopeptidase activity
GO:0016567	0.493313190678698	protein ubiquitination
GO:0032446	0.493313190678698	protein modification by small protein conjugation
GO:0070647	0.493313190678698	protein modification by small protein conjugation or removal
GO:1901575	0.492255672453332	organic substance catabolic process
GO:0019068	0.486801414366458	virion assembly
GO:0001897	0.486141751093842	cytolysis by symbiont of host cells
GO:0001907	0.486141751093842	killing by symbiont of host cells
GO:0019836	0.486141751093842	hemolysis by symbiont of host erythrocytes
GO:0030597	0.486141751093842	RNA glycosylase activity
GO:0030598	0.486141751093842	rRNA N-glycosylase activity
GO:0019627	0.48432873959182	urea metabolic process
GO:0043419	0.48432873959182	urea catabolic process
GO:0000287	0.479414594257538	magnesium ion binding
GO:0006950	0.475343000416449	response to stress
GO:0071554	0.473181393311152	cell wall organization or biogenesis
GO:0003676	0.471656314368545	nucleic acid binding
GO:0006281	0.47032366831079	DNA repair
GO:0003677	0.469507858470537	DNA binding
GO:0140102	0.454639238599162	catalytic activity, acting on a rRNA
GO:0005488	0.448994176340721	binding
GO:0044260	0.438732369531242	cellular macromolecule metabolic process
GO:1901564	0.433245754790716	organonitrogen compound metabolic process
GO:0043170	0.432134485973991	macromolecule metabolic process
GO:0043565	0.431202282716398	sequence-specific DNA binding
GO:0006801	0.429432604271747	superoxide metabolic process
GO:0072593	0.429432604271747	reactive oxygen species metabolic process
GO:0097159	0.428324336207872	organic cyclic compound binding
GO:1901363	0.428324336207872	heterocyclic compound binding
GO:0008907	0.426267242993947	integrase activity
GO:0043605	0.424885369710049	cellular amide catabolic process
GO:0006807	0.423859233231711	nitrogen compound metabolic process
GO:0032879	0.420123871015633	regulation of localization
GO:0051049	0.420123871015633	regulation of transport
GO:0140096	0.419918374161359	catalytic activity, acting on a protein
GO:0009987	0.418548123645207	cellular process
GO:0006259	0.417677371580847	DNA metabolic process
GO:0006310	0.403068243761765	DNA recombination
GO:0044237	0.402288312806059	cellular metabolic process
GO:1901135	0.395567698554495	carbohydrate derivative metabolic process
GO:0003697	0.394401545757164	single-stranded DNA binding
GO:0090304	0.392628555719081	nucleic acid metabolic process
GO:0043242	0.389227732629757	negative regulation of protein-containing complex disassembly
GO:0051129	0.389227732629757	negative regulation of cellular component organization
GO:0060567	0.389227732629757	negative regulation of DNA-templated transcription, termination
GO:0008150	0.389223943610987	biological_process
GO:0034641	0.386156690707566	cellular nitrogen compound metabolic process
GO:0006139	0.384507613897504	nucleobase-containing compound metabolic process
GO:0019538	0.383069846156989	protein metabolic process
GO:0006725	0.379669396003209	cellular aromatic compound metabolic process
GO:0005198	0.37813113654485	structural molecule activity
GO:0004536	0.377766092775368	deoxyribonuclease activity
GO:0016799	0.37731986981322	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016798	0.376839255346129	hydrolase activity, acting on glycosyl bonds
GO:1901360	0.374982239482207	organic cyclic compound metabolic process
GO:0046483	0.373851096522157	heterocycle metabolic process
GO:0008233	0.373317275390162	peptidase activity
GO:0009890	0.37153481222904	negative regulation of biosynthetic process
GO:0009892	0.37153481222904	negative regulation of metabolic process
GO:0010558	0.37153481222904	negative regulation of macromolecule biosynthetic process
GO:0010605	0.37153481222904	negative regulation of macromolecule metabolic process
GO:0031324	0.37153481222904	negative regulation of cellular metabolic process
GO:0031327	0.37153481222904	negative regulation of cellular biosynthetic process
GO:0051172	0.37153481222904	negative regulation of nitrogen compound metabolic process
GO:0016787	0.365581252788808	hydrolase activity
GO:0071704	0.364330270634496	organic substance metabolic process
GO:0048519	0.36259045563834	negative regulation of biological process
GO:0048523	0.36259045563834	negative regulation of cellular process
GO:0015074	0.355642070039843	DNA integration
GO:0006353	0.353808224287941	DNA-templated transcription, termination
GO:0031554	0.353808224287941	regulation of DNA-templated transcription, termination
GO:0043244	0.353808224287941	regulation of protein-containing complex disassembly
GO:0006270	0.353716339307771	DNA replication initiation
GO:0003674	0.349469927158305	molecular_function
GO:0044238	0.347524761276568	primary metabolic process
GO:0006508	0.342913653444419	proteolysis
GO:0006261	0.341236773003747	DNA-templated DNA replication
GO:0004553	0.339593678025702	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0008104	0.336331271150328	protein localization
GO:0015031	0.336331271150328	protein transport
GO:0045184	0.336331271150328	establishment of protein localization
GO:0046903	0.335935911012977	secretion
GO:0071705	0.334075842618525	nitrogen compound transport
GO:0006260	0.33115781453305	DNA replication
GO:0006979	0.326135364025543	response to oxidative stress
GO:0046872	0.323605870868493	metal ion binding
GO:0006305	0.321900879508894	DNA alkylation
GO:0006306	0.321900879508894	DNA methylation
GO:0043414	0.321900879508894	macromolecule methylation
GO:0044728	0.321900879508894	DNA methylation or demethylation
GO:0009061	0.321008848606285	anaerobic respiration
GO:0019645	0.321008848606285	anaerobic electron transport chain
GO:0045892	0.319743682314544	negative regulation of transcription, DNA-templated
GO:0045934	0.319743682314544	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.319743682314544	negative regulation of RNA metabolic process
GO:1902679	0.319743682314544	negative regulation of RNA biosynthetic process
GO:1903507	0.319743682314544	negative regulation of nucleic acid-templated transcription
GO:0006464	0.318800913968397	cellular protein modification process
GO:0036211	0.318800913968397	protein modification process
GO:0032775	0.318641301045969	DNA methylation on adenine
GO:0009007	0.318641301045969	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.318641301045969	DNA-methyltransferase activity
GO:0016151	0.316796277219681	nickel cation binding
GO:0090305	0.31653701003184	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.31653701003184	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.31653701003184	5'-3' exonuclease activity
GO:0035312	0.31653701003184	5'-3' exodeoxyribonuclease activity
GO:0051908	0.31653701003184	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0006417	0.315825759294869	regulation of translation
GO:0010608	0.315825759294869	post-transcriptional regulation of gene expression
GO:0010629	0.315825759294869	negative regulation of gene expression
GO:0017148	0.315825759294869	negative regulation of translation
GO:0032268	0.315825759294869	regulation of cellular protein metabolic process
GO:0032269	0.315825759294869	negative regulation of cellular protein metabolic process
GO:0034248	0.315825759294869	regulation of cellular amide metabolic process
GO:0034249	0.315825759294869	negative regulation of cellular amide metabolic process
GO:0051246	0.315825759294869	regulation of protein metabolic process
GO:0051248	0.315825759294869	negative regulation of protein metabolic process
GO:2000112	0.315825759294869	regulation of cellular macromolecule biosynthetic process
GO:2000113	0.315825759294869	negative regulation of cellular macromolecule biosynthetic process
GO:0008757	0.312429837333771	S-adenosylmethionine-dependent methyltransferase activity
GO:0051276	0.310162425496696	chromosome organization
GO:0043933	0.309916028384302	protein-containing complex organization
GO:0016788	0.309709685923462	hydrolase activity, acting on ester bonds
GO:0032259	0.307602211530714	methylation
GO:0140640	0.306277491446828	catalytic activity, acting on a nucleic acid
GO:0008234	0.306256358360654	cysteine-type peptidase activity
GO:0004529	0.305660676867981	exodeoxyribonuclease activity
GO:0016796	0.305660676867981	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016895	0.305660676867981	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0005509	0.302694512590952	calcium ion binding
GO:0140097	0.302553908007966	catalytic activity, acting on DNA
GO:0022411	0.301136208132987	cellular component disassembly
GO:0032984	0.301136208132987	protein-containing complex disassembly
GO:0008152	0.300336468460009	metabolic process
GO:0043169	0.299881570579959	cation binding
GO:0060703	0.299510203015221	deoxyribonuclease inhibitor activity
GO:0140721	0.299510203015221	nuclease inhibitor activity
GO:0004527	0.297585097558391	exonuclease activity
GO:0006644	0.297247872132681	phospholipid metabolic process
GO:0008654	0.297247872132681	phospholipid biosynthetic process
GO:0071941	0.296485833872667	nitrogen cycle metabolic process
GO:0015293	0.294090642455556	symporter activity
GO:0006113	0.293400858239558	fermentation
GO:0009063	0.293400858239558	cellular amino acid catabolic process
GO:0019665	0.293400858239558	anaerobic amino acid catabolic process
GO:0019666	0.293400858239558	nitrogenous compound fermentation
GO:0019670	0.293400858239558	anaerobic glutamate catabolic process
GO:0008817	0.293400858239558	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0050097	0.293400858239558	methylaspartate mutase activity
GO:0009306	0.293107425346317	protein secretion
GO:0032940	0.293107425346317	secretion by cell
GO:0035592	0.293107425346317	establishment of protein localization to extracellular region
GO:0071692	0.293107425346317	protein localization to extracellular region
GO:0140352	0.293107425346317	export from cell
GO:0006605	0.289234722606369	protein targeting
GO:0006886	0.289234722606369	intracellular protein transport
GO:0034613	0.289234722606369	cellular protein localization
GO:0046907	0.289234722606369	intracellular transport
GO:0051641	0.289234722606369	cellular localization
GO:0051649	0.289234722606369	establishment of localization in cell
GO:0070727	0.289234722606369	cellular macromolecule localization
GO:0006996	0.284356817188299	organelle organization
GO:0016043	0.282639873129194	cellular component organization
GO:0071840	0.281623183322091	cellular component organization or biogenesis
GO:0003735	0.275957316015795	structural constituent of ribosome
GO:0050896	0.274738560037189	response to stimulus
GO:0005840	0.273563714543964	ribosome
GO:0043167	0.272779803625834	ion binding
GO:0003824	0.26965401407333	catalytic activity
GO:0044267	0.267031114433823	cellular protein metabolic process
GO:0140098	0.264541840515849	catalytic activity, acting on RNA
GO:0051128	0.260869132119848	regulation of cellular component organization
GO:0046914	0.257308338394687	transition metal ion binding
GO:0043603	0.256218388126485	cellular amide metabolic process
GO:0003896	0.247694444692798	DNA primase activity
GO:0008168	0.246531545275498	methyltransferase activity
GO:0033036	0.243227988931576	macromolecule localization
GO:0003729	0.243016284132682	mRNA binding
GO:0004518	0.240644601287971	nuclease activity
GO:0051537	0.238612176800223	2 iron, 2 sulfur cluster binding
GO:0019069	0.238299134570249	viral capsid assembly
GO:0090407	0.237077591296866	organophosphate biosynthetic process
GO:0005737	0.23074821427326	cytoplasm
GO:0015294	0.229571979540575	solute:cation symporter activity
GO:0020037	0.229262910541015	heme binding
GO:0004601	0.226036651255746	peroxidase activity
GO:0005351	0.225807224749545	carbohydrate:proton symporter activity
GO:0005402	0.225807224749545	carbohydrate:cation symporter activity
GO:0015078	0.225807224749545	proton transmembrane transporter activity
GO:0015295	0.225807224749545	solute:proton symporter activity
GO:0051716	0.225552173969052	cellular response to stimulus
GO:0042578	0.225415489567946	phosphoric ester hydrolase activity
GO:0004386	0.222393336628368	helicase activity
GO:0010468	0.219820494209379	regulation of gene expression
GO:0004175	0.218944909174269	endopeptidase activity
GO:0006091	0.216100901383654	generation of precursor metabolites and energy
GO:0110165	0.215720622929572	cellular anatomical entity
GO:0003899	0.214175319435266	DNA-directed 5'-3' RNA polymerase activity
GO:0034062	0.214175319435266	5'-3' RNA polymerase activity
GO:0097747	0.214175319435266	RNA polymerase activity
GO:0015318	0.211925842150961	inorganic molecular entity transmembrane transporter activity
GO:0004520	0.210615806447213	endodeoxyribonuclease activity
GO:0009036	0.210615806447213	type II site-specific deoxyribonuclease activity
GO:0015666	0.210615806447213	restriction endodeoxyribonuclease activity
GO:0016888	0.210615806447213	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0031323	0.20939985508233	regulation of cellular metabolic process
GO:0051171	0.20939985508233	regulation of nitrogen compound metabolic process
GO:0080090	0.20939985508233	regulation of primary metabolic process
GO:0019203	0.209277458620974	carbohydrate phosphatase activity
GO:0042132	0.209277458620974	fructose 1,6-bisphosphate 1-phosphatase activity
GO:0050308	0.209277458620974	sugar-phosphatase activity
GO:0019222	0.2083189948407	regulation of metabolic process
GO:0060255	0.2083189948407	regulation of macromolecule metabolic process
