ann_term	q_val	annotation
GO:0017013	0.999386772226042	protein flavinylation
GO:0008375	0.999386772226042	acetylglucosaminyltransferase activity
GO:0004176	0.993250756130773	ATP-dependent peptidase activity
GO:0015675	0.993250756130773	nickel cation transport
GO:0035444	0.993250756130773	nickel cation transmembrane transport
GO:0015099	0.993250756130773	nickel cation transmembrane transporter activity
GO:0016833	0.986509663502223	oxo-acid-lyase activity
GO:0000041	0.984606318536766	transition metal ion transport
GO:0006952	0.982176608640117	defense response
GO:0015925	0.981649839139753	galactosidase activity
GO:0015075	0.980374461995149	ion transmembrane transporter activity
GO:0004540	0.976261565433106	ribonuclease activity
GO:1901566	0.972191336007032	organonitrogen compound biosynthetic process
GO:0008649	0.966798116422387	rRNA methyltransferase activity
GO:0008855	0.966798116422387	exodeoxyribonuclease VII activity
GO:0006857	0.964226434702747	oligopeptide transport
GO:0015814	0.964226434702747	p-aminobenzoyl-glutamate transport
GO:0035442	0.964226434702747	dipeptide transmembrane transport
GO:0035672	0.964226434702747	oligopeptide transmembrane transport
GO:0042938	0.964226434702747	dipeptide transport
GO:0072337	0.964226434702747	modified amino acid transport
GO:1902604	0.964226434702747	p-aminobenzoyl-glutamate transmembrane transport
GO:0005310	0.964226434702747	dicarboxylic acid transmembrane transporter activity
GO:0015558	0.964226434702747	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.964226434702747	oligopeptide transmembrane transporter activity
GO:0071916	0.964226434702747	dipeptide transmembrane transporter activity
GO:0072349	0.964226434702747	modified amino acid transmembrane transporter activity
GO:0015969	0.964226434702747	guanosine tetraphosphate metabolic process
GO:0034035	0.964226434702747	purine ribonucleoside bisphosphate metabolic process
GO:0003725	0.964226434702747	double-stranded RNA binding
GO:0015288	0.964226434702747	porin activity
GO:0022829	0.964226434702747	wide pore channel activity
GO:0008236	0.964226434702747	serine-type peptidase activity
GO:0017171	0.964226434702747	serine hydrolase activity
GO:0009341	0.960268234763234	beta-galactosidase complex
GO:0044255	0.958446005402044	cellular lipid metabolic process
GO:0006821	0.955458132263784	chloride transport
GO:0005244	0.955458132263784	voltage-gated ion channel activity
GO:0005247	0.955458132263784	voltage-gated chloride channel activity
GO:0005254	0.955458132263784	chloride channel activity
GO:0008308	0.955458132263784	voltage-gated anion channel activity
GO:0015108	0.955458132263784	chloride transmembrane transporter activity
GO:0022832	0.955458132263784	voltage-gated channel activity
GO:0022836	0.955458132263784	gated channel activity
GO:0008408	0.955458132263784	3'-5' exonuclease activity
GO:0019637	0.955458132263784	organophosphate metabolic process
GO:0030255	0.955458132263784	protein secretion by the type IV secretion system
GO:0044097	0.955458132263784	secretion by the type IV secretion system
GO:0043648	0.951816362864289	dicarboxylic acid metabolic process
GO:0009617	0.950010163202514	response to bacterium
