ann_term	CC	annotation
GO:0016998	0.797047226250117	cell wall macromolecule catabolic process
GO:0044036	0.797047226250117	cell wall macromolecule metabolic process
GO:0044265	0.792968159107963	cellular macromolecule catabolic process
GO:0006022	0.79258916609159	aminoglycan metabolic process
GO:0016032	0.788786851210545	viral process
GO:0019058	0.788786851210545	viral life cycle
GO:0006026	0.78596536623646	aminoglycan catabolic process
GO:1901136	0.78596536623646	carbohydrate derivative catabolic process
GO:0009057	0.770813939423678	macromolecule catabolic process
GO:0044248	0.759443529786376	cellular catabolic process
GO:1901565	0.759271345655368	organonitrogen compound catabolic process
GO:0003796	0.753663600044818	lysozyme activity
GO:0019835	0.738470008906215	cytolysis
GO:0000270	0.737045025634526	peptidoglycan metabolic process
GO:0030203	0.737045025634526	glycosaminoglycan metabolic process
GO:0044403	0.736041815688699	biological process involved in symbiotic interaction
GO:0051701	0.735218978815974	biological process involved in interaction with host
GO:0019076	0.734472352391305	viral release from host cell
GO:0035890	0.734472352391305	exit from host
GO:0035891	0.734472352391305	exit from host cell
GO:0052126	0.734472352391305	movement in host environment
GO:0006027	0.730050571660346	glycosaminoglycan catabolic process
GO:0009253	0.730050571660346	peptidoglycan catabolic process
GO:0061783	0.730050571660346	peptidoglycan muralytic activity
GO:0044419	0.709291236519473	biological process involved in interspecies interaction between organisms
GO:0009056	0.706611885187565	catabolic process
GO:0004842	0.672974227838164	ubiquitin-protein transferase activity
GO:0019787	0.672974227838164	ubiquitin-like protein transferase activity
GO:0003677	0.659199353723115	DNA binding
GO:0019068	0.654761541160192	virion assembly
GO:0003676	0.653979165224338	nucleic acid binding
GO:0033554	0.6519738770562	cellular response to stress
GO:0006974	0.650223432916399	cellular response to DNA damage stimulus
GO:1901575	0.647645725535453	organic substance catabolic process
GO:0006950	0.639487879068727	response to stress
GO:0000287	0.622854374547798	magnesium ion binding
GO:0006281	0.622351298131204	DNA repair
GO:0071554	0.621786642941249	cell wall organization or biogenesis
GO:0032880	0.617845614620154	regulation of protein localization
GO:0050708	0.617845614620154	regulation of protein secretion
GO:0051046	0.617845614620154	regulation of secretion
GO:0051223	0.617845614620154	regulation of protein transport
GO:0070201	0.617845614620154	regulation of establishment of protein localization
GO:1903530	0.617845614620154	regulation of secretion by cell
GO:0044260	0.617554148996969	cellular macromolecule metabolic process
GO:0004197	0.61151021721125	cysteine-type endopeptidase activity
GO:0005488	0.610655261492248	binding
GO:0043170	0.607931172925912	macromolecule metabolic process
GO:0016567	0.601964640158293	protein ubiquitination
GO:0032446	0.601964640158293	protein modification by small protein conjugation
GO:0070647	0.601964640158293	protein modification by small protein conjugation or removal
