ann_term	q_val	annotation
GO:0008767	4.29059411818232e-06	UDP-galactopyranose mutase activity
GO:0016811	0.000645517705208082	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	0.000645517705208082	urea metabolic process
GO:0043419	0.000645517705208082	urea catabolic process
GO:0043190	0.000645517705208082	ATP-binding cassette (ABC) transporter complex
GO:0098533	0.000645517705208082	ATPase dependent transmembrane transport complex
GO:0004519	0.000645517705208082	endonuclease activity
GO:0015695	0.000645517705208082	organic cation transport
GO:0015837	0.000645517705208082	amine transport
GO:0018941	0.000645517705208082	organomercury metabolic process
GO:0018942	0.000645517705208082	organometal metabolic process
GO:0034229	0.000645517705208082	ethanolamine transport
GO:0046413	0.000645517705208082	organomercury catabolic process
GO:0005275	0.000645517705208082	amine transmembrane transporter activity
GO:0015101	0.000645517705208082	organic cation transmembrane transporter activity
GO:0015665	0.000645517705208082	alcohol transmembrane transporter activity
GO:0018836	0.000645517705208082	alkylmercury lyase activity
GO:0034228	0.000645517705208082	ethanolamine transmembrane transporter activity
GO:0008745	0.000661124061041142	N-acetylmuramoyl-L-alanine amidase activity
GO:0098797	0.000661124061041142	plasma membrane protein complex
GO:1902495	0.000661124061041142	transmembrane transporter complex
GO:1990351	0.000661124061041142	transporter complex
GO:0098796	0.000661124061041142	membrane protein complex
GO:0016884	0.00109462670899771	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016151	0.00126928359700047	nickel cation binding
GO:0006177	0.00137890102213709	GMP biosynthetic process
GO:0046037	0.00137890102213709	GMP metabolic process
GO:0003922	0.00137890102213709	GMP synthase (glutamine-hydrolyzing) activity
GO:0071944	0.00141525149935021	cell periphery
GO:0004470	0.00178058429403707	malic enzyme activity
GO:0004471	0.00178058429403707	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	0.00178058429403707	malate dehydrogenase activity
GO:0051716	0.00179857687817511	cellular response to stimulus
GO:0016903	0.00254620713729168	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0048519	0.00360650129222588	negative regulation of biological process
GO:0048523	0.00360650129222588	negative regulation of cellular process
GO:0016645	0.00391723506524966	oxidoreductase activity, acting on the CH-NH group of donors
GO:0005887	0.00391723506524966	integral component of plasma membrane
GO:0031226	0.00391723506524966	intrinsic component of plasma membrane
GO:0007154	0.00391723506524966	cell communication
GO:0045892	0.00391723506524966	negative regulation of transcription, DNA-templated
GO:0045934	0.00391723506524966	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.00391723506524966	negative regulation of RNA metabolic process
GO:1902679	0.00391723506524966	negative regulation of RNA biosynthetic process
GO:1903507	0.00391723506524966	negative regulation of nucleic acid-templated transcription
GO:0016747	0.00391723506524966	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0000160	0.00391723506524966	phosphorelay signal transduction system
GO:0035556	0.00391723506524966	intracellular signal transduction
GO:0005886	0.00391723506524966	plasma membrane
GO:0032880	0.00391723506524966	regulation of protein localization
GO:0050708	0.00391723506524966	regulation of protein secretion
GO:0051046	0.00391723506524966	regulation of secretion
GO:0051223	0.00391723506524966	regulation of protein transport
GO:0070201	0.00391723506524966	regulation of establishment of protein localization
GO:1903530	0.00391723506524966	regulation of secretion by cell
GO:0008641	0.00406535238690668	ubiquitin-like modifier activating enzyme activity
GO:0007165	0.00413886472127041	signal transduction
GO:0016646	0.00453143539454806	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0004197	0.00554760209445417	cysteine-type endopeptidase activity
GO:0023052	0.00556594707307112	signaling
GO:0016866	0.00590968375835857	intramolecular transferase activity
GO:0006119	0.0061459625047226	oxidative phosphorylation
GO:0019646	0.0061459625047226	aerobic electron transport chain
GO:0070069	0.0061459625047226	cytochrome complex
GO:0042398	0.00703515415903347	cellular modified amino acid biosynthetic process
GO:0043605	0.00709495259833867	cellular amide catabolic process
GO:0006575	0.00977952466590018	cellular modified amino acid metabolic process
GO:0016879	0.0102465469242538	ligase activity, forming carbon-nitrogen bonds
GO:0005576	0.0102710237103164	extracellular region
GO:0009890	0.0107119502850158	negative regulation of biosynthetic process
GO:0009892	0.0107119502850158	negative regulation of metabolic process
GO:0010558	0.0107119502850158	negative regulation of macromolecule biosynthetic process
GO:0010605	0.0107119502850158	negative regulation of macromolecule metabolic process
GO:0031324	0.0107119502850158	negative regulation of cellular metabolic process
GO:0031327	0.0107119502850158	negative regulation of cellular biosynthetic process
GO:0051172	0.0107119502850158	negative regulation of nitrogen compound metabolic process
GO:0009060	0.0117499663919845	aerobic respiration
GO:0004518	0.0134948532312695	nuclease activity
GO:0015980	0.0163061838057157	energy derivation by oxidation of organic compounds
GO:0045333	0.0165106466386973	cellular respiration
GO:0005509	0.0165106466386973	calcium ion binding
GO:0046034	0.0184375950262659	ATP metabolic process
GO:0016407	0.0186869946411712	acetyltransferase activity
GO:0006935	0.0234546102034118	chemotaxis
GO:0042330	0.0234546102034118	taxis
GO:0022904	0.0246451382838378	respiratory electron transport chain
GO:0006760	0.0246451382838378	folic acid-containing compound metabolic process
GO:0016051	0.0292248858166901	carbohydrate biosynthetic process
GO:0046653	0.0294631413017452	tetrahydrofolate metabolic process
GO:0046654	0.0294631413017452	tetrahydrofolate biosynthetic process
GO:0004146	0.0294631413017452	dihydrofolate reductase activity
GO:0009396	0.0294631413017452	folic acid-containing compound biosynthetic process
GO:0042559	0.0294631413017452	pteridine-containing compound biosynthetic process
GO:0046903	0.0297258087964997	secretion
GO:0016877	0.0309775226893811	ligase activity, forming carbon-sulfur bonds
GO:0003842	0.0323974825136148	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0009426	0.0343238577820923	bacterial-type flagellum basal body, distal rod
GO:0030694	0.0343238577820923	bacterial-type flagellum basal body, rod
GO:0009427	0.0343238577820923	bacterial-type flagellum basal body, distal rod, L ring
GO:0032553	0.0358713536864125	ribonucleotide binding
GO:0070403	0.0360126901126945	NAD+ binding
GO:0016620	0.0390516750193116	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0036094	0.0411635042809655	small molecule binding
GO:0022900	0.0452462904422857	electron transport chain
GO:0097367	0.0475129620951116	carbohydrate derivative binding
GO:0009428	0.0475516127477081	bacterial-type flagellum basal body, distal rod, P ring
GO:0009150	0.0482567659984761	purine ribonucleotide metabolic process
GO:0009259	0.0482567659984761	ribonucleotide metabolic process
GO:0019693	0.0482567659984761	ribose phosphate metabolic process
GO:0017076	0.0515901576184032	purine nucleotide binding
GO:0016746	0.0515901576184032	acyltransferase activity
GO:0000166	0.0517658832120836	nucleotide binding
GO:1901265	0.0517658832120836	nucleoside phosphate binding
GO:0043168	0.0517658832120836	anion binding
GO:0016211	0.0517658832120836	ammonia ligase activity
GO:0016880	0.0517658832120836	acid-ammonia (or amide) ligase activity
GO:0004356	0.0517658832120836	glutamate-ammonia ligase activity
GO:0008104	0.0517658832120836	protein localization
GO:0015031	0.0517658832120836	protein transport
GO:0045184	0.0517658832120836	establishment of protein localization
GO:0016874	0.0517658832120836	ligase activity
GO:1990904	0.0517658832120836	ribonucleoprotein complex
GO:0004040	0.0517658832120836	amidase activity
GO:0015934	0.0517658832120836	large ribosomal subunit
GO:0044391	0.0517658832120836	ribosomal subunit
GO:0032555	0.0517658832120836	purine ribonucleotide binding
GO:0035639	0.0517658832120836	purine ribonucleoside triphosphate binding
GO:0016032	0.0517658832120836	viral process
GO:0019058	0.0517658832120836	viral life cycle
GO:0019076	0.0517658832120836	viral release from host cell
GO:0035890	0.0517658832120836	exit from host
GO:0035891	0.0517658832120836	exit from host cell
GO:0051701	0.0517658832120836	biological process involved in interaction with host
GO:0052126	0.0517658832120836	movement in host environment
GO:0050896	0.0517658832120836	response to stimulus
GO:0015035	0.0517658832120836	protein-disulfide reductase activity
GO:0015036	0.0517658832120836	disulfide oxidoreductase activity
GO:0009306	0.0538372448039075	protein secretion
GO:0032940	0.0538372448039075	secretion by cell
GO:0035592	0.0538372448039075	establishment of protein localization to extracellular region
GO:0071692	0.0538372448039075	protein localization to extracellular region
GO:0140352	0.0538372448039075	export from cell
GO:0040011	0.0538372448039075	locomotion
GO:0032991	0.0543321368446341	protein-containing complex
GO:0047429	0.0603266700674786	nucleoside-triphosphate diphosphatase activity
GO:0006163	0.0633808678534084	purine nucleotide metabolic process
GO:0071941	0.0634235519759876	nitrogen cycle metabolic process
GO:0006091	0.0651481347982024	generation of precursor metabolites and energy
GO:0005976	0.0651481347982024	polysaccharide metabolic process
GO:0009117	0.0689126912173348	nucleotide metabolic process
GO:0006753	0.0689126912173348	nucleoside phosphate metabolic process
GO:0006793	0.0695484320485012	phosphorus metabolic process
GO:0003723	0.0697442634180098	RNA binding
GO:0008080	0.0706178497216058	N-acetyltransferase activity
GO:0016410	0.0706178497216058	N-acyltransferase activity
GO:0034069	0.0706178497216058	aminoglycoside N-acetyltransferase activity
GO:0046353	0.0706178497216058	aminoglycoside 3-N-acetyltransferase activity
GO:0016491	0.0745668364000279	oxidoreductase activity
GO:0034660	0.0765719834840286	ncRNA metabolic process
GO:0009271	0.0765719834840286	phage shock
GO:0098586	0.0765719834840286	cellular response to virus
GO:0016868	0.0782764514912645	intramolecular transferase activity, phosphotransferases
GO:0016810	0.0788274680824033	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0030312	0.0797883782096945	external encapsulating structure
GO:0019700	0.0797883782096945	organic phosphonate catabolic process
GO:0003697	0.0810904492686168	single-stranded DNA binding
GO:0009425	0.0830365819876859	bacterial-type flagellum basal body
GO:0009165	0.0901758074234791	nucleotide biosynthetic process
GO:1901293	0.0901758074234791	nucleoside phosphate biosynthetic process
GO:0016881	0.0934267926434496	acid-amino acid ligase activity
GO:0016780	0.0934267926434496	phosphotransferase activity, for other substituted phosphate groups
GO:0004176	0.0934267926434496	ATP-dependent peptidase activity
GO:0001539	0.0934267926434496	cilium or flagellum-dependent cell motility
GO:0048870	0.0934267926434496	cell motility
GO:0051674	0.0934267926434496	localization of cell
GO:0071973	0.0934267926434496	bacterial-type flagellum-dependent cell motility
GO:0097588	0.0934267926434496	archaeal or bacterial-type flagellum-dependent cell motility
GO:0016567	0.0934267926434496	protein ubiquitination
GO:0032446	0.0934267926434496	protein modification by small protein conjugation
GO:0070647	0.0934267926434496	protein modification by small protein conjugation or removal
GO:0030554	0.0952917142455258	adenyl nucleotide binding
GO:0048878	0.0952917142455258	chemical homeostasis
GO:0050801	0.0952917142455258	ion homeostasis
GO:0055080	0.0952917142455258	cation homeostasis
GO:0098771	0.0952917142455258	inorganic ion homeostasis
GO:0055065	0.0952917142455258	metal ion homeostasis
GO:0055076	0.0952917142455258	transition metal ion homeostasis
GO:0006399	0.097341007905078	tRNA metabolic process
GO:0140657	0.0988220174815869	ATP-dependent activity
GO:0000271	0.100145938641716	polysaccharide biosynthetic process
GO:0140101	0.103336597528166	catalytic activity, acting on a tRNA
GO:0016836	0.103336597528166	hydro-lyase activity
GO:0006750	0.104962928324203	glutathione biosynthetic process
GO:0004363	0.104962928324203	glutathione synthase activity
GO:0032559	0.104962928324203	adenyl ribonucleotide binding
GO:0005524	0.104962928324203	ATP binding
GO:0005198	0.104962928324203	structural molecule activity
GO:0051082	0.105473516017776	unfolded protein binding
GO:0016462	0.105473516017776	pyrophosphatase activity
GO:0032879	0.105473516017776	regulation of localization
GO:0051049	0.105473516017776	regulation of transport
GO:0006796	0.107065354256302	phosphate-containing compound metabolic process
GO:0006928	0.107456880965106	movement of cell or subcellular component
GO:0072521	0.114184540542766	purine-containing compound metabolic process
GO:0005506	0.114184540542766	iron ion binding
GO:0055070	0.114599353105407	copper ion homeostasis
GO:0008851	0.115566540519874	ethanolamine ammonia-lyase activity
GO:0034645	0.116303832634248	cellular macromolecule biosynthetic process
GO:0008234	0.117505930210653	cysteine-type peptidase activity
GO:1901566	0.117894830721159	organonitrogen compound biosynthetic process
GO:0016705	0.118771338736369	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
