ann_term	CC	annotation
GO:0008767	2.6567146242615e-09	UDP-galactopyranose mutase activity
GO:0016811	1.6239028402867e-06	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	2.78890346435138e-06	urea metabolic process
GO:0043419	2.78890346435138e-06	urea catabolic process
GO:0043190	3.56485943448811e-06	ATP-binding cassette (ABC) transporter complex
GO:0098533	3.56485943448811e-06	ATPase dependent transmembrane transport complex
GO:0004519	5.48388494521241e-06	endonuclease activity
GO:0015695	7.19462457817058e-06	organic cation transport
GO:0015837	7.19462457817058e-06	amine transport
GO:0018941	7.19462457817058e-06	organomercury metabolic process
GO:0018942	7.19462457817058e-06	organometal metabolic process
GO:0034229	7.19462457817058e-06	ethanolamine transport
GO:0046413	7.19462457817058e-06	organomercury catabolic process
GO:0005275	7.19462457817058e-06	amine transmembrane transporter activity
GO:0015101	7.19462457817058e-06	organic cation transmembrane transporter activity
GO:0015665	7.19462457817058e-06	alcohol transmembrane transporter activity
GO:0018836	7.19462457817058e-06	alkylmercury lyase activity
GO:0034228	7.19462457817058e-06	ethanolamine transmembrane transporter activity
GO:0008745	8.51541398314013e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0098797	9.41538910461063e-06	plasma membrane protein complex
GO:1902495	9.41538910461063e-06	transmembrane transporter complex
GO:1990351	9.41538910461063e-06	transporter complex
GO:0098796	9.41538910461068e-06	membrane protein complex
GO:0016884	1.62668984618854e-05	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016151	1.96483528947442e-05	nickel cation binding
GO:0006177	2.39066431082591e-05	GMP biosynthetic process
GO:0046037	2.39066431082591e-05	GMP metabolic process
GO:0003922	2.39066431082591e-05	GMP synthase (glutamine-hydrolyzing) activity
GO:0071944	2.54131848180533e-05	cell periphery
GO:0004470	3.52809271883506e-05	malic enzyme activity
GO:0004471	3.52809271883506e-05	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	3.52809271883507e-05	malate dehydrogenase activity
GO:0051716	3.67511064890271e-05	cellular response to stimulus
GO:0016903	5.3604360785088e-05	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0048519	8.03925984644778e-05	negative regulation of biological process
GO:0048523	8.03925984644778e-05	negative regulation of cellular process
GO:0016645	0.000105501845449615	oxidoreductase activity, acting on the CH-NH group of donors
GO:0005887	0.000106580678174718	integral component of plasma membrane
GO:0031226	0.000106580678174718	intrinsic component of plasma membrane
GO:0007154	0.000111051544518181	cell communication
GO:0045892	0.000112365859439731	negative regulation of transcription, DNA-templated
GO:0045934	0.000112365859439731	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.000112365859439731	negative regulation of RNA metabolic process
GO:1902679	0.000112365859439731	negative regulation of RNA biosynthetic process
GO:1903507	0.000112365859439731	negative regulation of nucleic acid-templated transcription
GO:0016747	0.000124476022031213	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0000160	0.000125967856688851	phosphorelay signal transduction system
GO:0035556	0.000125967856688853	intracellular signal transduction
GO:0005886	0.000130422524769891	plasma membrane
GO:0032880	0.000133404290147821	regulation of protein localization
GO:0050708	0.000133404290147821	regulation of protein secretion
GO:0051046	0.000133404290147821	regulation of secretion
GO:0051223	0.000133404290147821	regulation of protein transport
GO:0070201	0.000133404290147821	regulation of establishment of protein localization
GO:1903530	0.000133404290147821	regulation of secretion by cell
GO:0008641	0.000140965779360232	ubiquitin-like modifier activating enzyme activity
