ann_term	q_val	annotation
GO:0009404	0.996548637438355	toxin metabolic process
GO:0015294	0.996548637438355	solute:cation symporter activity
GO:0006979	0.996548637438355	response to oxidative stress
GO:0006259	0.995227507058375	DNA metabolic process
GO:0006163	0.995227507058375	purine nucleotide metabolic process
GO:0072521	0.995227507058375	purine-containing compound metabolic process
GO:0015675	0.991416409994203	nickel cation transport
GO:0035444	0.991416409994203	nickel cation transmembrane transport
GO:0015099	0.991416409994203	nickel cation transmembrane transporter activity
GO:0015562	0.991368907982813	efflux transmembrane transporter activity
GO:0000041	0.989185857641734	transition metal ion transport
GO:0015740	0.989185857641734	C4-dicarboxylate transport
GO:0015556	0.989185857641734	C4-dicarboxylate transmembrane transporter activity
GO:0015267	0.984484404447527	channel activity
GO:0022803	0.984484404447527	passive transmembrane transporter activity
GO:0006260	0.984484404447527	DNA replication
GO:0042886	0.984484404447527	amide transport
GO:0000270	0.981465846516095	peptidoglycan metabolic process
GO:0006022	0.981465846516095	aminoglycan metabolic process
GO:0030203	0.981465846516095	glycosaminoglycan metabolic process
GO:0006026	0.981465846516095	aminoglycan catabolic process
GO:0006027	0.981465846516095	glycosaminoglycan catabolic process
GO:0009253	0.981465846516095	peptidoglycan catabolic process
GO:1901136	0.981465846516095	carbohydrate derivative catabolic process
GO:0061783	0.981465846516095	peptidoglycan muralytic activity
GO:0009123	0.981465846516095	nucleoside monophosphate metabolic process
GO:0009124	0.981465846516095	nucleoside monophosphate biosynthetic process
GO:0009126	0.981465846516095	purine nucleoside monophosphate metabolic process
GO:0009127	0.981465846516095	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.981465846516095	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.981465846516095	ribonucleoside monophosphate metabolic process
GO:0009167	0.981465846516095	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.981465846516095	purine ribonucleoside monophosphate biosynthetic process
GO:0043412	0.981465846516095	macromolecule modification
GO:0044267	0.981465846516095	cellular protein metabolic process
GO:0008408	0.981465846516095	3'-5' exonuclease activity
GO:0046915	0.981465846516095	transition metal ion transmembrane transporter activity
GO:0006952	0.981465846516095	defense response
GO:0003333	0.981465846516095	amino acid transmembrane transport
GO:0043213	0.981465846516095	bacteriocin transport
GO:0043226	0.980431163764577	organelle
GO:0004521	0.97277451581524	endoribonuclease activity
GO:0015288	0.971650790281604	porin activity
GO:0022829	0.971650790281604	wide pore channel activity
GO:0098655	0.970648754488104	cation transmembrane transport
GO:0098660	0.970648754488104	inorganic ion transmembrane transport
GO:0098662	0.970648754488104	inorganic cation transmembrane transport
GO:0050896	0.970648754488104	response to stimulus
GO:0043207	0.970648754488104	response to external biotic stimulus
GO:0051707	0.970648754488104	response to other organism
GO:0019634	0.968797060308914	organic phosphonate metabolic process
GO:0043648	0.967431786540617	dicarboxylic acid metabolic process
GO:0016638	0.967431786540617	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0043228	0.967431786540617	non-membrane-bounded organelle
GO:0005351	0.967431786540617	carbohydrate:proton symporter activity
GO:0005402	0.967431786540617	carbohydrate:cation symporter activity
GO:0015078	0.967431786540617	proton transmembrane transporter activity
GO:0015295	0.967431786540617	solute:proton symporter activity
GO:0016741	0.964919386576542	transferase activity, transferring one-carbon groups
GO:0015079	0.964919386576542	potassium ion transmembrane transporter activity
GO:0019700	0.962338176657284	organic phosphonate catabolic process
GO:0051276	0.954255143244024	chromosome organization
GO:0003896	0.953484876314237	DNA primase activity
GO:0005618	0.953484876314237	cell wall
GO:0008914	0.952107521520957	leucyltransferase activity
GO:0016755	0.952107521520957	aminoacyltransferase activity
GO:0006004	0.952107521520957	fucose metabolic process
GO:0008736	0.952107521520957	L-fucose isomerase activity
GO:0006865	0.948322768367845	amino acid transport
GO:0016684	0.944224347302951	oxidoreductase activity, acting on peroxide as acceptor
GO:0009150	0.94327875676733	purine ribonucleotide metabolic process
GO:0009259	0.94327875676733	ribonucleotide metabolic process
GO:0019693	0.94327875676733	ribose phosphate metabolic process
GO:1904680	0.940025387710065	peptide transmembrane transporter activity
GO:0005515	0.940025387710065	protein binding
GO:1903825	0.93001254569715	organic acid transmembrane transport
GO:1905039	0.93001254569715	carboxylic acid transmembrane transport
GO:0008131	0.93001254569715	primary amine oxidase activity
GO:0016641	0.93001254569715	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
