ann_term	CC	annotation
GO:0004842	0.485645476925277	ubiquitin-protein transferase activity
GO:0019787	0.485645476925277	ubiquitin-like protein transferase activity
GO:0019627	0.48432873959182	urea metabolic process
GO:0043419	0.48432873959182	urea catabolic process
GO:0032880	0.476370520514178	regulation of protein localization
GO:0050708	0.476370520514178	regulation of protein secretion
GO:0051046	0.476370520514178	regulation of secretion
GO:0051223	0.476370520514178	regulation of protein transport
GO:0070201	0.476370520514178	regulation of establishment of protein localization
GO:1903530	0.476370520514178	regulation of secretion by cell
GO:0004197	0.465499457657291	cysteine-type endopeptidase activity
GO:0043605	0.424885369710049	cellular amide catabolic process
GO:0016567	0.411489597644046	protein ubiquitination
GO:0032446	0.411489597644046	protein modification by small protein conjugation
GO:0070647	0.411489597644046	protein modification by small protein conjugation or removal
GO:0032879	0.388523656482889	regulation of localization
GO:0051049	0.388523656482889	regulation of transport
GO:0016151	0.313739135649083	nickel cation binding
GO:0005509	0.302694512590952	calcium ion binding
GO:0006113	0.293400858239558	fermentation
GO:0009063	0.293400858239558	cellular amino acid catabolic process
GO:0019665	0.293400858239558	anaerobic amino acid catabolic process
GO:0019666	0.293400858239558	nitrogenous compound fermentation
GO:0019670	0.293400858239558	anaerobic glutamate catabolic process
GO:0008817	0.293400858239558	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0050097	0.293400858239558	methylaspartate mutase activity
GO:0008234	0.293157026091272	cysteine-type peptidase activity
GO:0044403	0.282335163134707	biological process involved in symbiotic interaction
GO:0046903	0.278129713962344	secretion
GO:0008104	0.271759665869838	protein localization
GO:0015031	0.271759665869838	protein transport
GO:0045184	0.271759665869838	establishment of protein localization
GO:0006605	0.248432027708417	protein targeting
GO:0006886	0.248432027708417	intracellular protein transport
GO:0034613	0.248432027708417	cellular protein localization
GO:0046907	0.248432027708417	intracellular transport
GO:0051641	0.248432027708417	cellular localization
GO:0051649	0.248432027708417	establishment of localization in cell
GO:0070727	0.248432027708417	cellular macromolecule localization
GO:0009306	0.241723478723315	protein secretion
GO:0032940	0.241723478723315	secretion by cell
GO:0035592	0.241723478723315	establishment of protein localization to extracellular region
GO:0071692	0.241723478723315	protein localization to extracellular region
GO:0140352	0.241723478723315	export from cell
