ann_term	q_val	annotation
GO:0017013	0.999386772226042	protein flavinylation
GO:0004797	0.999386772226042	thymidine kinase activity
GO:0008375	0.999386772226042	acetylglucosaminyltransferase activity
GO:0019136	0.999386772226042	deoxynucleoside kinase activity
GO:0019205	0.999386772226042	nucleobase-containing compound kinase activity
GO:0019206	0.999386772226042	nucleoside kinase activity
GO:0033043	0.999386772226042	regulation of organelle organization
GO:0006813	0.999386772226042	potassium ion transport
GO:0015675	0.996807231852605	nickel cation transport
GO:0035444	0.996807231852605	nickel cation transmembrane transport
GO:0015099	0.996807231852605	nickel cation transmembrane transporter activity
GO:1903825	0.996807231852605	organic acid transmembrane transport
GO:1905039	0.996807231852605	carboxylic acid transmembrane transport
GO:0042802	0.996647544716113	identical protein binding
GO:0042803	0.996647544716113	protein homodimerization activity
GO:0015800	0.99482796377689	acidic amino acid transport
GO:0015807	0.99482796377689	L-amino acid transport
GO:0015813	0.99482796377689	L-glutamate transmembrane transport
GO:1902475	0.99482796377689	L-alpha-amino acid transmembrane transport
GO:0015501	0.99482796377689	glutamate:sodium symporter activity
GO:0030255	0.99482796377689	protein secretion by the type IV secretion system
GO:0044097	0.99482796377689	secretion by the type IV secretion system
GO:0008168	0.991687900598462	methyltransferase activity
GO:0015925	0.990079872620772	galactosidase activity
GO:0045333	0.990079872620772	cellular respiration
GO:0005351	0.990079872620772	carbohydrate:proton symporter activity
GO:0005402	0.990079872620772	carbohydrate:cation symporter activity
GO:0015078	0.990079872620772	proton transmembrane transporter activity
GO:0015295	0.990079872620772	solute:proton symporter activity
GO:0072522	0.979622517182645	purine-containing compound biosynthetic process
GO:0008830	0.977148842244638	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0006415	0.977148842244638	translational termination
GO:0003333	0.977148842244638	amino acid transmembrane transport
GO:1904680	0.974841542246745	peptide transmembrane transporter activity
GO:0003725	0.97397345740999	double-stranded RNA binding
GO:0007010	0.973304917737115	cytoskeleton organization
GO:0010638	0.973304917737115	positive regulation of organelle organization
GO:0051130	0.973304917737115	positive regulation of cellular component organization
GO:0051493	0.973304917737115	regulation of cytoskeleton organization
GO:0051495	0.973304917737115	positive regulation of cytoskeleton organization
GO:0050896	0.971455135576586	response to stimulus
GO:0004175	0.968198441838815	endopeptidase activity
GO:0044260	0.966672151355629	cellular macromolecule metabolic process
GO:0008649	0.96609208944023	rRNA methyltransferase activity
GO:0140102	0.96609208944023	catalytic activity, acting on a rRNA
GO:0009341	0.966059464518839	beta-galactosidase complex
GO:0046915	0.966059464518839	transition metal ion transmembrane transporter activity
GO:0008914	0.95647861379414	leucyltransferase activity
GO:0016755	0.95647861379414	aminoacyltransferase activity
GO:0043648	0.95104764127968	dicarboxylic acid metabolic process
GO:0006612	0.95104764127968	protein targeting to membrane
GO:0006613	0.95104764127968	cotranslational protein targeting to membrane
GO:0006614	0.95104764127968	SRP-dependent cotranslational protein targeting to membrane
GO:0033365	0.95104764127968	protein localization to organelle
GO:0045047	0.95104764127968	protein targeting to ER
GO:0051668	0.95104764127968	localization within membrane
GO:0070972	0.95104764127968	protein localization to endoplasmic reticulum
GO:0072594	0.95104764127968	establishment of protein localization to organelle
GO:0072599	0.95104764127968	establishment of protein localization to endoplasmic reticulum
GO:0072657	0.95104764127968	protein localization to membrane
GO:0090150	0.95104764127968	establishment of protein localization to membrane
GO:0003677	0.95104764127968	DNA binding
GO:0009617	0.95104764127968	response to bacterium
GO:0042742	0.95104764127968	defense response to bacterium
GO:0016638	0.95104764127968	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0008990	0.95104764127968	rRNA (guanine-N2-)-methyltransferase activity
GO:0016435	0.95104764127968	rRNA (guanine) methyltransferase activity
GO:0004565	0.946084668439666	beta-galactosidase activity
GO:0016891	0.939069301475863	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0098655	0.939069301475863	cation transmembrane transport
GO:0098660	0.939069301475863	inorganic ion transmembrane transport
GO:0098662	0.939069301475863	inorganic cation transmembrane transport
GO:0006259	0.939069301475863	DNA metabolic process
GO:0005615	0.939069301475863	extracellular space
GO:0090729	0.939069301475863	toxin activity
GO:0140640	0.939069301475863	catalytic activity, acting on a nucleic acid
GO:0004427	0.939069301475863	inorganic diphosphatase activity
GO:0008771	0.937855455761953	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.937855455761953	acid-thiol ligase activity
GO:0006213	0.934675286789941	pyrimidine nucleoside metabolic process
GO:0016226	0.934675286789941	iron-sulfur cluster assembly
GO:0031163	0.934675286789941	metallo-sulfur cluster assembly
GO:0008131	0.934675286789941	primary amine oxidase activity
GO:0016641	0.934675286789941	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0006857	0.931241316295297	oligopeptide transport
GO:0015814	0.931241316295297	p-aminobenzoyl-glutamate transport
GO:0035442	0.931241316295297	dipeptide transmembrane transport
GO:0035672	0.931241316295297	oligopeptide transmembrane transport
GO:0042938	0.931241316295297	dipeptide transport
GO:0072337	0.931241316295297	modified amino acid transport
GO:1902604	0.931241316295297	p-aminobenzoyl-glutamate transmembrane transport
GO:0005310	0.931241316295297	dicarboxylic acid transmembrane transporter activity
GO:0015558	0.931241316295297	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.931241316295297	oligopeptide transmembrane transporter activity
GO:0071916	0.931241316295297	dipeptide transmembrane transporter activity
GO:0072349	0.931241316295297	modified amino acid transmembrane transporter activity
GO:0008408	0.931241316295297	3'-5' exonuclease activity
GO:0016780	0.931241316295297	phosphotransferase activity, for other substituted phosphate groups
GO:0005283	0.929105205932286	amino acid:sodium symporter activity
