ann_term	CC	annotation
GO:0019627	0.700333171817137	urea metabolic process
GO:0043419	0.700333171817137	urea catabolic process
GO:0016151	0.661365699588693	nickel cation binding
GO:0043605	0.635675952232393	cellular amide catabolic process
GO:0032880	0.63490006311284	regulation of protein localization
GO:0050708	0.63490006311284	regulation of protein secretion
GO:0051046	0.63490006311284	regulation of secretion
GO:0051223	0.63490006311284	regulation of protein transport
GO:0070201	0.63490006311284	regulation of establishment of protein localization
GO:1903530	0.63490006311284	regulation of secretion by cell
GO:0004197	0.574607262629439	cysteine-type endopeptidase activity
GO:0071941	0.539810829250648	nitrogen cycle metabolic process
GO:0016567	0.535984739644982	protein ubiquitination
GO:0032446	0.535984739644982	protein modification by small protein conjugation
GO:0070647	0.535984739644982	protein modification by small protein conjugation or removal
GO:0008234	0.525384430181669	cysteine-type peptidase activity
GO:0032879	0.506459381763356	regulation of localization
GO:0051049	0.506459381763356	regulation of transport
GO:0004842	0.500266457658449	ubiquitin-protein transferase activity
GO:0019787	0.500266457658449	ubiquitin-like protein transferase activity
GO:0020037	0.478129228994774	heme binding
GO:1901565	0.468511716208418	organonitrogen compound catabolic process
GO:0046906	0.45886367170432	tetrapyrrole binding
GO:0008104	0.423635221289548	protein localization
GO:0015031	0.423635221289548	protein transport
GO:0045184	0.423635221289548	establishment of protein localization
GO:0046903	0.41206914799436	secretion
GO:0006113	0.399304255118046	fermentation
GO:0009063	0.399304255118046	cellular amino acid catabolic process
GO:0019665	0.399304255118046	anaerobic amino acid catabolic process
GO:0019666	0.399304255118046	nitrogenous compound fermentation
GO:0019670	0.399304255118046	anaerobic glutamate catabolic process
GO:0008817	0.399304255118046	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0050097	0.399304255118046	methylaspartate mutase activity
GO:0005509	0.398054626223941	calcium ion binding
GO:0008484	0.384736744970295	sulfuric ester hydrolase activity
GO:0003729	0.356672850930992	mRNA binding
GO:0071705	0.346537737142951	nitrogen compound transport
GO:0009306	0.327888053541779	protein secretion
GO:0032940	0.327888053541779	secretion by cell
GO:0035592	0.327888053541779	establishment of protein localization to extracellular region
GO:0071692	0.327888053541779	protein localization to extracellular region
GO:0140352	0.327888053541779	export from cell
GO:0006979	0.325022484493705	response to oxidative stress
GO:0044403	0.307726167425085	biological process involved in symbiotic interaction
GO:0051537	0.302815745717472	2 iron, 2 sulfur cluster binding
GO:0042578	0.300649113567472	phosphoric ester hydrolase activity
GO:0065003	0.293613912872098	protein-containing complex assembly
GO:0004601	0.288350508380338	peroxidase activity
GO:0071949	0.286844198193281	FAD binding
GO:0006605	0.274615380783039	protein targeting
GO:0006886	0.274615380783039	intracellular protein transport
GO:0034613	0.274615380783039	cellular protein localization
GO:0046907	0.274615380783039	intracellular transport
GO:0051641	0.274615380783039	cellular localization
GO:0051649	0.274615380783039	establishment of localization in cell
GO:0070727	0.274615380783039	cellular macromolecule localization
GO:0007155	0.273191003795288	cell adhesion
GO:0016791	0.273100874245492	phosphatase activity
GO:0042995	0.268166684882987	cell projection
GO:0033036	0.267340519759091	macromolecule localization
GO:0009439	0.264851885473039	cyanate metabolic process
GO:0004089	0.264851885473039	carbonate dehydratase activity
GO:0006644	0.263528485438743	phospholipid metabolic process
