ann_term	q_val	annotation
GO:0015267	0.999833423653314	channel activity
GO:0022803	0.999833423653314	passive transmembrane transporter activity
GO:0006952	0.999832363921901	defense response
GO:0043207	0.999832363921901	response to external biotic stimulus
GO:0051707	0.999832363921901	response to other organism
GO:0015288	0.999442775955859	porin activity
GO:0022829	0.999442775955859	wide pore channel activity
GO:0098655	0.999442775955859	cation transmembrane transport
GO:0098660	0.999442775955859	inorganic ion transmembrane transport
GO:0098662	0.999442775955859	inorganic cation transmembrane transport
GO:0043213	0.995138513967175	bacteriocin transport
GO:0006163	0.994270035499546	purine nucleotide metabolic process
GO:0072521	0.994270035499546	purine-containing compound metabolic process
GO:0006259	0.994270035499546	DNA metabolic process
GO:0043226	0.994270035499546	organelle
GO:0000270	0.994270035499546	peptidoglycan metabolic process
GO:0006022	0.994270035499546	aminoglycan metabolic process
GO:0030203	0.994270035499546	glycosaminoglycan metabolic process
GO:0004601	0.994270035499546	peroxidase activity
GO:0042886	0.993601754240273	amide transport
GO:0015740	0.993601754240273	C4-dicarboxylate transport
GO:0015556	0.993601754240273	C4-dicarboxylate transmembrane transporter activity
GO:0006026	0.99210118559263	aminoglycan catabolic process
GO:0006027	0.99210118559263	glycosaminoglycan catabolic process
GO:0009253	0.99210118559263	peptidoglycan catabolic process
GO:1901136	0.99210118559263	carbohydrate derivative catabolic process
GO:0061783	0.99210118559263	peptidoglycan muralytic activity
GO:0015675	0.99210118559263	nickel cation transport
GO:0035444	0.99210118559263	nickel cation transmembrane transport
GO:0015099	0.99210118559263	nickel cation transmembrane transporter activity
GO:0015562	0.99145691205168	efflux transmembrane transporter activity
GO:0016638	0.990553227948608	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0008408	0.986238425208741	3'-5' exonuclease activity
GO:0046915	0.986238425208741	transition metal ion transmembrane transporter activity
GO:0009404	0.984598988437949	toxin metabolic process
GO:0015294	0.984598988437949	solute:cation symporter activity
GO:0016741	0.982741483571103	transferase activity, transferring one-carbon groups
GO:0003333	0.981804198948579	amino acid transmembrane transport
GO:0043228	0.98007080133107	non-membrane-bounded organelle
GO:0000041	0.976426906494735	transition metal ion transport
GO:0009123	0.974893725720488	nucleoside monophosphate metabolic process
GO:0009124	0.974893725720488	nucleoside monophosphate biosynthetic process
GO:0009126	0.974893725720488	purine nucleoside monophosphate metabolic process
GO:0009127	0.974893725720488	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.974893725720488	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.974893725720488	ribonucleoside monophosphate metabolic process
GO:0009167	0.974893725720488	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.974893725720488	purine ribonucleoside monophosphate biosynthetic process
GO:0006260	0.974893725720488	DNA replication
GO:0044267	0.974893725720488	cellular protein metabolic process
GO:0019634	0.973783225806737	organic phosphonate metabolic process
GO:0043648	0.967237189767335	dicarboxylic acid metabolic process
GO:0005351	0.967216357061837	carbohydrate:proton symporter activity
GO:0005402	0.967216357061837	carbohydrate:cation symporter activity
GO:0015078	0.967216357061837	proton transmembrane transporter activity
GO:0015295	0.967216357061837	solute:proton symporter activity
GO:0004521	0.961809814964447	endoribonuclease activity
GO:0019700	0.961195643345486	organic phosphonate catabolic process
GO:0005618	0.955210321846002	cell wall
GO:0003896	0.955210321846002	DNA primase activity
GO:0006004	0.950144919186463	fucose metabolic process
GO:0008736	0.950144919186463	L-fucose isomerase activity
GO:0043412	0.949881506951728	macromolecule modification
GO:0009150	0.947900444759531	purine ribonucleotide metabolic process
GO:0009259	0.947900444759531	ribonucleotide metabolic process
GO:0019693	0.947900444759531	ribose phosphate metabolic process
GO:1904680	0.947900444759531	peptide transmembrane transporter activity
GO:0006865	0.944968099729494	amino acid transport
GO:0008914	0.944060511033967	leucyltransferase activity
GO:0016755	0.944060511033967	aminoacyltransferase activity
GO:0050896	0.935968846420056	response to stimulus
GO:0015079	0.934376526200469	potassium ion transmembrane transporter activity
GO:0051276	0.929320446110261	chromosome organization
GO:0008658	0.92636323959336	penicillin binding
GO:0033218	0.92636323959336	amide binding
