ann_term	CC	annotation
GO:0004842	0.595217540850158	ubiquitin-protein transferase activity
GO:0019787	0.595217540850158	ubiquitin-like protein transferase activity
GO:0019627	0.59421428372915	urea metabolic process
GO:0043419	0.59421428372915	urea catabolic process
GO:0032880	0.57981973292465	regulation of protein localization
GO:0050708	0.57981973292465	regulation of protein secretion
GO:0051046	0.57981973292465	regulation of secretion
GO:0051223	0.57981973292465	regulation of protein transport
GO:0070201	0.57981973292465	regulation of establishment of protein localization
GO:1903530	0.57981973292465	regulation of secretion by cell
GO:0004197	0.573984930463391	cysteine-type endopeptidase activity
GO:0043605	0.530799002449089	cellular amide catabolic process
GO:0016567	0.500849188463041	protein ubiquitination
GO:0032446	0.500849188463041	protein modification by small protein conjugation
GO:0070647	0.500849188463041	protein modification by small protein conjugation or removal
GO:0032879	0.4802316295713	regulation of localization
GO:0051049	0.4802316295713	regulation of transport
GO:0016151	0.40654675611679	nickel cation binding
GO:0008104	0.377638587248872	protein localization
GO:0015031	0.377638587248872	protein transport
GO:0045184	0.377638587248872	establishment of protein localization
GO:0008234	0.376983625592042	cysteine-type peptidase activity
GO:0046903	0.374743156142458	secretion
GO:0005509	0.365297503133004	calcium ion binding
GO:0006113	0.357116152109292	fermentation
GO:0009063	0.357116152109292	cellular amino acid catabolic process
GO:0019665	0.357116152109292	anaerobic amino acid catabolic process
GO:0019666	0.357116152109292	nitrogenous compound fermentation
GO:0019670	0.357116152109292	anaerobic glutamate catabolic process
GO:0008817	0.357116152109292	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0050097	0.357116152109292	methylaspartate mutase activity
GO:0044403	0.34630165311408	biological process involved in symbiotic interaction
GO:0071705	0.332021992549253	nitrogen compound transport
GO:0009306	0.324985123750582	protein secretion
GO:0032940	0.324985123750582	secretion by cell
GO:0035592	0.324985123750582	establishment of protein localization to extracellular region
GO:0071692	0.324985123750582	protein localization to extracellular region
GO:0140352	0.324985123750582	export from cell
GO:1901565	0.317748185427372	organonitrogen compound catabolic process
GO:0006605	0.317133677598022	protein targeting
GO:0006886	0.317133677598022	intracellular protein transport
GO:0034613	0.317133677598022	cellular protein localization
GO:0046907	0.317133677598022	intracellular transport
GO:0051641	0.317133677598022	cellular localization
GO:0051649	0.317133677598022	establishment of localization in cell
GO:0070727	0.317133677598022	cellular macromolecule localization
GO:0003729	0.314748121201107	mRNA binding
