ann_term	CC	annotation
GO:0016998	1.0172839811099e-14	cell wall macromolecule catabolic process
GO:0044036	1.0172839811099e-14	cell wall macromolecule metabolic process
GO:0044265	1.79160078879036e-14	cellular macromolecule catabolic process
GO:0006026	5.91726098491151e-13	aminoglycan catabolic process
GO:0006022	6.27265630012682e-13	aminoglycan metabolic process
GO:1901136	9.04778336674256e-13	carbohydrate derivative catabolic process
GO:0009057	1.63951460458121e-12	macromolecule catabolic process
GO:0003796	2.16277001101208e-12	lysozyme activity
GO:0016032	3.72492283877411e-12	viral process
GO:0019058	3.72492283877411e-12	viral life cycle
GO:1901565	1.95556872685068e-11	organonitrogen compound catabolic process
GO:0071554	5.09194891401482e-11	cell wall organization or biogenesis
GO:0007165	7.87123257144669e-11	signal transduction
GO:0044248	1.01982449741527e-10	cellular catabolic process
GO:0023052	1.32116395560685e-10	signaling
GO:0006027	3.54596027651137e-10	glycosaminoglycan catabolic process
GO:0009253	3.54596027651137e-10	peptidoglycan catabolic process
GO:0061783	3.54596027651137e-10	peptidoglycan muralytic activity
GO:0007154	4.75787236675767e-10	cell communication
GO:0000270	4.78691768065e-10	peptidoglycan metabolic process
GO:0030203	4.78691768065e-10	glycosaminoglycan metabolic process
GO:0019835	5.14027899753382e-10	cytolysis
GO:1901575	6.00222623732289e-10	organic substance catabolic process
GO:0019076	6.9429866872811e-10	viral release from host cell
GO:0035890	6.9429866872811e-10	exit from host
GO:0035891	6.9429866872811e-10	exit from host cell
GO:0052126	6.9429866872811e-10	movement in host environment
GO:0008767	2.69734549839156e-09	UDP-galactopyranose mutase activity
GO:0016811	3.23560199301003e-09	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0051701	4.85757297008065e-09	biological process involved in interaction with host
GO:0019068	8.94403408065187e-09	virion assembly
GO:0016462	1.3415346720234e-08	pyrophosphatase activity
GO:0044403	1.42483589849768e-08	biological process involved in symbiotic interaction
GO:0016903	2.80590784385137e-08	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0009056	3.3247609286872e-08	catabolic process
GO:0016746	4.22704011469189e-08	acyltransferase activity
GO:0035556	4.5250978098969e-08	intracellular signal transduction
GO:0045333	4.76699767862143e-08	cellular respiration
GO:0008745	4.848147340486e-08	N-acetylmuramoyl-L-alanine amidase activity
GO:0000160	5.13520313316437e-08	phosphorelay signal transduction system
GO:0016817	6.21187608424116e-08	hydrolase activity, acting on acid anhydrides
GO:0015980	7.75299243668573e-08	energy derivation by oxidation of organic compounds
GO:0016818	7.91202348849706e-08	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016021	8.50288063828e-08	integral component of membrane
GO:0031224	8.50288063828e-08	intrinsic component of membrane
GO:0017111	8.66271393692406e-08	nucleoside-triphosphatase activity
GO:0005488	2.3325449933931e-07	binding
GO:0098796	3.12503590457913e-07	membrane protein complex
GO:0008483	3.14135132747068e-07	transaminase activity
GO:0016769	3.15564052950877e-07	transferase activity, transferring nitrogenous groups
GO:0009451	3.17585630699884e-07	RNA modification
GO:0003676	3.40848576694858e-07	nucleic acid binding
GO:0003677	3.80333984815985e-07	DNA binding
GO:0009060	4.7298459840912e-07	aerobic respiration
GO:0006793	7.74098501961969e-07	phosphorus metabolic process
GO:0043190	8.34868860764993e-07	ATP-binding cassette (ABC) transporter complex
GO:0098533	8.34868860764993e-07	ATPase dependent transmembrane transport complex
GO:0055085	8.39232810447578e-07	transmembrane transport
GO:0006091	8.39954109210548e-07	generation of precursor metabolites and energy
GO:0098797	8.84223490759389e-07	plasma membrane protein complex
GO:1902495	8.84223490759389e-07	transmembrane transporter complex
GO:1990351	8.84223490759389e-07	transporter complex
