ann_term	q_val	annotation
GO:0015833	0.980112413741749	peptide transport
GO:0032879	0.977312858677728	regulation of localization
GO:0051049	0.977312858677728	regulation of transport
GO:0046873	0.961755742928297	metal ion transmembrane transporter activity
GO:0022890	0.948997870555225	inorganic cation transmembrane transporter activity
GO:0051537	0.948997870555225	2 iron, 2 sulfur cluster binding
GO:0030255	0.944829852969142	protein secretion by the type IV secretion system
GO:0044097	0.944829852969142	secretion by the type IV secretion system
GO:0001906	0.93305814481629	cell killing
GO:0031640	0.93305814481629	killing of cells of another organism
GO:0044179	0.93305814481629	hemolysis in another organism
GO:0051715	0.93305814481629	cytolysis in another organism
GO:0004252	0.906534139610803	serine-type endopeptidase activity
GO:0007010	0.900334403642779	cytoskeleton organization
GO:0010638	0.900334403642779	positive regulation of organelle organization
GO:0051130	0.900334403642779	positive regulation of cellular component organization
GO:0051493	0.900334403642779	regulation of cytoskeleton organization
GO:0051495	0.900334403642779	positive regulation of cytoskeleton organization
GO:0009237	0.89359356009111	siderophore metabolic process
GO:0019290	0.89359356009111	siderophore biosynthetic process
GO:0042886	0.890479040751596	amide transport
GO:0006644	0.877711204368047	phospholipid metabolic process
GO:0008654	0.877711204368047	phospholipid biosynthetic process
GO:0008270	0.872031991101735	zinc ion binding
GO:0008375	0.856310538143929	acetylglucosaminyltransferase activity
GO:0016799	0.853156997779872	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0006468	0.833894787530826	protein phosphorylation
GO:0016741	0.833894787530826	transferase activity, transferring one-carbon groups
GO:0042578	0.833894787530826	phosphoric ester hydrolase activity
GO:0009605	0.822126285688373	response to external stimulus
GO:0030288	0.822126285688373	outer membrane-bounded periplasmic space
GO:0071941	0.816465680196285	nitrogen cycle metabolic process
GO:0008094	0.810372444154931	ATP-dependent activity, acting on DNA
GO:0006801	0.804286650693952	superoxide metabolic process
GO:0033043	0.804286650693952	regulation of organelle organization
GO:0072593	0.804286650693952	reactive oxygen species metabolic process
GO:0022607	0.799065178452629	cellular component assembly
GO:0048518	0.792989506427646	positive regulation of biological process
GO:0048522	0.792989506427646	positive regulation of cellular process
GO:0015926	0.785864258462679	glucosidase activity
GO:0050829	0.784500490003205	defense response to Gram-negative bacterium
GO:0065003	0.781704881084029	protein-containing complex assembly
GO:0015078	0.781704881084029	proton transmembrane transporter activity
GO:0008152	0.776068317667205	metabolic process
GO:0043605	0.763572565360928	cellular amide catabolic process
GO:0030030	0.757549592761735	cell projection organization
GO:0019538	0.745135711310417	protein metabolic process
GO:0000041	0.732782621705954	transition metal ion transport
GO:0009617	0.732141295634517	response to bacterium
GO:0042742	0.732141295634517	defense response to bacterium
GO:0015473	0.721272408731238	fimbrial usher porin activity
GO:0016999	0.72012300271626	antibiotic metabolic process
GO:0017000	0.72012300271626	antibiotic biosynthetic process
GO:0015703	0.718622468174409	chromate transport
GO:0015109	0.718622468174409	chromate transmembrane transporter activity
