ann_term	CC	annotation
GO:0016032	0.601898734177215	viral process
GO:0019058	0.601898734177215	viral life cycle
GO:0016998	0.589240506329114	cell wall macromolecule catabolic process
GO:0044036	0.589240506329114	cell wall macromolecule metabolic process
GO:0044265	0.585443037974684	cellular macromolecule catabolic process
GO:0006022	0.581012658227848	aminoglycan metabolic process
GO:0006026	0.579746835443038	aminoglycan catabolic process
GO:1901136	0.572151898734177	carbohydrate derivative catabolic process
GO:0019835	0.560759493670886	cytolysis
GO:0044403	0.551789922877309	biological process involved in symbiotic interaction
GO:0009057	0.54746835443038	macromolecule catabolic process
GO:0004842	0.547369417376228	ubiquitin-protein transferase activity
GO:0019787	0.547369417376228	ubiquitin-like protein transferase activity
GO:0051701	0.545454791730612	biological process involved in interaction with host
GO:0003796	0.544303797468354	lysozyme activity
GO:0019076	0.543554252386603	viral release from host cell
GO:0035890	0.543554252386603	exit from host
GO:0035891	0.543554252386603	exit from host cell
GO:0052126	0.543554252386603	movement in host environment
GO:1901565	0.534810126582278	organonitrogen compound catabolic process
GO:0000270	0.523417721518987	peptidoglycan metabolic process
GO:0030203	0.523417721518987	glycosaminoglycan metabolic process
GO:0006027	0.518354430379747	glycosaminoglycan catabolic process
GO:0009253	0.518354430379747	peptidoglycan catabolic process
GO:0061783	0.518354430379747	peptidoglycan muralytic activity
GO:0044419	0.501898734177215	biological process involved in interspecies interaction between organisms
GO:0044248	0.5	cellular catabolic process
GO:0003677	0.474683544303797	DNA binding
GO:0001897	0.469590641628689	cytolysis by symbiont of host cells
GO:0001907	0.469590641628689	killing by symbiont of host cells
GO:0019836	0.469590641628689	hemolysis by symbiont of host erythrocytes
GO:0030597	0.469590641628689	RNA glycosylase activity
GO:0030598	0.469590641628689	rRNA N-glycosylase activity
GO:0003676	0.468987341772152	nucleic acid binding
GO:0016567	0.468321619246611	protein ubiquitination
GO:0032446	0.468321619246611	protein modification by small protein conjugation
GO:0070647	0.468321619246611	protein modification by small protein conjugation or removal
GO:0019627	0.462645307440135	urea metabolic process
GO:0043419	0.462645307440135	urea catabolic process
GO:0019068	0.453063213985388	virion assembly
GO:0005488	0.45	binding
GO:0032880	0.443872698348781	regulation of protein localization
GO:0050708	0.443872698348781	regulation of protein secretion
GO:0051046	0.443872698348781	regulation of secretion
GO:0051223	0.443872698348781	regulation of protein transport
GO:0070201	0.443872698348781	regulation of establishment of protein localization
GO:1903530	0.443872698348781	regulation of secretion by cell
GO:0004197	0.441707465673909	cysteine-type endopeptidase activity
GO:0097159	0.440506329113924	organic cyclic compound binding
GO:1901363	0.440506329113924	heterocyclic compound binding
GO:0043170	0.426582278481013	macromolecule metabolic process
GO:0044260	0.417088607594937	cellular macromolecule metabolic process
GO:0071554	0.417088607594937	cell wall organization or biogenesis
GO:0006807	0.406962025316456	nitrogen compound metabolic process
GO:0006259	0.400632911392405	DNA metabolic process
GO:0006310	0.4	DNA recombination
GO:0000287	0.391772151898734	magnesium ion binding
GO:0009056	0.379746835443038	catabolic process
GO:0006950	0.374683544303797	response to stress
GO:0090304	0.374683544303797	nucleic acid metabolic process
GO:1901575	0.366455696202532	organic substance catabolic process
GO:0043565	0.356962025316456	sequence-specific DNA binding
GO:0009987	0.34873417721519	cellular process
