ann_term	q_val	annotation
GO:0015078	0.999566919455849	proton transmembrane transporter activity
GO:0008375	0.999566919455849	acetylglucosaminyltransferase activity
GO:0006275	0.998997089034634	regulation of DNA replication
GO:0004181	0.998997089034634	metallocarboxypeptidase activity
GO:0070402	0.998997089034634	NADPH binding
GO:0044781	0.998812651930229	bacterial-type flagellum organization
GO:0016893	0.998212192703071	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0070566	0.996623402263384	adenylyltransferase activity
GO:0009636	0.984452040970942	response to toxic substance
GO:0005216	0.981171859867881	ion channel activity
GO:0016741	0.978135374916667	transferase activity, transferring one-carbon groups
GO:0009294	0.975513611867	DNA-mediated transformation
GO:0009617	0.970086113733603	response to bacterium
GO:0042742	0.970086113733603	defense response to bacterium
GO:0010035	0.970021252307239	response to inorganic substance
GO:0010038	0.970021252307239	response to metal ion
GO:0048518	0.968643061958672	positive regulation of biological process
GO:0048522	0.968643061958672	positive regulation of cellular process
GO:0006040	0.965668956266003	amino sugar metabolic process
GO:0008198	0.965479121232231	ferrous iron binding
GO:0015833	0.962683770850142	peptide transport
GO:0022607	0.96199573126063	cellular component assembly
GO:0033043	0.960558752761638	regulation of organelle organization
GO:0043462	0.957276602784178	regulation of ATP-dependent activity
GO:0065009	0.957276602784178	regulation of molecular function
GO:0015093	0.955695583624918	ferrous iron transmembrane transporter activity
GO:0007010	0.951670109813386	cytoskeleton organization
GO:0010638	0.951670109813386	positive regulation of organelle organization
GO:0051130	0.951670109813386	positive regulation of cellular component organization
GO:0051493	0.951670109813386	regulation of cytoskeleton organization
GO:0051495	0.951670109813386	positive regulation of cytoskeleton organization
GO:0008882	0.944945055252292	[glutamate-ammonia-ligase] adenylyltransferase activity
GO:0008113	0.944295508126823	peptide-methionine (S)-S-oxide reductase activity
GO:0022890	0.943671839263509	inorganic cation transmembrane transporter activity
GO:0003747	0.943572827415828	translation release factor activity
GO:0008079	0.943572827415828	translation termination factor activity
