ann_term	CC	annotation
GO:0016998	0.857753470831045	cell wall macromolecule catabolic process
GO:0044036	0.857753470831045	cell wall macromolecule metabolic process
GO:0006026	0.845664364165333	aminoglycan catabolic process
GO:0006022	0.84488178878693	aminoglycan metabolic process
GO:1901136	0.842210161083503	carbohydrate derivative catabolic process
GO:0044265	0.837840123681471	cellular macromolecule catabolic process
GO:0003796	0.833655775256841	lysozyme activity
GO:0019835	0.831047729462423	cytolysis
GO:1901565	0.826875029349403	organonitrogen compound catabolic process
GO:0019076	0.82105381119305	viral release from host cell
GO:0035890	0.82105381119305	exit from host
GO:0035891	0.82105381119305	exit from host cell
GO:0052126	0.82105381119305	movement in host environment
GO:0051701	0.818174448338038	biological process involved in interaction with host
GO:0006027	0.817038954004305	glycosaminoglycan catabolic process
GO:0009253	0.817038954004305	peptidoglycan catabolic process
GO:0061783	0.817038954004305	peptidoglycan muralytic activity
GO:0009057	0.815811216522251	macromolecule catabolic process
GO:0000270	0.815560899504532	peptidoglycan metabolic process
GO:0030203	0.815560899504532	glycosaminoglycan metabolic process
GO:0016032	0.802737209405369	viral process
GO:0019058	0.802737209405369	viral life cycle
GO:0044419	0.800067909985643	biological process involved in interspecies interaction between organisms
GO:0044403	0.798862494652061	biological process involved in symbiotic interaction
GO:0044248	0.749413333615005	cellular catabolic process
GO:0004842	0.73806550372376	ubiquitin-protein transferase activity
GO:0019787	0.73806550372376	ubiquitin-like protein transferase activity
GO:0071554	0.71201741685359	cell wall organization or biogenesis
GO:0019627	0.697815614061541	urea metabolic process
GO:0043419	0.697815614061541	urea catabolic process
GO:0032880	0.683331071802556	regulation of protein localization
GO:0050708	0.683331071802556	regulation of protein secretion
GO:0051046	0.683331071802556	regulation of secretion
GO:0051223	0.683331071802556	regulation of protein transport
GO:0070201	0.683331071802556	regulation of establishment of protein localization
GO:1903530	0.683331071802556	regulation of secretion by cell
GO:0001897	0.680169242932403	cytolysis by symbiont of host cells
GO:0001907	0.680169242932403	killing by symbiont of host cells
GO:0019836	0.680169242932403	hemolysis by symbiont of host erythrocytes
GO:0030597	0.680169242932403	RNA glycosylase activity
GO:0030598	0.680169242932403	rRNA N-glycosylase activity
GO:0000287	0.661108541128624	magnesium ion binding
GO:0005488	0.656540742350171	binding
GO:0016567	0.652255687344806	protein ubiquitination
GO:0032446	0.652255687344806	protein modification by small protein conjugation
GO:0070647	0.652255687344806	protein modification by small protein conjugation or removal
GO:0008907	0.649844482703212	integrase activity
GO:0016151	0.638009669644283	nickel cation binding
GO:1901575	0.633030622465445	organic substance catabolic process
GO:0004197	0.618659701478407	cysteine-type endopeptidase activity
GO:0019068	0.618087883041338	virion assembly
GO:0009056	0.612122295512166	catabolic process
GO:0003676	0.609689716301865	nucleic acid binding
GO:0043605	0.607812892308461	cellular amide catabolic process
GO:0006950	0.602922583741899	response to stress
GO:0140102	0.598794093629908	catalytic activity, acting on a rRNA
GO:0003677	0.591325541889205	DNA binding
GO:0071941	0.584286078932564	nitrogen cycle metabolic process
GO:0097159	0.574532845215653	organic cyclic compound binding
GO:1901363	0.574532845215653	heterocyclic compound binding
GO:0043242	0.555671802794509	negative regulation of protein-containing complex disassembly
GO:0051129	0.555671802794509	negative regulation of cellular component organization
GO:0060567	0.555671802794509	negative regulation of DNA-templated transcription, termination
GO:0009987	0.546641282539794	cellular process
GO:0008234	0.535988961433192	cysteine-type peptidase activity
GO:0006270	0.533024093822106	DNA replication initiation
GO:0140096	0.530831361441674	catalytic activity, acting on a protein
GO:0043170	0.526068071381357	macromolecule metabolic process
GO:0032879	0.52320613851638	regulation of localization
GO:0051049	0.52320613851638	regulation of transport
GO:0006261	0.518101340706527	DNA-templated DNA replication
GO:0044260	0.517313061819731	cellular macromolecule metabolic process
GO:0006807	0.515346906739172	nitrogen compound metabolic process
GO:0017148	0.508661076253725	negative regulation of translation
GO:0032269	0.508661076253725	negative regulation of cellular protein metabolic process
GO:0034249	0.508661076253725	negative regulation of cellular amide metabolic process
GO:0051248	0.508661076253725	negative regulation of protein metabolic process
GO:2000113	0.508661076253725	negative regulation of cellular macromolecule biosynthetic process
GO:0009890	0.502648591320078	negative regulation of biosynthetic process
GO:0010558	0.502648591320078	negative regulation of macromolecule biosynthetic process
GO:0031324	0.502648591320078	negative regulation of cellular metabolic process
GO:0031327	0.502648591320078	negative regulation of cellular biosynthetic process
GO:0051172	0.502648591320078	negative regulation of nitrogen compound metabolic process
GO:0006974	0.498536468206912	cellular response to DNA damage stimulus
GO:0009892	0.496353149707036	negative regulation of metabolic process
GO:0010605	0.496353149707036	negative regulation of macromolecule metabolic process
GO:0033554	0.491383062461931	cellular response to stress
GO:0010629	0.489685615537401	negative regulation of gene expression
GO:0043565	0.487476905286266	sequence-specific DNA binding
GO:0006979	0.485620620593191	response to oxidative stress
GO:0006310	0.485610191442378	DNA recombination
GO:0090305	0.483415863646029	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.483415863646029	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.483415863646029	5'-3' exonuclease activity
GO:0035312	0.483415863646029	5'-3' exodeoxyribonuclease activity
GO:0051908	0.483415863646029	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0048523	0.474065970182901	negative regulation of cellular process
GO:0006417	0.469408563253101	regulation of translation
GO:0010608	0.469408563253101	post-transcriptional regulation of gene expression
GO:0032268	0.469408563253101	regulation of cellular protein metabolic process
GO:0034248	0.469408563253101	regulation of cellular amide metabolic process
GO:0051246	0.469408563253101	regulation of protein metabolic process
GO:2000112	0.469408563253101	regulation of cellular macromolecule biosynthetic process
GO:0046872	0.46889056673141	metal ion binding
GO:0048519	0.467154357680343	negative regulation of biological process
GO:0006281	0.464837106031328	DNA repair
GO:0006259	0.464585887781616	DNA metabolic process
GO:0006801	0.453336605290684	superoxide metabolic process
GO:0072593	0.453336605290684	reactive oxygen species metabolic process
GO:0031554	0.449000918171543	regulation of DNA-templated transcription, termination
GO:0043244	0.449000918171543	regulation of protein-containing complex disassembly
GO:0004536	0.448940931834597	deoxyribonuclease activity
GO:0006260	0.437218556099822	DNA replication
GO:0090304	0.434995223789742	nucleic acid metabolic process
GO:0004529	0.434631460349112	exodeoxyribonuclease activity
GO:0016796	0.434631460349112	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016895	0.434631460349112	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0060703	0.433346777573331	deoxyribonuclease inhibitor activity
GO:0140721	0.433346777573331	nuclease inhibitor activity
GO:0006353	0.429681207058382	DNA-templated transcription, termination
GO:0008150	0.429596628567697	biological_process
GO:0044237	0.424637273266358	cellular metabolic process
GO:0046903	0.420276184095428	secretion
GO:0015074	0.411231024628472	DNA integration
GO:0003697	0.408653259175654	single-stranded DNA binding
GO:0034641	0.408249077328527	cellular nitrogen compound metabolic process
GO:0016798	0.406629423127275	hydrolase activity, acting on glycosyl bonds
GO:0006139	0.406344794887266	nucleobase-containing compound metabolic process
GO:0006113	0.400126328214744	fermentation
GO:0019665	0.400126328214744	anaerobic amino acid catabolic process
GO:0019666	0.400126328214744	nitrogenous compound fermentation
GO:0019670	0.400126328214744	anaerobic glutamate catabolic process
GO:0050097	0.400126328214744	methylaspartate mutase activity
GO:0016799	0.397679646824137	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0005198	0.391771219489244	structural molecule activity
GO:0043169	0.388914958813316	cation binding
GO:0051276	0.388822987098849	chromosome organization
GO:0045892	0.387396682913678	negative regulation of transcription, DNA-templated
GO:0045934	0.387396682913678	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.387396682913678	negative regulation of RNA metabolic process
GO:1902679	0.387396682913678	negative regulation of RNA biosynthetic process
GO:1903507	0.387396682913678	negative regulation of nucleic acid-templated transcription
GO:0006725	0.385930820734518	cellular aromatic compound metabolic process
GO:0046483	0.383136411645103	heterocycle metabolic process
GO:0005509	0.38007398205569	calcium ion binding
GO:1901360	0.379173738549316	organic cyclic compound metabolic process
GO:0008104	0.377022449318302	protein localization
GO:0015031	0.377022449318302	protein transport
GO:0045184	0.377022449318302	establishment of protein localization
GO:0008817	0.368797671131503	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0004601	0.367018224036088	peroxidase activity
GO:0022411	0.366414073979676	cellular component disassembly
GO:0032984	0.366414073979676	protein-containing complex disassembly
GO:0004553	0.363825120544156	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0032775	0.361614206288317	DNA methylation on adenine
GO:0009007	0.361614206288317	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.361614206288317	DNA-methyltransferase activity
GO:0009061	0.360076388252891	anaerobic respiration
GO:0019645	0.360076388252891	anaerobic electron transport chain
GO:0016788	0.348761954473313	hydrolase activity, acting on ester bonds
GO:0003729	0.347235804935249	mRNA binding
GO:0006305	0.334902023686983	DNA alkylation
GO:0006306	0.334902023686983	DNA methylation
GO:0044728	0.334902023686983	DNA methylation or demethylation
GO:0009306	0.333340540975947	protein secretion
GO:0032940	0.333340540975947	secretion by cell
GO:0035592	0.333340540975947	establishment of protein localization to extracellular region
GO:0071692	0.333340540975947	protein localization to extracellular region
GO:0140352	0.333340540975947	export from cell
GO:0004518	0.33113645485688	nuclease activity
GO:0043414	0.326136393423887	macromolecule methylation
GO:0006605	0.32277792541846	protein targeting
GO:0006886	0.32277792541846	intracellular protein transport
GO:0034613	0.32277792541846	cellular protein localization
GO:0046907	0.32277792541846	intracellular transport
GO:0051641	0.32277792541846	cellular localization
GO:0051649	0.32277792541846	establishment of localization in cell
GO:0070727	0.32277792541846	cellular macromolecule localization
GO:0140097	0.319071529863447	catalytic activity, acting on DNA
GO:0016043	0.316540682491794	cellular component organization
GO:0004527	0.313871474964892	exonuclease activity
GO:0006464	0.31295299108638	cellular protein modification process
GO:0036211	0.31295299108638	protein modification process
GO:0032259	0.308625341827119	methylation
GO:0043933	0.30830488586927	protein-containing complex organization
GO:0008757	0.307842706449315	S-adenosylmethionine-dependent methyltransferase activity
GO:0006996	0.302580456595985	organelle organization
GO:0009063	0.296270338426465	cellular amino acid catabolic process
GO:0046906	0.293028904519532	tetrapyrrole binding
GO:0071704	0.292908364809842	organic substance metabolic process
GO:0140640	0.290007576826489	catalytic activity, acting on a nucleic acid
GO:0008484	0.283746501731638	sulfuric ester hydrolase activity
GO:0003896	0.280998672536499	DNA primase activity
GO:0020037	0.280788790459027	heme binding
GO:0071840	0.277731538872081	cellular component organization or biogenesis
GO:1901135	0.277643231524307	carbohydrate derivative metabolic process
GO:0005576	0.276320234524706	extracellular region
GO:0051537	0.271569447696712	2 iron, 2 sulfur cluster binding
GO:0008171	0.270787712208508	O-methyltransferase activity
GO:0004803	0.264690879139883	transposase activity
GO:0006313	0.25436067025581	transposition, DNA-mediated
GO:0032196	0.25436067025581	transposition
GO:0008233	0.251864689024885	peptidase activity
GO:0019069	0.240793843081044	viral capsid assembly
GO:0009439	0.238215497504361	cyanate metabolic process
GO:0004519	0.235730716329094	endonuclease activity
GO:0006508	0.235442294407344	proteolysis
GO:0044238	0.232836821463823	primary metabolic process
GO:0004857	0.231833395861677	enzyme inhibitor activity
GO:0007155	0.21684399092392	cell adhesion
GO:0004089	0.206898175227433	carbonate dehydratase activity
GO:0001906	0.206305591073102	cell killing
GO:0031640	0.206305591073102	killing of cells of another organism
GO:0044179	0.206305591073102	hemolysis in another organism
GO:0051715	0.206305591073102	cytolysis in another organism
GO:0015700	0.202973755909566	arsenite transport
GO:0015105	0.202973755909566	arsenite transmembrane transporter activity
GO:0071705	0.201843513382308	nitrogen compound transport
GO:0016805	0.19812826326469	dipeptidase activity
GO:0051128	0.196469757835357	regulation of cellular component organization
GO:0033036	0.196335358147123	macromolecule localization
GO:0042995	0.196203319605098	cell projection
GO:0022900	0.195546165336626	electron transport chain
GO:0031419	0.193732018072314	cobalamin binding
GO:0004386	0.193161955373527	helicase activity
GO:0015293	0.191305327539854	symporter activity
GO:0022611	0.190280903399101	dormancy process
GO:0019203	0.189707591559998	carbohydrate phosphatase activity
GO:0042132	0.189707591559998	fructose 1,6-bisphosphate 1-phosphatase activity
GO:0050308	0.189707591559998	sugar-phosphatase activity
GO:0005727	0.187548315036327	extrachromosomal circular DNA
GO:0046821	0.187548315036327	extrachromosomal DNA
GO:0016787	0.185955494895462	hydrolase activity
GO:0071555	0.176280722782876	cell wall organization
GO:0005351	0.173432813460721	carbohydrate:proton symporter activity
GO:0005402	0.173432813460721	carbohydrate:cation symporter activity
GO:0015295	0.173432813460721	solute:proton symporter activity
GO:0009289	0.167323905626346	pilus
GO:0008170	0.165193149846528	N-methyltransferase activity
GO:0045229	0.164032798648615	external encapsulating structure organization
GO:0051607	0.164023795617551	defense response to virus
GO:0140546	0.164023795617551	defense response to symbiont
GO:0006644	0.161124005193147	phospholipid metabolic process
GO:0008654	0.161124005193147	phospholipid biosynthetic process
GO:0009432	0.159009236511355	SOS response
GO:0016684	0.157867500565229	oxidoreductase activity, acting on peroxide as acceptor
GO:0009991	0.154242077372877	response to extracellular stimulus
GO:0031668	0.154242077372877	cellular response to extracellular stimulus
GO:0071496	0.154242077372877	cellular response to external stimulus
GO:0006276	0.151736766016214	plasmid maintenance
