ann_term	q_val	annotation
GO:0015833	0.980444944635145	peptide transport
GO:0001906	0.953707616089103	cell killing
GO:0031640	0.953707616089103	killing of cells of another organism
GO:0044179	0.953707616089103	hemolysis in another organism
GO:0051715	0.953707616089103	cytolysis in another organism
GO:0022890	0.919470914525187	inorganic cation transmembrane transporter activity
GO:0042578	0.915675950870762	phosphoric ester hydrolase activity
GO:0016799	0.91434850169307	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0008270	0.910385778418504	zinc ion binding
GO:0030255	0.892478310115736	protein secretion by the type IV secretion system
GO:0044097	0.892478310115736	secretion by the type IV secretion system
GO:0000041	0.891419545203587	transition metal ion transport
GO:0042886	0.890412104048222	amide transport
GO:0046873	0.890390599292819	metal ion transmembrane transporter activity
GO:0007010	0.877374989630118	cytoskeleton organization
GO:0010638	0.877374989630118	positive regulation of organelle organization
GO:0051130	0.877374989630118	positive regulation of cellular component organization
GO:0051493	0.877374989630118	regulation of cytoskeleton organization
GO:0051495	0.877374989630118	positive regulation of cytoskeleton organization
GO:0065003	0.876594485419908	protein-containing complex assembly
GO:0008375	0.855939672389365	acetylglucosaminyltransferase activity
GO:0022607	0.855193640930208	cellular component assembly
GO:0008094	0.841906209069529	ATP-dependent activity, acting on DNA
GO:0051537	0.841374455541223	2 iron, 2 sulfur cluster binding
GO:0016741	0.83463821876564	transferase activity, transferring one-carbon groups
GO:0004252	0.794849878822127	serine-type endopeptidase activity
GO:0006644	0.793017160626764	phospholipid metabolic process
GO:0008654	0.793017160626764	phospholipid biosynthetic process
GO:0015926	0.791655234223499	glucosidase activity
GO:0006801	0.782370479320613	superoxide metabolic process
GO:0072593	0.782370479320613	reactive oxygen species metabolic process
GO:0033043	0.77357230071252	regulation of organelle organization
GO:0015473	0.771421603208241	fimbrial usher porin activity
GO:0050829	0.770680593731374	defense response to Gram-negative bacterium
GO:0048518	0.770003914995425	positive regulation of biological process
GO:0048522	0.770003914995425	positive regulation of cellular process
GO:0009605	0.761702680583511	response to external stimulus
GO:0030030	0.759873694668539	cell projection organization
GO:0009237	0.75391980853123	siderophore metabolic process
GO:0019290	0.75391980853123	siderophore biosynthetic process
GO:0008657	0.731629499750178	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity
GO:0042030	0.731629499750178	ATPase inhibitor activity
GO:0072586	0.731629499750178	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) regulator activity
GO:0140678	0.731629499750178	molecular function inhibitor activity
GO:0008152	0.731629499750178	metabolic process
GO:0015703	0.724106524218756	chromate transport
GO:0015109	0.724106524218756	chromate transmembrane transporter activity
GO:0016999	0.724106524218756	antibiotic metabolic process
GO:0017000	0.724106524218756	antibiotic biosynthetic process
GO:1901564	0.719741128252538	organonitrogen compound metabolic process
GO:0009617	0.719337895284553	response to bacterium
GO:0042742	0.719337895284553	defense response to bacterium
GO:0006468	0.709579892116424	protein phosphorylation
GO:0043546	0.709022382933809	molybdopterin cofactor binding
GO:0016836	0.707523455667208	hydro-lyase activity
GO:0016684	0.703204992545117	oxidoreductase activity, acting on peroxide as acceptor
GO:0019538	0.703204992545117	protein metabolic process
GO:0070840	0.698880549391699	dynein complex binding
GO:0030031	0.684390000666226	cell projection assembly
GO:0008237	0.675940339390965	metallopeptidase activity
GO:0060590	0.673375754850432	ATPase regulator activity
GO:0022853	0.656860128648015	active ion transmembrane transporter activity
GO:0015078	0.647168276330786	proton transmembrane transporter activity
GO:0043230	0.642872280135736	extracellular organelle
GO:0030288	0.642110810302792	outer membrane-bounded periplasmic space
GO:0016791	0.635209531901691	phosphatase activity
GO:0044085	0.622497613126998	cellular component biogenesis
GO:0006935	0.61999983489611	chemotaxis
GO:0042330	0.61999983489611	taxis
GO:0048038	0.614864813871544	quinone binding
