ann_term	CC	annotation
GO:0016032	0.788185654008439	viral process
GO:0019058	0.788185654008439	viral life cycle
GO:0016998	0.767112048757618	cell wall macromolecule catabolic process
GO:0044036	0.767112048757618	cell wall macromolecule metabolic process
GO:0044265	0.764088138771683	cellular macromolecule catabolic process
GO:0006022	0.759610876699484	aminoglycan metabolic process
GO:0006026	0.758415377402719	aminoglycan catabolic process
GO:1901136	0.750117205813408	carbohydrate derivative catabolic process
GO:0009057	0.721565869667136	macromolecule catabolic process
GO:0019835	0.718166901078294	cytolysis
GO:0003796	0.717533989685888	lysozyme activity
GO:1901565	0.711251758087201	organonitrogen compound catabolic process
GO:0044403	0.704963958310829	biological process involved in symbiotic interaction
GO:0051701	0.703627733729035	biological process involved in interaction with host
GO:0019076	0.700533318908038	viral release from host cell
GO:0035890	0.700533318908038	exit from host
GO:0035891	0.700533318908038	exit from host cell
GO:0052126	0.700533318908038	movement in host environment
GO:0000270	0.691584622597281	peptidoglycan metabolic process
GO:0030203	0.691584622597281	glycosaminoglycan metabolic process
GO:0006027	0.689099859353024	glycosaminoglycan catabolic process
GO:0009253	0.689099859353024	peptidoglycan catabolic process
GO:0061783	0.689099859353024	peptidoglycan muralytic activity
GO:0044419	0.676769807782466	biological process involved in interspecies interaction between organisms
GO:0004842	0.672351627299235	ubiquitin-protein transferase activity
GO:0019787	0.672351627299235	ubiquitin-like protein transferase activity
GO:0044248	0.672339428035631	cellular catabolic process
GO:0003677	0.662822315986873	DNA binding
GO:0003676	0.657501172058134	nucleic acid binding
GO:0019068	0.634567148958899	virion assembly
GO:0097159	0.634341303328645	organic cyclic compound binding
GO:1901363	0.634341303328645	heterocyclic compound binding
GO:0005488	0.622855133614627	binding
GO:0043170	0.615353961556493	macromolecule metabolic process
GO:0032880	0.598309919180963	regulation of protein localization
GO:0050708	0.598309919180963	regulation of protein secretion
GO:0051046	0.598309919180963	regulation of secretion
GO:0051223	0.598309919180963	regulation of protein transport
GO:0070201	0.598309919180963	regulation of establishment of protein localization
GO:1903530	0.598309919180963	regulation of secretion by cell
GO:0016567	0.597425525998585	protein ubiquitination
GO:0032446	0.597425525998585	protein modification by small protein conjugation
GO:0070647	0.597425525998585	protein modification by small protein conjugation or removal
GO:0004197	0.597380438869232	cysteine-type endopeptidase activity
