ann_term	q_val	annotation
PF00959	2.96260623866193e-09	Phage lysozyme
PF05521	1.17855651045831e-06	Phage head-tail joining protein
PF05939	1.17855651045831e-06	Phage minor tail protein
PF04883	1.17855651045831e-06	Bacteriophage HK97-gp10, putative tail-component
PF04971	1.17855651045831e-06	Bacteriophage P21 holin S
PF03275	1.25772317312737e-06	UDP-galactopyranose mutase
PF06163	1.25772317312737e-06	Bacterial protein of unknown function (DUF977)
PF11367	1.26585447662212e-06	Protein of unknown function (DUF3168)
PF05135	6.015665083791e-06	Phage gp6-like head-tail connector protein
PF03245	6.015665083791e-06	Bacteriophage Rz lysis protein
PF06316	6.78751470254302e-06	Enterobacterial Ail/Lom protein
PF05100	7.14944496672883e-06	Phage minor tail protein L
PF06222	7.14944496672883e-06	Phage tail assembly chaperone
PF00589	8.57516062809974e-06	Phage integrase family
PF04448	9.12149795403428e-06	Protein of unknown function (DUF551)
PF13227	9.69204893198201e-06	Protein of unknown function (DUF4035)
PF04586	9.69204893198201e-06	Caudovirus prohead serine protease
PF05065	1.74792453957696e-05	Phage capsid family
PF03354	1.85598521859882e-05	Phage Terminase
PF01863	2.93103210835966e-05	Protein of unknown function DUF45
PF06254	3.5153254801829e-05	Putative bacterial toxin ydaT
PF00877	3.5153254801829e-05	NlpC/P60 family
PF01381	3.5153254801829e-05	Helix-turn-helix
PF14464	4.04551917096037e-05	Prokaryotic homologs of the JAB domain
PF04313	4.14488605878172e-05	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	4.14488605878172e-05	N-acetylmuramoyl-L-alanine amidase
PF12167	4.14488605878172e-05	Arm DNA-binding domain
PF00857	4.31544968144511e-05	Isochorismatase family
PF05866	5.97914230861368e-05	Endodeoxyribonuclease RusA
PF03358	6.03979735869969e-05	NADPH-dependent FMN reductase
PF09327	6.82128031500049e-05	Domain of unknown function (DUF1983)
PF15943	6.85306796891155e-05	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF00717	8.33268721447371e-05	Peptidase S24-like
PF13450	9.86028607532083e-05	NAD(P)-binding Rossmann-like domain
PF04984	9.86028607532083e-05	Phage tail sheath protein subtilisin-like domain
PF17482	9.86028607532083e-05	Phage tail sheath C-terminal domain
PF08400	0.000106113937995902	Prophage tail fibre N-terminal
PF06147	0.000106113937995902	Protein of unknown function (DUF968)
PF01061	0.000130205823028377	ABC-2 type transporter
PF13102	0.000132033280330317	Phage integrase SAM-like domain
PF04860	0.000154943749835202	Phage portal protein
PF13935	0.000154943749835202	Ead/Ea22-like protein
PF00449	0.000169781612942044	Urease alpha-subunit, N-terminal domain
PF00547	0.000169781612942044	Urease, gamma subunit
PF00699	0.000169781612942044	Urease beta subunit
PF01219	0.000169781612942044	Prokaryotic diacylglycerol kinase
PF01730	0.000169781612942044	UreF
PF02814	0.000169781612942044	UreE urease accessory protein, N-terminal domain
PF05194	0.000169781612942044	UreE urease accessory protein, C-terminal domain
PF06069	0.000170767278681394	PerC transcriptional activator
PF05358	0.00020233987604272	DicB protein
PF09669	0.000231255243254989	Phage regulatory protein Rha (Phage_pRha)
PF06406	0.000233277881703075	StbA protein
PF07358	0.000233277881703075	Protein of unknown function (DUF1482)
PF04865	0.000233277881703075	Baseplate J-like protein
PF15958	0.000233277881703075	Domain of unknown function (DUF4761)
PF10548	0.000233277881703075	P22AR C-terminal domain
PF08410	0.000233277881703075	Domain of unknown function (DUF1737)
PF14659	0.000233277881703075	Phage integrase, N-terminal SAM-like domain
PF01844	0.000233277881703075	HNH endonuclease
PF15946	0.000233277881703075	Domain of unknown function (DUF4754)
PF06805	0.000233277881703075	Bacteriophage lambda tail assembly protein I
PF12008	0.000233277881703075	Type I restriction and modification enzyme - subunit R C terminal
PF12500	0.000233277881703075	TRSP domain C terminus to PRTase_2
PF14020	0.000233277881703075	Protein of unknown function (DUF4236)
PF15609	0.000233277881703075	Phosphoribosyl transferase
PF15617	0.000233277881703075	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.000233277881703075	ATP-grasp in the biosynthetic pathway with Ter operon
PF04985	0.000233277881703075	Phage tail tube protein FII
PF00656	0.000233277881703075	Caspase domain
PF01906	0.000233277881703075	Putative heavy-metal-binding
PF03243	0.000233277881703075	Alkylmercury lyase
PF03795	0.000233277881703075	YCII-related domain
PF04346	0.000233277881703075	Ethanolamine utilisation protein, EutH
PF04465	0.000233277881703075	Protein of unknown function (DUF499)
PF06303	0.000233277881703075	MatP N-terminal domain
PF06443	0.000233277881703075	SEF14-like adhesin
PF06634	0.000233277881703075	Protein of unknown function (DUF1156)
PF06672	0.000233277881703075	Protein of unknown function (DUF1175)
PF08406	0.000233277881703075	CbbQ/NirQ/NorQ C-terminal
PF09075	0.000233277881703075	Heat-stable enterotoxin B, secretory
PF09957	0.000233277881703075	Bacterial antitoxin of type II TA system, VapB
PF10706	0.000233277881703075	Aminoglycoside-2''-adenylyltransferase
PF10754	0.000233277881703075	Protein of unknown function (DUF2569)
PF11140	0.000233277881703075	Protein of unknown function (DUF2913)
PF12324	0.000233277881703075	Helix-turn-helix domain of alkylmercury lyase
PF12635	0.000233277881703075	Protein of unknown function (DUF3780)
PF13023	0.000233277881703075	HD domain
PF13290	0.000233277881703075	Chitobiase/beta-hexosaminidase C-terminal domain
PF14237	0.000233277881703075	Domain of unknown function (DUF4339)
PF14267	0.000233277881703075	Domain of unknown function (DUF4357)
PF14297	0.000233277881703075	Domain of unknown function (DUF4373)
PF07151	0.00025491523245245	Protein of unknown function (DUF1391)
PF03629	0.00025491523245245	Carbohydrate esterase, sialic acid-specific acetylesterase
PF05766	0.00025491523245245	Bacteriophage Lambda NinG protein
PF03433	0.00025491523245245	EspA-like secreted protein
PF03549	0.00025491523245245	Translocated intimin receptor (Tir) intimin-binding domain
PF05802	0.00025491523245245	Enterobacterial EspB protein
PF05932	0.00025491523245245	Tir chaperone protein (CesT) family
PF06066	0.00025491523245245	SepZ
PF06287	0.00025491523245245	Protein of unknown function (DUF1039)
PF06622	0.00025491523245245	SepQ protein
PF07489	0.00025491523245245	Translocated intimin receptor (Tir) C-terminus
PF07490	0.00025491523245245	Translocated intimin receptor (Tir) N-terminus
PF08988	0.00025491523245245	Type III secretion system, cytoplasmic E component of needle
PF09621	0.00025491523245245	Type III secretion system regulator (LcrR)
PF11439	0.00025491523245245	Type III secretion system filament chaperone CesA
PF13327	0.00025491523245245	Type III secretion system subunit
PF16693	0.00025491523245245	Inner membrane component of T3SS, periplasmic domain
PF05069	0.000289815077022984	Phage virion morphogenesis family
PF03278	0.000295371880049882	IpaB/EvcA family
PF08813	0.000295371880049882	Phage tail tube protein, TTP
PF10145	0.000297128231522652	Phage-related minor tail protein
PF06120	0.000299280525611912	Tail length tape measure protein
PF02600	0.000307123287270369	Disulfide bond formation protein DsbB
PF01297	0.000326713998830741	Zinc-uptake complex component A periplasmic
PF02413	0.000335335808508957	Caudovirales tail fibre assembly protein, lambda gpK
PF06995	0.000335335808508957	Phage P2 GpU
PF10784	0.000335335808508957	Plasmid stability protein
PF06416	0.000335335808508957	Effector protein NleG
PF09718	0.000335335808508957	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF05063	0.00038301508009074	MT-A70
PF07041	0.000384584070647443	Protein of unknown function (DUF1327)
PF13550	0.000414646984418903	Putative phage tail protein
PF06523	0.000425468567483635	Protein of unknown function (DUF1106)
PF06183	0.000426811066702835	DinI-like family
PF13539	0.00045632160694707	D-alanyl-D-alanine carboxypeptidase
PF12236	0.000461121975900829	Bacteriophage head to tail connecting protein
PF06872	0.00048991183388414	EspG protein
PF17212	0.000516909227921429	Tail tubular protein
PF10721	0.000573809747040978	Protein of unknown function (DUF2514)
PF03143	0.000598872417619877	Elongation factor Tu C-terminal domain
PF13730	0.000606133877323534	Helix-turn-helix domain
PF02342	0.000615808008505495	TerD domain
PF03589	0.000627579367167014	Antitermination protein
PF04717	0.000639715770085191	Type VI secretion system, phage-baseplate injector
PF00436	0.00071353467898468	Single-strand binding protein family
PF13420	0.000720574286565671	Acetyltransferase (GNAT) domain
PF14524	0.000730854206964239	Wzt C-terminal domain
PF00390	0.000730854206964239	Malic enzyme, N-terminal domain
PF02275	0.000730854206964239	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02432	0.000730854206964239	Fimbrial, major and minor subunit
PF03949	0.000730854206964239	Malic enzyme, NAD binding domain
PF17547	0.000730854206964239	Family of unknown function (DUF5462)
PF05876	0.000739882130243148	Phage terminase large subunit (GpA)
PF00263	0.000768298280704766	Bacterial type II and III secretion system protein
PF09048	0.000780192281277494	Cro
PF12421	0.000788099031124395	Fibronectin type III protein
PF05269	0.000788683279083867	Bacteriophage CII protein
PF09684	0.000863115420975153	Phage tail protein (Tail_P2_I)
PF05954	0.00086401266510243	Phage late control gene D protein (GPD)
PF05322	0.00086401266510243	NINE Protein
PF01479	0.000984143513626259	S4 domain
PF00950	0.00105200296809858	ABC 3 transport family
PF00165	0.00114607131510325	Bacterial regulatory helix-turn-helix proteins, AraC family
PF13195	0.00114607131510325	Protein of unknown function (DUF4011)
PF11202	0.00116683054262263	Phosphoribosyl transferase (PRTase)
PF05136	0.00122075720967047	Phage portal protein, lambda family
PF16473	0.00122473072258792	3' exoribonuclease, RNase T-like
PF01343	0.00126014101706633	Peptidase family S49
PF02899	0.00127274256137542	Phage integrase, N-terminal SAM-like domain
PF17289	0.00127274256137542	Terminase RNaseH-like domain
PF03401	0.00129872158995233	Tripartite tricarboxylate transporter family receptor
PF07331	0.00129872158995233	Tripartite tricarboxylate transporter TctB family
PF00772	0.00137487431357207	DnaB-like helicase N terminal domain
PF01970	0.00137684015824216	Tripartite tricarboxylate transporter TctA family
PF01391	0.00137864973474398	Collagen triple helix repeat (20 copies)
PF03592	0.00140291678983984	Terminase small subunit
PF10097	0.00143283757109536	Predicted membrane protein (DUF2335)
PF07825	0.00154011979539329	Excisionase-like protein
PF10979	0.00159192976271475	Protein of unknown function (DUF2786)
PF13289	0.00166836778224751	SIR2-like domain
PF10881	0.00183418200882043	Protein of unknown function (DUF2726)
PF01148	0.00186110108772604	Cytidylyltransferase family
PF11975	0.00186110108772604	Family 4 glycosyl hydrolase C-terminal domain
PF12793	0.00186678535320106	Sugar transport-related sRNA regulator N-term
PF13132	0.00186678535320106	Domain of unknown function (DUF3950)
PF05489	0.00187527635272649	Phage Tail Protein X
PF06223	0.00191154848167889	Minor tail protein T
PF06141	0.00192336356897044	Phage minor tail protein U
PF15608	0.00201052637555885	PELOTA RNA binding domain
PF04404	0.0020605725785489	ERF superfamily
PF10828	0.00211908345316391	Protein of unknown function (DUF2570)
PF05717	0.00213398352790807	IS66 Orf2 like protein
PF07511	0.00213398352790807	Protein of unknown function (DUF1525)
PF09686	0.00213398352790807	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11190	0.00213398352790807	Protein of unknown function (DUF2976)
PF11444	0.00213398352790807	Protein of unknown function (DUF2895)
PF11660	0.00213398352790807	Protein of unknown function (DUF3262)
PF11920	0.00213398352790807	Protein of unknown function (DUF3438)
PF11990	0.00213398352790807	Protein of unknown function (DUF3487)
PF12101	0.00213398352790807	Protein of unknown function (DUF3577)
PF00899	0.00217876124265063	ThiF family
PF13489	0.0022983066955716	Methyltransferase domain
PF02368	0.00237887966948578	Bacterial Ig-like domain (group 2)
PF13876	0.00242143148915779	Phage protein (N4 Gp49/phage Sf6 gene 66) family
PF00881	0.00242176795811798	Nitroreductase family
PF07471	0.00242176795811798	Phage DNA packaging protein Nu1
PF00202	0.00247240329736837	Aminotransferase class-III
PF06894	0.00264320278312255	Bacteriophage lambda tail assembly chaperone, TAC, protein G
PF03796	0.00277853472148373	DnaB-like helicase C terminal domain
PF14348	0.00279993733011353	Domain of unknown function (DUF4400)
PF01774	0.00280144558993085	UreD urease accessory protein
PF05772	0.00280144558993085	NinB protein
PF05106	0.00280144558993085	Phage holin family (Lysis protein S)
PF10543	0.00280144558993085	ORF6N domain
PF01755	0.00283545383397679	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF00771	0.00284240956325158	FHIPEP family
PF07201	0.00290902388813105	HrpJ-like domain
PF06820	0.00297559797497457	Putative prophage tail fibre C-terminus
PF08900	0.00314470182996695	Domain of unknown function (DUF1845)
PF01555	0.00321212217605592	DNA methylase
PF02613	0.00321649632729154	Nitrate reductase delta subunit
PF09314	0.00321649632729154	Domain of unknown function (DUF1972)
PF13973	0.00336417689012099	Domain of unknown function (DUF4222)
PF03144	0.00338744347143392	Elongation factor Tu domain 2
PF03050	0.00341186745417457	Transposase IS66 family
PF16162	0.00341186745417457	Domain of unknown function (DUF4868)
PF06199	0.00348700541509737	Phage tail tube protein
PF15738	0.00353613008920225	Bacterial toxin of type II toxin-antitoxin system, YafQ
PF03857	0.003907754838572	Colicin immunity protein
PF00009	0.00390794202934466	Elongation factor Tu GTP binding domain
PF13007	0.00406679930836588	Transposase C of IS166 homeodomain
PF13986	0.00406679930836588	Domain of unknown function (DUF4224)
PF16461	0.00419930654414642	Lambda phage tail tube protein, TTP
PF04888	0.00422294497775791	Secretion system effector C (SseC) like family
PF13817	0.00455275116389479	IS66 C-terminal element
PF05099	0.00455275116389479	Tellurite resistance protein TerB
PF13005	0.00455275116389479	zinc-finger binding domain of transposase IS66
PF00044	0.00458784399606531	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF01848	0.00458784399606531	Hok/gef family
PF05125	0.00458784399606531	Phage major capsid protein, P2 family
PF02831	0.00480368913833982	gpW
PF05944	0.00511052276413091	Phage small terminase subunit
PF16931	0.00511052276413091	Putative phage holin
PF00849	0.00511052276413091	RNA pseudouridylate synthase
PF05354	0.00512188231029019	Phage Head-Tail Attachment
PF12844	0.00515414791065516	Helix-turn-helix domain
PF03864	0.00526590958025717	Phage major capsid protein E
PF03837	0.0053342565494257	RecT family
PF10549	0.00537043063367206	ORF11CD3 domain
PF16809	0.0054706423538514	NleF caspase inhibitor
PF14000	0.00575257380735695	DNA packaging protein FI
PF01661	0.00588671039578838	Macro domain
PF05449	0.00608600662715133	Putative 3TM holin, Phage_holin_3
PF09003	0.00608600662715133	Bacteriophage lambda integrase, Arm DNA-binding domain
PF03695	0.00608600662715133	Uncharacterised protein family (UPF0149)
PF02924	0.00613185602222712	Bacteriophage lambda head decoration protein D
PF00440	0.00613782118336163	Bacterial regulatory proteins, tetR family
PF01501	0.00681202422206611	Glycosyl transferase family 8
PF13365	0.00721000272009052	Trypsin-like peptidase domain
PF07979	0.00724305196924035	Intimin C-type lectin domain
PF05926	0.00749121955428722	Phage head completion protein (GPL)
PF05929	0.00749121955428722	Phage capsid scaffolding protein (GPO) serine peptidase
PF04480	0.00806078784484648	Protein of unknown function (DUF559)
PF09392	0.00811801487647089	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
PF01636	0.008853155888929	Phosphotransferase enzyme family
PF06056	0.008853155888929	Putative ATPase subunit of terminase (gpP-like)
PF06528	0.00888299882454063	Phage P2 GpE
PF04606	0.00915604355563941	Ogr/Delta-like zinc finger
PF05840	0.00921711559720436	Bacteriophage replication gene A protein (GPA)
PF00082	0.00921711559720436	Subtilase family
PF12869	0.00921711559720436	tRNA_anti-like
PF12161	0.00921711559720436	HsdM N-terminal domain
PF02678	0.00921711559720436	Pirin
PF02382	0.00921711559720436	RTX N-terminal domain
PF08339	0.00921711559720436	RTX C-terminal domain
PF00353	0.00921711559720436	Haemolysin-type calcium-binding repeat (2 copies)
PF16786	0.00934983630768002	Recombination enhancement, RecA-dependent nuclease
PF13362	0.0095147397722234	Toprim domain
PF05696	0.0095147397722234	Protein of unknown function (DUF826)
PF07885	0.00963863365312121	Ion channel
PF10411	0.00963863365312121	Disulfide bond isomerase protein N-terminus
PF11348	0.00963863365312121	Protein of unknown function (DUF3150)
PF12846	0.00963863365312121	AAA-like domain
PF09588	0.00966274264973398	YqaJ-like viral recombinase domain
PF06891	0.00967795032524233	P2 phage tail completion protein R (GpR)
PF01654	0.00967795032524233	Cytochrome bd terminal oxidase subunit I
PF00460	0.00967795032524233	Flagella basal body rod protein
PF13356	0.00967795032524233	Arm DNA-binding domain
PF06322	0.00967795032524233	Phage NinH protein
PF01163	0.00967795032524233	RIO1 family
PF01619	0.00967795032524233	Proline dehydrogenase
PF04261	0.00967795032524233	Dyp-type peroxidase family
PF08362	0.00967795032524233	YcdC-like protein, C-terminal region
PF09375	0.00967795032524233	Imelysin
PF10614	0.00967795032524233	Type VIII secretion system (T8SS), CsgF protein
PF10627	0.00967795032524233	Curli assembly protein CsgE
PF13473	0.00967795032524233	Cupredoxin-like domain
PF13993	0.00967795032524233	YccJ-like protein
PF14850	0.00967795032524233	DNA-binding domain of Proline dehydrogenase
PF11072	0.00999295369490198	Protein of unknown function (DUF2859)
PF13899	0.0104773774045979	Thioredoxin-like
PF12571	0.0104773774045979	Phage tail-collar fibre protein
PF10109	0.0104773774045979	Phage tail assembly chaperone proteins, E, or 41 or 14
PF03544	0.0105588401016389	Gram-negative bacterial TonB protein C-terminal
PF08535	0.0106988314121433	KorB domain
PF11130	0.0107742294182208	F pilus assembly Type-IV secretion system for plasmid transfer
PF05787	0.0107742294182208	Bacterial protein of unknown function (DUF839)
PF03825	0.0107742294182208	Nucleoside H+ symporter
PF03237	0.0108211810909576	Terminase-like family
PF06763	0.0108744592352059	Prophage minor tail protein Z (GPZ)
PF02061	0.0118352167137898	Lambda Phage CIII
PF06834	0.0124619101440539	TraU protein
PF14220	0.0124829994095613	Domain of unknown function (DUF4329)
PF10547	0.0127575934892396	P22_AR N-terminal domain
PF13198	0.0129488144916254	Protein of unknown function (DUF4014)
PF07125	0.0134353348571972	Protein of unknown function (DUF1378)
PF02677	0.0137485716350276	Uncharacterized BCR, COG1636
PF10502	0.0137888750795288	Signal peptidase, peptidase S26
PF09084	0.0138299414522714	NMT1/THI5 like
