ann_term	q_val	annotation
PF02424	0.999386772226042	ApbE family
PF02485	0.999386772226042	Core-2/I-Branching enzyme
PF03860	0.999386772226042	Domain of Unknown Function (DUF326)
PF03886	0.999386772226042	ABC-type transport auxiliary lipoprotein component
PF03903	0.999386772226042	Phage T4 tail fibre
PF03981	0.999386772226042	Ubiquinol-cytochrome C chaperone
PF04151	0.999386772226042	Bacterial pre-peptidase C-terminal domain
PF04191	0.999386772226042	Phospholipid methyltransferase
PF04970	0.999386772226042	Lecithin retinol acyltransferase
PF05013	0.999386772226042	N-formylglutamate amidohydrolase
PF05899	0.999386772226042	Protein of unknown function (DUF861)
PF06508	0.999386772226042	Queuosine biosynthesis protein QueC
PF08748	0.999386772226042	Phage tail assembly chaperone
PF08809	0.999386772226042	Phage related hypothetical protein (DUF1799)
PF10045	0.999386772226042	Uncharacterized conserved protein (DUF2280)
PF12729	0.999386772226042	Four helix bundle sensory module for signal transduction
PF12850	0.999386772226042	Calcineurin-like phosphoesterase superfamily domain
PF13099	0.999386772226042	Domain of unknown function (DUF3944)
PF13396	0.999386772226042	Phospholipase_D-nuclease N-terminal
PF13602	0.999386772226042	Zinc-binding dehydrogenase
PF14252	0.999386772226042	Domain of unknown function (DUF4347)
PF16184	0.999386772226042	Cadherin-like
PF00724	0.999386772226042	NADH:flavin oxidoreductase / NADH oxidase family
PF04193	0.999386772226042	PQ loop repeat
PF14279	0.999386772226042	HNH endonuclease
PF10623	0.999386772226042	Plasmid conjugative transfer protein PilI
PF01170	0.999386772226042	Putative RNA methylase family UPF0020
PF14090	0.999386772226042	Helix-turn-helix domain
PF17358	0.999386772226042	Family of unknown function (DUF5384)
PF02086	0.999386772226042	D12 class N6 adenine-specific DNA methyltransferase
PF07424	0.999386772226042	TrbM
PF05362	0.999386772226042	Lon protease (S16) C-terminal proteolytic domain
PF08665	0.999386772226042	PglZ domain
PF08747	0.999386772226042	Domain of unknown function (DUF1788)
PF13337	0.999386772226042	Putative ATP-dependent Lon protease
PF03824	0.999386772226042	High-affinity nickel-transport protein
PF03486	0.999386772226042	HI0933-like protein
PF16816	0.999386772226042	DotD protein
PF12482	0.999386772226042	Phage integrase protein
PF13751	0.999386772226042	Transposase DDE domain
PF14559	0.999386772226042	Tetratricopeptide repeat
PF02470	0.999386772226042	MlaD protein
PF08861	0.999386772226042	Domain of unknown function DUF1828
PF04233	0.999386772226042	Phage Mu protein F like protein
PF06231	0.999386772226042	Protein of unknown function (DUF1010)
PF04224	0.999386772226042	Protein of unknown function, DUF417
PF05816	0.999386772226042	Toxic anion resistance protein (TelA)
