ann_term	CC	annotation
PF00959	0.847017141059046	Phage lysozyme
PF04971	0.826123007374122	Bacteriophage P21 holin S
PF05939	0.813255517514789	Phage minor tail protein
PF06316	0.808060227105509	Enterobacterial Ail/Lom protein
PF06147	0.806174441603569	Protein of unknown function (DUF968)
PF03245	0.804115695966794	Bacteriophage Rz lysis protein
PF04448	0.804080650822924	Protein of unknown function (DUF551)
PF05100	0.798076592605596	Phage minor tail protein L
PF09327	0.790685598697598	Domain of unknown function (DUF1983)
PF00877	0.789398669706985	NlpC/P60 family
PF06805	0.788206723096254	Bacteriophage lambda tail assembly protein I
PF14464	0.787509121135261	Prokaryotic homologs of the JAB domain
PF08400	0.785123339419947	Prophage tail fibre N-terminal
PF08410	0.781290081457933	Domain of unknown function (DUF1737)
PF05521	0.77897028022136	Phage head-tail joining protein
PF09718	0.77515852172722	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF03629	0.77024877335055	Carbohydrate esterase, sialic acid-specific acetylesterase
PF05866	0.768436772848601	Endodeoxyribonuclease RusA
PF13550	0.766237980659455	Putative phage tail protein
PF04883	0.766129656933208	Bacteriophage HK97-gp10, putative tail-component
PF00589	0.765073805885242	Phage integrase family
PF11367	0.763865536920147	Protein of unknown function (DUF3168)
PF06222	0.761872463182646	Phage tail assembly chaperone
PF13132	0.761420772412024	Domain of unknown function (DUF3950)
PF13227	0.760279211236807	Protein of unknown function (DUF4035)
PF05135	0.759366569995319	Phage gp6-like head-tail connector protein
PF10549	0.755101842242568	ORF11CD3 domain
PF01391	0.75313195722742	Collagen triple helix repeat (20 copies)
PF12421	0.748574478074285	Fibronectin type III protein
PF06120	0.741604401313588	Tail length tape measure protein
PF05358	0.741437734524422	DicB protein
PF07358	0.741318943070316	Protein of unknown function (DUF1482)
PF06416	0.739039159561704	Effector protein NleG
PF06820	0.736579072425344	Putative prophage tail fibre C-terminus
PF16473	0.735915865153894	3' exoribonuclease, RNase T-like
PF07789	0.735215731961031	Protein of unknown function (DUF1627)
PF07151	0.733694941044754	Protein of unknown function (DUF1391)
PF03278	0.733017362001974	IpaB/EvcA family
PF05065	0.732040265269116	Phage capsid family
PF04586	0.729586113293001	Caudovirus prohead serine protease
PF03354	0.72934111165991	Phage Terminase
