ann_term	q_val	annotation
PF01035	1	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF02870	1	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF11143	1	Protein of unknown function (DUF2919)
PF13439	1	Glycosyltransferase Family 4
PF01278	1	Omptin family
PF12445	1	Flagellin protein
PF05231	0.999708769259158	MASE1
PF06693	0.999159158354823	Protein of unknown function (DUF1190)
PF10938	0.999159158354823	YfdX protein
PF02048	0.998457635750299	Heat-stable enterotoxin ST
PF08282	0.998253185353228	haloacid dehalogenase-like hydrolase
PF12804	0.997587784869247	MobA-like NTP transferase domain
PF08878	0.994006972134769	Domain of unknown function (DUF1837)
PF02589	0.994006972134769	LUD domain
PF11870	0.994006972134769	Domain of unknown function (DUF3390)
PF11058	0.994006972134769	Antirestriction protein Ral
PF07196	0.991938491973159	Flagellin hook IN motif
PF01139	0.990456337230619	tRNA-splicing ligase RtcB
PF02470	0.988986935560312	MlaD protein
PF01180	0.988986935560312	Dihydroorotate dehydrogenase
PF01270	0.988986935560312	Glycosyl hydrolases family 8
PF03767	0.988986935560312	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF07437	0.988986935560312	YfaZ precursor
PF11120	0.988986935560312	Cellulose biosynthesis protein BcsF
PF13182	0.988986935560312	Protein of unknown function (DUF4007)
PF14697	0.988986935560312	4Fe-4S dicluster domain
PF17466	0.988986935560312	Family of unknown function
PF03772	0.988986935560312	Competence protein
PF11119	0.988986935560312	Protein of unknown function (DUF2633)
PF03605	0.988986935560312	Anaerobic c4-dicarboxylate membrane transporter
PF14667	0.988986935560312	Polysaccharide biosynthesis C-terminal domain
PF09673	0.988986935560312	Type-F conjugative transfer system pilin assembly protein
PF00724	0.988986935560312	NADH:flavin oxidoreductase / NADH oxidase family
PF08751	0.988986935560312	TrwC relaxase
PF01098	0.988550438624354	Cell cycle protein
PF03747	0.988077891498317	ADP-ribosylglycohydrolase
PF07511	0.988077891498317	Protein of unknown function (DUF1525)
PF09686	0.988077891498317	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11019	0.988077891498317	Protein of unknown function (DUF2608)
PF11190	0.988077891498317	Protein of unknown function (DUF2976)
PF11444	0.988077891498317	Protein of unknown function (DUF2895)
PF11660	0.988077891498317	Protein of unknown function (DUF3262)
PF11920	0.988077891498317	Protein of unknown function (DUF3438)
PF11990	0.988077891498317	Protein of unknown function (DUF3487)
PF12101	0.988077891498317	Protein of unknown function (DUF3577)
PF02678	0.988077891498317	Pirin
PF03824	0.988077891498317	High-affinity nickel-transport protein
PF06277	0.988077891498317	Ethanolamine utilisation protein EutA
PF16916	0.988077891498317	Dimerisation domain of Zinc Transporter
PF00817	0.988077891498317	impB/mucB/samB family
PF10672	0.988077891498317	S-adenosylmethionine-dependent methyltransferase
PF02800	0.988077891498317	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF05321	0.987294844744266	Haemolysin expression modulating protein
PF04493	0.987294844744266	Endonuclease V
PF07507	0.987294844744266	WavE lipopolysaccharide synthesis
PF12102	0.987294844744266	Domain of unknown function (DUF3578)
PF13250	0.987294844744266	Domain of unknown function (DUF4041)
PF05943	0.987135941516171	Type VI secretion protein, EvpB/VC_A0108, tail sheath
PF10662	0.985604027934838	Ethanolamine utilisation - propanediol utilisation
PF04233	0.985089647546282	Phage Mu protein F like protein
PF00113	0.985004812227694	Enolase, C-terminal TIM barrel domain
PF10415	0.985004812227694	Fumarase C C-terminus
PF13643	0.983860651596122	Domain of unknown function (DUF4145)
PF13565	0.983860651596122	Homeodomain-like domain
PF03737	0.982529349378373	Aldolase/RraA
PF07819	0.978105623590872	PGAP1-like protein
PF15631	0.977971558356798	NTF2 fold immunity protein
PF02316	0.977792591508109	Mu DNA-binding domain
PF02086	0.976993212192644	D12 class N6 adenine-specific DNA methyltransferase
PF13117	0.974848272288529	Cag pathogenicity island protein Cag12
PF10733	0.974848272288529	Protein of unknown function (DUF2525)
PF10781	0.974848272288529	Dextransucrase DSRB
PF06054	0.974848272288529	Competence protein CoiA-like family
PF00710	0.974848272288529	Asparaginase, N-terminal
PF10945	0.974848272288529	Cellulose biosynthesis protein BcsR
PF05406	0.974848272288529	WGR domain
PF01276	0.974848272288529	Orn/Lys/Arg decarboxylase, major domain
