ann_term	q_val	annotation
PF11143	1	Protein of unknown function (DUF2919)
PF12421	1	Fibronectin type III protein
PF03230	0.997305030859111	Antirestriction protein
PF00724	0.997226894381578	NADH:flavin oxidoreductase / NADH oxidase family
PF12445	0.997226894381578	Flagellin protein
PF06693	0.994892363748337	Protein of unknown function (DUF1190)
PF13569	0.994750145689782	Domain of unknown function (DUF4132)
PF12804	0.993546390859765	MobA-like NTP transferase domain
PF02048	0.990385491955094	Heat-stable enterotoxin ST
PF02678	0.990385491955094	Pirin
PF03824	0.990385491955094	High-affinity nickel-transport protein
PF06277	0.990385491955094	Ethanolamine utilisation protein EutA
PF05954	0.99015154346329	Phage late control gene D protein (GPD)
PF02321	0.99015154346329	Outer membrane efflux protein
PF04956	0.989133650809923	TrbC/VIRB2 family
PF05987	0.98890526275773	Bacterial protein of unknown function (DUF898)
PF01180	0.988068005699265	Dihydroorotate dehydrogenase
PF01192	0.988068005699265	RNA polymerase Rpb6
PF01270	0.988068005699265	Glycosyl hydrolases family 8
PF03458	0.988068005699265	UPF0126 domain
PF07437	0.988068005699265	YfaZ precursor
PF11120	0.988068005699265	Cellulose biosynthesis protein BcsF
PF13182	0.988068005699265	Protein of unknown function (DUF4007)
PF03605	0.988068005699265	Anaerobic c4-dicarboxylate membrane transporter
PF03772	0.988068005699265	Competence protein
PF10531	0.988068005699265	SLBB domain
PF10938	0.984878473468887	YfdX protein
PF07511	0.984878473468887	Protein of unknown function (DUF1525)
PF09686	0.984878473468887	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11019	0.984878473468887	Protein of unknown function (DUF2608)
PF11190	0.984878473468887	Protein of unknown function (DUF2976)
PF11444	0.984878473468887	Protein of unknown function (DUF2895)
PF11660	0.984878473468887	Protein of unknown function (DUF3262)
PF11920	0.984878473468887	Protein of unknown function (DUF3438)
PF11990	0.984878473468887	Protein of unknown function (DUF3487)
PF12101	0.984878473468887	Protein of unknown function (DUF3577)
PF09588	0.984878473468887	YqaJ-like viral recombinase domain
PF17152	0.984878473468887	Periplasmic sensor domain
PF00892	0.984878473468887	EamA-like transporter family
PF02589	0.984878473468887	LUD domain
PF11870	0.984878473468887	Domain of unknown function (DUF3390)
PF00589	0.984878473468887	Phage integrase family
PF02255	0.984878473468887	PTS system, Lactose/Cellobiose specific IIA subunit
PF01098	0.984004117604491	Cell cycle protein
