ann_term	CC	annotation
PF04888	0.702009911907706	Secretion system effector C (SseC) like family
PF00449	0.700333171817137	Urease alpha-subunit, N-terminal domain
PF00547	0.700333171817137	Urease, gamma subunit
PF00699	0.700333171817137	Urease beta subunit
PF01730	0.700333171817137	UreF
PF02814	0.700333171817137	UreE urease accessory protein, N-terminal domain
PF05194	0.700333171817137	UreE urease accessory protein, C-terminal domain
PF03433	0.690843134738713	EspA-like secreted protein
PF05802	0.690843134738713	Enterobacterial EspB protein
PF06287	0.690843134738713	Protein of unknown function (DUF1039)
PF09621	0.690843134738713	Type III secretion system regulator (LcrR)
PF16693	0.690843134738713	Inner membrane component of T3SS, periplasmic domain
PF01219	0.666527987378436	Prokaryotic diacylglycerol kinase
PF01774	0.664266722654405	UreD urease accessory protein
PF07979	0.6572898210163	Intimin C-type lectin domain
PF07201	0.654925933531296	HrpJ-like domain
PF12500	0.647044068170266	TRSP domain C terminus to PRTase_2
PF15609	0.647044068170266	Phosphoribosyl transferase
PF15617	0.647044068170266	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.647044068170266	ATP-grasp in the biosynthetic pathway with Ter operon
PF06523	0.639687718053392	Protein of unknown function (DUF1106)
PF03549	0.63490006311284	Translocated intimin receptor (Tir) intimin-binding domain
PF05932	0.63490006311284	Tir chaperone protein (CesT) family
PF06066	0.63490006311284	SepZ
PF06622	0.63490006311284	SepQ protein
PF07489	0.63490006311284	Translocated intimin receptor (Tir) C-terminus
PF07490	0.63490006311284	Translocated intimin receptor (Tir) N-terminus
PF08988	0.63490006311284	Type III secretion system, cytoplasmic E component of needle
PF11439	0.63490006311284	Type III secretion system filament chaperone CesA
PF13327	0.63490006311284	Type III secretion system subunit
PF16518	0.63490006311284	T3SS negative regulator,GrlR
PF12918	0.603565262985327	TcdB toxin N-terminal helical domain
PF03278	0.595983602063117	IpaB/EvcA family
PF02342	0.591527405814249	TerD domain
PF11996	0.590836787657059	Protein of unknown function (DUF3491)
PF14020	0.579800767278139	Protein of unknown function (DUF4236)
