ann_term	q_val	annotation
PF11143	1	Protein of unknown function (DUF2919)
PF12421	1	Fibronectin type III protein
PF12445	0.999163626004496	Flagellin protein
PF06693	0.997817465774466	Protein of unknown function (DUF1190)
PF02048	0.996781499889614	Heat-stable enterotoxin ST
PF12804	0.995577789260656	MobA-like NTP transferase domain
PF13439	0.992459140348759	Glycosyltransferase Family 4
PF02589	0.992100317798205	LUD domain
PF11870	0.992100317798205	Domain of unknown function (DUF3390)
PF06519	0.991951496544491	TolA C-terminal
PF01180	0.986222809966642	Dihydroorotate dehydrogenase
PF01192	0.986222809966642	RNA polymerase Rpb6
PF01270	0.986222809966642	Glycosyl hydrolases family 8
PF03458	0.986222809966642	UPF0126 domain
PF07437	0.986222809966642	YfaZ precursor
PF11120	0.986222809966642	Cellulose biosynthesis protein BcsF
PF13182	0.986222809966642	Protein of unknown function (DUF4007)
PF03772	0.986222809966642	Competence protein
PF03605	0.986222809966642	Anaerobic c4-dicarboxylate membrane transporter
PF09673	0.986222809966642	Type-F conjugative transfer system pilin assembly protein
PF05987	0.986222809966642	Bacterial protein of unknown function (DUF898)
PF00724	0.986006324452354	NADH:flavin oxidoreductase / NADH oxidase family
PF00892	0.986006324452354	EamA-like transporter family
PF01098	0.984896815933642	Cell cycle protein
PF00589	0.984577196713328	Phage integrase family
PF07511	0.984577196713328	Protein of unknown function (DUF1525)
PF09686	0.984577196713328	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11019	0.984577196713328	Protein of unknown function (DUF2608)
PF11190	0.984577196713328	Protein of unknown function (DUF2976)
PF11444	0.984577196713328	Protein of unknown function (DUF2895)
PF11660	0.984577196713328	Protein of unknown function (DUF3262)
PF11920	0.984577196713328	Protein of unknown function (DUF3438)
PF11990	0.984577196713328	Protein of unknown function (DUF3487)
PF12101	0.984577196713328	Protein of unknown function (DUF3577)
PF02678	0.984577196713328	Pirin
PF03824	0.984577196713328	High-affinity nickel-transport protein
PF06277	0.984577196713328	Ethanolamine utilisation protein EutA
PF12951	0.984577196713328	Passenger-associated-transport-repeat
PF09588	0.984577196713328	YqaJ-like viral recombinase domain
PF17152	0.984577196713328	Periplasmic sensor domain
PF00588	0.984577196713328	SpoU rRNA Methylase family
PF02255	0.984577196713328	PTS system, Lactose/Cellobiose specific IIA subunit
PF02321	0.984577196713328	Outer membrane efflux protein
