ann_term	CC	annotation
PF00959	1.88949800386577e-12	Phage lysozyme
PF00005	2.40737560629903e-11	ABC transporter
PF03358	1.01178547597338e-10	NADPH-dependent FMN reductase
PF01520	1.3852048795803e-10	N-acetylmuramoyl-L-alanine amidase
PF00857	1.79729667372307e-10	Isochorismatase family
PF04971	1.24121480067969e-09	Bacteriophage P21 holin S
PF05939	1.31221610926258e-09	Phage minor tail protein
PF05521	2.08606634826253e-09	Phage head-tail joining protein
PF03275	2.7475762896062e-09	UDP-galactopyranose mutase
PF04883	3.18355241688985e-09	Bacteriophage HK97-gp10, putative tail-component
PF00072	5.19116885575218e-09	Response regulator receiver domain
PF11367	5.69252604148765e-09	Protein of unknown function (DUF3168)
PF06163	8.23677551708006e-09	Bacterial protein of unknown function (DUF977)
PF01863	1.0271536150848e-08	Protein of unknown function DUF45
PF00202	1.35223350390161e-08	Aminotransferase class-III
PF03245	2.489825216339e-08	Bacteriophage Rz lysis protein
PF06316	2.80047796959742e-08	Enterobacterial Ail/Lom protein
PF05100	3.47341847584012e-08	Phage minor tail protein L
PF05135	3.7739211655546e-08	Phage gp6-like head-tail connector protein
PF06222	5.3070897764037e-08	Phage tail assembly chaperone
PF04448	6.44228633425909e-08	Protein of unknown function (DUF551)
PF01479	7.03797332054091e-08	S4 domain
PF13227	8.79030100633467e-08	Protein of unknown function (DUF4035)
PF04586	1.11891815698081e-07	Caudovirus prohead serine protease
PF02613	1.77831333083898e-07	Nitrate reductase delta subunit
PF02518	1.83621003321299e-07	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF00589	1.91193082721189e-07	Phage integrase family
PF05065	2.04375349456231e-07	Phage capsid family
PF04313	2.42231276038877e-07	Type I restriction enzyme R protein N terminus (HSDR_N)
PF03734	2.64095376013693e-07	L,D-transpeptidase catalytic domain
PF01061	2.64250703447051e-07	ABC-2 type transporter
PF03354	2.65422081395215e-07	Phage Terminase
PF04346	3.587751668213e-07	Ethanolamine utilisation protein, EutH
PF06672	3.587751668213e-07	Protein of unknown function (DUF1175)
PF10754	3.587751668213e-07	Protein of unknown function (DUF2569)
PF06254	3.64771865979879e-07	Putative bacterial toxin ydaT
PF00009	3.87089761074352e-07	Elongation factor Tu GTP binding domain
PF00849	4.59869769865068e-07	RNA pseudouridylate synthase
PF00881	5.46752029960807e-07	Nitroreductase family
PF14464	5.58940418550294e-07	Prokaryotic homologs of the JAB domain
PF02470	6.07510117865814e-07	MlaD protein
PF05433	6.73069189071844e-07	Glycine zipper 2TM domain
PF13365	7.28105886787936e-07	Trypsin-like peptidase domain
PF13450	7.68899145641425e-07	NAD(P)-binding Rossmann-like domain
PF02600	8.97723316665927e-07	Disulfide bond formation protein DsbB
PF00877	9.82932169613847e-07	NlpC/P60 family
PF00440	9.83073565101593e-07	Bacterial regulatory proteins, tetR family
PF00374	1.01137752853961e-06	Nickel-dependent hydrogenase
PF01297	1.04678539301871e-06	Zinc-uptake complex component A periplasmic
PF12167	1.04854545316491e-06	Arm DNA-binding domain
PF00043	1.06805116798042e-06	Glutathione S-transferase, C-terminal domain
PF09327	1.09419684075672e-06	Domain of unknown function (DUF1983)
PF00044	1.13780488719214e-06	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF05866	1.19504249866337e-06	Endodeoxyribonuclease RusA
PF00994	1.23712248212568e-06	Probable molybdopterin binding domain
PF03989	1.23712248212568e-06	DNA gyrase C-terminal domain, beta-propeller
PF09335	1.23712248212568e-06	SNARE associated Golgi protein
PF12848	1.23712248212568e-06	ABC transporter
PF00512	1.35945903239919e-06	His Kinase A (phospho-acceptor) domain
PF03143	1.53163739584211e-06	Elongation factor Tu C-terminal domain
PF03144	1.64154103701311e-06	Elongation factor Tu domain 2
PF08400	1.66917929710751e-06	Prophage tail fibre N-terminal
PF01381	1.71169028058759e-06	Helix-turn-helix
PF07690	1.81941794343463e-06	Major Facilitator Superfamily
PF00288	2.14814137125738e-06	GHMP kinases N terminal domain
PF02774	2.14814137125738e-06	Semialdehyde dehydrogenase, dimerisation domain
PF03600	2.14814137125738e-06	Citrate transporter
PF05957	2.14814137125738e-06	Bacterial protein of unknown function (DUF883)
PF08264	2.14814137125738e-06	Anticodon-binding domain of tRNA
PF08544	2.14814137125738e-06	GHMP kinases C terminal
PF03264	2.18386584346152e-06	NapC/NirT cytochrome c family, N-terminal region
PF15943	2.19355505470902e-06	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF13102	2.44957714270879e-06	Phage integrase SAM-like domain
PF00892	2.45489038152962e-06	EamA-like transporter family
