ann_term	CC	annotation
PF00959	0.560126582278481	Phage lysozyme
PF01391	0.543503043874142	Collagen triple helix repeat (20 copies)
PF04448	0.528839583125334	Protein of unknown function (DUF551)
PF06316	0.522574671476669	Enterobacterial Ail/Lom protein
PF05766	0.520890748127661	Bacteriophage Lambda NinG protein
PF04971	0.520886075949367	Bacteriophage P21 holin S
PF05696	0.518191832334254	Protein of unknown function (DUF826)
PF05939	0.517227830750648	Phage minor tail protein
PF06416	0.516407992956997	Effector protein NleG
PF07125	0.515492916540846	Protein of unknown function (DUF1378)
PF09327	0.511512606101469	Domain of unknown function (DUF1983)
PF06820	0.50991229493238	Putative prophage tail fibre C-terminus
PF05100	0.502622256647192	Phage minor tail protein L
PF00589	0.501898734177215	Phage integrase family
PF08410	0.499122159788648	Domain of unknown function (DUF1737)
PF01381	0.493670886075949	Helix-turn-helix
PF01848	0.493670886075949	Hok/gef family
PF14464	0.492058273369218	Prokaryotic homologs of the JAB domain
PF03278	0.490425200858531	IpaB/EvcA family
PF06805	0.488243868149301	Bacteriophage lambda tail assembly protein I
PF06147	0.486746632621696	Protein of unknown function (DUF968)
PF00877	0.481012658227848	NlpC/P60 family
PF03245	0.479056143250587	Bacteriophage Rz lysis protein
PF10549	0.478410517405533	ORF11CD3 domain
PF13895	0.476291102626958	Immunoglobulin domain
PF08400	0.475316183323339	Prophage tail fibre N-terminal
PF13979	0.475251162318077	SopA-like catalytic domain
PF06069	0.471023920855594	PerC transcriptional activator
PF00161	0.468473898128978	Ribosome inactivating protein
PF02258	0.468473898128978	Shiga-like toxin beta subunit
PF13935	0.465289355194674	Ead/Ea22-like protein
PF04806	0.464856847710878	EspF protein repeat
PF09718	0.460466448623331	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF10547	0.458192981931895	P22_AR N-terminal domain
PF00449	0.456410195480025	Urease alpha-subunit, N-terminal domain
PF00547	0.456410195480025	Urease, gamma subunit
PF00699	0.456410195480025	Urease beta subunit
PF01730	0.456410195480025	UreF
PF02814	0.456410195480025	UreE urease accessory protein, N-terminal domain
PF05194	0.456410195480025	UreE urease accessory protein, C-terminal domain
PF13550	0.455630409531725	Putative phage tail protein
PF05876	0.454925751086942	Phage terminase large subunit (GpA)
PF01774	0.453916150695981	UreD urease accessory protein
PF05136	0.451761277471104	Phage portal protein, lambda family
PF07979	0.449285780035961	Intimin C-type lectin domain
PF05866	0.449121702094857	Endodeoxyribonuclease RusA
PF04888	0.444453234793521	Secretion system effector C (SseC) like family
PF03433	0.443872698348781	EspA-like secreted protein
PF03549	0.443872698348781	Translocated intimin receptor (Tir) intimin-binding domain
PF05802	0.443872698348781	Enterobacterial EspB protein
PF05932	0.443872698348781	Tir chaperone protein (CesT) family
PF06066	0.443872698348781	SepZ
PF06287	0.443872698348781	Protein of unknown function (DUF1039)
PF06622	0.443872698348781	SepQ protein
PF07489	0.443872698348781	Translocated intimin receptor (Tir) C-terminus
PF07490	0.443872698348781	Translocated intimin receptor (Tir) N-terminus
PF08988	0.443872698348781	Type III secretion system, cytoplasmic E component of needle
PF09621	0.443872698348781	Type III secretion system regulator (LcrR)
PF11439	0.443872698348781	Type III secretion system filament chaperone CesA
PF13327	0.443872698348781	Type III secretion system subunit
PF16693	0.443872698348781	Inner membrane component of T3SS, periplasmic domain
PF12421	0.443106739713624	Fibronectin type III protein
PF13678	0.442788797635613	NFkB-p65-degrading zinc protease
PF06872	0.441707465673909	EspG protein
PF06523	0.441672054135902	Protein of unknown function (DUF1106)
