ann_term	q_val	annotation
PF04965	0.999545320031834	Gene 25-like lysozyme
PF02485	0.999545320031834	Core-2/I-Branching enzyme
PF03860	0.999545320031834	Domain of Unknown Function (DUF326)
PF03903	0.999545320031834	Phage T4 tail fibre
PF04191	0.999545320031834	Phospholipid methyltransferase
PF04970	0.999545320031834	Lecithin retinol acyltransferase
PF05013	0.999545320031834	N-formylglutamate amidohydrolase
PF08748	0.999545320031834	Phage tail assembly chaperone
PF08809	0.999545320031834	Phage related hypothetical protein (DUF1799)
PF10045	0.999545320031834	Uncharacterized conserved protein (DUF2280)
PF12729	0.999545320031834	Four helix bundle sensory module for signal transduction
PF13602	0.999545320031834	Zinc-binding dehydrogenase
PF14252	0.999545320031834	Domain of unknown function (DUF4347)
PF16184	0.999545320031834	Cadherin-like
PF01656	0.999545320031834	CobQ/CobB/MinD/ParA nucleotide binding domain
PF04193	0.999545320031834	PQ loop repeat
PF13391	0.999545320031834	HNH endonuclease
PF06429	0.999545320031834	Flagellar basal body rod FlgEFG protein C-terminal
PF12792	0.999545320031834	CSS motif domain associated with EAL
PF03609	0.999545320031834	PTS system sorbose-specific iic component
PF13283	0.999545320031834	Bacteriophage N adsorption protein A C-term
PF14279	0.999545320031834	HNH endonuclease
PF14090	0.999319083532568	Helix-turn-helix domain
PF01278	0.997926514530129	Omptin family
PF12482	0.995727659153688	Phage integrase protein
PF13751	0.995727659153688	Transposase DDE domain
PF02903	0.99562533184064	Alpha amylase, N-terminal ig-like domain
PF14491	0.994900680099639	Protein of unknown function (DUF4435)
PF05816	0.994338176243763	Toxic anion resistance protein (TelA)
PF10892	0.994338176243763	Protein of unknown function (DUF2688)
PF10134	0.994020575886736	Replication initiator protein A
PF00403	0.991687320093553	Heavy-metal-associated domain
PF01773	0.991687320093553	Na+ dependent nucleoside transporter N-terminus
PF07662	0.991687320093553	Na+ dependent nucleoside transporter C-terminus
PF01546	0.991155693419597	Peptidase family M20/M25/M40
PF17438	0.990928177383765	Family of unknown function (DUF5417)
PF01706	0.987636978337995	FliG C-terminal domain
PF14841	0.987636978337995	FliG middle domain
PF14842	0.987636978337995	FliG N-terminal domain
PF11504	0.986371861667645	Colicin Ia
PF03099	0.986371861667645	Biotin/lipoate A/B protein ligase family
PF10734	0.985105285178546	Protein of unknown function (DUF2523)
PF02203	0.984480880067163	Tar ligand binding domain homologue
PF08980	0.981623079831162	Domain of unknown function (DUF1883)
PF00682	0.981623079831162	HMGL-like
PF08861	0.981246724997225	Domain of unknown function DUF1828
PF16677	0.98067450434226	DNA-packaging protein gp3
PF01799	0.98067450434226	[2Fe-2S] binding domain
PF15654	0.978669256035307	Toxin with a conserved tryptophan and TIP tripeptide motif
PF06504	0.977991416159738	Replication protein C (RepC)
PF10138	0.977860339440212	vWA found in TerF C terminus
PF06613	0.977859664840997	KorB C-terminal beta-barrel domain
PF07042	0.977859664840997	TrfA protein
PF07283	0.977859664840997	Conjugal transfer protein TrbH
PF11657	0.977859664840997	Transcriptional activator TraM
PF17394	0.977859664840997	Uncharacterized KleE stable inheritance protein
PF17178	0.976661237909233	Membrane-associated sensor
PF06213	0.975666153751081	Cobalamin biosynthesis protein CobT
PF16509	0.974961120038284	TrfB plasmid transcriptional repressor
PF02107	0.974914679907047	Flagellar L-ring protein
PF03963	0.974914679907047	Flagellar hook capping protein - N-terminal region
PF04316	0.974914679907047	Anti-sigma-28 factor, FlgM
PF05130	0.974914679907047	FlgN protein
PF10135	0.974914679907047	Rod binding protein
PF13144	0.974914679907047	Chaperone for flagella basal body P-ring formation
PF13861	0.974914679907047	FlgD Tudor-like domain
PF10623	0.974914679907047	Plasmid conjugative transfer protein PilI
PF02486	0.974914679907047	Replication initiation factor
PF12604	0.974914679907047	Tail fibre protein gp37 C terminal
PF13306	0.974914679907047	Leucine rich repeats (6 copies)
PF15611	0.974914679907047	EH_Signature domain
PF06750	0.974914679907047	Bacterial Peptidase A24 N-terminal domain
PF05443	0.974914679907047	ROS/MUCR transcriptional regulator protein
PF04393	0.974914679907047	Protein of unknown function (DUF535)
PF09950	0.974914679907047	Uncharacterized protein conserved in bacteria (DUF2184)
PF09979	0.974914679907047	Uncharacterized protein conserved in bacteria (DUF2213)
PF11041	0.974914679907047	Protein of unknown function (DUF2612)
PF11681	0.974914679907047	Protein of unknown function (DUF3277)
PF11863	0.974914679907047	Protein of unknown function (DUF3383)
PF13262	0.974914679907047	Protein of unknown function (DUF4054)
PF00669	0.974914679907047	Bacterial flagellin N-terminal helical region
PF13333	0.974914679907047	Integrase core domain
PF17466	0.974914679907047	Family of unknown function
PF07424	0.974914679907047	TrbM
PF02945	0.974914679907047	Recombination endonuclease VII
PF05307	0.974914679907047	Bundlin
PF06590	0.974914679907047	PerB protein
PF08822	0.974914679907047	Protein of unknown function (DUF1804)
PF09234	0.974914679907047	Domain of unknown function (DUF1963)
PF12419	0.974914679907047	SNF2 Helicase protein
PF13395	0.974914679907047	HNH endonuclease
PF14078	0.974914679907047	Domain of unknown function (DUF4259)
PF02281	0.974914679907047	Transposase Tn5 dimerisation domain
PF01526	0.974914679907047	Tn3 transposase DDE domain
PF01610	0.974914679907047	Transposase
PF13182	0.973069159216052	Protein of unknown function (DUF4007)
PF02586	0.969774505402335	SOS response associated peptidase (SRAP)
PF16816	0.968409273147389	DotD protein
PF01494	0.964164555845697	FAD binding domain
PF09274	0.962671998548404	ParG
PF06308	0.961248489263735	23S rRNA methylase leader peptide (ErmC)
PF01315	0.960826283798676	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF02738	0.960826283798676	Molybdopterin-binding domain of aldehyde dehydrogenase
PF01019	0.959318099302488	Gamma-glutamyltranspeptidase
PF04851	0.958279327681283	Type III restriction enzyme, res subunit
PF03230	0.958279327681283	Antirestriction protein
PF07178	0.957456782257743	TraL protein
PF09378	0.95735981672052	HAS barrel domain
PF03472	0.95735981672052	Autoinducer binding domain
PF06231	0.95735981672052	Protein of unknown function (DUF1010)
PF00583	0.957342539507558	Acetyltransferase (GNAT) family
PF00376	0.956011869667941	MerR family regulatory protein
PF09278	0.956011869667941	MerR, DNA binding
PF00149	0.956011869667941	Calcineurin-like phosphoesterase
PF08665	0.955385287463913	PglZ domain
PF08747	0.955385287463913	Domain of unknown function (DUF1788)
PF13337	0.955385287463913	Putative ATP-dependent Lon protease
PF13677	0.955115155751851	Membrane MotB of proton-channel complex MotA/MotB
PF10809	0.955115155751851	Protein of unknown function (DUF2732)
PF06054	0.952737494080899	Competence protein CoiA-like family
PF07883	0.952737494080899	Cupin domain
PF00941	0.952737494080899	FAD binding domain in molybdopterin dehydrogenase
PF03450	0.952737494080899	CO dehydrogenase flavoprotein C-terminal domain
PF02357	0.95166343031508	Transcription termination factor nusG
PF13956	0.950828673908277	Toxin Ibs, type I toxin-antitoxin system
PF13006	0.949356751892319	Insertion element 4 transposase N-terminal
PF01695	0.949356751892319	IstB-like ATP binding protein
PF13655	0.947893669392277	N-terminal domain of reverse transcriptase
PF14213	0.946346033374086	STAS-like domain of unknown function (DUF4325)
PF08808	0.9428812192721	RES domain
PF02465	0.941854467140897	Flagellar hook-associated protein 2 N-terminus
PF07195	0.941854467140897	Flagellar hook-associated protein 2 C-terminus
PF11975	0.941036598744588	Family 4 glycosyl hydrolase C-terminal domain
PF05261	0.940662701734322	TraM protein, DNA-binding
PF06067	0.939492483462996	Domain of unknown function (DUF932)
PF07819	0.939014432999447	PGAP1-like protein
PF01078	0.938788698727106	Magnesium chelatase, subunit ChlI
PF13335	0.938788698727106	Magnesium chelatase, subunit ChlI C-terminal
PF12102	0.938788698727106	Domain of unknown function (DUF3578)
PF03811	0.938788698727106	InsA N-terminal domain
PF04449	0.938507584755726	CS1 type fimbrial major subunit
PF05272	0.937656210829953	Virulence-associated protein E
PF10926	0.937656210829953	Protein of unknown function (DUF2800)
PF10991	0.937656210829953	Protein of unknown function (DUF2815)
PF01478	0.937656210829953	Type IV leader peptidase family
PF13643	0.935718318379651	Domain of unknown function (DUF4145)
PF06319	0.934366131937461	DNA repair protein MmcB-like
PF13700	0.932941778353733	Domain of unknown function (DUF4158)
PF09673	0.929827817076507	Type-F conjugative transfer system pilin assembly protein
PF01972	0.929827817076507	Serine dehydrogenase proteinase
PF03865	0.929717697710001	Haemolysin secretion/activation protein ShlB/FhaC/HecB
PF01738	0.929559619781941	Dienelactone hydrolase family
PF09306	0.929137232846524	Bacteriophage, scaffolding protein
PF00111	0.928761073133972	2Fe-2S iron-sulfur cluster binding domain
PF03212	0.928559195054398	Pertactin
PF05309	0.928328373097017	TraE protein
PF04011	0.925639180704484	LemA family
PF13672	0.924216154930799	Protein phosphatase 2C
PF04098	0.924180877040482	Rad52/22 family double-strand break repair protein
PF13087	0.922780094158743	AAA domain
PF10765	0.922780094158743	Protein of unknown function (DUF2591)
PF12759	0.92261640779975	InsA C-terminal domain
PF07820	0.922232406371571	TraC-like protein
PF10502	0.922232406371571	Signal peptidase, peptidase S26
PF11058	0.922232406371571	Antirestriction protein Ral
PF06154	0.922232406371571	CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A
PF05662	0.921843203587313	Coiled stalk of trimeric autotransporter adhesin
PF16510	0.921393310907237	Phage P22-like portal protein
PF04233	0.92002497733423	Phage Mu protein F like protein
