ann_term	CC	annotation
PF00959	0.838613406985611	Phage lysozyme
PF04971	0.821324001264203	Bacteriophage P21 holin S
PF05939	0.806962247367273	Phage minor tail protein
PF06316	0.802293265874712	Enterobacterial Ail/Lom protein
PF04448	0.798496823483296	Protein of unknown function (DUF551)
PF03245	0.797560613303108	Bacteriophage Rz lysis protein
PF06147	0.793270066380763	Protein of unknown function (DUF968)
PF05100	0.79196466989647	Phage minor tail protein L
PF09327	0.78058328586254	Domain of unknown function (DUF1983)
PF06805	0.778785711981574	Bacteriophage lambda tail assembly protein I
PF14464	0.776415541688103	Prokaryotic homologs of the JAB domain
PF08410	0.776292814957283	Domain of unknown function (DUF1737)
PF08400	0.775886154707144	Prophage tail fibre N-terminal
PF00877	0.769177829479165	NlpC/P60 family
PF05521	0.769120071787368	Phage head-tail joining protein
PF09718	0.766831846866466	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF03629	0.761058668649914	Carbohydrate esterase, sialic acid-specific acetylesterase
PF04883	0.756964802632648	Bacteriophage HK97-gp10, putative tail-component
PF13132	0.75525751920083	Domain of unknown function (DUF3950)
PF11367	0.754947381202434	Protein of unknown function (DUF3168)
PF13550	0.754295038280719	Putative phage tail protein
PF06222	0.752667599433387	Phage tail assembly chaperone
PF05866	0.75193689795851	Endodeoxyribonuclease RusA
PF13227	0.751366293557782	Protein of unknown function (DUF4035)
PF10549	0.75097893578953	ORF11CD3 domain
PF05135	0.748055524753728	Phage gp6-like head-tail connector protein
PF01391	0.747365158000597	Collagen triple helix repeat (20 copies)
PF06416	0.737742124242858	Effector protein NleG
PF12421	0.734998761000686	Fibronectin type III protein
PF06820	0.733579461779633	Putative prophage tail fibre C-terminus
PF07789	0.732557758228133	Protein of unknown function (DUF1627)
PF06120	0.732015054499199	Tail length tape measure protein
PF00589	0.729422714962511	Phage integrase family
PF05358	0.72873332504365	DicB protein
PF03278	0.726005327095202	IpaB/EvcA family
PF16473	0.723754926095994	3' exoribonuclease, RNase T-like
PF07358	0.722125692344614	Protein of unknown function (DUF1482)
PF05065	0.721886522657447	Phage capsid family
PF07151	0.719049271855207	Protein of unknown function (DUF1391)
PF04586	0.715665793209068	Caudovirus prohead serine protease
PF03354	0.715093674374839	Phage Terminase
PF05766	0.714684592592498	Bacteriophage Lambda NinG protein
PF05876	0.712693298489915	Phage terminase large subunit (GpA)
PF05696	0.709998442989353	Protein of unknown function (DUF826)
PF02368	0.709089858657633	Bacterial Ig-like domain (group 2)
PF06791	0.706264303505346	Prophage tail length tape measure protein
PF06223	0.704486121389747	Minor tail protein T
PF05136	0.70218860397362	Phage portal protein, lambda family
PF05099	0.70195279564918	Tellurite resistance protein TerB
PF06069	0.701706268663786	PerC transcriptional activator
PF06254	0.701275572547564	Putative bacterial toxin ydaT
PF06894	0.69872616823835	Bacteriophage lambda tail assembly chaperone, TAC, protein G
PF00449	0.696694700377261	Urease alpha-subunit, N-terminal domain
PF00547	0.696694700377261	Urease, gamma subunit
PF00699	0.696694700377261	Urease beta subunit
PF01730	0.696694700377261	UreF
PF02814	0.696694700377261	UreE urease accessory protein, N-terminal domain
PF05194	0.696694700377261	UreE urease accessory protein, C-terminal domain
PF10547	0.695435002599386	P22_AR N-terminal domain
PF03592	0.693807197724955	Terminase small subunit
PF04888	0.693282717393868	Secretion system effector C (SseC) like family
PF16461	0.693249798304178	Lambda phage tail tube protein, TTP
PF07125	0.691842221124107	Protein of unknown function (DUF1378)
PF13935	0.683819525525405	Ead/Ea22-like protein
PF01848	0.682472578062915	Hok/gef family
