ann_term	q_val	annotation
PF13855	0.0355466567296512	Leucine rich repeat
PF00254	0.0355466567296512	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00560	0.0470968042171109	Leucine Rich Repeat
PF00641	0.0470968042171109	Zn-finger in Ran binding protein and others
PF12796	0.0485367426039353	Ankyrin repeats (3 copies)
PF03514	0.0485367426039353	GRAS domain family
PF13516	0.0485367426039353	Leucine Rich repeat
PF14215	0.0485367426039353	bHLH-MYC and R2R3-MYB transcription factors N-terminal
PF02536	0.0485367426039353	mTERF
PF00122	0.0493462823705921	E1-E2 ATPase
PF03600	0.0493462823705921	Citrate transporter
PF00324	0.0515414272728889	Amino acid permease
PF01453	0.0515414272728889	D-mannose binding lectin
PF01820	0.0515414272728889	D-ala D-ala ligase N-terminus
PF00954	0.0515414272728889	S-locus glycoprotein domain
PF08276	0.0515414272728889	PAN-like domain
PF02991	0.0515414272728889	Autophagy protein Atg8 ubiquitin like
PF04051	0.0515414272728889	Transport protein particle (TRAPP) component
PF04597	0.0515414272728889	Ribophorin I
PF11721	0.0515414272728889	Malectin domain
PF00753	0.0523344425189073	Metallo-beta-lactamase superfamily
PF16499	0.0523344425189073	Alpha galactosidase A
PF00694	0.056691694290012	Aconitase C-terminal domain
PF00011	0.0580086847239192	Hsp20/alpha crystallin family
PF08263	0.062621103059407	Leucine rich repeat N-terminal domain
PF19086	0.0667990053841149	Terpene synthase family 2, C-terminal metal binding
PF03169	0.0689161951990225	OPT oligopeptide transporter protein
PF00464	0.0725338119367039	Serine hydroxymethyltransferase
PF05536	0.0725338119367039	Neurochondrin
PF03800	0.0725338119367039	Nuf2 family
PF01734	0.0735325613120026	Patatin-like phospholipase
PF13520	0.0770390692609767	Amino acid permease
PF07137	0.0813770203282137	VDE lipocalin domain
PF17800	0.0813770203282137	Nucleoplasmin-like domain
PF01556	0.0870918957980456	DnaJ C terminal domain
PF00690	0.103793606795067	Cation transporter/ATPase, N-terminus
PF01127	0.104573076938471	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF09358	0.109903357101845	Ubiquitin fold domain
PF06045	0.109903357101845	Rhamnogalacturonate lyase family
PF01221	0.109903357101845	Dynein light chain type 1
PF03081	0.109903357101845	Exo70 exocyst complex subunit
PF01373	0.109903357101845	Glycosyl hydrolase family 14
PF14577	0.109903357101845	Sieve element occlusion C-terminus
PF05047	0.109903357101845	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF08100	0.109903357101845	Dimerisation domain
PF00060	0.109903357101845	Ligand-gated ion channel
PF02798	0.11914788885815	Glutathione S-transferase, N-terminal domain
