ann_term	CC	annotation
PF13855	1.08931292496057e-05	Leucine rich repeat
PF00254	1.40750967054647e-05	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00560	3.47629782722644e-05	Leucine Rich Repeat
PF00641	3.72970138325962e-05	Zn-finger in Ran binding protein and others
PF12796	5.95242084140995e-05	Ankyrin repeats (3 copies)
PF03514	7.21163085156771e-05	GRAS domain family
PF13516	7.25817367492751e-05	Leucine Rich repeat
PF14215	7.98704804409399e-05	bHLH-MYC and R2R3-MYB transcription factors N-terminal
PF02536	8.64839998882236e-05	mTERF
PF00122	0.000100982732895459	E1-E2 ATPase
PF03600	0.000107465671367356	Citrate transporter
PF00324	0.000149113750404673	Amino acid permease
PF01453	0.000149954253167569	D-mannose binding lectin
PF01820	0.00015118442124279	D-ala D-ala ligase N-terminus
PF00954	0.000155239639444343	S-locus glycoprotein domain
PF08276	0.000164867695333655	PAN-like domain
PF02991	0.000187320893626486	Autophagy protein Atg8 ubiquitin like
PF04051	0.00019832463872145	Transport protein particle (TRAPP) component
PF04597	0.000202025284661418	Ribophorin I
PF11721	0.000204084051763567	Malectin domain
PF00753	0.000222607444787553	Metallo-beta-lactamase superfamily
PF16499	0.00022794649285606	Alpha galactosidase A
PF00694	0.000258148677226347	Aconitase C-terminal domain
PF00011	0.000275630258042776	Hsp20/alpha crystallin family
PF08263	0.000309944085623674	Leucine rich repeat N-terminal domain
PF19086	0.000343847582654323	Terpene synthase family 2, C-terminal metal binding
PF03169	0.000368389877325996	OPT oligopeptide transporter protein
PF00464	0.000409376320444366	Serine hydroxymethyltransferase
PF05536	0.00042423041134195	Neurochondrin
PF03800	0.000430808623658902	Nuf2 family
PF01734	0.000451298634066934	Patatin-like phospholipase
PF13520	0.000488071711809791	Amino acid permease
PF07137	0.000541539008353824	VDE lipocalin domain
PF17800	0.000547776418760496	Nucleoplasmin-like domain
PF01556	0.00060348769608624	DnaJ C terminal domain
PF00690	0.000739768331938706	Cation transporter/ATPase, N-terminus
PF01127	0.000766027290976726	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF09358	0.000913725232204384	Ubiquitin fold domain
PF06045	0.000919075997029571	Rhamnogalacturonate lyase family
PF01221	0.000920379198507039	Dynein light chain type 1
PF03081	0.00093153340434055	Exo70 exocyst complex subunit
PF01373	0.000951825060259391	Glycosyl hydrolase family 14
PF14577	0.000979191411294782	Sieve element occlusion C-terminus
PF05047	0.00098543095787342	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF08100	0.000998242256940873	Dimerisation domain
PF00060	0.00100090168811817	Ligand-gated ion channel
PF02798	0.001109110336592	Glutathione S-transferase, N-terminal domain
PF00702	0.00114419757050972	haloacid dehalogenase-like hydrolase
PF12430	0.00115585954346651	Abscisic acid G-protein coupled receptor
PF03331	0.00118364612281646	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF06827	0.00125519687231615	Zinc finger found in FPG and IleRS
PF00248	0.00126362210861219	Aldo/keto reductase family
PF14529	0.00127504908715352	Endonuclease-reverse transcriptase
PF10175	0.00135472263089915	M-phase phosphoprotein 6
PF10839	0.00136933238042499	Protein of unknown function (DUF2647)
PF01134	0.00145161218071196	Glucose inhibited division protein A
PF00933	0.00152099647374878	Glycosyl hydrolase family 3 N terminal domain
PF05691	0.00152274600083398	Raffinose synthase or seed imbibition protein Sip1
PF11883	0.00157565997817729	Domain of unknown function (DUF3403)
PF01094	0.00162094664650362	Receptor family ligand binding region
PF00925	0.00172193064137329	GTP cyclohydrolase II
PF01467	0.00177908946162811	Cytidylyltransferase-like
PF12546	0.00182117092377964	Blue/Ultraviolet sensing protein C terminal
PF00704	0.00187538511504349	Glycosyl hydrolases family 18
PF00454	0.00187826077393749	Phosphatidylinositol 3- and 4-kinase
PF12854	0.00187988505278762	PPR repeat
PF03950	0.00191055336495846	tRNA synthetases class I (E and Q), anti-codon binding domain
PF00448	0.00191477610181019	SRP54-type protein, GTPase domain
PF02780	0.00195270104139453	Transketolase, C-terminal domain
PF01553	0.00196113395523976	Acyltransferase
PF06176	0.0020158652341279	Lipopolysaccharide core biosynthesis protein (WaaY)
PF18263	0.00202261503481443	MCM6 C-terminal winged-helix domain
PF01238	0.00205172393190448	Phosphomannose isomerase type I
PF02291	0.00209849207254951	Transcription initiation factor IID, 31kD subunit
PF01138	0.00212544638599258	3' exoribonuclease family, domain 1
PF04114	0.00212935210803576	Gaa1-like, GPI transamidase component
PF08519	0.00214870497320697	Replication factor RFC1 C terminal domain
PF09369	0.00219313384956274	Domain of unknown function (DUF1998)
PF01212	0.00219815803539163	Beta-eliminating lyase
PF01397	0.00220038122566025	Terpene synthase, N-terminal domain
PF11923	0.00224886169127471	NFACT protein C-terminal domain
PF02002	0.00229550773826563	TFIIE alpha subunit
PF10693	0.00240014082025047	Protein of unknown function (DUF2499)
PF03062	0.0024784458891909	MBOAT, membrane-bound O-acyltransferase family
PF13423	0.00249391718458023	Ubiquitin carboxyl-terminal hydrolase
PF10585	0.00253669728721668	Ubiquitin-activating enzyme active site
PF14655	0.00254377930591536	Rab3 GTPase-activating protein regulatory subunit N-terminus
PF13906	0.00254644945189141	C-terminus of AA_permease
PF07035	0.00258485947343924	Colon cancer-associated protein Mic1-like
PF07719	0.00266259472794683	Tetratricopeptide repeat
PF03441	0.00267350995643084	FAD binding domain of DNA photolyase
PF14631	0.00267731378308627	Fanconi anaemia protein FancD2 nuclease
PF00644	0.00268960755782673	Poly(ADP-ribose) polymerase catalytic domain
