ann_term	CC	annotation
PF01384	0.506449663301727	Phosphate transporter family
PF01453	0.468389459269983	D-mannose binding lectin
PF16884	0.453933370294199	N-terminal domain of oxidoreductase
PF12999	0.439118240544139	Glucosidase II beta subunit-like
PF05691	0.435779930443312	Raffinose synthase or seed imbibition protein Sip1
PF03467	0.42652653215141	Smg-4/UPF3 family
PF18317	0.423660038493697	Shikimate 5'-dehydrogenase C-terminal domain
PF14577	0.423058750894288	Sieve element occlusion C-terminus
PF13905	0.422198658904766	Thioredoxin-like
PF13091	0.421131559908889	PLD-like domain
PF14576	0.415595602353902	Sieve element occlusion N-terminus
PF00405	0.414016364801913	Transferrin
PF17048	0.413217504100374	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF00248	0.409595653393749	Aldo/keto reductase family
PF17801	0.408954057858822	Alpha galactosidase C-terminal beta sandwich domain
PF04511	0.40199645812431	Der1-like family
PF02153	0.3976131643277	Prephenate dehydrogenase
PF14476	0.39611847953021	Petal formation-expressed
PF13561	0.392678078814008	Enoyl-(Acyl carrier protein) reductase
PF07258	0.392269414479421	COMM domain
PF01814	0.391094059654853	Hemerythrin HHE cation binding domain
PF04863	0.389644544458359	Alliinase EGF-like domain
PF12971	0.386784976499626	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF02746	0.386686322634718	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF08276	0.386047817741555	PAN-like domain
PF13602	0.385706430896792	Zinc-binding dehydrogenase
PF11721	0.385637964406453	Malectin domain
PF02536	0.383198756356009	mTERF
PF00954	0.382486491009622	S-locus glycoprotein domain
PF00689	0.382403319206583	Cation transporting ATPase, C-terminus
PF13015	0.381960608976941	Glucosidase II beta subunit-like protein
PF00909	0.375929827310065	Ammonium Transporter Family
PF03255	0.373843175901135	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF05634	0.372178092609451	APO RNA-binding
PF00704	0.366834548946907	Glycosyl hydrolases family 18
PF16041	0.364169195265735	Domain of unknown function (DUF4793)
PF05368	0.363390495939772	NmrA-like family
PF01221	0.360755163800609	Dynein light chain type 1
PF00182	0.357482700053246	Chitinase class I
PF00107	0.357117269280194	Zinc-binding dehydrogenase
PF08263	0.352008516175594	Leucine rich repeat N-terminal domain
PF13855	0.351762442383776	Leucine rich repeat
PF01225	0.351513233966688	Mur ligase family, catalytic domain
PF12202	0.349305549499452	Oxidative-stress-responsive kinase 1 C-terminal domain
PF16499	0.344798682986692	Alpha galactosidase A
PF08501	0.344509281068761	Shikimate dehydrogenase substrate binding domain
PF02833	0.34170027273974	DHHA2 domain
PF00690	0.340174771901268	Cation transporter/ATPase, N-terminus
PF08240	0.340150896742446	Alcohol dehydrogenase GroES-like domain
PF01494	0.339179074858299	FAD binding domain
PF11883	0.339177644685463	Domain of unknown function (DUF3403)
PF05686	0.339126912011415	Glycosyl transferase family 90
PF02873	0.338118470049691	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF07207	0.33766491571959	Light regulated protein Lir1
PF00289	0.33754776612078	Biotin carboxylase, N-terminal domain
PF10442	0.337468160201482	FIST C domain
PF03070	0.335529926641185	TENA/THI-4/PQQC family
PF03492	0.334647101379833	SAM dependent carboxyl methyltransferase
PF01177	0.333296003882146	Asp/Glu/Hydantoin racemase
PF15490	0.331198204477121	Telomere-capping, CST complex subunit
PF02727	0.331004661968411	Copper amine oxidase, N2 domain
PF01256	0.330862718690082	Carbohydrate kinase
PF01758	0.329430969653278	Sodium Bile acid symporter family
PF02458	0.328485917988237	Transferase family
PF02668	0.327761099507837	Taurine catabolism dioxygenase TauD, TfdA family
PF13378	0.325832338202219	Enolase C-terminal domain-like
PF01925	0.323397315813418	Sulfite exporter TauE/SafE
PF12896	0.322719634600968	Anaphase-promoting complex, cyclosome, subunit 4
PF11510	0.322270805788123	Fanconi Anaemia group E protein FANCE
PF00702	0.3222306176133	haloacid dehalogenase-like hydrolase
PF00043	0.319370037436385	Glutathione S-transferase, C-terminal domain
PF01061	0.319141834450878	ABC-2 type transporter
PF04734	0.318156876662191	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF13637	0.318127897347421	Ankyrin repeats (many copies)
PF02875	0.317397959709079	Mur ligase family, glutamate ligase domain
PF09350	0.317396032790801	Domain of unknown function (DUF1992)
PF00122	0.315351548571516	E1-E2 ATPase
PF02798	0.313305442414216	Glutathione S-transferase, N-terminal domain
PF05089	0.313124544523563	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF01975	0.312981439834995	Survival protein SurE
PF11416	0.312014113086398	Syntaxin-5 N-terminal, Sly1p-binding domain
PF04493	0.311580375319216	Endonuclease V
PF05834	0.311566310702757	Lycopene cyclase protein
PF05183	0.310371484183304	RNA dependent RNA polymerase
PF14380	0.308760719170872	Wall-associated receptor kinase C-terminal
PF04107	0.308244485362834	Glutamate-cysteine ligase family 2(GCS2)
PF00011	0.307915661176034	Hsp20/alpha crystallin family
PF16916	0.306449889881974	Dimerisation domain of Zinc Transporter
PF14678	0.305782799437103	FANCI solenoid 4
PF13668	0.305022562923882	Ferritin-like domain
PF11838	0.3046455737773	ERAP1-like C-terminal domain
PF03140	0.304486287025694	Plant protein of unknown function
PF08370	0.304477357241464	Plant PDR ABC transporter associated
PF00560	0.3032442407799	Leucine Rich Repeat
PF08100	0.302292341168273	Dimerisation domain
PF00933	0.301343127628162	Glycosyl hydrolase family 3 N terminal domain
PF01476	0.300478124921895	LysM domain
PF16040	0.29901421908296	Domain of unknown function (DUF4792)
PF02492	0.294986137483186	CobW/HypB/UreG, nucleotide-binding domain
PF03652	0.294861543442371	Holliday junction resolvase
