ann_term	CC	annotation
PF01453	0.638024695944048	D-mannose binding lectin
PF14576	0.635893359685099	Sieve element occlusion N-terminus
PF14577	0.635560104319602	Sieve element occlusion C-terminus
PF11721	0.621896747999124	Malectin domain
PF05691	0.616774783390567	Raffinose synthase or seed imbibition protein Sip1
PF01384	0.612303057743797	Phosphate transporter family
PF00954	0.601295325486773	S-locus glycoprotein domain
PF00248	0.597449674903919	Aldo/keto reductase family
PF13602	0.581585106510754	Zinc-binding dehydrogenase
PF08276	0.572762395140411	PAN-like domain
PF00182	0.572453351761597	Chitinase class I
PF16884	0.567570665274671	N-terminal domain of oxidoreductase
PF00107	0.561128429022235	Zinc-binding dehydrogenase
PF04511	0.547967539516575	Der1-like family
PF17801	0.543409330659308	Alpha galactosidase C-terminal beta sandwich domain
PF03140	0.543338389148917	Plant protein of unknown function
PF13561	0.538964504499372	Enoyl-(Acyl carrier protein) reductase
PF12999	0.53700047596351	Glucosidase II beta subunit-like
PF00704	0.533228418125894	Glycosyl hydrolases family 18
PF13637	0.533033554544523	Ankyrin repeats (many copies)
PF00909	0.530471836311142	Ammonium Transporter Family
PF04863	0.527232554501959	Alliinase EGF-like domain
PF07258	0.525183098755128	COMM domain
PF01221	0.523899014353534	Dynein light chain type 1
PF11883	0.521022329574422	Domain of unknown function (DUF3403)
PF02536	0.519958348782175	mTERF
PF01814	0.519303237227382	Hemerythrin HHE cation binding domain
PF13855	0.517430687115756	Leucine rich repeat
PF00689	0.516006232653665	Cation transporting ATPase, C-terminus
PF08240	0.510507581242134	Alcohol dehydrogenase GroES-like domain
PF16499	0.509815280051707	Alpha galactosidase A
PF05686	0.509736434512084	Glycosyl transferase family 90
PF02798	0.509196635948844	Glutathione S-transferase, N-terminal domain
PF08263	0.508940096332716	Leucine rich repeat N-terminal domain
PF00702	0.507464047015824	haloacid dehalogenase-like hydrolase
PF05368	0.503038988064514	NmrA-like family
PF00011	0.503025395290262	Hsp20/alpha crystallin family
PF00405	0.501654051432452	Transferrin
PF17048	0.49642966289431	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF00690	0.494253424446439	Cation transporter/ATPase, N-terminus
PF18317	0.493822293713219	Shikimate 5'-dehydrogenase C-terminal domain
PF01494	0.48871081668456	FAD binding domain
PF14380	0.488379303476129	Wall-associated receptor kinase C-terminal
PF01061	0.486867253634324	ABC-2 type transporter
PF13091	0.484126339654553	PLD-like domain
PF12796	0.482300165916158	Ankyrin repeats (3 copies)
PF03492	0.47856040755647	SAM dependent carboxyl methyltransferase
PF03552	0.47821620649954	Cellulose synthase
PF00060	0.47556495704446	Ligand-gated ion channel
PF00732	0.473670090696297	GMC oxidoreductase
PF08100	0.470944538248851	Dimerisation domain
PF05183	0.470624147337214	RNA dependent RNA polymerase
PF12971	0.466845040144628	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF07687	0.46594743145489	Peptidase dimerisation domain
