ann_term	CC	annotation
PF01453	0.618276179833096	D-mannose binding lectin
PF01384	0.615708981880572	Phosphate transporter family
PF16884	0.591890742111566	N-terminal domain of oxidoreductase
PF05691	0.582321172618733	Raffinose synthase or seed imbibition protein Sip1
PF14577	0.576432712137394	Sieve element occlusion C-terminus
PF14576	0.568799329202998	Sieve element occlusion N-terminus
PF00248	0.56032398144051	Aldo/keto reductase family
PF13905	0.551746759090851	Thioredoxin-like
PF17801	0.5494534135728	Alpha galactosidase C-terminal beta sandwich domain
PF17048	0.544934747942918	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF02536	0.541801303445373	mTERF
PF13561	0.536418526836194	Enoyl-(Acyl carrier protein) reductase
PF00954	0.533686093301932	S-locus glycoprotein domain
PF07258	0.532517382918691	COMM domain
PF01814	0.528855276568559	Hemerythrin HHE cation binding domain
PF18317	0.528409980069378	Shikimate 5'-dehydrogenase C-terminal domain
PF08276	0.527118823901257	PAN-like domain
PF13091	0.525766492592074	PLD-like domain
PF12999	0.525340139991852	Glucosidase II beta subunit-like
PF03467	0.525019020703978	Smg-4/UPF3 family
PF14476	0.523425710364055	Petal formation-expressed
PF13602	0.523233422266393	Zinc-binding dehydrogenase
PF11721	0.52002293043253	Malectin domain
PF00704	0.514215836511208	Glycosyl hydrolases family 18
PF00909	0.508498618129547	Ammonium Transporter Family
PF00107	0.505014257491697	Zinc-binding dehydrogenase
PF04511	0.500036770424523	Der1-like family
PF00405	0.496717574863409	Transferrin
PF05368	0.495916967423102	NmrA-like family
PF00182	0.49421839793157	Chitinase class I
PF13855	0.492615200458287	Leucine rich repeat
PF01221	0.491095330685732	Dynein light chain type 1
PF08263	0.489618708987665	Leucine rich repeat N-terminal domain
PF02153	0.48707924716169	Prephenate dehydrogenase
PF00689	0.485709913293976	Cation transporting ATPase, C-terminus
PF04863	0.485484674407902	Alliinase EGF-like domain
PF08240	0.477582302155363	Alcohol dehydrogenase GroES-like domain
PF16499	0.477390302142496	Alpha galactosidase A
PF03255	0.477058687933903	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF16041	0.476199712810441	Domain of unknown function (DUF4793)
PF05634	0.47319212126287	APO RNA-binding
PF03492	0.472360205182023	SAM dependent carboxyl methyltransferase
PF11883	0.472249867236807	Domain of unknown function (DUF3403)
PF12971	0.466834207346165	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF02458	0.465965735821239	Transferase family
PF13015	0.464613645324971	Glucosidase II beta subunit-like protein
PF02746	0.462801690467023	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF12202	0.45844549584915	Oxidative-stress-responsive kinase 1 C-terminal domain
PF08501	0.455254197862127	Shikimate dehydrogenase substrate binding domain
PF01494	0.453972996890818	FAD binding domain
PF01225	0.453290060708366	Mur ligase family, catalytic domain
PF01061	0.45140100235714	ABC-2 type transporter
PF05686	0.450064580026955	Glycosyl transferase family 90
PF03140	0.446692662254584	Plant protein of unknown function
PF00043	0.44260671596698	Glutathione S-transferase, C-terminal domain
PF02798	0.441363015510525	Glutathione S-transferase, N-terminal domain
PF00011	0.439769166414563	Hsp20/alpha crystallin family
PF01925	0.438814475725839	Sulfite exporter TauE/SafE
PF08100	0.432541903572206	Dimerisation domain
PF00702	0.431797271959096	haloacid dehalogenase-like hydrolase
PF03070	0.430708414120984	TENA/THI-4/PQQC family
PF00201	0.43066028162333	UDP-glucoronosyl and UDP-glucosyl transferase
PF00690	0.430344763170452	Cation transporter/ATPase, N-terminus
PF02668	0.427081931721353	Taurine catabolism dioxygenase TauD, TfdA family
PF08370	0.426710770009093	Plant PDR ABC transporter associated
PF14380	0.426552812624303	Wall-associated receptor kinase C-terminal
PF01177	0.42305592885818	Asp/Glu/Hydantoin racemase
PF10442	0.422904858766752	FIST C domain
PF00560	0.42134424295837	Leucine Rich Repeat
PF07207	0.420565456074658	Light regulated protein Lir1
PF00122	0.419964405457768	E1-E2 ATPase
PF13637	0.419200112510847	Ankyrin repeats (many copies)
PF02833	0.418836124473009	DHHA2 domain
PF00289	0.41879377751959	Biotin carboxylase, N-terminal domain
PF01476	0.418070294861346	LysM domain
PF14226	0.416091094738506	non-haem dioxygenase in morphine synthesis N-terminal
PF04734	0.415371747222905	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF02875	0.413412812157412	Mur ligase family, glutamate ligase domain
PF02873	0.412778398033951	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF03171	0.412732848075389	2OG-Fe(II) oxygenase superfamily
PF15490	0.41178667877469	Telomere-capping, CST complex subunit
PF14510	0.410794231610907	ABC-transporter N-terminal
PF12796	0.410734322838773	Ankyrin repeats (3 copies)
PF02727	0.409452060133588	Copper amine oxidase, N2 domain
PF01975	0.408499703702759	Survival protein SurE
PF01758	0.408250131561179	Sodium Bile acid symporter family
PF05183	0.408033906257537	RNA dependent RNA polymerase
PF13668	0.407692791830768	Ferritin-like domain
PF16040	0.404888742954257	Domain of unknown function (DUF4792)
PF19160	0.40109368999658	SPARK
PF11838	0.400982592974525	ERAP1-like C-terminal domain
PF13378	0.398745732838495	Enolase C-terminal domain-like
PF00933	0.397417141623328	Glycosyl hydrolase family 3 N terminal domain
PF01256	0.39528388049687	Carbohydrate kinase
PF05089	0.395223977035634	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF01535	0.393580596902816	PPR repeat
PF05834	0.393177598286076	Lycopene cyclase protein
PF11510	0.392102717148597	Fanconi Anaemia group E protein FANCE
PF04107	0.391890968933347	Glutamate-cysteine ligase family 2(GCS2)
PF12896	0.386912310249598	Anaphase-promoting complex, cyclosome, subunit 4
PF11416	0.38334251949875	Syntaxin-5 N-terminal, Sly1p-binding domain
PF14432	0.381504410281256	DYW family of nucleic acid deaminases
PF00891	0.380513342732058	O-methyltransferase domain
PF04493	0.379814214781795	Endonuclease V
PF08787	0.37946136536473	Alginate lyase
PF00967	0.378619734731856	Barwin family
PF16916	0.376454134079171	Dimerisation domain of Zinc Transporter
PF09350	0.375564640554195	Domain of unknown function (DUF1992)
PF07107	0.374819270377774	Wound-induced protein WI12
PF00060	0.374624848318909	Ligand-gated ion channel
PF04970	0.3729837490304	Lecithin retinol acyltransferase
PF04145	0.372556062896464	Ctr copper transporter family
PF02492	0.372062161606345	CobW/HypB/UreG, nucleotide-binding domain
PF13962	0.371795266215529	Domain of unknown function
PF07687	0.370459984389478	Peptidase dimerisation domain
PF03652	0.369098448029033	Holliday junction resolvase
PF14678	0.368943498341555	FANCI solenoid 4
PF13460	0.368383599692758	NAD(P)H-binding
PF13516	0.368148034415158	Leucine Rich repeat
PF13968	0.367830323145111	Domain of unknown function (DUF4220)
PF03552	0.367772644700166	Cellulose synthase
PF08245	0.364751511498799	Mur ligase middle domain
PF00067	0.36439830076594	Cytochrome P450
