ann_term	CC	annotation
PF00307	8.69043282796008e-06	Calponin homology (CH) domain
PF03062	2.54478857438874e-05	MBOAT, membrane-bound O-acyltransferase family
PF02375	2.5900206314587e-05	jmjN domain
PF13855	0.000132998534995596	Leucine rich repeat
PF07496	0.000143182034075835	CW-type Zinc Finger
PF00614	0.00016001139450634	Phospholipase D Active site motif
PF12796	0.000164509483152335	Ankyrin repeats (3 copies)
PF12430	0.000164708566216952	Abscisic acid G-protein coupled receptor
PF03953	0.0001950673266059	Tubulin C-terminal domain
PF00560	0.000223140510563878	Leucine Rich Repeat
PF01201	0.000223225325658916	Ribosomal protein S8e
PF02002	0.000227422470858009	TFIIE alpha subunit
PF00173	0.000233216327619113	Cytochrome b5-like Heme/Steroid binding domain
PF00324	0.000240034087424286	Amino acid permease
PF13499	0.000286775512547901	EF-hand domain pair
PF11923	0.000286869207357555	NFACT protein C-terminal domain
PF03331	0.000290697490165237	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF00786	0.000300700261253822	P21-Rho-binding domain
PF05047	0.000302896324863291	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF09369	0.000309904496902023	Domain of unknown function (DUF1998)
PF10175	0.000322239086823116	M-phase phosphoprotein 6
PF01127	0.000404574518361829	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF14966	0.000430885626180593	DNA repair REX1-B
PF07035	0.000483134221444714	Colon cancer-associated protein Mic1-like
PF09269	0.000502441171146333	Domain of unknown function (DUF1967)
PF08276	0.000545359383096861	PAN-like domain
PF16029	0.000567077014526128	Domain of unknown function (DUF4787)
PF00962	0.00058509631815768	Adenosine/AMP deaminase
PF08766	0.000602655236810205	DEK C terminal domain
PF08449	0.000605225186817549	UAA transporter family
PF10497	0.000667333480494214	Zinc-finger domain of monoamine-oxidase A repressor R1
PF03006	0.000709940081115425	Haemolysin-III related
PF01381	0.000720159605713057	Helix-turn-helix
PF01016	0.000749781414807549	Ribosomal L27 protein
PF01412	0.000750891385991649	Putative GTPase activating protein for Arf
PF05536	0.000758400731735699	Neurochondrin
PF10674	0.000776577841675521	Protein of unknown function (DUF2488)
PF00805	0.0007871160929676	Pentapeptide repeats (8 copies)
PF13418	0.000809675306447892	Galactose oxidase, central domain
PF08216	0.000821878601926476	Catenin-beta-like, Arm-motif containing nuclear
PF00549	0.000825921163917042	CoA-ligase
