ann_term	cv	annotation
PF00005	0.16588592943045	ABC transporter
PF00006	1.3029702702544	ATP synthase alpha/beta family, nucleotide-binding domain
PF00008	1.28969061669551	EGF-like domain
PF00009	0.145059084365853	Elongation factor Tu GTP binding domain
PF00010	0.204775379046608	Helix-loop-helix DNA-binding domain
PF00011	0.21305911002197	Hsp20/alpha crystallin family
PF00012	0.440246844850182	Hsp70 protein
PF00013	0.193000523814289	KH domain
PF00015	6.03274085836205	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	2.28335765667533	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	7.34846922834953	SH2 domain
PF00018	0.722260602108748	SH3 domain
PF00020	4.16182108180795	TNFR/NGFR cysteine-rich region
PF00022	0.27359562183562	Actin
PF00023	0.357518032149861	Ankyrin repeat
PF00024	1.69855381751015	PAN domain
PF00025	0.218195278910625	ADP-ribosylation factor family
PF00026	0.384206085399732	Eukaryotic aspartyl protease
PF00027	0.184242874380613	Cyclic nucleotide-binding domain
PF00031	1.35781654438075	Cystatin domain
PF00032	1.34302147592116	Cytochrome b(C-terminal)/b6/petD
PF00033	1.1963373337402	Cytochrome b/b6/petB
PF00034	0.444328363621193	Cytochrome c
PF00035	0.138967961667401	Double-stranded RNA binding motif
PF00036	0.337190751256618	EF hand
PF00037	0.677528687619705	4Fe-4S binding domain
PF00041	0.611102515273867	Fibronectin type III domain
PF00042	0.840364195670471	Globin
PF00043	0.342925497782696	Glutathione S-transferase, C-terminal domain
PF00044	0.292477468584635	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	3.04277846415195	Hemopexin
PF00046	0.24084878773123	Homeodomain
PF00054	7.34846922834953	Laminin G domain
PF00056	0.197355983095575	lactate/malate dehydrogenase, NAD binding domain
PF00059	0.356873213573165	Lectin C-type domain
PF00060	0.486033482661517	Ligand-gated ion channel
PF00061	4.42868011343897	Lipocalin / cytosolic fatty-acid binding protein family
PF00063	0.329998695241171	Myosin head (motor domain)
PF00067	0.318709843534138	Cytochrome P450
PF00068	7.34846922834953	Phospholipase A2
PF00069	0.227308917323914	Protein kinase domain
PF00070	2.61552487092062	Pyridine nucleotide-disulphide oxidoreductase
PF00071	0.217449255097568	Ras family
PF00072	0.198086082051834	Response regulator receiver domain
PF00075	4.81554087951334	RNase H
PF00076	0.166045194242971	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	3.19197105959359	Retroviral aspartyl protease
PF00078	1.44550409671303	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	0.909866565675798	Serpin (serine protease inhibitor)
PF00080	0.388133765987543	Copper/zinc superoxide dismutase (SODC)
PF00081	0.270248122195322	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	0.287058539872078	Subtilase family
PF00083	0.218241930517574	Sugar (and other) transporter
PF00085	0.155777904264783	Thioredoxin
PF00089	3.34776749040481	Trypsin
PF00091	0.223309673928853	Tubulin/FtsZ family, GTPase domain
PF00092	0.724062170295615	von Willebrand factor type A domain
PF00096	0.334917210247843	Zinc finger, C2H2 type
PF00097	0.230470243416534	Zinc finger, C3HC4 type (RING finger)
PF00098	0.631860840450439	Zinc knuckle
PF00101	0.388227676191205	Ribulose bisphosphate carboxylase, small chain
PF00102	0.409238824031078	Protein-tyrosine phosphatase
PF00105	7.34846922834953	Zinc finger, C4 type (two domains)
PF00106	0.190670005478429	short chain dehydrogenase
PF00107	0.359008653266674	Zinc-binding dehydrogenase
PF00108	0.227402923129714	Thiolase, N-terminal domain
