ann_term	q_val	annotation
PF16491	0.99971676516098	CAAX prenyl protease N-terminal, five membrane helices
PF00847	0.998746611123216	AP2 domain
PF00195	0.998746611123216	Chalcone and stilbene synthases, N-terminal domain
PF04871	0.998405116606205	Uso1 / p115 like vesicle tethering protein, C terminal region
PF04795	0.998352039491994	PAPA-1-like conserved region
PF06628	0.998352039491994	Catalase-related immune-responsive
PF10266	0.998281877714376	Hereditary spastic paraplegia protein strumpellin
PF11712	0.998281877714376	Endoplasmic reticulum-based factor for assembly of V-ATPase
PF01984	0.997648706749409	Double-stranded DNA-binding domain
PF06220	0.996672322958361	U1 zinc finger
PF08320	0.995516565602111	PIG-X / PBN1
PF03033	0.995271165148782	Glycosyltransferase family 28 N-terminal domain
PF00456	0.994822642640411	Transketolase, thiamine diphosphate binding domain
PF04839	0.994822642640411	Plastid and cyanobacterial ribosomal protein (PSRP-3 / Ycf65)
PF14766	0.994822642640411	Replication protein A interacting N-terminal
PF00905	0.993985136716629	Penicillin binding protein transpeptidase domain
PF01327	0.993985136716629	Polypeptide deformylase
PF17967	0.993985136716629	Pullulanase N2 domain
PF14578	0.993985136716629	Elongation factor Tu domain 4
PF03639	0.993985136716629	Glycosyl hydrolase family 81 N-terminal domain
PF16004	0.993693815276895	116 kDa U5 small nuclear ribonucleoprotein component N-terminus
PF16719	0.993383170567381	SAWADEE domain
PF09810	0.992701032261224	Exonuclease V - a 5' deoxyribonuclease
PF02782	0.992334864039983	FGGY family of carbohydrate kinases, C-terminal domain
PF00112	0.991829325943108	Papain family cysteine protease
PF18473	0.991761833280352	Urease subunit beta-alpha linker domain
PF00254	0.991448684027799	FKBP-type peptidyl-prolyl cis-trans isomerase
PF01300	0.991448684027799	Telomere recombination
PF14108	0.99139561527797	Domain of unknown function (DUF4281)
PF01209	0.990820310475939	ubiE/COQ5 methyltransferase family
PF00576	0.990320523157599	HIUase/Transthyretin family
PF06423	0.990320523157599	GWT1
PF19112	0.990320523157599	Vanillate O-demethylase oxygenase C-terminal domain
PF02129	0.989556328354832	X-Pro dipeptidyl-peptidase (S15 family)
PF08277	0.989243687891048	PAN-like domain
PF09346	0.98924227954745	SMI1 / KNR4 family (SUKH-1)
PF04560	0.988932131119594	RNA polymerase Rpb2, domain 7
PF14870	0.988932131119594	Photosynthesis system II assembly factor YCF48
PF12054	0.988932131119594	Domain of unknown function (DUF3535)
PF13361	0.988932131119594	UvrD-like helicase C-terminal domain
PF08495	0.988932131119594	FIST N domain
PF08571	0.988932131119594	Yos1-like
PF01026	0.988932131119594	TatD related DNase
PF05060	0.987672179233156	N-acetylglucosaminyltransferase II (MGAT2)
PF02259	0.987672179233156	FAT domain
PF14826	0.987662730301611	FACT complex subunit SPT16 N-terminal lobe domain
PF08213	0.987630134420137	Mitochondrial domain of unknown function (DUF1713)
PF06644	0.987252126459173	ATP11 protein
PF03912	0.987252126459173	Psb28 protein
PF09139	0.987049191703702	Phosphatidate cytidylyltransferase, mitochondrial
PF14745	0.98565558175492	WASH complex subunit 7, N-terminal
PF08772	0.98537591754018	Nin one binding (NOB1) Zn-ribbon like
PF00728	0.985138742127077	Glycosyl hydrolase family 20, catalytic domain
PF12498	0.985138742127077	Basic leucine-zipper C terminal
PF08785	0.984816754835469	Ku C terminal domain like
PF14744	0.984631573648372	WASH complex subunit 7
PF14746	0.984631573648372	WASH complex subunit 7, C-terminal
PF16858	0.984268783014104	Condensin II complex subunit CAP-H2 or CNDH2, C-term
PF00854	0.984182941555205	POT family
PF00929	0.983655264305175	Exonuclease
PF09348	0.983655264305175	Domain of unknown function (DUF1990)
PF10252	0.983184490743961	Casein kinase substrate phosphoprotein PP28
PF10237	0.982586908067252	Probable N6-adenine methyltransferase
PF01992	0.982586908067252	ATP synthase (C/AC39) subunit
PF06258	0.981947597106074	Mitochondrial fission ELM1
PF13620	0.981946231306666	Carboxypeptidase regulatory-like domain
PF08617	0.981796604675413	Kinase binding protein CGI-121
PF10225	0.98173102045202	NEMP family
PF04833	0.98173102045202	COBRA-like protein
PF04827	0.98173102045202	Plant transposon protein
PF00644	0.98173102045202	Poly(ADP-ribose) polymerase catalytic domain
PF11360	0.98173102045202	Protein of unknown function (DUF3110)
PF12824	0.98173102045202	Mitochondrial ribosomal protein subunit L20
PF02041	0.98173102045202	Auxin binding protein
PF13906	0.98173102045202	C-terminus of AA_permease
PF05011	0.98173102045202	Lariat debranching enzyme, C-terminal domain
PF18262	0.981378906710613	Phe-tRNA synthetase beta subunit B1 domain
PF11069	0.98102650809201	Cilia- and flagella-associated protein 298
PF13481	0.98102650809201	AAA domain
PF07814	0.98102650809201	Wings apart-like protein regulation of heterochromatin
PF02518	0.98102650809201	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF16529	0.98102650809201	WD40 region of Ge1, enhancer of mRNA-decapping protein
PF16093	0.98102650809201	Proteasome assembly chaperone 4
PF12872	0.98102650809201	OST-HTH/LOTUS domain
PF09341	0.98102650809201	Transcription factor Pcc1
PF09339	0.98102650809201	IclR helix-turn-helix domain
PF13355	0.98102650809201	Protein of unknown function (DUF4101)
PF14599	0.98102650809201	Zinc-ribbon
PF02130	0.98102650809201	Uncharacterized protein family UPF0054
PF09202	0.98102650809201	Rio2, N-terminal
PF16275	0.980541568270227	Splicing factor 1 helix-hairpin domain
PF07990	0.98043687018694	Nucleic acid binding protein NABP
PF11705	0.98043687018694	DNA-directed RNA polymerase III subunit Rpc31
PF07842	0.98043687018694	GC-rich sequence DNA-binding factor-like protein
PF00210	0.98027824822478	Ferritin-like domain
PF13023	0.980264845850652	HD domain
PF12037	0.980264845850652	Domain of unknown function (DUF3523)
PF10217	0.979984150024212	Uncharacterized conserved protein (DUF2039)
PF06920	0.979984150024212	Dock homology region 2
PF02256	0.979984150024212	Iron hydrogenase small subunit
PF01480	0.979984150024212	PWI domain
PF00177	0.979984150024212	Ribosomal protein S7p/S5e
PF15630	0.979984150024212	CENP-S protein
PF12333	0.979984150024212	Rix1 complex component involved in 60S ribosome maturation
PF09745	0.979975818742975	Coiled-coil domain-containing protein 55 (DUF2040)
PF04683	0.979752894166898	Proteasome complex subunit Rpn13 ubiquitin receptor
PF13894	0.979110024690146	C2H2-type zinc finger
PF13251	0.979090715116687	Domain of unknown function (DUF4042)
PF13813	0.978633950151423	Membrane bound O-acyl transferase family
PF03937	0.978406836468466	Flavinator of succinate dehydrogenase
PF10191	0.978406836468466	Golgi complex component 7 (COG7)
PF02576	0.978324980247304	RimP N-terminal domain
PF02683	0.9782037568705	Cytochrome C biogenesis protein transmembrane region
PF01156	0.978162044376797	Inosine-uridine preferring nucleoside hydrolase
PF00472	0.978162044376797	RF-1 domain
PF17135	0.978162044376797	Ribosomal protein 60S L18 and 50S L18e
PF00995	0.978162044376797	Sec1 family
PF00137	0.978162044376797	ATP synthase subunit C
PF15227	0.978162044376797	zinc finger of C3HC4-type, RING
PF03137	0.978162044376797	Organic Anion Transporter Polypeptide (OATP) family
PF00887	0.978162044376797	Acyl CoA binding protein
PF07798	0.978162044376797	Protein of unknown function (DUF1640)
PF01448	0.978162044376797	ELM2 domain
PF08660	0.978162044376797	Oligosaccharide biosynthesis protein Alg14 like
PF02772	0.978162044376797	S-adenosylmethionine synthetase, central domain
PF16940	0.978162044376797	Chloroplast envelope transporter
PF13339	0.978089333879641	Apoptosis antagonizing transcription factor
PF00408	0.977891205311801	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF04432	0.977869841842166	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF00152	0.977698718289656	tRNA synthetases class II (D, K and N)
PF06071	0.977583239593022	Protein of unknown function (DUF933)
PF13881	0.976784728782559	Ubiquitin-2 like Rad60 SUMO-like
PF02597	0.976784728782559	ThiS family
PF09783	0.976784728782559	Vacuolar import and degradation protein
PF04116	0.976566585563912	Fatty acid hydroxylase superfamily
PF07647	0.975473539827666	SAM domain (Sterile alpha motif)
PF08147	0.974965305369484	DBP10CT (NUC160) domain
PF14817	0.97460014107654	HAUS augmin-like complex subunit 5
PF03453	0.974558759869575	MoeA N-terminal region (domain I and II)
PF03454	0.974558759869575	MoeA C-terminal region (domain IV)
PF12766	0.974558759869575	Pyridoxamine 5'-phosphate oxidase
PF00838	0.974558759869575	Translationally controlled tumour protein
PF01248	0.973942562104922	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF06697	0.973942562104922	Protein of unknown function (DUF1191)
PF07103	0.973852175228514	Protein of unknown function (DUF1365)
PF01386	0.973572551370937	Ribosomal L25p family
PF04176	0.973572551370937	TIP41-like family
PF09425	0.973394648515068	Jas motif
PF01728	0.972943052215693	FtsJ-like methyltransferase
PF05140	0.972133752384161	ResB-like family
PF16186	0.971683548922769	Atypical Arm repeat
PF03656	0.971623329528883	Pam16
PF13964	0.971477575960637	Kelch motif
PF16418	0.971477575960637	CCR4-NOT transcription complex subunit 1 HEAT repeat
PF18044	0.971477575960637	CCCH-type zinc finger
PF01116	0.971451854272137	Fructose-bisphosphate aldolase class-II
PF05833	0.971451854272137	Fibronectin-binding protein A N-terminus (FbpA)
PF13178	0.971331541646009	Protein of unknown function (DUF4005)
PF04852	0.971331541646009	Protein of unknown function (DUF640)
PF04478	0.971331541646009	Mid2 like cell wall stress sensor
PF15862	0.971331541646009	Coilin N-terminus
PF09440	0.971331541646009	eIF3 subunit 6 N terminal domain
PF05991	0.971331541646009	YacP-like NYN domain
PF12862	0.971331541646009	Anaphase-promoting complex subunit 5
PF05365	0.971268950091792	Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like
PF04702	0.971268950091792	Vicilin N terminal region
PF13578	0.971268950091792	Methyltransferase domain
PF05699	0.970748423689338	hAT family C-terminal dimerisation region
PF16953	0.970748423689338	Protein-only RNase P
PF09740	0.968713017161312	Uncharacterized conserved protein (DUF2043)
PF08519	0.967590509497917	Replication factor RFC1 C terminal domain
PF00124	0.966998363308911	Photosynthetic reaction centre protein
PF05786	0.966965842518833	Condensin complex subunit 2
PF00542	0.965928564445778	Ribosomal protein L7/L12 C-terminal domain
PF04194	0.965917912929216	Programmed cell death protein 2, C-terminal putative domain
PF14780	0.965863744727705	Domain of unknown function (DUF4477)
PF14953	0.965777060009969	Domain of unknown function (DUF4504)
