ann_term	q_val	annotation
PF07575	0.999781453086137	Nup85 Nucleoporin
PF13328	0.9997606911143	HD domain
PF04199	0.999521287636463	Putative cyclase
PF08030	0.99928178963773	Ferric reductase NAD binding domain
PF16899	0.99928178963773	Cyclin C-terminal domain
PF00316	0.998583706248993	Fructose-1-6-bisphosphatase, N-terminal domain
PF04934	0.998583706248993	MED6 mediator sub complex component
PF04195	0.998583706248993	Putative gypsy type transposon
PF10591	0.99853831827331	Secreted protein acidic and rich in cysteine Ca binding region
PF00083	0.998499611800015	Sugar (and other) transporter
PF03850	0.997602579589519	Transcription factor Tfb4
PF13369	0.997362044099811	Transglutaminase-like superfamily
PF17781	0.996903007999367	RPN1/RPN2 N-terminal domain
PF14661	0.996881518142644	HAUS augmin-like complex subunit 6 N-terminus
PF14279	0.995318134448239	HNH endonuclease
PF06206	0.99508505949225	CpeT/CpcT family (DUF1001)
PF08511	0.994953841507548	COQ9
PF16661	0.994953841507548	Metallo-beta-lactamase superfamily domain
PF16740	0.994953841507548	Spindle and kinetochore-associated protein 2
PF13923	0.994778960746824	Zinc finger, C3HC4 type (RING finger)
PF04588	0.994778960746824	Hypoxia induced protein conserved region
PF12742	0.994778960746824	Gryzun, putative Golgi trafficking
PF12204	0.994778960746824	Domain of unknown function (DUF3598)
PF01846	0.994778960746824	FF domain
PF12697	0.994778960746824	Alpha/beta hydrolase family
PF09328	0.994647895170487	Domain of unknown function (DUF1984)
PF00563	0.99442893337729	EAL domain
PF11945	0.99442893337729	WAHD domain of WASH complex
PF07797	0.994142776596061	Protein of unknown function (DUF1639)
PF08628	0.993681003729784	Sorting nexin C terminal
PF03962	0.993439098065112	Mnd1 HTH domain
PF06391	0.993416967781001	CDK-activating kinase assembly factor MAT1
PF00849	0.992075651633901	RNA pseudouridylate synthase
PF15459	0.992052976447651	60S ribosome biogenesis protein Rrp14
PF12998	0.991150611167889	Inhibitor of growth proteins N-terminal histone-binding
PF10539	0.991150611167889	Development and cell death domain
