ann_term	q_val	annotation
GO:0016247	0.0202808996930155	channel regulator activity
GO:0099106	0.0202808996930155	ion channel regulator activity
GO:0032879	0.0395770701755969	regulation of localization
GO:0045995	0.0395770701755969	regulation of embryonic development
GO:0051262	0.0395770701755969	protein tetramerization
GO:0022843	0.0395770701755969	voltage-gated cation channel activity
GO:0016604	0.0395770701755969	nuclear body
GO:0016607	0.0395770701755969	nuclear speck
GO:0001518	0.0395770701755969	voltage-gated sodium channel complex
GO:0034706	0.0395770701755969	sodium channel complex
GO:0005248	0.0395770701755969	voltage-gated sodium channel activity
GO:0008083	0.0395770701755969	growth factor activity
GO:0042611	0.0395770701755969	MHC protein complex
GO:0042613	0.0395770701755969	MHC class II protein complex
GO:2000026	0.0412463375059393	regulation of multicellular organismal development
GO:0007275	0.0444461943990936	multicellular organism development
GO:0016477	0.0460036632532454	cell migration
GO:0030334	0.0460036632532454	regulation of cell migration
GO:0005539	0.0476516200558686	glycosaminoglycan binding
GO:0005540	0.0476516200558686	hyaluronic acid binding
GO:0048731	0.0476516200558686	system development
GO:0050793	0.0476516200558686	regulation of developmental process
GO:0032502	0.0476516200558686	developmental process
GO:0005246	0.0476516200558686	calcium channel regulator activity
GO:0002682	0.0476516200558686	regulation of immune system process
GO:0007517	0.0476516200558686	muscle organ development
GO:0061061	0.0476516200558686	muscle structure development
GO:0140297	0.0476516200558686	DNA-binding transcription factor binding
GO:0007129	0.0476516200558686	synapsis
GO:0007130	0.0476516200558686	synaptonemal complex assembly
GO:0045143	0.0476516200558686	homologous chromosome segregation
GO:0070192	0.0476516200558686	chromosome organization involved in meiotic cell cycle
GO:0070193	0.0476516200558686	synaptonemal complex organization
GO:0007212	0.0476516200558686	dopamine receptor signaling pathway
GO:0048268	0.0476516200558686	clathrin coat assembly
GO:0071867	0.0476516200558686	response to monoamine
GO:0071868	0.0476516200558686	cellular response to monoamine stimulus
GO:0071869	0.0476516200558686	response to catecholamine
GO:0071870	0.0476516200558686	cellular response to catecholamine stimulus
GO:1903350	0.0476516200558686	response to dopamine
GO:1903351	0.0476516200558686	cellular response to dopamine
GO:0030276	0.0476516200558686	clathrin binding
GO:0032051	0.0476516200558686	clathrin light chain binding
GO:0048856	0.0490208838161735	anatomical structure development
GO:0048513	0.0498124915389123	animal organ development
GO:0035257	0.0524704516368301	nuclear hormone receptor binding
GO:0051427	0.0524704516368301	hormone receptor binding
GO:0061629	0.0524704516368301	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0005249	0.0524704516368301	voltage-gated potassium channel activity
GO:0019882	0.0538463016823375	antigen processing and presentation
GO:0050776	0.066081246055799	regulation of immune response
GO:0001775	0.066081246055799	cell activation
GO:0002684	0.067853984846353	positive regulation of immune system process
GO:0007166	0.0711377043347013	cell surface receptor signaling pathway
GO:0051270	0.0736951061939602	regulation of cellular component movement
GO:0042113	0.0907947520441721	B cell activation
GO:0050778	0.105468364230157	positive regulation of immune response
GO:0002376	0.105468364230157	immune system process
GO:0030155	0.11033507211494	regulation of cell adhesion
GO:0006955	0.111880528475159	immune response
GO:0051239	0.118412655732589	regulation of multicellular organismal process
GO:0030141	0.125885238904299	secretory granule
GO:0099503	0.125885238904299	secretory vesicle
GO:0030168	0.128479093250578	platelet activation
GO:0005577	0.128479093250578	fibrinogen complex
GO:0005245	0.132567776122341	voltage-gated calcium channel activity
GO:0007267	0.132567776122341	cell-cell signaling
GO:0002520	0.132567776122341	immune system development
