ann_term	CC	annotation
GO:0016247	8.91664088503648e-06	channel regulator activity
GO:0099106	8.91664088503648e-06	ion channel regulator activity
GO:0032879	2.81518511170178e-05	regulation of localization
GO:0045995	6.45022305507771e-05	regulation of embryonic development
GO:0051262	7.37606526619988e-05	protein tetramerization
GO:0022843	9.57989934338521e-05	voltage-gated cation channel activity
GO:0016604	0.000104134307193113	nuclear body
GO:0016607	0.000104134307193113	nuclear speck
GO:0001518	0.000105790917858358	voltage-gated sodium channel complex
GO:0034706	0.000105790917858358	sodium channel complex
GO:0005248	0.000105790917858358	voltage-gated sodium channel activity
GO:0008083	0.000111801908298262	growth factor activity
GO:0042611	0.000121802370292011	MHC protein complex
GO:0042613	0.000121802370292011	MHC class II protein complex
GO:2000026	0.000136006828443414	regulation of multicellular organismal development
GO:0007275	0.000156328667923829	multicellular organism development
GO:0016477	0.000182032521116381	cell migration
GO:0030334	0.000182032521116381	regulation of cell migration
GO:0005539	0.000211941377297319	glycosaminoglycan binding
GO:0005540	0.000212590427221419	hyaluronic acid binding
GO:0048731	0.000222363163942811	system development
GO:0050793	0.000315756634321322	regulation of developmental process
GO:0032502	0.000320316076648549	developmental process
GO:0005246	0.000321646409332236	calcium channel regulator activity
GO:0002682	0.000389854434001061	regulation of immune system process
GO:0007517	0.000392937195863809	muscle organ development
GO:0061061	0.000392937195863809	muscle structure development
GO:0140297	0.000439073236474452	DNA-binding transcription factor binding
GO:0007129	0.000450203784437558	synapsis
GO:0007130	0.000450203784437558	synaptonemal complex assembly
GO:0045143	0.000450203784437558	homologous chromosome segregation
GO:0070192	0.000450203784437558	chromosome organization involved in meiotic cell cycle
GO:0070193	0.000450203784437558	synaptonemal complex organization
GO:0007212	0.000450432987997878	dopamine receptor signaling pathway
GO:0048268	0.000450432987997878	clathrin coat assembly
GO:0071867	0.000450432987997878	response to monoamine
GO:0071868	0.000450432987997878	cellular response to monoamine stimulus
GO:0071869	0.000450432987997878	response to catecholamine
GO:0071870	0.000450432987997878	cellular response to catecholamine stimulus
GO:1903350	0.000450432987997878	response to dopamine
GO:1903351	0.000450432987997878	cellular response to dopamine
GO:0030276	0.000450432987997878	clathrin binding
GO:0032051	0.000450432987997878	clathrin light chain binding
GO:0048856	0.000474152316533663	anatomical structure development
GO:0048513	0.000492759313970335	animal organ development
GO:0035257	0.000558294873687368	nuclear hormone receptor binding
GO:0051427	0.000558294873687368	hormone receptor binding
GO:0061629	0.000558294873687368	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0005249	0.000565190619961458	voltage-gated potassium channel activity
GO:0019882	0.000591847677317405	antigen processing and presentation
GO:0050776	0.000753733462717282	regulation of immune response
GO:0001775	0.000755380258276884	cell activation
GO:0002684	0.000790560825864301	positive regulation of immune system process
GO:0007166	0.000844457250840596	cell surface receptor signaling pathway
GO:0051270	0.000891015792628669	regulation of cellular component movement
GO:0042113	0.00111771952395551	B cell activation
GO:0050778	0.00133314098718114	positive regulation of immune response
GO:0002376	0.00134472744017347	immune system process
GO:0030155	0.0014310330302883	regulation of cell adhesion
GO:0006955	0.00147567195174973	immune response
GO:0051239	0.00158785930966981	regulation of multicellular organismal process
GO:0030141	0.00174340955176322	secretory granule
GO:0099503	0.00174340955176322	secretory vesicle
GO:0030168	0.00183581909458948	platelet activation
GO:0005577	0.00183581909458948	fibrinogen complex
GO:0005245	0.00194071341126332	voltage-gated calcium channel activity
GO:0007267	0.00197087450584337	cell-cell signaling
GO:0002520	0.00198166822957116	immune system development
GO:0001527	0.00247490627776482	microfibril
GO:0019199	0.00261859675500508	transmembrane receptor protein kinase activity
GO:0031854	0.00266347224984143	orexigenic neuropeptide QRFP receptor binding
GO:0051694	0.00272587744884871	pointed-end actin filament capping
GO:0005523	0.00272587744884871	tropomyosin binding
GO:0031109	0.00276198315532993	microtubule polymerization or depolymerization
GO:0031110	0.00276198315532993	regulation of microtubule polymerization or depolymerization
GO:0000166	0.002841738458405	nucleotide binding
GO:1901265	0.002841738458405	nucleoside phosphate binding
GO:0048584	0.0029262248904161	positive regulation of response to stimulus
GO:0040012	0.00304346353495289	regulation of locomotion
GO:2000145	0.00304346353495289	regulation of cell motility
GO:0016055	0.00312966077958564	Wnt signaling pathway
