ann_term	q_val	annotation
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0009690	0.986165821039856	cytokinin metabolic process
GO:0034754	0.986165821039856	cellular hormone metabolic process
GO:0019139	0.986165821039856	cytokinin dehydrogenase activity
GO:0006486	0.985745817352505	protein glycosylation
GO:0009101	0.985745817352505	glycoprotein biosynthetic process
GO:0043413	0.985745817352505	macromolecule glycosylation
GO:0051187	0.985745817352505	cofactor catabolic process
GO:0043227	0.985745817352505	membrane-bounded organelle
GO:0019900	0.985745817352505	kinase binding
GO:0030990	0.985745817352505	intraciliary transport particle
GO:0030991	0.985745817352505	intraciliary transport particle A
GO:0016984	0.984856085698957	ribulose-bisphosphate carboxylase activity
GO:0030597	0.984856085698957	RNA glycosylase activity
GO:0030598	0.984856085698957	rRNA N-glycosylase activity
GO:0004448	0.981745531559619	isocitrate dehydrogenase activity
GO:0004450	0.981745531559619	isocitrate dehydrogenase (NADP+) activity
GO:0019835	0.981745531559619	cytolysis
GO:0044179	0.981745531559619	hemolysis in other organism
GO:0051715	0.981745531559619	cytolysis in other organism
GO:0009267	0.981507968281157	cellular response to starvation
GO:0009991	0.981507968281157	response to extracellular stimulus
GO:0031667	0.981507968281157	response to nutrient levels
GO:0031668	0.981507968281157	cellular response to extracellular stimulus
GO:0031669	0.981507968281157	cellular response to nutrient levels
GO:0042594	0.981507968281157	response to starvation
GO:0071496	0.981507968281157	cellular response to external stimulus
GO:0004526	0.980709723247263	ribonuclease P activity
GO:0001932	0.975769560253774	regulation of protein phosphorylation
GO:0033108	0.975769560253774	mitochondrial respiratory chain complex assembly
GO:0010970	0.97573734264453	transport along microtubule
GO:0030705	0.97573734264453	cytoskeleton-dependent intracellular transport
GO:0042073	0.97573734264453	intraciliary transport
GO:0098840	0.97573734264453	protein transport along microtubule
GO:0099111	0.97573734264453	microtubule-based transport
GO:0099118	0.97573734264453	microtubule-based protein transport
GO:0016863	0.97573734264453	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.97573734264453	cholestenol delta-isomerase activity
GO:0005186	0.97573734264453	pheromone activity
GO:0016651	0.970523940789591	oxidoreductase activity, acting on NAD(P)H
GO:0010817	0.96962644273109	regulation of hormone levels
GO:0042445	0.96962644273109	hormone metabolic process
GO:0009791	0.966790709329308	post-embryonic development
GO:0031399	0.963768975074039	regulation of protein modification process
GO:0019901	0.963768975074039	protein kinase binding
GO:1901988	0.963768975074039	negative regulation of cell cycle phase transition
GO:1901991	0.963768975074039	negative regulation of mitotic cell cycle phase transition
GO:0006625	0.963768975074039	protein targeting to peroxisome
GO:0015919	0.963768975074039	peroxisomal membrane transport
GO:0043574	0.963768975074039	peroxisomal transport
GO:0072662	0.963768975074039	protein localization to peroxisome
GO:0072663	0.963768975074039	establishment of protein localization to peroxisome
GO:0032465	0.963768975074039	regulation of cytokinesis
GO:0051302	0.963768975074039	regulation of cell division
GO:0006817	0.95848155705899	phosphate ion transport
GO:0007157	0.951422892651196	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951422892651196	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0000313	0.951422892651196	organellar ribosome
GO:0005761	0.951422892651196	mitochondrial ribosome
GO:0098798	0.951422892651196	mitochondrial protein complex
GO:0016168	0.948092280356439	chlorophyll binding
GO:0042393	0.944698982470423	histone binding
GO:0009793	0.942680365294458	embryo development ending in seed dormancy
GO:0009856	0.942680365294458	pollination
GO:0009875	0.942680365294458	pollen-pistil interaction
GO:0010154	0.942680365294458	fruit development
GO:0010374	0.942680365294458	stomatal complex development
