ann_term	CC	annotation
GO:0006955	0.794714117343289	immune response
GO:0002376	0.792641851065992	immune system process
GO:0030545	0.76566872762346	receptor regulator activity
GO:0030546	0.76566872762346	signaling receptor activator activity
GO:0048018	0.76566872762346	receptor ligand activity
GO:0022843	0.74913044495575	voltage-gated cation channel activity
GO:0005102	0.744659065857215	signaling receptor binding
GO:0048856	0.737978765563683	anatomical structure development
GO:0005126	0.736053706040193	cytokine receptor binding
GO:0032502	0.735889816840197	developmental process
GO:0001518	0.735811263044566	voltage-gated sodium channel complex
GO:0034706	0.735811263044566	sodium channel complex
GO:0005248	0.735811263044566	voltage-gated sodium channel activity
GO:0030141	0.735151679909327	secretory granule
GO:0099503	0.735151679909327	secretory vesicle
GO:0048513	0.729991422867766	animal organ development
GO:0009888	0.724548090265553	tissue development
GO:0034703	0.719579985302078	cation channel complex
GO:0019209	0.719579985302078	kinase activator activity
GO:0030295	0.719579985302078	protein kinase activator activity
GO:0045995	0.716637028176956	regulation of embryonic development
GO:0007275	0.71638896125198	multicellular organism development
GO:0048731	0.714862591508608	system development
GO:0008083	0.71182346625142	growth factor activity
GO:0043539	0.710737220505739	protein serine/threonine kinase activator activity
GO:0010942	0.709824217905603	positive regulation of cell death
GO:0043065	0.709824217905603	positive regulation of apoptotic process
GO:0043068	0.709824217905603	positive regulation of programmed cell death
GO:0005125	0.70704991074315	cytokine activity
GO:0005891	0.704974454112748	voltage-gated calcium channel complex
GO:0016477	0.701612095826042	cell migration
GO:0030334	0.701612095826042	regulation of cell migration
GO:0001664	0.693575544342618	G protein-coupled receptor binding
GO:0051694	0.690840999713977	pointed-end actin filament capping
GO:0005523	0.690840999713977	tropomyosin binding
GO:0034702	0.688630308514892	ion channel complex
GO:0034704	0.688630308514892	calcium channel complex
GO:0018149	0.688272785400798	peptide cross-linking
GO:0005179	0.686356549363001	hormone activity
GO:0016247	0.686077430349724	channel regulator activity
GO:0099106	0.686077430349724	ion channel regulator activity
GO:0003810	0.68554684237463	protein-glutamine gamma-glutamyltransferase activity
GO:0047961	0.68309679116036	glycine N-acyltransferase activity
GO:0016604	0.683082117158637	nuclear body
GO:0016607	0.683082117158637	nuclear speck
GO:0005164	0.679171657659961	tumor necrosis factor receptor binding
GO:0032813	0.679171657659961	tumor necrosis factor receptor superfamily binding
GO:0005245	0.675142252861355	voltage-gated calcium channel activity
GO:0051239	0.674588642691222	regulation of multicellular organismal process
GO:0030155	0.672345811854334	regulation of cell adhesion
GO:0070840	0.670944778922214	dynein complex binding
GO:0005576	0.66831321963005	extracellular region
GO:0008373	0.66431270532496	sialyltransferase activity
GO:0140297	0.663581597846606	DNA-binding transcription factor binding
GO:0002682	0.662384582481136	regulation of immune system process
GO:0001503	0.659782015107874	ossification
GO:0001775	0.659782015107874	cell activation
GO:0016055	0.657699620907333	Wnt signaling pathway
GO:0198738	0.657699620907333	cell-cell signaling by wnt
GO:1905114	0.657699620907333	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0005249	0.656998124748769	voltage-gated potassium channel activity
GO:0002063	0.656096917991967	chondrocyte development
GO:0018101	0.656096917991967	protein citrullination
GO:0018195	0.656096917991967	peptidyl-arginine modification
GO:0032330	0.656096917991967	regulation of chondrocyte differentiation
GO:0061035	0.656096917991967	regulation of cartilage development
GO:0061181	0.656096917991967	regulation of chondrocyte development
GO:0061572	0.656096917991967	actin filament bundle organization
GO:0031005	0.656096917991967	filamin binding
GO:0040012	0.654364594929079	regulation of locomotion
GO:2000145	0.654364594929079	regulation of cell motility
GO:0046658	0.653800010487112	anchored component of plasma membrane
GO:0005539	0.653259249329536	glycosaminoglycan binding
GO:0007129	0.651280789419331	synapsis
GO:0007130	0.651280789419331	synaptonemal complex assembly
GO:0045143	0.651280789419331	homologous chromosome segregation
GO:0070192	0.651280789419331	chromosome organization involved in meiotic cell cycle
GO:0070193	0.651280789419331	synaptonemal complex organization
GO:0051240	0.648165008460449	positive regulation of multicellular organismal process
GO:0001501	0.647996956041448	skeletal system development
GO:0051216	0.647996956041448	cartilage development
GO:0061448	0.647996956041448	connective tissue development
GO:0004984	0.647442199304875	olfactory receptor activity
GO:0002684	0.646843321100583	positive regulation of immune system process
GO:0004675	0.645982634694589	transmembrane receptor protein serine/threonine kinase activity
GO:0031490	0.645862563312349	chromatin DNA binding
GO:0031492	0.645862563312349	nucleosomal DNA binding
GO:0030212	0.644570128913405	hyaluronan metabolic process
