ann_term	q_val	annotation
GO:0006022	0.998274284066262	aminoglycan metabolic process
GO:0006788	0.99791506034479	heme oxidation
GO:0004392	0.99791506034479	heme oxygenase (decyclizing) activity
GO:0045026	0.997566589058122	plasma membrane fusion
GO:0035658	0.9954856709803	Mon1-Ccz1 complex
GO:0009877	0.9954856709803	nodulation
GO:0065009	0.994358379932472	regulation of molecular function
GO:0001700	0.991203010861625	embryonic development via the syncytial blastoderm
GO:0002065	0.991203010861625	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.991203010861625	columnar/cuboidal epithelial cell development
GO:0007289	0.991203010861625	spermatid nucleus differentiation
GO:0007291	0.991203010861625	sperm individualization
GO:0007292	0.991203010861625	female gamete generation
GO:0007304	0.991203010861625	chorion-containing eggshell formation
GO:0007617	0.991203010861625	mating behavior
GO:0009792	0.991203010861625	embryo development ending in birth or egg hatching
GO:0019098	0.991203010861625	reproductive behavior
GO:0030703	0.991203010861625	eggshell formation
GO:0030707	0.991203010861625	ovarian follicle cell development
GO:0035092	0.991203010861625	sperm chromatin condensation
GO:0045924	0.991203010861625	regulation of female receptivity
GO:0046008	0.991203010861625	regulation of female receptivity, post-mating
GO:0048477	0.991203010861625	oogenesis
GO:0060180	0.991203010861625	female mating behavior
GO:0005213	0.991203010861625	structural constituent of egg chorion
GO:0050790	0.991203010861625	regulation of catalytic activity
GO:0008131	0.991203010861625	primary amine oxidase activity
GO:0051128	0.988968326835621	regulation of cellular component organization
GO:0009593	0.981766426044861	detection of chemical stimulus
GO:0050906	0.981766426044861	detection of stimulus involved in sensory perception
GO:0050907	0.981766426044861	detection of chemical stimulus involved in sensory perception
GO:0050912	0.981766426044861	detection of chemical stimulus involved in sensory perception of taste
GO:0008527	0.981766426044861	taste receptor activity
GO:0009664	0.979183276553834	plant-type cell wall organization
GO:0071669	0.979183276553834	plant-type cell wall organization or biogenesis
GO:0036459	0.976779332025672	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	0.976779332025672	ubiquitinyl hydrolase activity
GO:0008137	0.97359440445818	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.97359440445818	NADH dehydrogenase (quinone) activity
GO:0006325	0.970964534668815	chromatin organization
GO:0098803	0.970884146485756	respiratory chain complex
GO:0009878	0.970884146485756	nodule morphogenesis
GO:0010098	0.970884146485756	suspensor development
GO:0042381	0.970884146485756	hemolymph coagulation
GO:0044111	0.970884146485756	development involved in symbiotic interaction
GO:0017080	0.970884146485756	sodium channel regulator activity
GO:0019871	0.970884146485756	sodium channel inhibitor activity
GO:0007271	0.970884146485756	synaptic transmission, cholinergic
GO:0022898	0.970884146485756	regulation of transmembrane transporter activity
GO:0030431	0.970884146485756	sleep
GO:0032222	0.970884146485756	regulation of synaptic transmission, cholinergic
GO:0032409	0.970884146485756	regulation of transporter activity
GO:0032411	0.970884146485756	positive regulation of transporter activity
GO:0032412	0.970884146485756	regulation of ion transmembrane transporter activity
GO:0032414	0.970884146485756	positive regulation of ion transmembrane transporter activity
GO:0034762	0.970884146485756	regulation of transmembrane transport
GO:0034764	0.970884146485756	positive regulation of transmembrane transport
GO:0034765	0.970884146485756	regulation of ion transmembrane transport
GO:0034767	0.970884146485756	positive regulation of ion transmembrane transport
GO:0043266	0.970884146485756	regulation of potassium ion transport
GO:0043268	0.970884146485756	positive regulation of potassium ion transport
GO:0043270	0.970884146485756	positive regulation of ion transport
GO:0050804	0.970884146485756	modulation of chemical synaptic transmission
GO:0099177	0.970884146485756	regulation of trans-synaptic signaling
GO:1901016	0.970884146485756	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.970884146485756	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.970884146485756	regulation of potassium ion transmembrane transport
GO:1901381	0.970884146485756	positive regulation of potassium ion transmembrane transport
GO:1903818	0.970884146485756	positive regulation of voltage-gated potassium channel activity
GO:1904062	0.970884146485756	regulation of cation transmembrane transport
GO:1904064	0.970884146485756	positive regulation of cation transmembrane transport
GO:2001257	0.970884146485756	regulation of cation channel activity
GO:2001259	0.970884146485756	positive regulation of cation channel activity
GO:0071973	0.970884146485756	bacterial-type flagellum-dependent cell motility
GO:0097588	0.970884146485756	archaeal or bacterial-type flagellum-dependent cell motility
GO:0016805	0.970884146485756	dipeptidase activity
GO:0007423	0.970884146485756	sensory organ development
GO:0003854	0.970884146485756	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0016229	0.970884146485756	steroid dehydrogenase activity
GO:0033764	0.970884146485756	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0008023	0.970884146485756	transcription elongation factor complex
GO:0003341	0.966923968957349	cilium movement
GO:0007591	0.966845986284388	molting cycle, chitin-based cuticle
GO:0018990	0.966845986284388	ecdysis, chitin-based cuticle
GO:0022404	0.966845986284388	molting cycle process
GO:0042303	0.966845986284388	molting cycle
GO:0008255	0.966845986284388	ecdysis-triggering hormone activity
GO:0032182	0.966298657110704	ubiquitin-like protein binding
GO:0072546	0.96618053499776	ER membrane protein complex
GO:0008061	0.965158860383289	chitin binding
GO:0007349	0.962644037407174	cellularization
GO:0008200	0.962644037407174	ion channel inhibitor activity
GO:0016248	0.962644037407174	channel inhibitor activity
GO:0005751	0.962143124006788	mitochondrial respiratory chain complex IV
GO:0045277	0.962143124006788	respiratory chain complex IV
GO:0006658	0.961959855376847	phosphatidylserine metabolic process
GO:0006659	0.961959855376847	phosphatidylserine biosynthetic process
GO:0006479	0.95990965262881	protein methylation
GO:0008213	0.95990965262881	protein alkylation
