ann_term	q_val	annotation
GO:0004526	0.998206440806961	ribonuclease P activity
GO:0016567	0.996322026737648	protein ubiquitination
GO:0098800	0.995891364827596	inner mitochondrial membrane protein complex
GO:0036459	0.995135558440959	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	0.995135558440959	ubiquitinyl hydrolase activity
GO:0043228	0.993948067816211	non-membrane-bounded organelle
GO:0043232	0.993948067816211	intracellular non-membrane-bounded organelle
GO:0006486	0.992759560014828	protein glycosylation
GO:0009101	0.992759560014828	glycoprotein biosynthetic process
GO:0043413	0.992759560014828	macromolecule glycosylation
GO:0019835	0.992759560014828	cytolysis
GO:0044179	0.992759560014828	hemolysis in other organism
GO:0051715	0.992759560014828	cytolysis in other organism
GO:0015850	0.99275261826036	organic hydroxy compound transport
GO:0019900	0.991686109784151	kinase binding
GO:0016984	0.991686109784151	ribulose-bisphosphate carboxylase activity
GO:0030597	0.991686109784151	RNA glycosylase activity
GO:0030598	0.991686109784151	rRNA N-glycosylase activity
GO:0003777	0.991686109784151	microtubule motor activity
GO:0009074	0.991472454766466	aromatic amino acid family catabolic process
GO:0022402	0.990390731587498	cell cycle process
GO:0019901	0.989304641640311	protein kinase binding
GO:0008830	0.989159697941403	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0005186	0.989056180659392	pheromone activity
GO:0010817	0.986062197922917	regulation of hormone levels
GO:0042445	0.986062197922917	hormone metabolic process
GO:0046906	0.984520651531792	tetrapyrrole binding
GO:0007005	0.984085217660018	mitochondrion organization
GO:0051187	0.98397624454064	cofactor catabolic process
GO:0009267	0.983915840408882	cellular response to starvation
GO:0009991	0.983915840408882	response to extracellular stimulus
GO:0031667	0.983915840408882	response to nutrient levels
GO:0031668	0.983915840408882	cellular response to extracellular stimulus
GO:0031669	0.983915840408882	cellular response to nutrient levels
GO:0042594	0.983915840408882	response to starvation
GO:0071496	0.983915840408882	cellular response to external stimulus
GO:0000981	0.975256902109425	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0004529	0.974809683821191	exodeoxyribonuclease activity
GO:0016895	0.974809683821191	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0004448	0.973435896433742	isocitrate dehydrogenase activity
GO:0004450	0.973435896433742	isocitrate dehydrogenase (NADP+) activity
GO:0046914	0.971094877302137	transition metal ion binding
GO:0000139	0.970328095199396	Golgi membrane
GO:0001932	0.969233572337523	regulation of protein phosphorylation
GO:0031399	0.967483680431717	regulation of protein modification process
GO:0001101	0.965228472839949	response to acid chemical
GO:0016168	0.963822852817301	chlorophyll binding
GO:0098799	0.95961050146648	outer mitochondrial membrane protein complex
GO:0005742	0.958005895839577	mitochondrial outer membrane translocase complex
GO:0007157	0.951169414116085	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951169414116085	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0004097	0.941541702575176	catechol oxidase activity
GO:0008297	0.932813635717288	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.932813635717288	5'-3' exonuclease activity
GO:0035312	0.932813635717288	5'-3' exodeoxyribonuclease activity
GO:0045145	0.932813635717288	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0020037	0.93269143210622	heme binding
GO:0001401	0.932364083789893	SAM complex
GO:0042537	0.931876306915675	benzene-containing compound metabolic process
GO:0006625	0.928102091127166	protein targeting to peroxisome
GO:0015919	0.928102091127166	peroxisomal membrane transport
GO:0043574	0.928102091127166	peroxisomal transport
GO:0072662	0.928102091127166	protein localization to peroxisome
GO:0072663	0.928102091127166	establishment of protein localization to peroxisome
GO:0016246	0.928102091127166	RNA interference
GO:0009100	0.928007969161733	glycoprotein metabolic process
GO:0004197	0.92788726829235	cysteine-type endopeptidase activity
GO:0006665	0.92642840742497	sphingolipid metabolic process
GO:0009690	0.926275966549768	cytokinin metabolic process
GO:0034754	0.926275966549768	cellular hormone metabolic process
GO:0019139	0.926275966549768	cytokinin dehydrogenase activity
GO:0005215	0.926275966549768	transporter activity
GO:0022857	0.925194150154868	transmembrane transporter activity
GO:0006376	0.923432859576313	mRNA splice site selection
GO:0005685	0.923432859576313	U1 snRNP
GO:0009791	0.922866945440564	post-embryonic development
GO:0009793	0.918217189376775	embryo development ending in seed dormancy
GO:0009856	0.918217189376775	pollination
GO:0009875	0.918217189376775	pollen-pistil interaction
GO:0010154	0.918217189376775	fruit development
GO:0044706	0.918217189376775	multi-multicellular organism process
GO:0048316	0.918217189376775	seed development
GO:0048544	0.918217189376775	recognition of pollen
GO:0006658	0.917190600169806	phosphatidylserine metabolic process
GO:0006659	0.917190600169806	phosphatidylserine biosynthetic process
GO:0010374	0.915813628472508	stomatal complex development
GO:0048580	0.915813628472508	regulation of post-embryonic development
GO:0048582	0.915813628472508	positive regulation of post-embryonic development
GO:0090558	0.915813628472508	plant epidermis development
GO:2000038	0.915813628472508	regulation of stomatal complex development
GO:2000123	0.915813628472508	positive regulation of stomatal complex development
GO:0015996	0.913873371178043	chlorophyll catabolic process
GO:0047746	0.913873371178043	chlorophyllase activity
GO:0008270	0.913755368758531	zinc ion binding
GO:0006569	0.913579505777412	tryptophan catabolic process
GO:0009310	0.913579505777412	amine catabolic process
GO:0019441	0.913579505777412	tryptophan catabolic process to kynurenine
GO:0042402	0.913579505777412	cellular biogenic amine catabolic process
GO:0042436	0.913579505777412	indole-containing compound catabolic process
GO:0046218	0.913579505777412	indolalkylamine catabolic process
GO:0070189	0.913579505777412	kynurenine metabolic process
GO:0009606	0.913579505777412	tropism
GO:0010274	0.913579505777412	hydrotropism
GO:0010333	0.913579505777412	terpene synthase activity
GO:0050664	0.913579505777412	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0043231	0.913579505777412	intracellular membrane-bounded organelle
GO:0006012	0.913579505777412	galactose metabolic process
GO:0008108	0.913579505777412	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0017007	0.913579505777412	protein-bilin linkage
GO:0017009	0.913579505777412	protein-phycocyanobilin linkage
GO:0006450	0.913579505777412	regulation of translational fidelity
GO:0000313	0.913579505777412	organellar ribosome
GO:0005761	0.913579505777412	mitochondrial ribosome
GO:0009733	0.913039350642974	response to auxin
GO:0048046	0.913039350642974	apoplast
GO:0016762	0.913039350642974	xyloglucan:xyloglucosyl transferase activity
GO:0009767	0.912435248819352	photosynthetic electron transport chain
GO:0051743	0.912435248819352	red chlorophyll catabolite reductase activity
GO:0004564	0.908570148387103	beta-fructofuranosidase activity
GO:0004575	0.908570148387103	sucrose alpha-glucosidase activity
GO:0090599	0.908570148387103	alpha-glucosidase activity
GO:0005811	0.905519780252724	lipid droplet
GO:0012511	0.905519780252724	monolayer-surrounded lipid storage body
GO:0009415	0.905317927882774	response to water
GO:0033926	0.905317927882774	glycopeptide alpha-N-acetylgalactosaminidase activity
GO:0009627	0.905115959665962	systemic acquired resistance
GO:0009814	0.905115959665962	defense response, incompatible interaction
GO:0010112	0.905115959665962	regulation of systemic acquired resistance
GO:0019783	0.905104861848322	ubiquitin-like protein-specific protease activity
GO:0009664	0.902265705943436	plant-type cell wall organization
GO:0009832	0.902265705943436	plant-type cell wall biogenesis
GO:0010215	0.902265705943436	cellulose microfibril organization
GO:0070726	0.902265705943436	cell wall assembly
GO:0071668	0.902265705943436	plant-type cell wall assembly
GO:0071669	0.902265705943436	plant-type cell wall organization or biogenesis
GO:0045926	0.900418991831316	negative regulation of growth
GO:0043227	0.900128195205116	membrane-bounded organelle
GO:0006403	0.895703852088892	RNA localization
GO:0050657	0.895703852088892	nucleic acid transport
GO:0050658	0.895703852088892	RNA transport
GO:0051236	0.895703852088892	establishment of RNA localization
GO:0016651	0.895703852088892	oxidoreductase activity, acting on NAD(P)H
GO:0005986	0.895125799079711	sucrose biosynthetic process
GO:0050307	0.895125799079711	sucrose-phosphate phosphatase activity
GO:0019898	0.891716285494459	extrinsic component of membrane
GO:0006817	0.886070105409656	phosphate ion transport
GO:0009772	0.881276056209126	photosynthetic electron transport in photosystem II
GO:0045156	0.881276056209126	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0008170	0.871843311583628	N-methyltransferase activity
GO:0005507	0.866443890954346	copper ion binding
GO:0098798	0.865982665542927	mitochondrial protein complex
GO:0016863	0.861900973899725	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.861900973899725	cholestenol delta-isomerase activity
GO:0008131	0.859615814619181	primary amine oxidase activity
GO:0008017	0.859202495310188	microtubule binding
GO:0033108	0.857404019772945	mitochondrial respiratory chain complex assembly
GO:0032465	0.854777211715038	regulation of cytokinesis
GO:0051302	0.854777211715038	regulation of cell division
GO:0030417	0.854623935601178	nicotianamine metabolic process
GO:0030418	0.854623935601178	nicotianamine biosynthetic process
GO:0072350	0.854623935601178	tricarboxylic acid metabolic process
GO:0072351	0.854623935601178	tricarboxylic acid biosynthetic process
GO:0030410	0.854623935601178	nicotianamine synthase activity
GO:0006493	0.853344003027957	protein O-linked glycosylation
GO:0016799	0.851726526415521	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0042393	0.850656690846772	histone binding
GO:0044030	0.849202608689909	regulation of DNA methylation
GO:1901988	0.843965055046918	negative regulation of cell cycle phase transition
GO:1901991	0.843965055046918	negative regulation of mitotic cell cycle phase transition
GO:0006030	0.841703931111398	chitin metabolic process
GO:1901071	0.841703931111398	glucosamine-containing compound metabolic process
GO:0000062	0.834592909673626	fatty-acyl-CoA binding
GO:1901567	0.834592909673626	fatty acid derivative binding
GO:0015693	0.828855306129143	magnesium ion transport
GO:0015095	0.828855306129143	magnesium ion transmembrane transporter activity
GO:0001907	0.828855306129143	killing by symbiont of host cells
GO:0051701	0.828855306129143	interaction with host
GO:0034219	0.827466585172336	carbohydrate transmembrane transport
GO:0042834	0.827466585172336	peptidoglycan binding
GO:0019080	0.827466585172336	viral gene expression
GO:0019083	0.827466585172336	viral transcription
GO:0046782	0.827466585172336	regulation of viral transcription
GO:0050792	0.827466585172336	regulation of viral process
GO:0035658	0.827466585172336	Mon1-Ccz1 complex
GO:0006996	0.827466585172336	organelle organization
GO:0031248	0.824155760735287	protein acetyltransferase complex
GO:1902493	0.824155760735287	acetyltransferase complex
GO:0008772	0.821543073929512	[isocitrate dehydrogenase (NADP+)] kinase activity
GO:0031965	0.820844959030595	nuclear membrane
GO:0005892	0.817343534632713	acetylcholine-gated channel complex
GO:0043235	0.817343534632713	receptor complex
GO:0098802	0.817343534632713	plasma membrane signaling receptor complex
GO:0010970	0.81677853822546	transport along microtubule
GO:0030705	0.81677853822546	cytoskeleton-dependent intracellular transport
GO:0042073	0.81677853822546	intraciliary transport
GO:0098840	0.81677853822546	protein transport along microtubule
GO:0099111	0.81677853822546	microtubule-based transport
GO:0099118	0.81677853822546	microtubule-based protein transport
GO:0031369	0.81677853822546	translation initiation factor binding
GO:0008218	0.814211075309304	bioluminescence
GO:0072348	0.814211075309304	sulfur compound transport
GO:0010629	0.807548151151845	negative regulation of gene expression
GO:0030990	0.807548151151845	intraciliary transport particle
GO:0030991	0.807548151151845	intraciliary transport particle A
GO:0042600	0.807168076923474	egg chorion
GO:0017134	0.806902621501977	fibroblast growth factor binding
GO:0048038	0.805394514086484	quinone binding
GO:0006313	0.803256143076886	transposition, DNA-mediated
GO:0032196	0.803256143076886	transposition
GO:0007034	0.800225427513231	vacuolar transport
GO:0043229	0.797803860430463	intracellular organelle
GO:0043547	0.794671235071605	positive regulation of GTPase activity
GO:0033043	0.791014923458932	regulation of organelle organization
GO:0044087	0.789573108427517	regulation of cellular component biogenesis
GO:0010605	0.788456277229314	negative regulation of macromolecule metabolic process
GO:0098803	0.787988808485941	respiratory chain complex
GO:0003872	0.787196657586932	6-phosphofructokinase activity
GO:0007052	0.785394726142859	mitotic spindle organization
GO:0007018	0.780749311163828	microtubule-based movement
GO:0001700	0.775968276631764	embryonic development via the syncytial blastoderm
