ann_term	CC	annotation
GO:0006955	0.931307700682103	immune response
GO:0002376	0.931055518797272	immune system process
GO:0030545	0.916929285281517	receptor regulator activity
GO:0030546	0.916929285281517	signaling receptor activator activity
GO:0048018	0.916929285281517	receptor ligand activity
GO:0032502	0.899688512782318	developmental process
GO:0048856	0.898656467111804	anatomical structure development
GO:0005102	0.895264713721986	signaling receptor binding
GO:0007275	0.893281949160424	multicellular organism development
GO:0008083	0.891147735522713	growth factor activity
GO:0022843	0.888001649289763	voltage-gated cation channel activity
GO:0009888	0.885362865676742	tissue development
GO:0001518	0.874635652101433	voltage-gated sodium channel complex
GO:0034706	0.874635652101433	sodium channel complex
GO:0005248	0.874635652101433	voltage-gated sodium channel activity
GO:0019209	0.872505332583339	kinase activator activity
GO:0030295	0.872505332583339	protein kinase activator activity
GO:0010942	0.871300268353629	positive regulation of cell death
GO:0043065	0.871300268353629	positive regulation of apoptotic process
GO:0043068	0.871300268353629	positive regulation of programmed cell death
GO:0043539	0.86524780386988	protein serine/threonine kinase activator activity
GO:0045995	0.865171543078616	regulation of embryonic development
GO:0030141	0.864678425355437	secretory granule
GO:0099503	0.864678425355437	secretory vesicle
GO:0005126	0.864354745093748	cytokine receptor binding
GO:0048513	0.863965186349542	animal organ development
GO:0034703	0.862632478207372	cation channel complex
GO:0005891	0.862603364107668	voltage-gated calcium channel complex
GO:0005245	0.85991908537699	voltage-gated calcium channel activity
GO:0005576	0.855230030162584	extracellular region
GO:0008373	0.854982650644537	sialyltransferase activity
GO:0005179	0.854356678425406	hormone activity
GO:0034702	0.849098167903895	ion channel complex
GO:0070840	0.848575102771393	dynein complex binding
GO:0005125	0.848523000928987	cytokine activity
GO:0048731	0.844195297098165	system development
GO:0034704	0.84412904914513	calcium channel complex
GO:0018149	0.843237990117468	peptide cross-linking
GO:0004860	0.843170131933553	protein kinase inhibitor activity
GO:0019210	0.843170131933553	kinase inhibitor activity
GO:0003810	0.841332064657744	protein-glutamine gamma-glutamyltransferase activity
GO:0005164	0.839907271666951	tumor necrosis factor receptor binding
GO:0032813	0.839907271666951	tumor necrosis factor receptor superfamily binding
GO:0016604	0.837400945799982	nuclear body
GO:0016607	0.837400945799982	nuclear speck
GO:0001664	0.836687238231242	G protein-coupled receptor binding
GO:0005539	0.836283072157608	glycosaminoglycan binding
GO:0016477	0.832787907919195	cell migration
GO:0030334	0.832787907919195	regulation of cell migration
GO:0140297	0.832173242854058	DNA-binding transcription factor binding
GO:0004675	0.829123609720867	transmembrane receptor protein serine/threonine kinase activity
GO:0008201	0.828110179462271	heparin binding
GO:0003676	0.827831074004694	nucleic acid binding
GO:0051239	0.827384858996792	regulation of multicellular organismal process
GO:0016055	0.825347366246916	Wnt signaling pathway
GO:0198738	0.825347366246916	cell-cell signaling by wnt
GO:1905114	0.825347366246916	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0016247	0.825212100199448	channel regulator activity
GO:0099106	0.825212100199448	ion channel regulator activity
GO:0051694	0.823664125836008	pointed-end actin filament capping
GO:0005523	0.823664125836008	tropomyosin binding
GO:0009611	0.822831559169864	response to wounding
GO:0098772	0.819870566472335	molecular function regulator
GO:0031012	0.819458446188578	extracellular matrix
GO:0030155	0.819190202904733	regulation of cell adhesion
GO:0046658	0.818960670989745	anchored component of plasma membrane
GO:0005488	0.818327832454436	binding
GO:0007517	0.817158121332412	muscle organ development
GO:0061061	0.817158121332412	muscle structure development
GO:0004415	0.81641468180948	hyalurononglucosaminidase activity
GO:0015929	0.81641468180948	hexosaminidase activity
GO:0051240	0.816344909117283	positive regulation of multicellular organismal process
GO:0007267	0.815235419897018	cell-cell signaling
GO:0007156	0.814147152465883	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.814147152465883	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0019199	0.813882866563592	transmembrane receptor protein kinase activity
GO:0007219	0.811350188576796	Notch signaling pathway
GO:0031109	0.809864191243285	microtubule polymerization or depolymerization
GO:0031110	0.809864191243285	regulation of microtubule polymerization or depolymerization
GO:0005861	0.808535401287191	troponin complex
GO:0005865	0.808535401287191	striated muscle thin filament
GO:0030016	0.808535401287191	myofibril
GO:0030017	0.808535401287191	sarcomere
GO:0036379	0.808535401287191	myofilament
GO:0043292	0.808535401287191	contractile fiber
GO:0047961	0.808480196860275	glycine N-acyltransferase activity
GO:0003674	0.808022369214869	molecular_function
GO:0007166	0.807929658344633	cell surface receptor signaling pathway
GO:0062023	0.807587931546299	collagen-containing extracellular matrix
GO:0030212	0.805871263398505	hyaluronan metabolic process
GO:1903510	0.805871263398505	mucopolysaccharide metabolic process
GO:0002682	0.805610987676604	regulation of immune system process
GO:0004984	0.805001786446874	olfactory receptor activity
GO:0042060	0.803468285749652	wound healing
GO:0009790	0.802837014340615	embryo development
GO:0030291	0.802694939418124	protein serine/threonine kinase inhibitor activity
GO:0001933	0.802514996482296	negative regulation of protein phosphorylation
GO:0006469	0.802514996482296	negative regulation of protein kinase activity
GO:0033673	0.802514996482296	negative regulation of kinase activity
GO:0042326	0.802514996482296	negative regulation of phosphorylation
GO:0051348	0.802514996482296	negative regulation of transferase activity
GO:0004862	0.802514996482296	cAMP-dependent protein kinase inhibitor activity
GO:0008603	0.802514996482296	cAMP-dependent protein kinase regulator activity
GO:0005581	0.802218455403445	collagen trimer
GO:0032501	0.801235607234488	multicellular organismal process
GO:0018101	0.801055997151475	protein citrullination
GO:0018195	0.801055997151475	peptidyl-arginine modification
GO:0002063	0.800601454312161	chondrocyte development
GO:0032330	0.800601454312161	regulation of chondrocyte differentiation
GO:0061035	0.800601454312161	regulation of cartilage development
GO:0061181	0.800601454312161	regulation of chondrocyte development
GO:0061572	0.800601454312161	actin filament bundle organization
GO:0031005	0.800601454312161	filamin binding
GO:0015016	0.798506621472686	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.798506621472686	heparan sulfate sulfotransferase activity
GO:0001501	0.797495411576847	skeletal system development
GO:0051216	0.797495411576847	cartilage development
GO:0061448	0.797495411576847	connective tissue development
GO:0051262	0.79675896308296	protein tetramerization
GO:0030054	0.795720007514731	cell junction
GO:0008277	0.794612767806908	regulation of G protein-coupled receptor signaling pathway
GO:0015026	0.794612767806908	coreceptor activity
GO:0019207	0.793952634971629	kinase regulator activity
GO:0006333	0.793582378807333	chromatin assembly or disassembly
GO:0006334	0.793397250725185	nucleosome assembly
GO:0031497	0.793397250725185	chromatin assembly
GO:0040012	0.793064815584668	regulation of locomotion
GO:2000145	0.793064815584668	regulation of cell motility
GO:0005217	0.79169933179512	intracellular ligand-gated ion channel activity
GO:0005219	0.79169933179512	ryanodine-sensitive calcium-release channel activity
GO:0015278	0.79169933179512	calcium-release channel activity
GO:0099094	0.79169933179512	ligand-gated cation channel activity
GO:0099604	0.79169933179512	ligand-gated calcium channel activity
GO:0007399	0.790840292651229	nervous system development
GO:0050817	0.790260604717762	coagulation
GO:0050789	0.790003235885807	regulation of biological process
GO:0050794	0.790003235885807	regulation of cellular process
GO:0005184	0.789575487610093	neuropeptide hormone activity
GO:0071855	0.789076106521687	neuropeptide receptor binding
GO:0002062	0.789010611909648	chondrocyte differentiation
GO:0004714	0.788971245895393	transmembrane receptor protein tyrosine kinase activity
GO:0005249	0.788837668038917	voltage-gated potassium channel activity
GO:0030507	0.788698778930737	spectrin binding
GO:0030154	0.78812129264917	cell differentiation
GO:0048869	0.78812129264917	cellular developmental process
GO:0070161	0.78811994592691	anchoring junction
GO:0001503	0.787516982559632	ossification
GO:0003013	0.787363678687387	circulatory system process
GO:0008015	0.787363678687387	blood circulation
GO:0001775	0.786740108748288	cell activation
GO:0065007	0.786362383603565	biological regulation
GO:0016533	0.785938053154335	protein kinase 5 complex
GO:0061575	0.785938053154335	cyclin-dependent protein serine/threonine kinase activator activity
GO:0042470	0.785601540614791	melanosome
GO:0048770	0.785601540614791	pigment granule
GO:0007599	0.785336390625191	hemostasis
GO:0050878	0.785336390625191	regulation of body fluid levels
GO:0044057	0.784387701658009	regulation of system process
GO:0004674	0.78383229981421	protein serine/threonine kinase activity
