ann_term	q_val	annotation
GO:0044265	3.29099972527338e-12	cellular macromolecule catabolic process
GO:0016998	3.29099972527338e-12	cell wall macromolecule catabolic process
GO:0044036	3.29099972527338e-12	cell wall macromolecule metabolic process
GO:0006022	3.41718631532902e-11	aminoglycan metabolic process
GO:0009057	3.41718631532902e-11	macromolecule catabolic process
GO:0006026	3.41718631532902e-11	aminoglycan catabolic process
GO:1901136	3.41718631532902e-11	carbohydrate derivative catabolic process
GO:1901565	1.60574390009109e-10	organonitrogen compound catabolic process
GO:0003796	1.81974782957277e-10	lysozyme activity
GO:1901575	2.44065339941093e-10	organic substance catabolic process
GO:0044403	2.59475992323807e-10	biological process involved in symbiotic interaction
GO:0044248	2.7352803325984e-10	cellular catabolic process
GO:0016032	4.6809402769307e-10	viral process
GO:0019058	4.6809402769307e-10	viral life cycle
GO:0071554	2.45351413143772e-09	cell wall organization or biogenesis
GO:0000270	3.68212049883254e-09	peptidoglycan metabolic process
GO:0030203	3.68212049883254e-09	glycosaminoglycan metabolic process
GO:0009056	3.9130773307127e-09	catabolic process
GO:0006027	3.9130773307127e-09	glycosaminoglycan catabolic process
GO:0009253	3.9130773307127e-09	peptidoglycan catabolic process
GO:0061783	3.9130773307127e-09	peptidoglycan muralytic activity
GO:0019076	2.85218822119185e-08	viral release from host cell
GO:0035890	2.85218822119185e-08	exit from host
GO:0035891	2.85218822119185e-08	exit from host cell
GO:0052126	2.85218822119185e-08	movement in host environment
GO:0019835	4.83997774661608e-08	cytolysis
GO:0008767	1.56352575479688e-07	UDP-galactopyranose mutase activity
GO:0051701	2.01255066234803e-07	biological process involved in interaction with host
GO:0044419	2.04042529749353e-07	biological process involved in interspecies interaction between organisms
GO:0019068	3.59515164534389e-07	virion assembly
GO:0016798	6.68434398451529e-07	hydrolase activity, acting on glycosyl bonds
GO:0004553	1.44090715107295e-06	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0033554	1.74403352333748e-06	cellular response to stress
GO:0006974	3.10001527331842e-06	cellular response to DNA damage stimulus
GO:0006281	3.1589671318398e-06	DNA repair
GO:0003677	3.06188975936418e-05	DNA binding
GO:0003676	3.76297922686404e-05	nucleic acid binding
GO:0071103	4.175239477555e-05	DNA conformation change
GO:0006950	4.65105419751436e-05	response to stress
GO:0016811	4.78583087135266e-05	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	0.000105513514401294	urea metabolic process
GO:0043419	0.000105513514401294	urea catabolic process
GO:0000287	0.000109573991800803	magnesium ion binding
GO:0005488	0.000119605352683998	binding
GO:1901135	0.000161637183219522	carbohydrate derivative metabolic process
GO:0004386	0.000166260366055643	helicase activity
GO:0051276	0.000190537640911884	chromosome organization
GO:0097159	0.000190537640911884	organic cyclic compound binding
GO:1901363	0.000190537640911884	heterocyclic compound binding
GO:0015695	0.000190537640911884	organic cation transport
GO:0015837	0.000190537640911884	amine transport
GO:0018941	0.000190537640911884	organomercury metabolic process
GO:0018942	0.000190537640911884	organometal metabolic process
GO:0034229	0.000190537640911884	ethanolamine transport
GO:0046413	0.000190537640911884	organomercury catabolic process
GO:0005275	0.000190537640911884	amine transmembrane transporter activity
GO:0015101	0.000190537640911884	organic cation transmembrane transporter activity
GO:0015665	0.000190537640911884	alcohol transmembrane transporter activity
GO:0018836	0.000190537640911884	alkylmercury lyase activity
GO:0034228	0.000190537640911884	ethanolamine transmembrane transporter activity
GO:0008745	0.000214508170337209	N-acetylmuramoyl-L-alanine amidase activity
GO:0002791	0.000214508170337209	regulation of peptide secretion
GO:0032880	0.000214508170337209	regulation of protein localization
GO:0050708	0.000214508170337209	regulation of protein secretion
GO:0051046	0.000214508170337209	regulation of secretion
