ann_term	q_val	annotation
GO:0006796	1	phosphate-containing compound metabolic process
GO:0003908	1	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0008172	1	S-methyltransferase activity
GO:0008452	1	RNA ligase activity
GO:0016817	1	hydrolase activity, acting on acid anhydrides
GO:0009607	0.999774927054712	response to biotic stimulus
GO:0009404	0.999774927054712	toxin metabolic process
GO:0005996	0.999774927054712	monosaccharide metabolic process
GO:0006265	0.999774927054712	DNA topological change
GO:0008173	0.998944974662213	RNA methyltransferase activity
GO:0017111	0.996399796306351	nucleoside-triphosphatase activity
GO:0016818	0.996399796306351	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0015675	0.995325154150179	nickel cation transport
GO:0035444	0.995325154150179	nickel cation transmembrane transport
GO:0015099	0.995325154150179	nickel cation transmembrane transporter activity
GO:0015740	0.9921176055827	C4-dicarboxylate transport
GO:0015556	0.9921176055827	C4-dicarboxylate transmembrane transporter activity
GO:0015267	0.987239053426674	channel activity
GO:0022803	0.987239053426674	passive transmembrane transporter activity
GO:0044255	0.971541617015204	cellular lipid metabolic process
GO:0006415	0.969454209220834	translational termination
GO:0043624	0.969454209220834	cellular protein complex disassembly
GO:0016462	0.967139552890008	pyrophosphatase activity
GO:0003916	0.963394152107516	DNA topoisomerase activity
GO:0030313	0.957991323467042	cell envelope
GO:0031975	0.957991323467042	envelope
GO:0006821	0.957991323467042	chloride transport
GO:0005244	0.957991323467042	voltage-gated ion channel activity
GO:0005247	0.957991323467042	voltage-gated chloride channel activity
GO:0005254	0.957991323467042	chloride channel activity
GO:0008308	0.957991323467042	voltage-gated anion channel activity
GO:0015108	0.957991323467042	chloride transmembrane transporter activity
GO:0022832	0.957991323467042	voltage-gated channel activity
GO:0022836	0.957991323467042	gated channel activity
GO:0015562	0.957991323467042	efflux transmembrane transporter activity
GO:0019634	0.957991323467042	organic phosphonate metabolic process
GO:0043648	0.957991323467042	dicarboxylic acid metabolic process
GO:0016638	0.957991323467042	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0015079	0.952888934882385	potassium ion transmembrane transporter activity
GO:0019700	0.949968533123483	organic phosphonate catabolic process
GO:0030312	0.942941641816543	external encapsulating structure
GO:0070008	0.941741084668049	serine-type exopeptidase activity
GO:0016887	0.939035287654109	ATPase activity
GO:0006004	0.939035287654109	fucose metabolic process
GO:0008736	0.939035287654109	L-fucose isomerase activity
GO:0051179	0.937556822583803	localization
GO:0006790	0.936999357440885	sulfur compound metabolic process
GO:0006835	0.93162592494849	dicarboxylic acid transport
GO:0006857	0.925577694718747	oligopeptide transport
GO:0015814	0.925577694718747	p-aminobenzoyl-glutamate transport
GO:0035442	0.925577694718747	dipeptide transmembrane transport
GO:0035672	0.925577694718747	oligopeptide transmembrane transport
GO:0042938	0.925577694718747	dipeptide transport
GO:0072337	0.925577694718747	modified amino acid transport
GO:1902604	0.925577694718747	p-aminobenzoyl-glutamate transmembrane transport
GO:0005310	0.925577694718747	dicarboxylic acid transmembrane transporter activity
GO:0015558	0.925577694718747	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.925577694718747	oligopeptide transmembrane transporter activity
GO:0071916	0.925577694718747	dipeptide transmembrane transporter activity
GO:0072349	0.925577694718747	modified amino acid transmembrane transporter activity
GO:0008131	0.921009325288729	primary amine oxidase activity
GO:0016641	0.921009325288729	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0008408	0.913357159595519	3'-5' exonuclease activity
GO:0004019	0.901652823577573	adenylosuccinate synthase activity
GO:0019318	0.89856496999915	hexose metabolic process
GO:0016855	0.887176863360163	racemase and epimerase activity, acting on amino acids and derivatives
GO:0036361	0.887176863360163	racemase activity, acting on amino acids and derivatives
GO:0008144	0.887176863360163	drug binding
GO:0008658	0.887176863360163	penicillin binding
GO:0033218	0.887176863360163	amide binding
GO:0033293	0.887176863360163	monocarboxylic acid binding
GO:0006820	0.887176863360163	anion transport
GO:0017013	0.886186207805714	protein flavinylation
GO:0008375	0.886186207805714	acetylglucosaminyltransferase activity
GO:0043138	0.886186207805714	3'-5' DNA helicase activity
GO:1904680	0.886186207805714	peptide transmembrane transporter activity
GO:0006164	0.885495700436846	purine nucleotide biosynthetic process
GO:0015969	0.885495700436846	guanosine tetraphosphate metabolic process
GO:0034035	0.885495700436846	purine ribonucleoside bisphosphate metabolic process
GO:0042278	0.885495700436846	purine nucleoside metabolic process
GO:0046128	0.885495700436846	purine ribonucleoside metabolic process
GO:1901068	0.885495700436846	guanosine-containing compound metabolic process
GO:0004672	0.885495700436846	protein kinase activity
GO:0006869	0.885495700436846	lipid transport
GO:0010876	0.885495700436846	lipid localization
GO:0015800	0.885495700436846	acidic amino acid transport
GO:0015807	0.885495700436846	L-amino acid transport
GO:0015813	0.885495700436846	L-glutamate transmembrane transport
GO:0015908	0.885495700436846	fatty acid transport
GO:1902001	0.885495700436846	fatty acid transmembrane transport
GO:1902475	0.885495700436846	L-alpha-amino acid transmembrane transport
GO:0005319	0.885495700436846	lipid transporter activity
GO:0015245	0.885495700436846	fatty acid transmembrane transporter activity
GO:0015501	0.885495700436846	glutamate:sodium symporter activity
GO:0140161	0.885495700436846	monocarboxylate:sodium symporter activity
GO:0072522	0.885495700436846	purine-containing compound biosynthetic process
GO:0016661	0.88328736790878	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016662	0.88328736790878	oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor
GO:0042279	0.88328736790878	nitrite reductase (cytochrome, ammonia-forming) activity
GO:0098809	0.88328736790878	nitrite reductase activity
GO:0008135	0.87977020587535	translation factor activity, RNA binding
GO:0045182	0.87977020587535	translation regulator activity
GO:0090079	0.87977020587535	translation regulator activity, nucleic acid binding
GO:0009119	0.876869223244495	ribonucleoside metabolic process
GO:0005315	0.876869223244495	inorganic phosphate transmembrane transporter activity
GO:0008771	0.875892453114058	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.875892453114058	acid-thiol ligase activity
GO:0015288	0.873400321109194	porin activity
GO:0022829	0.873400321109194	wide pore channel activity
GO:0009073	0.872389315825697	aromatic amino acid family biosynthetic process
GO:0004107	0.872389315825697	chorismate synthase activity
GO:0016838	0.872389315825697	carbon-oxygen lyase activity, acting on phosphates
GO:0019748	0.872389315825697	secondary metabolic process
GO:0004425	0.872389315825697	indole-3-glycerol-phosphate synthase activity
GO:0004180	0.868365747420742	carboxypeptidase activity
GO:1901137	0.86135619877236	carbohydrate derivative biosynthetic process
GO:0004176	0.86135619877236	ATP-dependent peptidase activity
GO:0006928	0.86135619877236	movement of cell or subcellular component
GO:0030255	0.86135619877236	protein secretion by the type IV secretion system
GO:0044097	0.86135619877236	secretion by the type IV secretion system
GO:0004540	0.86135619877236	ribonuclease activity
GO:0010035	0.86135619877236	response to inorganic substance
GO:0010038	0.86135619877236	response to metal ion
GO:0009428	0.849161442156823	bacterial-type flagellum basal body, distal rod, P ring
GO:0009288	0.849161442156823	bacterial-type flagellum
GO:0051604	0.849161442156823	protein maturation
GO:0015926	0.849161442156823	glucosidase activity
GO:0043021	0.849161442156823	ribonucleoprotein complex binding
GO:0043022	0.849161442156823	ribosome binding
GO:0006629	0.849161442156823	lipid metabolic process
GO:0009426	0.848585157089906	bacterial-type flagellum basal body, distal rod
GO:0030694	0.848585157089906	bacterial-type flagellum basal body, rod
GO:0048029	0.840488794780276	monosaccharide binding
GO:0006810	0.83561324048274	transport
GO:0051234	0.83561324048274	establishment of localization
GO:0004565	0.835249880169169	beta-galactosidase activity
GO:0006805	0.834778555884782	xenobiotic metabolic process
GO:0009410	0.834778555884782	response to xenobiotic stimulus
GO:0010124	0.834778555884782	phenylacetate catabolic process
GO:0042178	0.834778555884782	xenobiotic catabolic process
GO:0042537	0.834778555884782	benzene-containing compound metabolic process
GO:0071466	0.834778555884782	cellular response to xenobiotic stimulus
GO:0016830	0.830317738561596	carbon-carbon lyase activity
GO:0004514	0.825846570155487	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0009341	0.825116360769428	beta-galactosidase complex
GO:0051539	0.825116360769428	4 iron, 4 sulfur cluster binding
GO:0016999	0.825116360769428	antibiotic metabolic process
GO:0017000	0.825116360769428	antibiotic biosynthetic process
GO:0017144	0.825116360769428	drug metabolic process
GO:0008649	0.823607605592102	rRNA methyltransferase activity
GO:0008855	0.823607605592102	exodeoxyribonuclease VII activity
GO:0016780	0.822298804122382	phosphotransferase activity, for other substituted phosphate groups
GO:0001882	0.821240849837878	nucleoside binding
GO:0001883	0.821240849837878	purine nucleoside binding
GO:0005525	0.821240849837878	GTP binding
GO:0032549	0.821240849837878	ribonucleoside binding
GO:0032550	0.821240849837878	purine ribonucleoside binding
GO:0009279	0.821240849837878	cell outer membrane
GO:0009425	0.819070342849115	bacterial-type flagellum basal body
GO:0001539	0.816511654235243	cilium or flagellum-dependent cell motility
GO:0048870	0.816511654235243	cell motility
GO:0051674	0.816511654235243	localization of cell
GO:0071973	0.816511654235243	bacterial-type flagellum-dependent cell motility
GO:0097588	0.816511654235243	archaeal or bacterial-type flagellum-dependent cell motility
GO:0022613	0.816511654235243	ribonucleoprotein complex biogenesis
GO:0042254	0.816511654235243	ribosome biogenesis
GO:0015703	0.816511654235243	chromate transport
GO:0015109	0.816511654235243	chromate transmembrane transporter activity
GO:0070835	0.816511654235243	chromium ion transmembrane transporter activity
GO:0016311	0.815965601561051	dephosphorylation
GO:0006720	0.811004597331009	isoprenoid metabolic process
GO:0008299	0.811004597331009	isoprenoid biosynthetic process
GO:0003941	0.811004597331009	L-serine ammonia-lyase activity
GO:0019843	0.811004597331009	rRNA binding
GO:0006793	0.811004597331009	phosphorus metabolic process
GO:0009891	0.804910045069884	positive regulation of biosynthetic process
GO:0009893	0.804910045069884	positive regulation of metabolic process
GO:0010557	0.804910045069884	positive regulation of macromolecule biosynthetic process
GO:0010604	0.804910045069884	positive regulation of macromolecule metabolic process
GO:0031325	0.804910045069884	positive regulation of cellular metabolic process
GO:0031328	0.804910045069884	positive regulation of cellular biosynthetic process
GO:0045893	0.804910045069884	positive regulation of transcription, DNA-templated
GO:0045935	0.804910045069884	positive regulation of nucleobase-containing compound metabolic process
GO:0051173	0.804910045069884	positive regulation of nitrogen compound metabolic process
GO:0051254	0.804910045069884	positive regulation of RNA metabolic process
GO:1902680	0.804910045069884	positive regulation of RNA biosynthetic process
GO:1903508	0.804910045069884	positive regulation of nucleic acid-templated transcription
GO:0006096	0.804910045069884	glycolytic process
GO:0006165	0.804910045069884	nucleoside diphosphate phosphorylation
GO:0006757	0.804910045069884	ATP generation from ADP
GO:0009132	0.804910045069884	nucleoside diphosphate metabolic process
GO:0009135	0.804910045069884	purine nucleoside diphosphate metabolic process
GO:0009179	0.804910045069884	purine ribonucleoside diphosphate metabolic process
GO:0009185	0.804910045069884	ribonucleoside diphosphate metabolic process
GO:0046031	0.804910045069884	ADP metabolic process
GO:0046939	0.804910045069884	nucleotide phosphorylation
GO:0003725	0.804910045069884	double-stranded RNA binding
GO:0004347	0.804910045069884	glucose-6-phosphate isomerase activity
GO:0008703	0.804910045069884	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008653	0.804910045069884	lipopolysaccharide metabolic process
GO:0009103	0.804910045069884	lipopolysaccharide biosynthetic process
GO:0071702	0.804910045069884	organic substance transport
GO:0043213	0.801336040946293	bacteriocin transport
GO:0008882	0.798046493494729	[glutamate-ammonia-ligase] adenylyltransferase activity
GO:0000049	0.794600250838283	tRNA binding
GO:0042802	0.79228551519162	identical protein binding
GO:0042803	0.79228551519162	protein homodimerization activity
GO:0070840	0.79228551519162	dynein complex binding
GO:0016886	0.79228551519162	ligase activity, forming phosphoric ester bonds
GO:0070566	0.79083393861614	adenylyltransferase activity
GO:0006213	0.786059299096788	pyrimidine nucleoside metabolic process
GO:0016226	0.786059299096788	iron-sulfur cluster assembly
GO:0031163	0.786059299096788	metallo-sulfur cluster assembly
GO:0043168	0.786059299096788	anion binding
GO:0008830	0.786059299096788	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0016874	0.786059299096788	ligase activity
GO:0005283	0.784855190983255	amino acid:sodium symporter activity
GO:0005343	0.784855190983255	organic acid:sodium symporter activity
GO:0005416	0.784855190983255	amino acid:cation symporter activity
GO:0015171	0.784855190983255	amino acid transmembrane transporter activity
GO:0046411	0.784855190983255	2-keto-3-deoxygluconate transmembrane transport
GO:0015649	0.784855190983255	2-keto-3-deoxygluconate:proton symporter activity
GO:0031344	0.784855190983255	regulation of cell projection organization
GO:0044087	0.784855190983255	regulation of cellular component biogenesis
GO:0060491	0.784855190983255	regulation of cell projection assembly
GO:1902115	0.784855190983255	regulation of organelle assembly
GO:1902208	0.784855190983255	regulation of bacterial-type flagellum assembly
GO:0009617	0.784855190983255	response to bacterium
GO:0042742	0.784855190983255	defense response to bacterium
GO:0050829	0.784855190983255	defense response to Gram-negative bacterium
GO:0000902	0.784855190983255	cell morphogenesis
GO:0009653	0.784855190983255	anatomical structure morphogenesis
GO:0003747	0.784855190983255	translation release factor activity
GO:0008079	0.784855190983255	translation termination factor activity
GO:0009165	0.780302242303086	nucleotide biosynthetic process
GO:1901293	0.780302242303086	nucleoside phosphate biosynthetic process
GO:0006817	0.778229835027475	phosphate ion transport
GO:0050661	0.776310741143675	NADP binding
GO:0006750	0.776310741143675	glutathione biosynthetic process
GO:0004363	0.776310741143675	glutathione synthase activity
GO:0016987	0.776310741143675	sigma factor activity
GO:0043462	0.773777075403694	regulation of ATPase activity
GO:0050790	0.773777075403694	regulation of catalytic activity
GO:0051336	0.773777075403694	regulation of hydrolase activity
GO:0065009	0.773777075403694	regulation of molecular function
GO:0004523	0.769571436912577	RNA-DNA hybrid ribonuclease activity
GO:0004748	0.769571436912577	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0016728	0.769571436912577	oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
GO:0061731	0.769571436912577	ribonucleoside-diphosphate reductase activity
GO:0015159	0.769571436912577	polysaccharide transmembrane transporter activity
GO:0006813	0.767687567078706	potassium ion transport
GO:0003684	0.762391248663645	damaged DNA binding
GO:0003911	0.761951934148795	DNA ligase (NAD+) activity
GO:0098542	0.761611738850803	defense response to other organism
GO:0008374	0.752290960736892	O-acyltransferase activity
GO:0008811	0.752290960736892	chloramphenicol O-acetyltransferase activity
GO:0016413	0.752290960736892	O-acetyltransferase activity
GO:0003774	0.752290960736892	motor activity
GO:0016763	0.750971974953564	transferase activity, transferring pentosyl groups
GO:0016757	0.750971974953564	transferase activity, transferring glycosyl groups
GO:0044877	0.750971974953564	protein-containing complex binding
GO:0006643	0.745611443580753	membrane lipid metabolic process
GO:0006664	0.745611443580753	glycolipid metabolic process
GO:0009245	0.745611443580753	lipid A biosynthetic process
GO:0009247	0.745611443580753	glycolipid biosynthetic process
GO:0009312	0.745611443580753	oligosaccharide biosynthetic process
GO:0046467	0.745611443580753	membrane lipid biosynthetic process
GO:0046493	0.745611443580753	lipid A metabolic process
GO:1901269	0.745611443580753	lipooligosaccharide metabolic process
GO:1901271	0.745611443580753	lipooligosaccharide biosynthetic process
GO:0009029	0.745611443580753	tetraacyldisaccharide 4'-kinase activity
GO:0043230	0.745611443580753	extracellular organelle
GO:0008818	0.745611443580753	cobalamin 5'-phosphate synthase activity
GO:0051073	0.745611443580753	adenosylcobinamide-GDP ribazoletransferase activity
GO:0005507	0.741696801630611	copper ion binding
GO:0016866	0.741454862920494	intramolecular transferase activity
GO:0008236	0.741454862920494	serine-type peptidase activity
GO:0017171	0.741454862920494	serine hydrolase activity
GO:0043207	0.741454862920494	response to external biotic stimulus
GO:0051707	0.741454862920494	response to other organism
GO:0044270	0.741454862920494	cellular nitrogen compound catabolic process
GO:0006811	0.741454862920494	ion transport
GO:0008198	0.737297621557875	ferrous iron binding
GO:1903509	0.736202556801428	liposaccharide metabolic process
GO:0009427	0.733642888608062	bacterial-type flagellum basal body, distal rod, L ring
GO:0009081	0.733642888608062	branched-chain amino acid metabolic process
GO:0009082	0.733642888608062	branched-chain amino acid biosynthetic process
GO:0004470	0.733642888608062	malic enzyme activity
GO:0004471	0.733642888608062	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	0.733642888608062	malate dehydrogenase activity
GO:0008556	0.733642888608062	potassium transmembrane transporter activity, phosphorylative mechanism
GO:0015662	0.733642888608062	ion transmembrane transporter activity, phosphorylative mechanism
GO:0019829	0.733642888608062	ATPase-coupled cation transmembrane transporter activity
GO:0042625	0.733642888608062	ATPase-coupled ion transmembrane transporter activity
GO:0055070	0.733642888608062	copper ion homeostasis
GO:0051920	0.733642888608062	peroxiredoxin activity
GO:0044781	0.73090434551139	bacterial-type flagellum organization
GO:0016903	0.726395634786486	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0004497	0.726336109852543	monooxygenase activity
GO:0004499	0.726336109852543	N,N-dimethylaniline monooxygenase activity
GO:0016709	0.726336109852543	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0036094	0.725103225124155	small molecule binding
GO:0009294	0.721385107911762	DNA mediated transformation
GO:0009308	0.716729500845644	amine metabolic process
GO:0000041	0.713519255144528	transition metal ion transport
GO:0005381	0.708984751022023	iron ion transmembrane transporter activity
GO:0006352	0.708929507957591	DNA-templated transcription, initiation
GO:0006855	0.705913355405409	drug transmembrane transport
GO:0015893	0.705913355405409	drug transport
GO:0042493	0.705913355405409	response to drug
GO:0009435	0.698414756779594	NAD biosynthetic process
GO:0019359	0.698414756779594	nicotinamide nucleotide biosynthetic process
GO:0019362	0.698414756779594	pyridine nucleotide metabolic process
GO:0019363	0.698414756779594	pyridine nucleotide biosynthetic process
GO:0046496	0.698414756779594	nicotinamide nucleotide metabolic process
GO:0072524	0.698414756779594	pyridine-containing compound metabolic process
GO:0072525	0.698414756779594	pyridine-containing compound biosynthetic process
GO:0030638	0.698414756779594	polyketide metabolic process
GO:0008984	0.698414756779594	protein-glutamate methylesterase activity
GO:0051723	0.698414756779594	protein methylesterase activity
GO:0004557	0.698414756779594	alpha-galactosidase activity
GO:0009424	0.696160981069085	bacterial-type flagellum hook
GO:0006418	0.696160981069085	tRNA aminoacylation for protein translation
GO:0005667	0.696160981069085	transcription regulator complex
GO:0017053	0.696160981069085	transcription repressor complex
GO:0110001	0.696160981069085	toxin-antitoxin complex
GO:0006059	0.696160981069085	hexitol metabolic process
GO:0019402	0.696160981069085	galactitol metabolic process
GO:0015925	0.689651963103435	galactosidase activity
GO:0009636	0.689650843953942	response to toxic substance
GO:0003910	0.680996331357242	DNA ligase (ATP) activity
GO:0044272	0.680915133758944	sulfur compound biosynthetic process
GO:0019637	0.679211252710155	organophosphate metabolic process
GO:0006050	0.678154483617787	mannosamine metabolic process
GO:0006051	0.678154483617787	N-acetylmannosamine metabolic process
GO:0047465	0.678154483617787	N-acylglucosamine-6-phosphate 2-epimerase activity
GO:0006952	0.677811705566847	defense response
GO:0009254	0.675167300915607	peptidoglycan turnover
GO:0015804	0.675167300915607	neutral amino acid transport
GO:0032328	0.675167300915607	alanine transport
GO:0008113	0.675167300915607	peptide-methionine (S)-S-oxide reductase activity
GO:0015175	0.675167300915607	neutral amino acid transmembrane transporter activity
GO:0015655	0.675167300915607	alanine:sodium symporter activity
GO:0016671	0.675167300915607	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0022858	0.675167300915607	alanine transmembrane transporter activity
GO:0033743	0.675167300915607	peptide-methionine (R)-S-oxide reductase activity
GO:0043038	0.671761932410039	amino acid activation
GO:0043039	0.671761932410039	tRNA aminoacylation
GO:0004812	0.671761932410039	aminoacyl-tRNA ligase activity
GO:0016875	0.671761932410039	ligase activity, forming carbon-oxygen bonds
GO:0003700	0.670635467158023	DNA-binding transcription factor activity
GO:0140110	0.670635467158023	transcription regulator activity
GO:0048856	0.667787312252143	anatomical structure development
GO:0030288	0.667731159750532	outer membrane-bounded periplasmic space
GO:0097367	0.667084530843452	carbohydrate derivative binding
GO:0006826	0.666009201867042	iron ion transport
GO:0006536	0.666009201867042	glutamate metabolic process
GO:0006537	0.666009201867042	glutamate biosynthetic process
GO:0009084	0.666009201867042	glutamine family amino acid biosynthetic process
GO:0043650	0.666009201867042	dicarboxylic acid biosynthetic process
GO:0015930	0.666009201867042	glutamate synthase activity
GO:0009307	0.665963753659634	DNA restriction-modification system
GO:0044355	0.665963753659634	clearance of foreign intracellular DNA
GO:0099046	0.665963753659634	clearance of foreign intracellular nucleic acids
GO:0004721	0.664373842281736	phosphoprotein phosphatase activity
GO:0008138	0.664373842281736	protein tyrosine/serine/threonine phosphatase activity
GO:0016774	0.663187783294324	phosphotransferase activity, carboxyl group as acceptor
GO:0016620	0.6628452639995	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0003918	0.6628452639995	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0008094	0.6628452639995	DNA-dependent ATPase activity
GO:0007275	0.657145178844998	multicellular organism development
GO:0015939	0.657145178844998	pantothenate metabolic process
GO:0015940	0.657145178844998	pantothenate biosynthetic process
GO:0032501	0.657145178844998	multicellular organismal process
GO:0003864	0.657145178844998	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0070206	0.657145178844998	protein trimerization
GO:0140101	0.651185993715071	catalytic activity, acting on a tRNA
GO:0048038	0.650451321873894	quinone binding
GO:0015355	0.643796026748574	secondary active monocarboxylate transmembrane transporter activity
GO:0046685	0.628469773596861	response to arsenic-containing substance
GO:0008272	0.626806021465638	sulfate transport
GO:0072348	0.626806021465638	sulfur compound transport
GO:0008252	0.626806021465638	nucleotidase activity
GO:0008253	0.626806021465638	5'-nucleotidase activity
GO:0015116	0.626806021465638	sulfate transmembrane transporter activity
GO:1901682	0.626806021465638	sulfur compound transmembrane transporter activity
GO:0008417	0.626806021465638	fucosyltransferase activity
GO:0044780	0.626249781104497	bacterial-type flagellum assembly
GO:0070925	0.626249781104497	organelle assembly
GO:0006099	0.625794059145187	tricarboxylic acid cycle
GO:0005615	0.616057336690815	extracellular space
GO:0090729	0.616057336690815	toxin activity
GO:0006865	0.616057336690815	amino acid transport
GO:0008704	0.614459329112545	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity
GO:0016863	0.614459329112545	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0042221	0.611372753323092	response to chemical
GO:0005515	0.610767100469534	protein binding
GO:0003909	0.610767100469534	DNA ligase activity
GO:0030001	0.609917719403512	metal ion transport
GO:0006812	0.606992311437719	cation transport
GO:0006635	0.602165564894156	fatty acid beta-oxidation
GO:0009062	0.602165564894156	fatty acid catabolic process
GO:0016042	0.602165564894156	lipid catabolic process
GO:0019395	0.602165564894156	fatty acid oxidation
GO:0030258	0.602165564894156	lipid modification
GO:0033539	0.602165564894156	fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0034440	0.602165564894156	lipid oxidation
GO:0044242	0.602165564894156	cellular lipid catabolic process
GO:0003995	0.602165564894156	acyl-CoA dehydrogenase activity
GO:0000096	0.595238795074475	sulfur amino acid metabolic process
GO:0006555	0.595238795074475	methionine metabolic process
GO:0009246	0.595238795074475	enterobacterial common antigen biosynthetic process
GO:0046378	0.595238795074475	enterobacterial common antigen metabolic process
GO:0006878	0.592901127057639	cellular copper ion homeostasis
GO:0046688	0.592901127057639	response to copper ion
GO:0015849	0.592362080445767	organic acid transport
GO:0098655	0.591989636747595	cation transmembrane transport
GO:0098660	0.591989636747595	inorganic ion transmembrane transport
GO:0098662	0.591989636747595	inorganic cation transmembrane transport
GO:1901566	0.589821240620304	organonitrogen compound biosynthetic process
GO:0006419	0.58291456697188	alanyl-tRNA aminoacylation
GO:0004813	0.58291456697188	alanine-tRNA ligase activity
GO:0003690	0.58291456697188	double-stranded DNA binding
GO:0002161	0.582186230100313	aminoacyl-tRNA editing activity
GO:0022884	0.579964384732297	macromolecule transmembrane transporter activity
GO:0009271	0.579964384732297	phage shock
GO:0098586	0.579964384732297	cellular response to virus
GO:0015934	0.579964384732297	large ribosomal subunit
GO:0044391	0.579964384732297	ribosomal subunit
GO:1990904	0.579964384732297	ribonucleoprotein complex
GO:0004040	0.579964384732297	amidase activity
GO:0070403	0.579964384732297	NAD+ binding
GO:0016832	0.578055457364239	aldehyde-lyase activity
GO:0004252	0.575673217982629	serine-type endopeptidase activity
GO:0016891	0.572705058371647	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016742	0.568217155155205	hydroxymethyl-, formyl- and related transferase activity
GO:0004764	0.568217155155205	shikimate 3-dehydrogenase (NADP+) activity
GO:0070567	0.568217155155205	cytidylyltransferase activity
GO:0000166	0.568217155155205	nucleotide binding
GO:1901265	0.568217155155205	nucleoside phosphate binding
GO:0006556	0.565747409471722	S-adenosylmethionine biosynthetic process
GO:0046500	0.565747409471722	S-adenosylmethionine metabolic process
GO:0004478	0.565747409471722	methionine adenosyltransferase activity
GO:0005342	0.565747409471722	organic acid transmembrane transporter activity
GO:0046943	0.565747409471722	carboxylic acid transmembrane transporter activity
GO:0016868	0.565747409471722	intramolecular transferase activity, phosphotransferases
GO:0016810	0.552599554290277	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016877	0.542061357150781	ligase activity, forming carbon-sulfur bonds
GO:0070887	0.541278528832272	cellular response to chemical stimulus
GO:0006013	0.536538871835248	mannose metabolic process
GO:0004559	0.536538871835248	alpha-mannosidase activity
GO:0015923	0.536538871835248	mannosidase activity
GO:0009055	0.529813509407555	electron transfer activity
GO:0006274	0.528603854892072	DNA replication termination
GO:0016833	0.528484263101391	oxo-acid-lyase activity
GO:0006144	0.527847857877094	purine nucleobase metabolic process
GO:0006778	0.527847857877094	porphyrin-containing compound metabolic process
