ann_term	q_val	annotation
GO:0017013	0.999386772226042	protein flavinylation
GO:0008375	0.999386772226042	acetylglucosaminyltransferase activity
GO:0009636	0.999386772226042	response to toxic substance
GO:0004176	0.993847126270657	ATP-dependent peptidase activity
GO:0015675	0.993847126270657	nickel cation transport
GO:0035444	0.993847126270657	nickel cation transmembrane transport
GO:0015099	0.993847126270657	nickel cation transmembrane transporter activity
GO:0016833	0.987032861349217	oxo-acid-lyase activity
GO:0000041	0.985111204050036	transition metal ion transport
GO:0006952	0.982662966013622	defense response
GO:0015925	0.982118640625341	galactosidase activity
GO:0004540	0.976068843200308	ribonuclease activity
GO:0048037	0.975826768386869	cofactor binding
GO:1901566	0.97260410366339	organonitrogen compound biosynthetic process
GO:0008649	0.967191473498874	rRNA methyltransferase activity
GO:0008855	0.967191473498874	exodeoxyribonuclease VII activity
GO:0006857	0.964584529303616	oligopeptide transport
GO:0015814	0.964584529303616	p-aminobenzoyl-glutamate transport
GO:0035442	0.964584529303616	dipeptide transmembrane transport
GO:0035672	0.964584529303616	oligopeptide transmembrane transport
GO:0042938	0.964584529303616	dipeptide transport
GO:0072337	0.964584529303616	modified amino acid transport
GO:1902604	0.964584529303616	p-aminobenzoyl-glutamate transmembrane transport
GO:0015558	0.964584529303616	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.964584529303616	oligopeptide transmembrane transporter activity
GO:0071916	0.964584529303616	dipeptide transmembrane transporter activity
GO:0072349	0.964584529303616	modified amino acid transmembrane transporter activity
GO:0015969	0.964584529303616	guanosine tetraphosphate metabolic process
GO:0034035	0.964584529303616	purine ribonucleoside bisphosphate metabolic process
GO:0042278	0.964584529303616	purine nucleoside metabolic process
GO:0046128	0.964584529303616	purine ribonucleoside metabolic process
GO:1901068	0.964584529303616	guanosine-containing compound metabolic process
GO:0003725	0.964584529303616	double-stranded RNA binding
GO:0015288	0.964584529303616	porin activity
GO:0022829	0.964584529303616	wide pore channel activity
GO:0008236	0.964584529303616	serine-type peptidase activity
GO:0016825	0.964584529303616	hydrolase activity, acting on acid phosphorus-nitrogen bonds
GO:0017171	0.964584529303616	serine hydrolase activity
GO:0009341	0.96217108524483	beta-galactosidase complex
GO:0044255	0.960328967438909	cellular lipid metabolic process
GO:0006821	0.957318976382208	chloride transport
GO:0005244	0.957318976382208	voltage-gated ion channel activity
GO:0005247	0.957318976382208	voltage-gated chloride channel activity
GO:0005254	0.957318976382208	chloride channel activity
GO:0008308	0.957318976382208	voltage-gated anion channel activity
GO:0015108	0.957318976382208	chloride transmembrane transporter activity
GO:0022832	0.957318976382208	voltage-gated channel activity
GO:0022836	0.957318976382208	gated channel activity
GO:0008408	0.957318976382208	3'-5' exonuclease activity
GO:0019637	0.957318976382208	organophosphate metabolic process
