ann_term	q_val	annotation
GO:0003908	1	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0008172	1	S-methyltransferase activity
GO:0015267	1	channel activity
GO:0022803	1	passive transmembrane transporter activity
GO:0008173	0.999343838615585	RNA methyltransferase activity
GO:0009636	0.990339963136452	response to toxic substance
GO:0008452	0.988556804342861	RNA ligase activity
GO:0003916	0.987407082701903	DNA topoisomerase activity
GO:0015740	0.986797616362882	C4-dicarboxylate transport
GO:0015556	0.986797616362882	C4-dicarboxylate transmembrane transporter activity
GO:0044255	0.98637614098459	cellular lipid metabolic process
GO:0006415	0.982888202750751	translational termination
GO:0043624	0.982888202750751	cellular protein complex disassembly
GO:0015675	0.982888202750751	nickel cation transport
GO:0035444	0.982888202750751	nickel cation transmembrane transport
GO:0015099	0.982888202750751	nickel cation transmembrane transporter activity
GO:0016638	0.981378680628439	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0006265	0.977320563323796	DNA topological change
GO:0015318	0.970594991703167	inorganic molecular entity transmembrane transporter activity
GO:0006796	0.970594991703167	phosphate-containing compound metabolic process
GO:0070008	0.969782238510604	serine-type exopeptidase activity
GO:0005996	0.968457941898374	monosaccharide metabolic process
GO:0015562	0.963320509293396	efflux transmembrane transporter activity
GO:0030313	0.960912083794865	cell envelope
GO:0031975	0.960912083794865	envelope
GO:0051179	0.960191480866507	localization
GO:0019634	0.959263853891449	organic phosphonate metabolic process
GO:0043648	0.952817401441953	dicarboxylic acid metabolic process
GO:0006821	0.951116466719564	chloride transport
GO:0005244	0.951116466719564	voltage-gated ion channel activity
GO:0005247	0.951116466719564	voltage-gated chloride channel activity
GO:0005254	0.951116466719564	chloride channel activity
GO:0008308	0.951116466719564	voltage-gated anion channel activity
GO:0015108	0.951116466719564	chloride transmembrane transporter activity
GO:0022832	0.951116466719564	voltage-gated channel activity
GO:0022836	0.951116466719564	gated channel activity
GO:0019700	0.948723551299772	organic phosphonate catabolic process
GO:0006004	0.93660614980658	fucose metabolic process
GO:0008736	0.93660614980658	L-fucose isomerase activity
GO:0006857	0.932601974924405	oligopeptide transport
GO:0015814	0.932601974924405	p-aminobenzoyl-glutamate transport
GO:0035442	0.932601974924405	dipeptide transmembrane transport
GO:0035672	0.932601974924405	oligopeptide transmembrane transport
GO:0042938	0.932601974924405	dipeptide transport
GO:0072337	0.932601974924405	modified amino acid transport
GO:1902604	0.932601974924405	p-aminobenzoyl-glutamate transmembrane transport
GO:0015558	0.932601974924405	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.932601974924405	oligopeptide transmembrane transporter activity
GO:0071916	0.932601974924405	dipeptide transmembrane transporter activity
GO:0072349	0.932601974924405	modified amino acid transmembrane transporter activity
GO:0006835	0.932601974924405	dicarboxylic acid transport
GO:0005310	0.932601974924405	dicarboxylic acid transmembrane transporter activity
GO:0006790	0.927517356751475	sulfur compound metabolic process
GO:0006810	0.925880166577131	transport
GO:0051234	0.925880166577131	establishment of localization
GO:0015075	0.925880166577131	ion transmembrane transporter activity
GO:0015079	0.925880166577131	potassium ion transmembrane transporter activity
GO:0019318	0.920845983337222	hexose metabolic process
GO:0008658	0.918009376160974	penicillin binding
GO:0033218	0.918009376160974	amide binding
GO:0033293	0.918009376160974	monocarboxylic acid binding
GO:0051186	0.918009376160974	cofactor metabolic process
GO:0008408	0.91752077161596	3'-5' exonuclease activity
GO:0008131	0.909739242121642	primary amine oxidase activity
GO:0016641	0.909739242121642	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:1904680	0.896921170109531	peptide transmembrane transporter activity
GO:0004019	0.893942988202981	adenylosuccinate synthase activity
GO:0016855	0.889637063438944	racemase and epimerase activity, acting on amino acids and derivatives
GO:0036361	0.889637063438944	racemase activity, acting on amino acids and derivatives
GO:0009607	0.888722437253208	response to biotic stimulus
GO:0017013	0.886321863942966	protein flavinylation
GO:0008375	0.886321863942966	acetylglucosaminyltransferase activity
GO:0043138	0.886321863942966	3'-5' DNA helicase activity
GO:0030312	0.886321863942966	external encapsulating structure
GO:0015969	0.88558359945101	guanosine tetraphosphate metabolic process
GO:0034035	0.88558359945101	purine ribonucleoside bisphosphate metabolic process
GO:0042278	0.88558359945101	purine nucleoside metabolic process
GO:0046128	0.88558359945101	purine ribonucleoside metabolic process
GO:1901068	0.88558359945101	guanosine-containing compound metabolic process
GO:0001882	0.88558359945101	nucleoside binding
GO:0001883	0.88558359945101	purine nucleoside binding
GO:0005525	0.88558359945101	GTP binding
GO:0032549	0.88558359945101	ribonucleoside binding
GO:0032550	0.88558359945101	purine ribonucleoside binding
GO:0006836	0.88558359945101	neurotransmitter transport
GO:0015800	0.88558359945101	acidic amino acid transport
GO:0015807	0.88558359945101	L-amino acid transport
GO:0015813	0.88558359945101	L-glutamate transmembrane transport
GO:1902475	0.88558359945101	L-alpha-amino acid transmembrane transport
GO:0015501	0.88558359945101	glutamate:sodium symporter activity
GO:0017153	0.88558359945101	sodium:dicarboxylate symporter activity
GO:0004672	0.884926032307136	protein kinase activity
GO:0015288	0.884926032307136	porin activity
GO:0022829	0.884926032307136	wide pore channel activity
GO:0016661	0.883517245819784	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016662	0.883517245819784	oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor
GO:0042279	0.883517245819784	nitrite reductase (cytochrome, ammonia-forming) activity
GO:0098809	0.883517245819784	nitrite reductase activity
GO:0009288	0.878663264376948	bacterial-type flagellum
GO:0005315	0.875920787910531	inorganic phosphate transmembrane transporter activity
GO:0008135	0.875920787910531	translation factor activity, RNA binding
GO:0045182	0.875920787910531	translation regulator activity
GO:0090079	0.875920787910531	translation regulator activity, nucleic acid binding
GO:0009119	0.875920787910531	ribonucleoside metabolic process
GO:0016830	0.875920787910531	carbon-carbon lyase activity
GO:0006629	0.875920787910531	lipid metabolic process
GO:0006928	0.875920787910531	movement of cell or subcellular component
GO:0006164	0.873997531614265	purine nucleotide biosynthetic process
GO:0072522	0.873997531614265	purine-containing compound biosynthetic process
GO:0004107	0.873955963297787	chorismate synthase activity
GO:0016838	0.873955963297787	carbon-oxygen lyase activity, acting on phosphates
GO:0004425	0.873158417120931	indole-3-glycerol-phosphate synthase activity
GO:0008771	0.87139888341529	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.87139888341529	acid-thiol ligase activity
GO:0009428	0.863566176564714	bacterial-type flagellum basal body, distal rod, P ring
GO:0009426	0.863228966287787	bacterial-type flagellum basal body, distal rod
GO:0030694	0.863228966287787	bacterial-type flagellum basal body, rod
GO:0004176	0.863228966287787	ATP-dependent peptidase activity
GO:0048037	0.857867084153569	cofactor binding
GO:0004180	0.853054250535469	carboxypeptidase activity
GO:0006793	0.852761351886927	phosphorus metabolic process
GO:0016780	0.852470780542674	phosphotransferase activity, for other substituted phosphate groups
GO:0030001	0.852171252129566	metal ion transport
GO:1901137	0.852171252129566	carbohydrate derivative biosynthetic process
GO:0043021	0.850445386105653	ribonucleoprotein complex binding
GO:0043022	0.850445386105653	ribosome binding
GO:0051604	0.850445386105653	protein maturation
GO:0015926	0.850445386105653	glucosidase activity
GO:0004540	0.849308952770597	ribonuclease activity
GO:0048029	0.831121927840145	monosaccharide binding
GO:0010035	0.831121927840145	response to inorganic substance
GO:0010038	0.831121927840145	response to metal ion
GO:0030255	0.831121927840145	protein secretion by the type IV secretion system
GO:0044097	0.831121927840145	secretion by the type IV secretion system
GO:0006805	0.825480015196466	xenobiotic metabolic process
GO:0009407	0.825480015196466	toxin catabolic process
GO:0009410	0.825480015196466	response to xenobiotic stimulus
GO:0009850	0.825480015196466	auxin metabolic process
GO:0009852	0.825480015196466	auxin catabolic process
GO:0010124	0.825480015196466	phenylacetate catabolic process
GO:0010817	0.825480015196466	regulation of hormone levels
GO:0042178	0.825480015196466	xenobiotic catabolic process
GO:0042445	0.825480015196466	hormone metabolic process
GO:0042447	0.825480015196466	hormone catabolic process
GO:0042537	0.825480015196466	benzene-containing compound metabolic process
GO:0071466	0.825480015196466	cellular response to xenobiotic stimulus
GO:0071702	0.825480015196466	organic substance transport
GO:0004514	0.825480015196466	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0009425	0.825480015196466	bacterial-type flagellum basal body
GO:0016999	0.825480015196466	antibiotic metabolic process
GO:0017000	0.825480015196466	antibiotic biosynthetic process
GO:0008649	0.825480015196466	rRNA methyltransferase activity
GO:0008855	0.825480015196466	exodeoxyribonuclease VII activity
GO:0004565	0.825480015196466	beta-galactosidase activity
GO:0009341	0.825480015196466	beta-galactosidase complex
GO:0051539	0.823517122052271	4 iron, 4 sulfur cluster binding
GO:0098754	0.82261984632882	detoxification
GO:0001539	0.818555876376641	cilium or flagellum-dependent cell motility
GO:0048870	0.818555876376641	cell motility
GO:0051674	0.818555876376641	localization of cell
GO:0071973	0.818555876376641	bacterial-type flagellum-dependent cell motility
GO:0097588	0.818555876376641	archaeal or bacterial-type flagellum-dependent cell motility
GO:0016311	0.818555876376641	dephosphorylation
GO:0015703	0.818555876376641	chromate transport
GO:0015109	0.818555876376641	chromate transmembrane transporter activity
GO:0016886	0.812825274080026	ligase activity, forming phosphoric ester bonds
GO:0022613	0.811390884354273	ribonucleoprotein complex biogenesis
GO:0042254	0.811390884354273	ribosome biogenesis
GO:0051188	0.807006074494489	cofactor biosynthetic process
GO:0008653	0.806924199622053	lipopolysaccharide metabolic process
GO:0009103	0.806924199622053	lipopolysaccharide biosynthetic process
