ann_term	q_val	annotation
GO:0008767	4.40748956164983e-06	UDP-galactopyranose mutase activity
GO:0016811	0.000663104565288055	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	0.000663104565288055	urea metabolic process
GO:0043419	0.000663104565288055	urea catabolic process
GO:0043190	0.000663104565288055	ATP-binding cassette (ABC) transporter complex
GO:0098533	0.000663104565288055	ATPase dependent transmembrane transport complex
GO:0004519	0.000663104565288055	endonuclease activity
GO:0015695	0.000663104565288055	organic cation transport
GO:0015837	0.000663104565288055	amine transport
GO:0018941	0.000663104565288055	organomercury metabolic process
GO:0018942	0.000663104565288055	organometal metabolic process
GO:0034229	0.000663104565288055	ethanolamine transport
GO:0046413	0.000663104565288055	organomercury catabolic process
GO:0005275	0.000663104565288055	amine transmembrane transporter activity
GO:0015101	0.000663104565288055	organic cation transmembrane transporter activity
GO:0015665	0.000663104565288055	alcohol transmembrane transporter activity
GO:0018836	0.000663104565288055	alkylmercury lyase activity
GO:0034228	0.000663104565288055	ethanolamine transmembrane transporter activity
GO:0008745	0.000679136109763006	N-acetylmuramoyl-L-alanine amidase activity
GO:0098797	0.000679136109763006	plasma membrane protein complex
GO:1902495	0.000679136109763006	transmembrane transporter complex
GO:1990351	0.000679136109763006	transporter complex
GO:0098796	0.000679136109763006	membrane protein complex
GO:0016884	0.00112444935617783	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016151	0.00127939099730973	nickel cation binding
GO:0006177	0.00127939099730973	GMP biosynthetic process
GO:0042451	0.00127939099730973	purine nucleoside biosynthetic process
GO:0046037	0.00127939099730973	GMP metabolic process
GO:0046129	0.00127939099730973	purine ribonucleoside biosynthetic process
GO:1901070	0.00127939099730973	guanosine-containing compound biosynthetic process
GO:0003922	0.00127939099730973	GMP synthase (glutamine-hydrolyzing) activity
GO:0071944	0.00131751480041097	cell periphery
GO:0004470	0.00167231594872782	malic enzyme activity
GO:0004471	0.00167231594872782	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	0.00167231594872782	malate dehydrogenase activity
GO:0051716	0.00169361349070267	cellular response to stimulus
GO:0016903	0.00240350363628273	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0048523	0.00341977745775818	negative regulation of cellular process
GO:0048519	0.00341977745775818	negative regulation of biological process
GO:0042278	0.00351297964055929	purine nucleoside metabolic process
GO:0046128	0.00351297964055929	purine ribonucleoside metabolic process
GO:1901068	0.00351297964055929	guanosine-containing compound metabolic process
GO:0016645	0.00351297964055929	oxidoreductase activity, acting on the CH-NH group of donors
GO:0005887	0.00351297964055929	integral component of plasma membrane
GO:0031226	0.00351297964055929	intrinsic component of plasma membrane
GO:0007154	0.00351297964055929	cell communication
GO:0045892	0.00351297964055929	negative regulation of transcription, DNA-templated
GO:0045934	0.00351297964055929	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.00351297964055929	negative regulation of RNA metabolic process
GO:1902679	0.00351297964055929	negative regulation of RNA biosynthetic process
GO:1903507	0.00351297964055929	negative regulation of nucleic acid-templated transcription
GO:0016747	0.00351297964055929	transferase activity, transferring acyl groups other than amino-acyl groups
