ann_term	CC	annotation
GO:0008767	2.66260115341923e-09	UDP-galactopyranose mutase activity
GO:0016811	1.62228056513516e-06	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	2.7889605466553e-06	urea metabolic process
GO:0043419	2.7889605466553e-06	urea catabolic process
GO:0043190	3.57282237081849e-06	ATP-binding cassette (ABC) transporter complex
GO:0098533	3.57282237081849e-06	ATPase dependent transmembrane transport complex
GO:0004519	5.45169049753973e-06	endonuclease activity
GO:0015695	7.19478627855465e-06	organic cation transport
GO:0015837	7.19478627855465e-06	amine transport
GO:0018941	7.19478627855465e-06	organomercury metabolic process
GO:0018942	7.19478627855465e-06	organometal metabolic process
GO:0034229	7.19478627855465e-06	ethanolamine transport
GO:0046413	7.19478627855465e-06	organomercury catabolic process
GO:0005275	7.19478627855465e-06	amine transmembrane transporter activity
GO:0015101	7.19478627855465e-06	organic cation transmembrane transporter activity
GO:0015665	7.19478627855465e-06	alcohol transmembrane transporter activity
GO:0018836	7.19478627855465e-06	alkylmercury lyase activity
GO:0034228	7.19478627855465e-06	ethanolamine transmembrane transporter activity
GO:0008745	8.50505117152191e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0098796	9.38609621074245e-06	membrane protein complex
GO:0098797	9.38609621074255e-06	plasma membrane protein complex
GO:1902495	9.38609621074255e-06	transmembrane transporter complex
GO:1990351	9.38609621074255e-06	transporter complex
GO:0016884	1.62654908777331e-05	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016151	1.96482405089441e-05	nickel cation binding
GO:0006177	2.39045673921398e-05	GMP biosynthetic process
GO:0042451	2.39045673921398e-05	purine nucleoside biosynthetic process
GO:0046037	2.39045673921398e-05	GMP metabolic process
GO:0046129	2.39045673921398e-05	purine ribonucleoside biosynthetic process
GO:1901070	2.39045673921398e-05	guanosine-containing compound biosynthetic process
GO:0003922	2.39045673921398e-05	GMP synthase (glutamine-hydrolyzing) activity
GO:0071944	2.53960145050816e-05	cell periphery
GO:0004470	3.52815779396495e-05	malic enzyme activity
GO:0004471	3.52815779396495e-05	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	3.52815779396496e-05	malate dehydrogenase activity
GO:0051716	3.67917066162912e-05	cellular response to stimulus
GO:0016903	5.35962006263212e-05	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0048519	8.05813582381913e-05	negative regulation of biological process
GO:0048523	8.05813582381913e-05	negative regulation of cellular process
GO:0042278	0.000102521175963969	purine nucleoside metabolic process
GO:0046128	0.000102521175963969	purine ribonucleoside metabolic process
GO:1901068	0.000102521175963969	guanosine-containing compound metabolic process
GO:0016645	0.000105973255264424	oxidoreductase activity, acting on the CH-NH group of donors
GO:0005887	0.000106572631498673	integral component of plasma membrane
GO:0031226	0.000106572631498673	intrinsic component of plasma membrane
GO:0007154	0.000111295715184812	cell communication
GO:0045892	0.000112681420867215	negative regulation of transcription, DNA-templated
GO:0045934	0.000112681420867215	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.000112681420867215	negative regulation of RNA metabolic process
GO:1902679	0.000112681420867215	negative regulation of RNA biosynthetic process
GO:1903507	0.000112681420867215	negative regulation of nucleic acid-templated transcription
GO:0016747	0.000124506025098619	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0000160	0.000126179407400859	phosphorelay signal transduction system
GO:0035556	0.000126179407400859	intracellular signal transduction
GO:0005886	0.000130381678218461	plasma membrane
GO:0002791	0.000133400491191084	regulation of peptide secretion
GO:0032880	0.000133400491191084	regulation of protein localization
GO:0050708	0.000133400491191084	regulation of protein secretion
GO:0051046	0.000133400491191084	regulation of secretion
GO:0051223	0.000133400491191084	regulation of protein transport
GO:0070201	0.000133400491191084	regulation of establishment of protein localization
GO:0090087	0.000133400491191084	regulation of peptide transport
GO:1903530	0.000133400491191084	regulation of secretion by cell
GO:0008641	0.000140970638636427	ubiquitin-like modifier activating enzyme activity
GO:0007165	0.000146344568868841	signal transduction
GO:0016646	0.00016343178326244	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0004197	0.000202655088303741	cysteine-type endopeptidase activity
GO:0023052	0.000207203198264329	signaling
GO:0016866	0.000223335357074323	intramolecular transferase activity
GO:0019646	0.000243558681539616	aerobic electron transport chain
GO:0070069	0.000243558681539616	cytochrome complex
GO:0042398	0.00028412251974864	cellular modified amino acid biosynthetic process
GO:0043605	0.000289956535084439	cellular amide catabolic process
GO:0016879	0.000431433011630694	ligase activity, forming carbon-nitrogen bonds
GO:0005576	0.00043890294755633	extracellular region
GO:0006575	0.000471107251783658	cellular modified amino acid metabolic process
GO:0009890	0.000505038089904375	negative regulation of biosynthetic process
GO:0010558	0.000505038089904375	negative regulation of macromolecule biosynthetic process
GO:0031324	0.000505038089904375	negative regulation of cellular metabolic process
GO:0031327	0.000505038089904375	negative regulation of cellular biosynthetic process
GO:0051172	0.000505038089904375	negative regulation of nitrogen compound metabolic process
GO:2000113	0.000505038089904375	negative regulation of cellular macromolecule biosynthetic process
GO:0009892	0.000505038089904377	negative regulation of metabolic process
GO:0010605	0.000505038089904377	negative regulation of macromolecule metabolic process
GO:0010629	0.000505038089904377	negative regulation of gene expression
GO:0009060	0.000560232555017697	aerobic respiration
GO:0004518	0.000649020254050265	nuclease activity
GO:0015980	0.000797036556894264	energy derivation by oxidation of organic compounds
GO:0055114	0.000798773918780837	oxidation-reduction process
GO:0009163	0.000811913302440523	nucleoside biosynthetic process
GO:0042455	0.000811913302440523	ribonucleoside biosynthetic process
