ann_term	q_val	annotation
GO:0015294	0.996332511585083	solute:cation symporter activity
GO:0006979	0.996217390527797	response to oxidative stress
GO:0006163	0.993969246396594	purine nucleotide metabolic process
GO:0072521	0.993969246396594	purine-containing compound metabolic process
GO:0015675	0.990106674591181	nickel cation transport
GO:0035444	0.990106674591181	nickel cation transmembrane transport
GO:0015099	0.990106674591181	nickel cation transmembrane transporter activity
GO:0005515	0.990106674591181	protein binding
GO:0015562	0.990106674591181	efflux transmembrane transporter activity
GO:0000041	0.988406908444709	transition metal ion transport
GO:0022890	0.988406908444709	inorganic cation transmembrane transporter activity
GO:0015740	0.988406908444709	C4-dicarboxylate transport
GO:0015556	0.988406908444709	C4-dicarboxylate transmembrane transporter activity
GO:0015267	0.984255459117355	channel activity
GO:0022803	0.984255459117355	passive transmembrane transporter activity
GO:0006260	0.984255459117355	DNA replication
GO:0000270	0.980566541861379	peptidoglycan metabolic process
GO:0006022	0.980566541861379	aminoglycan metabolic process
GO:0030203	0.980566541861379	glycosaminoglycan metabolic process
GO:0006026	0.980566541861379	aminoglycan catabolic process
GO:0006027	0.980566541861379	glycosaminoglycan catabolic process
GO:0009253	0.980566541861379	peptidoglycan catabolic process
GO:1901136	0.980566541861379	carbohydrate derivative catabolic process
GO:0061783	0.980566541861379	peptidoglycan muralytic activity
GO:0009123	0.980566541861379	nucleoside monophosphate metabolic process
GO:0009124	0.980566541861379	nucleoside monophosphate biosynthetic process
GO:0009126	0.980566541861379	purine nucleoside monophosphate metabolic process
GO:0009127	0.980566541861379	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.980566541861379	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.980566541861379	ribonucleoside monophosphate metabolic process
GO:0009167	0.980566541861379	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.980566541861379	purine ribonucleoside monophosphate biosynthetic process
GO:0043412	0.980566541861379	macromolecule modification
GO:0044267	0.980566541861379	cellular protein metabolic process
GO:0008408	0.980566541861379	3'-5' exonuclease activity
GO:0046915	0.980566541861379	transition metal ion transmembrane transporter activity
GO:0006952	0.980566541861379	defense response
GO:0003333	0.980566541861379	amino acid transmembrane transport
GO:0043213	0.980566541861379	bacteriocin transport
GO:0043226	0.979110093698367	organelle
GO:0004521	0.971445255626425	endoribonuclease activity
GO:0015288	0.970304557057355	porin activity
GO:0022829	0.970304557057355	wide pore channel activity
GO:0043207	0.967889512276474	response to external biotic stimulus
GO:0051707	0.967889512276474	response to other organism
GO:0019634	0.964897086739023	organic phosphonate metabolic process
GO:0043648	0.963517220572208	dicarboxylic acid metabolic process
GO:0016638	0.963517220572208	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0043228	0.963517220572208	non-membrane-bounded organelle
GO:0005351	0.963517220572208	carbohydrate:proton symporter activity
GO:0005402	0.963517220572208	carbohydrate:cation symporter activity
GO:0015295	0.963517220572208	solute:proton symporter activity
GO:0016741	0.960273108890433	transferase activity, transferring one-carbon groups
GO:0015079	0.960273108890433	potassium ion transmembrane transporter activity
GO:0019700	0.957663210866407	organic phosphonate catabolic process
GO:0110165	0.95567444767856	cellular anatomical entity
GO:0051276	0.950194379892021	chromosome organization
GO:0003896	0.949407317843092	DNA primase activity
GO:0005618	0.949407317843092	cell wall
GO:0008914	0.94799568986136	leucyltransferase activity
GO:0016755	0.94799568986136	transferase activity, transferring amino-acyl groups
GO:0006004	0.94799568986136	fucose metabolic process
GO:0008736	0.94799568986136	L-fucose isomerase activity
GO:0006865	0.944146971960716	amino acid transport
GO:0006259	0.940520974586479	DNA metabolic process
GO:0016684	0.940520974586479	oxidoreductase activity, acting on peroxide as acceptor
GO:0009150	0.939677561170682	purine ribonucleotide metabolic process
GO:0009259	0.939677561170682	ribonucleotide metabolic process
GO:0019693	0.939677561170682	ribose phosphate metabolic process
GO:0008131	0.92439993180856	primary amine oxidase activity
GO:0016641	0.92439993180856	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0019238	0.916977925067285	cyclohydrolase activity
GO:0016842	0.916036774482305	amidine-lyase activity
GO:0004019	0.905461237442325	adenylosuccinate synthase activity
GO:0003677	0.89841444328421	DNA binding
GO:0048518	0.896803585500527	positive regulation of biological process
GO:0048522	0.896803585500527	positive regulation of cellular process
GO:0009294	0.895372603260114	DNA mediated transformation
GO:0006808	0.895372603260114	regulation of nitrogen utilization
GO:0019740	0.895372603260114	nitrogen utilization
GO:0015081	0.894226827510476	sodium ion transmembrane transporter activity
GO:0015370	0.894226827510476	solute:sodium symporter activity
GO:0016855	0.894226827510476	racemase and epimerase activity, acting on amino acids and derivatives
GO:0036361	0.894226827510476	racemase activity, acting on amino acids and derivatives
GO:0008658	0.894226827510476	penicillin binding
GO:0033218	0.894226827510476	amide binding
GO:0033293	0.894226827510476	monocarboxylic acid binding
GO:0006612	0.894226827510476	protein targeting to membrane
GO:0006613	0.894226827510476	cotranslational protein targeting to membrane
GO:0006614	0.894226827510476	SRP-dependent cotranslational protein targeting to membrane
GO:0033365	0.894226827510476	protein localization to organelle
GO:0045047	0.894226827510476	protein targeting to ER
GO:0070972	0.894226827510476	protein localization to endoplasmic reticulum
GO:0072594	0.894226827510476	establishment of protein localization to organelle
GO:0072599	0.894226827510476	establishment of protein localization to endoplasmic reticulum
GO:0072657	0.894226827510476	protein localization to membrane
GO:0090150	0.894226827510476	establishment of protein localization to membrane
GO:0017013	0.894226827510476	protein flavinylation
GO:0004797	0.894226827510476	thymidine kinase activity
GO:0008375	0.894226827510476	acetylglucosaminyltransferase activity
GO:0019136	0.894226827510476	deoxynucleoside kinase activity
GO:0019205	0.894226827510476	nucleobase-containing compound kinase activity
GO:0019206	0.894226827510476	nucleoside kinase activity
GO:0043138	0.894226827510476	3'-5' DNA helicase activity
GO:0003676	0.894226827510476	nucleic acid binding
GO:0042802	0.894226827510476	identical protein binding
GO:0042803	0.894226827510476	protein homodimerization activity
GO:0006996	0.89186227823356	organelle organization
GO:0098542	0.890113938346946	defense response to other organism
GO:0016810	0.889847053322472	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0003899	0.889529030516712	DNA-directed 5'-3' RNA polymerase activity
GO:0034062	0.889529030516712	5'-3' RNA polymerase activity
GO:0097747	0.889529030516712	RNA polymerase activity
GO:0016661	0.889529030516712	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016662	0.889529030516712	oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor
GO:0042279	0.889529030516712	nitrite reductase (cytochrome, ammonia-forming) activity
GO:0098809	0.889529030516712	nitrite reductase activity
GO:0004857	0.889529030516712	enzyme inhibitor activity
GO:0022900	0.889529030516712	electron transport chain
GO:0030255	0.887172664308366	protein secretion by the type IV secretion system
GO:0044097	0.887172664308366	secretion by the type IV secretion system
GO:0015703	0.887172664308366	chromate transport
GO:0015109	0.887172664308366	chromate transmembrane transporter activity
GO:0003747	0.887172664308366	translation release factor activity
GO:0008079	0.887172664308366	translation termination factor activity
GO:0006415	0.887123521229238	translational termination
GO:0043624	0.887123521229238	cellular protein complex disassembly
GO:0005315	0.887123521229238	inorganic phosphate transmembrane transporter activity
GO:0008771	0.885923500313889	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.885923500313889	acid-thiol ligase activity
GO:0072522	0.882190459846671	purine-containing compound biosynthetic process
GO:0004107	0.88170449930551	chorismate synthase activity
GO:0016838	0.88170449930551	carbon-oxygen lyase activity, acting on phosphates
GO:0004425	0.880835676075075	indole-3-glycerol-phosphate synthase activity
GO:0006164	0.880168069637779	purine nucleotide biosynthetic process
GO:0008990	0.875361840385139	rRNA (guanine-N2-)-methyltransferase activity
GO:0016435	0.875361840385139	rRNA (guanine) methyltransferase activity
GO:0016209	0.875143829868834	antioxidant activity
GO:0022904	0.870126503624928	respiratory electron transport chain
GO:0005283	0.869866034376607	amino acid:sodium symporter activity
GO:0005343	0.869866034376607	organic acid:sodium symporter activity
GO:0005416	0.869866034376607	amino acid:cation symporter activity
GO:0015171	0.869866034376607	amino acid transmembrane transporter activity
GO:0007010	0.868242064673842	cytoskeleton organization
GO:0010638	0.868242064673842	positive regulation of organelle organization
GO:0051130	0.868242064673842	positive regulation of cellular component organization
GO:0051493	0.868242064673842	regulation of cytoskeleton organization
GO:0051495	0.868242064673842	positive regulation of cytoskeleton organization
GO:0045333	0.86474893968871	cellular respiration
GO:0016780	0.861536462541399	phosphotransferase activity, for other substituted phosphate groups
GO:0009428	0.860752783325709	bacterial-type flagellum basal body, distal rod, P ring
GO:0051604	0.860183432028584	protein maturation
GO:0015926	0.860183432028584	glucosidase activity
GO:0043021	0.860183432028584	ribonucleoprotein complex binding
GO:0043022	0.860183432028584	ribosome binding
GO:0004601	0.859558519609707	peroxidase activity
GO:0009426	0.859437183333524	bacterial-type flagellum basal body, distal rod
GO:0030694	0.859437183333524	bacterial-type flagellum basal body, rod
GO:0048029	0.85119208186746	monosaccharide binding
GO:0008452	0.851067740350805	RNA ligase activity
GO:0006790	0.851067740350805	sulfur compound metabolic process
GO:0098754	0.847162134235996	detoxification
GO:0007165	0.846524424135502	signal transduction
GO:0004565	0.846524424135502	beta-galactosidase activity
GO:0009152	0.846524424135502	purine ribonucleotide biosynthetic process
GO:0009260	0.846524424135502	ribonucleotide biosynthetic process
GO:0046390	0.846524424135502	ribose phosphate biosynthetic process
GO:0006805	0.846524424135502	xenobiotic metabolic process
GO:0009407	0.846524424135502	toxin catabolic process
GO:0009410	0.846524424135502	response to xenobiotic stimulus
GO:0009850	0.846524424135502	auxin metabolic process
GO:0009852	0.846524424135502	auxin catabolic process
GO:0010124	0.846524424135502	phenylacetate catabolic process
GO:0010817	0.846524424135502	regulation of hormone levels
GO:0042178	0.846524424135502	xenobiotic catabolic process
GO:0042445	0.846524424135502	hormone metabolic process
GO:0042447	0.846524424135502	hormone catabolic process
GO:0042537	0.846524424135502	benzene-containing compound metabolic process
GO:0071466	0.846524424135502	cellular response to xenobiotic stimulus
GO:0050896	0.846524424135502	response to stimulus
GO:0006635	0.846524424135502	fatty acid beta-oxidation
GO:0009062	0.846524424135502	fatty acid catabolic process
GO:0016042	0.846524424135502	lipid catabolic process
GO:0019395	0.846524424135502	fatty acid oxidation
GO:0030258	0.846524424135502	lipid modification
GO:0033539	0.846524424135502	fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0034440	0.846524424135502	lipid oxidation
GO:0044242	0.846524424135502	cellular lipid catabolic process
GO:0003995	0.846524424135502	acyl-CoA dehydrogenase activity
GO:0004514	0.846524424135502	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0009341	0.846524424135502	beta-galactosidase complex
GO:0043043	0.846524424135502	peptide biosynthetic process
GO:0016999	0.846524424135502	antibiotic metabolic process
GO:0017000	0.846524424135502	antibiotic biosynthetic process
GO:0046914	0.846524424135502	transition metal ion binding
GO:0033043	0.837489106406377	regulation of organelle organization
GO:0019637	0.836242440725989	organophosphate metabolic process
GO:0009425	0.836242440725989	bacterial-type flagellum basal body
