ann_term	q_val	annotation
GO:0017013	0.999386772226042	protein flavinylation
GO:0004797	0.999386772226042	thymidine kinase activity
GO:0008375	0.999386772226042	acetylglucosaminyltransferase activity
GO:0019136	0.999386772226042	deoxynucleoside kinase activity
GO:0019205	0.999386772226042	nucleobase-containing compound kinase activity
GO:0019206	0.999386772226042	nucleoside kinase activity
GO:0033043	0.999386772226042	regulation of organelle organization
GO:0006813	0.999335361811803	potassium ion transport
GO:0015675	0.996665013023849	nickel cation transport
GO:0035444	0.996665013023849	nickel cation transmembrane transport
GO:0015099	0.996665013023849	nickel cation transmembrane transporter activity
GO:0042802	0.995200629620745	identical protein binding
GO:0042803	0.995200629620745	protein homodimerization activity
GO:0006836	0.993346334432113	neurotransmitter transport
GO:0015800	0.993346334432113	acidic amino acid transport
GO:0015807	0.993346334432113	L-amino acid transport
GO:0015813	0.993346334432113	L-glutamate transmembrane transport
GO:1902475	0.993346334432113	L-alpha-amino acid transmembrane transport
GO:0015501	0.993346334432113	glutamate:sodium symporter activity
GO:0017153	0.993346334432113	sodium:dicarboxylate symporter activity
GO:0030255	0.993346334432113	protein secretion by the type IV secretion system
GO:0044097	0.993346334432113	secretion by the type IV secretion system
GO:0008168	0.991295463455737	methyltransferase activity
GO:0015925	0.989670011086683	galactosidase activity
GO:0045333	0.989670011086683	cellular respiration
GO:0005351	0.989670011086683	carbohydrate:proton symporter activity
GO:0005402	0.989670011086683	carbohydrate:cation symporter activity
GO:0015295	0.989670011086683	solute:proton symporter activity
GO:0022890	0.987536918634965	inorganic cation transmembrane transporter activity
GO:0098754	0.986558870273822	detoxification
GO:0072522	0.979713317720874	purine-containing compound biosynthetic process
GO:0008830	0.977221795230767	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0006415	0.977208768395104	translational termination
GO:0043624	0.977208768395104	cellular protein complex disassembly
GO:0003333	0.977208768395104	amino acid transmembrane transport
GO:0003725	0.973975711922512	double-stranded RNA binding
GO:0007010	0.973289512943516	cytoskeleton organization
GO:0010638	0.973289512943516	positive regulation of organelle organization
GO:0051130	0.973289512943516	positive regulation of cellular component organization
GO:0051493	0.973289512943516	regulation of cytoskeleton organization
GO:0051495	0.973289512943516	positive regulation of cytoskeleton organization
GO:0004175	0.967475978433112	endopeptidase activity
GO:0008649	0.964735132305324	rRNA methyltransferase activity
GO:0140102	0.964735132305324	catalytic activity, acting on a rRNA
GO:0009341	0.964665634552473	beta-galactosidase complex
GO:0046915	0.964665634552473	transition metal ion transmembrane transporter activity
GO:0008914	0.955061963459542	leucyltransferase activity
GO:0016755	0.955061963459542	transferase activity, transferring amino-acyl groups
GO:0043648	0.949602508348409	dicarboxylic acid metabolic process
GO:0006612	0.949602508348409	protein targeting to membrane
GO:0006613	0.949602508348409	cotranslational protein targeting to membrane
GO:0006614	0.949602508348409	SRP-dependent cotranslational protein targeting to membrane
GO:0033365	0.949602508348409	protein localization to organelle
GO:0045047	0.949602508348409	protein targeting to ER
GO:0070972	0.949602508348409	protein localization to endoplasmic reticulum
GO:0072594	0.949602508348409	establishment of protein localization to organelle
GO:0072599	0.949602508348409	establishment of protein localization to endoplasmic reticulum
GO:0072657	0.949602508348409	protein localization to membrane
GO:0090150	0.949602508348409	establishment of protein localization to membrane
GO:0003677	0.949602508348409	DNA binding
GO:0009617	0.949602508348409	response to bacterium
GO:0042742	0.949602508348409	defense response to bacterium
GO:0016638	0.949602508348409	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0008990	0.949602508348409	rRNA (guanine-N2-)-methyltransferase activity
GO:0016435	0.949602508348409	rRNA (guanine) methyltransferase activity
GO:0110165	0.947474828075691	cellular anatomical entity
GO:0004565	0.944315927661842	beta-galactosidase activity
GO:0016891	0.937295196394861	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0005615	0.936442756033858	extracellular space
GO:0090729	0.936442756033858	toxin activity
GO:0004427	0.934983938838138	inorganic diphosphatase activity
GO:0008771	0.932954725072594	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.932954725072594	acid-thiol ligase activity
GO:0006213	0.929750271895334	pyrimidine nucleoside metabolic process
GO:0016226	0.929750271895334	iron-sulfur cluster assembly
GO:0031163	0.929750271895334	metallo-sulfur cluster assembly
GO:0008131	0.929750271895334	primary amine oxidase activity
GO:0016641	0.929750271895334	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0006857	0.926232062909071	oligopeptide transport
GO:0015814	0.926232062909071	p-aminobenzoyl-glutamate transport
GO:0035442	0.926232062909071	dipeptide transmembrane transport
GO:0035672	0.926232062909071	oligopeptide transmembrane transport
GO:0042938	0.926232062909071	dipeptide transport
GO:0072337	0.926232062909071	modified amino acid transport
GO:1902604	0.926232062909071	p-aminobenzoyl-glutamate transmembrane transport
GO:0015558	0.926232062909071	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.926232062909071	oligopeptide transmembrane transporter activity
GO:0071916	0.926232062909071	dipeptide transmembrane transporter activity
GO:0072349	0.926232062909071	modified amino acid transmembrane transporter activity
GO:0008408	0.926232062909071	3'-5' exonuclease activity
GO:0016780	0.926232062909071	phosphotransferase activity, for other substituted phosphate groups
GO:0005283	0.923225893064323	amino acid:sodium symporter activity
GO:0005343	0.923225893064323	organic acid:sodium symporter activity
GO:0005416	0.923225893064323	amino acid:cation symporter activity
GO:0015171	0.923225893064323	amino acid transmembrane transporter activity
GO:0048518	0.923225893064323	positive regulation of biological process
GO:0048522	0.923225893064323	positive regulation of cellular process
GO:0030163	0.923225893064323	protein catabolic process
GO:0009036	0.922144127265955	type II site-specific deoxyribonuclease activity
