ann_term	q_val	annotation
GO:0015267	0.999833423653314	channel activity
GO:0022803	0.999833423653314	passive transmembrane transporter activity
GO:0006952	0.999796831073379	defense response
GO:0043207	0.999796831073379	response to external biotic stimulus
GO:0051707	0.999796831073379	response to other organism
GO:0015288	0.999353816605924	porin activity
GO:0022829	0.999353816605924	wide pore channel activity
GO:0043213	0.993145199795649	bacteriocin transport
GO:0006163	0.992259516673673	purine nucleotide metabolic process
GO:0072521	0.992259516673673	purine-containing compound metabolic process
GO:0043226	0.992259516673673	organelle
GO:0000270	0.99169809004145	peptidoglycan metabolic process
GO:0006022	0.99169809004145	aminoglycan metabolic process
GO:0030203	0.99169809004145	glycosaminoglycan metabolic process
GO:0004601	0.99169809004145	peroxidase activity
GO:0015740	0.990787010071755	C4-dicarboxylate transport
GO:0015556	0.990787010071755	C4-dicarboxylate transmembrane transporter activity
GO:0006026	0.988673980909129	aminoglycan catabolic process
GO:0006027	0.988673980909129	glycosaminoglycan catabolic process
GO:0009253	0.988673980909129	peptidoglycan catabolic process
GO:1901136	0.988673980909129	carbohydrate derivative catabolic process
GO:0061783	0.988673980909129	peptidoglycan muralytic activity
GO:0015675	0.988673980909129	nickel cation transport
GO:0035444	0.988673980909129	nickel cation transmembrane transport
GO:0015099	0.988673980909129	nickel cation transmembrane transporter activity
GO:0015562	0.987872147532839	efflux transmembrane transporter activity
GO:0005515	0.987872147532839	protein binding
GO:0016638	0.987559394197226	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0022890	0.985548512846845	inorganic cation transmembrane transporter activity
GO:0008408	0.9838441788988	3'-5' exonuclease activity
GO:0046915	0.9838441788988	transition metal ion transmembrane transporter activity
GO:0015294	0.981638129526843	solute:cation symporter activity
GO:0016741	0.979673155337951	transferase activity, transferring one-carbon groups
GO:0003333	0.978719122223509	amino acid transmembrane transport
GO:0043228	0.976971506929274	non-membrane-bounded organelle
GO:0000041	0.973319519658733	transition metal ion transport
GO:0009123	0.971771609050639	nucleoside monophosphate metabolic process
GO:0009124	0.971771609050639	nucleoside monophosphate biosynthetic process
GO:0009126	0.971771609050639	purine nucleoside monophosphate metabolic process
GO:0009127	0.971771609050639	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.971771609050639	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.971771609050639	ribonucleoside monophosphate metabolic process
GO:0009167	0.971771609050639	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.971771609050639	purine ribonucleoside monophosphate biosynthetic process
GO:0006260	0.971771609050639	DNA replication
GO:0044267	0.971771609050639	cellular protein metabolic process
GO:0019634	0.970467456135346	organic phosphonate metabolic process
GO:0043648	0.96392398689802	dicarboxylic acid metabolic process
GO:0005351	0.963883478666913	carbohydrate:proton symporter activity
GO:0005402	0.963883478666913	carbohydrate:cation symporter activity
GO:0015295	0.963883478666913	solute:proton symporter activity
GO:0006259	0.958212881775047	DNA metabolic process
GO:0004521	0.958212881775047	endoribonuclease activity
GO:0019700	0.957785023159316	organic phosphonate catabolic process
GO:0005618	0.951801290900231	cell wall
GO:0003896	0.951801290900231	DNA primase activity
GO:0006004	0.94671480385035	fucose metabolic process
GO:0008736	0.94671480385035	L-fucose isomerase activity
GO:0110165	0.94671480385035	cellular anatomical entity
GO:0043412	0.94671480385035	macromolecule modification
GO:0009150	0.945013244878531	purine ribonucleotide metabolic process
GO:0009259	0.945013244878531	ribonucleotide metabolic process
GO:0019693	0.945013244878531	ribose phosphate metabolic process
GO:0006865	0.941419579706381	amino acid transport
GO:0008914	0.940495734556737	leucyltransferase activity
GO:0016755	0.940495734556737	transferase activity, transferring amino-acyl groups
GO:0015079	0.930202531294965	potassium ion transmembrane transporter activity
GO:0051276	0.92514922550039	chromosome organization
GO:0008658	0.922185518444329	penicillin binding
GO:0033218	0.922185518444329	amide binding
GO:0033293	0.922185518444329	monocarboxylic acid binding
GO:0019238	0.918178283425308	cyclohydrolase activity
GO:0098542	0.914328692059965	defense response to other organism
GO:0008131	0.913751780223775	primary amine oxidase activity
