ann_term	q_val	annotation
GO:0016998	9.01995653677048e-12	cell wall macromolecule catabolic process
GO:0044036	9.01995653677048e-12	cell wall macromolecule metabolic process
GO:0044265	9.84820771615623e-12	cellular macromolecule catabolic process
GO:0006026	1.98588191358342e-10	aminoglycan catabolic process
GO:0006022	1.98588191358342e-10	aminoglycan metabolic process
GO:1901136	2.39664996471176e-10	carbohydrate derivative catabolic process
GO:0044403	3.04047429025469e-10	symbiotic process
GO:0009057	3.04047429025469e-10	macromolecule catabolic process
GO:0003796	4.32088855156455e-10	lysozyme activity
GO:0016032	6.24996320640029e-10	viral process
GO:0019058	6.24996320640029e-10	viral life cycle
GO:1901565	2.35293961592614e-09	organonitrogen compound catabolic process
GO:0044248	3.18967085675223e-09	cellular catabolic process
GO:0071554	6.11151592279376e-09	cell wall organization or biogenesis
GO:0007165	1.13941821221265e-08	signal transduction
GO:0023052	1.87113810901268e-08	signaling
GO:0006027	3.16235002874707e-08	glycosaminoglycan catabolic process
GO:0009253	3.16235002874707e-08	peptidoglycan catabolic process
GO:0061783	3.16235002874707e-08	peptidoglycan muralytic activity
GO:1901575	3.30647694496612e-08	organic substance catabolic process
GO:0000270	3.58081454050659e-08	peptidoglycan metabolic process
GO:0030203	3.58081454050659e-08	glycosaminoglycan metabolic process
GO:0007154	4.54850351332808e-08	cell communication
GO:0019076	4.79293544173216e-08	viral release from host cell
GO:0035890	4.79293544173216e-08	exit from host
GO:0035891	4.79293544173216e-08	exit from host cell
GO:0052126	4.79293544173216e-08	movement in host environment
GO:0019835	7.75048681462326e-08	cytolysis
GO:0016811	1.71161763527657e-07	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0008767	1.75472824905347e-07	UDP-galactopyranose mutase activity
GO:0051701	2.93319415150957e-07	interaction with host
GO:0044419	3.77320729765203e-07	interspecies interaction between organisms
GO:0019068	5.14931624336702e-07	virion assembly
GO:0009056	1.13148343073832e-06	catabolic process
GO:0016903	1.40989155481866e-06	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0055085	1.6232682872325e-06	transmembrane transport
GO:0008745	2.41137063203926e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0016746	2.57696757894951e-06	transferase activity, transferring acyl groups
GO:0045333	2.82039694511211e-06	cellular respiration
GO:0035556	2.9292889999456e-06	intracellular signal transduction
GO:0016021	3.09109348121998e-06	integral component of membrane
GO:0031224	3.09109348121998e-06	intrinsic component of membrane
GO:0000160	3.09109348121998e-06	phosphorelay signal transduction system
GO:0015980	4.07583971919427e-06	energy derivation by oxidation of organic compounds
GO:0005488	5.35358573899441e-06	binding
GO:0098796	1.28628636315838e-05	membrane protein complex
GO:0016769	1.31143215593689e-05	transferase activity, transferring nitrogenous groups
GO:0008483	1.31143215593689e-05	transaminase activity
GO:0009451	1.34605756488338e-05	RNA modification
GO:0003676	1.65541791809818e-05	nucleic acid binding
GO:0003677	1.68658788833169e-05	DNA binding
GO:0009060	2.13421613929405e-05	aerobic respiration
GO:0006793	2.59282887922052e-05	phosphorus metabolic process
GO:0043190	2.92384480181691e-05	ATP-binding cassette (ABC) transporter complex
GO:0098533	2.92384480181691e-05	ATPase dependent transmembrane transport complex
GO:0098797	2.95534489335362e-05	plasma membrane protein complex
GO:1902495	2.95534489335362e-05	transmembrane transporter complex
GO:1990351	2.95534489335362e-05	transporter complex
GO:0006091	3.19475867064365e-05	generation of precursor metabolites and energy
GO:0016747	3.92964337913384e-05	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0016645	4.13694744476014e-05	oxidoreductase activity, acting on the CH-NH group of donors
GO:0055114	4.5358321872515e-05	oxidation-reduction process
GO:0006732	4.78883080674119e-05	coenzyme metabolic process
GO:0015695	5.32334519951024e-05	organic cation transport
GO:0015837	5.32334519951024e-05	amine transport
GO:0034229	5.32334519951024e-05	ethanolamine transport
GO:0005275	5.32334519951024e-05	amine transmembrane transporter activity
GO:0015101	5.32334519951024e-05	organic cation transmembrane transporter activity
GO:0015665	5.32334519951024e-05	alcohol transmembrane transporter activity
GO:0034228	5.32334519951024e-05	ethanolamine transmembrane transporter activity
GO:0022857	5.98722657919582e-05	transmembrane transporter activity
GO:0001522	6.36435673489785e-05	pseudouridine synthesis
GO:0009982	6.36435673489785e-05	pseudouridine synthase activity
GO:0016646	6.4902718059959e-05	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0016866	8.6144623106824e-05	intramolecular transferase activity
GO:0019627	8.6144623106824e-05	urea metabolic process
GO:0043419	8.6144623106824e-05	urea catabolic process
GO:0016798	0.000104651778423326	hydrolase activity, acting on glycosyl bonds
GO:0051716	0.000106996577882202	cellular response to stimulus
GO:0003924	0.00011165066850703	GTPase activity
GO:0016053	0.00011165066850703	organic acid biosynthetic process
GO:0046394	0.00011165066850703	carboxylic acid biosynthetic process
GO:0004553	0.00011165066850703	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0097159	0.000113240914200241	organic cyclic compound binding
GO:1901363	0.000113240914200241	heterocyclic compound binding
GO:0005886	0.000126574451570141	plasma membrane
GO:0006796	0.00015085503147777	phosphate-containing compound metabolic process
GO:0022904	0.00015085503147777	respiratory electron transport chain
GO:0051179	0.00015085503147777	localization
GO:0018941	0.00015085503147777	organomercury metabolic process
GO:0018942	0.00015085503147777	organometal metabolic process
GO:0046413	0.00015085503147777	organomercury catabolic process
GO:0018836	0.00015085503147777	alkylmercury lyase activity
GO:0016620	0.000162250717809567	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0016051	0.000162250717809567	carbohydrate biosynthetic process
GO:0006935	0.000194261378837476	chemotaxis
GO:0042330	0.000194261378837476	taxis
GO:0002791	0.000198524311903222	regulation of peptide secretion
GO:0032880	0.000198524311903222	regulation of protein localization
GO:0050708	0.000198524311903222	regulation of protein secretion
GO:0051046	0.000198524311903222	regulation of secretion
GO:0051223	0.000198524311903222	regulation of protein transport
GO:0070201	0.000198524311903222	regulation of establishment of protein localization
GO:0090087	0.000198524311903222	regulation of peptide transport
GO:1903530	0.000198524311903222	regulation of secretion by cell
GO:0005215	0.000218571130607704	transporter activity
GO:0009108	0.000224900026215004	coenzyme biosynthetic process
GO:0006575	0.000242748713460027	cellular modified amino acid metabolic process
GO:0004842	0.000242748713460027	ubiquitin-protein transferase activity
GO:0019787	0.000242748713460027	ubiquitin-like protein transferase activity
GO:0016491	0.000258353057032619	oxidoreductase activity
GO:0042398	0.000262054695888118	cellular modified amino acid biosynthetic process
GO:0030170	0.000283174282786432	pyridoxal phosphate binding
GO:0070279	0.000283174282786432	vitamin B6 binding
GO:0001882	0.000307994386781066	nucleoside binding
GO:0001883	0.000307994386781066	purine nucleoside binding
GO:0005525	0.000307994386781066	GTP binding
GO:0032549	0.000307994386781066	ribonucleoside binding
GO:0032550	0.000307994386781066	purine ribonucleoside binding
GO:0090407	0.000360308349500975	organophosphate biosynthetic process
GO:0004386	0.000376474008363989	helicase activity
GO:0016772	0.000377333438348167	transferase activity, transferring phosphorus-containing groups
GO:0044283	0.000380430350770216	small molecule biosynthetic process
GO:0004197	0.000387775007908323	cysteine-type endopeptidase activity
GO:0071944	0.00043594764712796	cell periphery
GO:0016853	0.000438537049565945	isomerase activity
GO:0051082	0.000455526156911312	unfolded protein binding
GO:0051186	0.00049206324728338	cofactor metabolic process
GO:0003824	0.000518072819394067	catalytic activity
GO:0016780	0.000533464004404157	phosphotransferase activity, for other substituted phosphate groups
GO:0019842	0.000542940172466877	vitamin binding
GO:0008047	0.000580680921483883	enzyme activator activity
GO:0005506	0.000596019092674389	iron ion binding
GO:0019637	0.000627548325422276	organophosphate metabolic process
GO:0003723	0.000653499961296382	RNA binding
GO:0009055	0.00069323018257807	electron transfer activity
GO:1901566	0.000708810208681657	organonitrogen compound biosynthetic process
GO:0019646	0.000724784609775673	aerobic electron transport chain
GO:0070069	0.000724784609775673	cytochrome complex
GO:0003746	0.000786562764499056	translation elongation factor activity
GO:0006414	0.000788380515991093	translational elongation
GO:0030983	0.000788380515991093	mismatched DNA binding
GO:0036094	0.000810397141482678	small molecule binding
GO:0000287	0.000814879729156905	magnesium ion binding
GO:0043168	0.000907858419185047	anion binding
GO:0005576	0.000907858419185047	extracellular region
GO:0034660	0.000928359516578847	ncRNA metabolic process
GO:0016879	0.000943977631307661	ligase activity, forming carbon-nitrogen bonds
GO:0072330	0.000946260795919322	monocarboxylic acid biosynthetic process
GO:0005515	0.000962264892714132	protein binding
GO:0016407	0.0010318682520354	acetyltransferase activity
GO:0051188	0.00116859775962209	cofactor biosynthetic process
GO:0003697	0.00124906425657892	single-stranded DNA binding
GO:0016151	0.0012603951354815	nickel cation binding
GO:0019001	0.0012603951354815	guanyl nucleotide binding
GO:0032561	0.0012603951354815	guanyl ribonucleotide binding
GO:0006810	0.0012603951354815	transport
GO:0051234	0.0012603951354815	establishment of localization
GO:0005887	0.0012603951354815	integral component of plasma membrane
GO:0031226	0.0012603951354815	intrinsic component of plasma membrane
GO:0140101	0.0012603951354815	catalytic activity, acting on a tRNA
GO:0006950	0.0012603951354815	response to stress
GO:0047429	0.0012603951354815	nucleoside-triphosphate diphosphatase activity
GO:0006399	0.0012603951354815	tRNA metabolic process
GO:0043604	0.0012603951354815	amide biosynthetic process
GO:0006163	0.0012603951354815	purine nucleotide metabolic process
GO:0009150	0.0012603951354815	purine ribonucleotide metabolic process
GO:0009259	0.0012603951354815	ribonucleotide metabolic process
GO:0019693	0.0012603951354815	ribose phosphate metabolic process
GO:0016740	0.0012603951354815	transferase activity
GO:0016226	0.0012603951354815	iron-sulfur cluster assembly
GO:0031163	0.0012603951354815	metallo-sulfur cluster assembly
GO:0004673	0.0012603951354815	protein histidine kinase activity
GO:0016775	0.0012603951354815	phosphotransferase activity, nitrogenous group as acceptor
GO:0055086	0.0012603951354815	nucleobase-containing small molecule metabolic process
GO:0003842	0.0012603951354815	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0006323	0.0012603951354815	DNA packaging
GO:1990904	0.0012603951354815	ribonucleoprotein complex
GO:0004040	0.0012603951354815	amidase activity
GO:0071941	0.0012603951354815	nitrogen cycle metabolic process
GO:0071103	0.0012603951354815	DNA conformation change
GO:0009165	0.0012603951354815	nucleotide biosynthetic process
GO:1901293	0.0012603951354815	nucleoside phosphate biosynthetic process
GO:0006364	0.0012603951354815	rRNA processing
GO:0016072	0.0012603951354815	rRNA metabolic process
GO:0006760	0.0012603951354815	folic acid-containing compound metabolic process
GO:0022613	0.0012603951354815	ribonucleoprotein complex biogenesis
GO:0042254	0.0012603951354815	ribosome biogenesis
GO:0043545	0.0012603951354815	molybdopterin cofactor metabolic process
GO:0006457	0.0012603951354815	protein folding
GO:0016836	0.0012603951354815	hydro-lyase activity
GO:0006082	0.0012603951354815	organic acid metabolic process
GO:0043170	0.0012603951354815	macromolecule metabolic process
GO:0044260	0.0012603951354815	cellular macromolecule metabolic process
GO:0000155	0.0012603951354815	phosphorelay sensor kinase activity
GO:0140299	0.0012603951354815	small molecule sensor activity
GO:0008851	0.0012603951354815	ethanolamine ammonia-lyase activity
GO:0072521	0.0012603951354815	purine-containing compound metabolic process
GO:0016874	0.0012603951354815	ligase activity
GO:0032991	0.0012603951354815	protein-containing complex
GO:0043436	0.0012603951354815	oxoacid metabolic process
GO:0003678	0.0012603951354815	DNA helicase activity
GO:0051189	0.0012603951354815	prosthetic group metabolic process
GO:0004177	0.0012603951354815	aminopeptidase activity
GO:0000097	0.0012603951354815	sulfur amino acid biosynthetic process
GO:0006420	0.0012603951354815	arginyl-tRNA aminoacylation
GO:0006721	0.0012603951354815	terpenoid metabolic process
GO:0009069	0.0012603951354815	serine family amino acid metabolic process
GO:0009123	0.0012603951354815	nucleoside monophosphate metabolic process
GO:0009124	0.0012603951354815	nucleoside monophosphate biosynthetic process
GO:0009126	0.0012603951354815	purine nucleoside monophosphate metabolic process
GO:0009127	0.0012603951354815	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.0012603951354815	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.0012603951354815	ribonucleoside monophosphate metabolic process
GO:0009167	0.0012603951354815	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.0012603951354815	purine ribonucleoside monophosphate biosynthetic process
GO:0016114	0.0012603951354815	terpenoid biosynthetic process
GO:0051302	0.0012603951354815	regulation of cell division
GO:1901606	0.0012603951354815	alpha-amino acid catabolic process
GO:0033177	0.0012603951354815	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0045259	0.0012603951354815	proton-transporting ATP synthase complex
GO:0004814	0.0012603951354815	arginine-tRNA ligase activity
GO:0016628	0.0012603951354815	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0019205	0.0012603951354815	nucleobase-containing compound kinase activity
GO:0019239	0.0012603951354815	deaminase activity
GO:0000154	0.0012603951354815	rRNA modification
GO:0000917	0.0012603951354815	division septum assembly
GO:0001505	0.0012603951354815	regulation of neurotransmitter levels
GO:0001510	0.0012603951354815	RNA methylation
GO:0001514	0.0012603951354815	selenocysteine incorporation
GO:0002097	0.0012603951354815	tRNA wobble base modification
GO:0002098	0.0012603951354815	tRNA wobble uridine modification
GO:0002100	0.0012603951354815	tRNA wobble adenosine to inosine editing
GO:0002143	0.0012603951354815	tRNA wobble position uridine thiolation
GO:0005992	0.0012603951354815	trehalose biosynthetic process
GO:0006007	0.0012603951354815	glucose catabolic process
GO:0006072	0.0012603951354815	glycerol-3-phosphate metabolic process
GO:0006109	0.0012603951354815	regulation of carbohydrate metabolic process
GO:0006171	0.0012603951354815	cAMP biosynthetic process
GO:0006177	0.0012603951354815	GMP biosynthetic process
GO:0006188	0.0012603951354815	IMP biosynthetic process
GO:0006189	0.0012603951354815	'de novo' IMP biosynthetic process
GO:0006216	0.0012603951354815	cytidine catabolic process
GO:0006220	0.0012603951354815	pyrimidine nucleotide metabolic process
GO:0006221	0.0012603951354815	pyrimidine nucleotide biosynthetic process
