ann_term	CC	annotation
GO:0016998	9.66834049563488e-15	cell wall macromolecule catabolic process
GO:0044036	9.66834049563488e-15	cell wall macromolecule metabolic process
GO:0044265	1.63244388959841e-14	cellular macromolecule catabolic process
GO:0006026	5.48894171549357e-13	aminoglycan catabolic process
GO:0006022	5.74689590894965e-13	aminoglycan metabolic process
GO:1901136	8.31384726259992e-13	carbohydrate derivative catabolic process
GO:0044403	1.11712410376854e-12	biological process involved in symbiotic interaction
GO:0009057	1.44802752414081e-12	macromolecule catabolic process
GO:0003796	2.08375245936637e-12	lysozyme activity
GO:0016032	3.56372081940106e-12	viral process
GO:0019058	3.56372081940106e-12	viral life cycle
GO:1901565	1.75021338716102e-11	organonitrogen compound catabolic process
GO:0071554	4.89575780565507e-11	cell wall organization or biogenesis
GO:0007165	6.31492644590652e-11	signal transduction
GO:0044248	8.96741223698099e-11	cellular catabolic process
GO:0023052	1.103189380585e-10	signaling
GO:0006027	3.40070448012672e-10	glycosaminoglycan catabolic process
GO:0009253	3.40070448012672e-10	peptidoglycan catabolic process
GO:0061783	3.40070448012672e-10	peptidoglycan muralytic activity
GO:0007154	3.91091433401324e-10	cell communication
GO:0000270	4.5698632918791e-10	peptidoglycan metabolic process
GO:0030203	4.5698632918791e-10	glycosaminoglycan metabolic process
GO:1901575	4.99523303253335e-10	organic substance catabolic process
GO:0019076	6.75447468833002e-10	viral release from host cell
GO:0035890	6.75447468833002e-10	exit from host
GO:0035891	6.75447468833002e-10	exit from host cell
GO:0052126	6.75447468833002e-10	movement in host environment
GO:0019835	1.13278932663503e-09	cytolysis
GO:0016811	2.3861751507094e-09	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0008767	2.69906579913555e-09	UDP-galactopyranose mutase activity
GO:0051701	4.7298027989135e-09	biological process involved in interaction with host
GO:0044419	6.42652546683241e-09	biological process involved in interspecies interaction between organisms
GO:0019068	8.84891290876109e-09	virion assembly
GO:0016903	2.09609774072148e-08	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0055085	2.33075820790994e-08	transmembrane transport
GO:0009056	2.89934430683593e-08	catabolic process
GO:0016746	3.80989182964541e-08	transferase activity, transferring acyl groups
GO:0008745	3.98376706415438e-08	N-acetylmuramoyl-L-alanine amidase activity
GO:0016021	4.0386077016516e-08	integral component of membrane
GO:0031224	4.0386077016516e-08	intrinsic component of membrane
GO:0035556	4.3065976356416e-08	intracellular signal transduction
GO:0045333	4.53706324621361e-08	cellular respiration
GO:0000160	4.88015797633631e-08	phosphorelay signal transduction system
GO:0015980	7.40057582322251e-08	energy derivation by oxidation of organic compounds
GO:1902494	2.06615826648276e-07	catalytic complex
GO:0098796	2.58614451502446e-07	membrane protein complex
GO:0005488	2.65230756000872e-07	binding
GO:0008483	2.81273813847309e-07	transaminase activity
GO:0016769	2.81869170445356e-07	transferase activity, transferring nitrogenous groups
GO:0009451	3.00292076297122e-07	RNA modification
GO:0003676	4.5285856371855e-07	nucleic acid binding
GO:0003677	4.56697816840652e-07	DNA binding
GO:0009060	4.74821569201851e-07	aerobic respiration
GO:1904949	5.26058177295e-07	ATPase complex
GO:0006793	5.62482545342105e-07	phosphorus metabolic process
GO:0043190	7.12714479485023e-07	ATP-binding cassette (ABC) transporter complex
