ann_term	q_val	annotation
GO:0046873	0.960237181228937	metal ion transmembrane transporter activity
GO:0051537	0.950798232147556	2 iron, 2 sulfur cluster binding
GO:0030255	0.94281916133989	protein secretion by the type IV secretion system
GO:0044097	0.94281916133989	secretion by the type IV secretion system
GO:0032879	0.942330560798842	regulation of localization
GO:0043269	0.942330560798842	regulation of ion transport
GO:0044070	0.942330560798842	regulation of anion transport
GO:0051049	0.942330560798842	regulation of transport
GO:0007010	0.904486663404983	cytoskeleton organization
GO:0010638	0.904486663404983	positive regulation of organelle organization
GO:0051130	0.904486663404983	positive regulation of cellular component organization
GO:0051493	0.904486663404983	regulation of cytoskeleton organization
GO:0051495	0.904486663404983	positive regulation of cytoskeleton organization
GO:0004252	0.900272538256617	serine-type endopeptidase activity
GO:0006644	0.890818888865553	phospholipid metabolic process
GO:0009237	0.88462021961166	siderophore metabolic process
GO:0019290	0.88462021961166	siderophore biosynthetic process
GO:0016799	0.869099494140508	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016741	0.859675482078986	transferase activity, transferring one-carbon groups
GO:0008270	0.856836265813606	zinc ion binding
GO:0008375	0.854310396740965	acetylglucosaminyltransferase activity
GO:0009605	0.854310396740965	response to external stimulus
GO:0006801	0.838472930451884	superoxide metabolic process
GO:0072593	0.838472930451884	reactive oxygen species metabolic process
GO:0042578	0.822989966863104	phosphoric ester hydrolase activity
GO:0022607	0.820157995887822	cellular component assembly
GO:0006468	0.814065817684411	protein phosphorylation
GO:0033043	0.801483642272381	regulation of organelle organization
GO:0030288	0.801483642272381	outer membrane-bounded periplasmic space
GO:0048518	0.789358952060869	positive regulation of biological process
GO:0048522	0.789358952060869	positive regulation of cellular process
GO:0065003	0.786949756426683	protein-containing complex assembly
GO:0015926	0.782656480954369	glucosidase activity
GO:0050829	0.78128836201264	defense response to Gram-negative bacterium
GO:0071941	0.768830995524334	nitrogen cycle metabolic process
GO:0030030	0.746830400430593	cell projection organization
GO:0009617	0.736470283595079	response to bacterium
GO:0042742	0.736470283595079	defense response to bacterium
GO:0043605	0.732111666996921	cellular amide catabolic process
GO:0019538	0.729332870975016	protein metabolic process
GO:0016999	0.72656517364017	antibiotic metabolic process
GO:0017000	0.72656517364017	antibiotic biosynthetic process
GO:0017144	0.72656517364017	drug metabolic process
GO:0000041	0.7245400876426	transition metal ion transport
GO:0015703	0.714805497725711	chromate transport
GO:0015109	0.714805497725711	chromate transmembrane transporter activity
GO:0070835	0.714805497725711	chromium ion transmembrane transporter activity
GO:0008152	0.707155300340926	metabolic process
GO:0044085	0.707155300340926	cellular component biogenesis
GO:0015473	0.707155300340926	fimbrial usher porin activity
GO:0070840	0.6953680864725	dynein complex binding
GO:0008654	0.686772181241256	phospholipid biosynthetic process
GO:0008657	0.679317849172879	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity
GO:0042030	0.679317849172879	ATPase inhibitor activity
GO:0072586	0.679317849172879	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) regulator activity
GO:0005351	0.663505702431504	carbohydrate:proton symporter activity
GO:0005402	0.663505702431504	carbohydrate:cation symporter activity
GO:0015295	0.663505702431504	solute:proton symporter activity
GO:0042597	0.661497896558479	periplasmic space
GO:0060589	0.661497896558479	nucleoside-triphosphatase regulator activity
GO:0060590	0.661497896558479	ATPase regulator activity
GO:0008237	0.656424138512952	metallopeptidase activity
GO:0006935	0.644578063085711	chemotaxis
GO:0042330	0.644578063085711	taxis
GO:0043230	0.639603667065401	extracellular organelle
GO:0016836	0.639539741068464	hydro-lyase activity
GO:0030031	0.633832494937712	cell projection assembly
GO:1901564	0.628144584228131	organonitrogen compound metabolic process
GO:0016787	0.628144584228131	hydrolase activity
GO:0031419	0.622809400720102	cobalamin binding
GO:0004497	0.610340514019575	monooxygenase activity
GO:0004499	0.610340514019575	N,N-dimethylaniline monooxygenase activity
GO:0016709	0.610340514019575	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0040011	0.588582753975255	locomotion
GO:0046906	0.588582753975255	tetrapyrrole binding
GO:0004557	0.585947182837011	alpha-galactosidase activity
GO:0030638	0.581616577298301	polyketide metabolic process
GO:0015294	0.581089203396367	solute:cation symporter activity
GO:0016791	0.575597060727116	phosphatase activity
GO:0016779	0.567252499094947	nucleotidyltransferase activity
GO:0008811	0.566472301339199	chloramphenicol O-acetyltransferase activity
GO:0015700	0.563980051651317	arsenite transport
