ann_term	CC	annotation
GO:0044403	0.613924050632911	biological process involved in symbiotic interaction
GO:0016032	0.601898734177215	viral process
GO:0019058	0.601898734177215	viral life cycle
GO:0016998	0.589240506329114	cell wall macromolecule catabolic process
GO:0044036	0.589240506329114	cell wall macromolecule metabolic process
GO:0044265	0.585219187578147	cellular macromolecule catabolic process
GO:0006022	0.582911392405063	aminoglycan metabolic process
GO:0006026	0.579746835443038	aminoglycan catabolic process
GO:1901136	0.574050632911392	carbohydrate derivative catabolic process
GO:0019835	0.563924050632911	cytolysis
GO:0004842	0.547369417376228	ubiquitin-protein transferase activity
GO:0019787	0.547369417376228	ubiquitin-like protein transferase activity
GO:0051701	0.547355331074622	biological process involved in interaction with host
GO:0019076	0.545454791730612	viral release from host cell
GO:0035890	0.545454791730612	exit from host
GO:0035891	0.545454791730612	exit from host cell
GO:0052126	0.545454791730612	movement in host environment
GO:0009057	0.545339459273742	macromolecule catabolic process
GO:0003796	0.54493670886076	lysozyme activity
GO:1901565	0.532911392405063	organonitrogen compound catabolic process
GO:0000270	0.524683544303797	peptidoglycan metabolic process
GO:0030203	0.524683544303797	glycosaminoglycan metabolic process
GO:0006027	0.518987341772152	glycosaminoglycan catabolic process
GO:0009253	0.518987341772152	peptidoglycan catabolic process
GO:0061783	0.518987341772152	peptidoglycan muralytic activity
GO:0044419	0.512025316455696	biological process involved in interspecies interaction between organisms
GO:0044248	0.500632911392405	cellular catabolic process
GO:0003677	0.473417721518987	DNA binding
GO:0001897	0.469263491125256	cytolysis by symbiont of host cells
GO:0001907	0.469263491125256	killing by symbiont of host cells
GO:0019836	0.469263491125256	hemolysis by symbiont of host erythrocytes
GO:0051801	0.469263491125256	cytolysis in other organism involved in symbiotic interaction
GO:0051883	0.469263491125256	killing of cells in other organism involved in symbiotic interaction
GO:0052331	0.469263491125256	hemolysis in other organism involved in symbiotic interaction
GO:0030597	0.469263491125256	RNA glycosylase activity
GO:0030598	0.469263491125256	rRNA N-glycosylase activity
GO:0016567	0.468321619246611	protein ubiquitination
GO:0032446	0.468321619246611	protein modification by small protein conjugation
GO:0070647	0.468321619246611	protein modification by small protein conjugation or removal
GO:0003676	0.466455696202532	nucleic acid binding
GO:0019627	0.462305855168127	urea metabolic process
GO:0043419	0.462305855168127	urea catabolic process
GO:0019068	0.451163577868049	virion assembly
GO:0002791	0.443536778836057	regulation of peptide secretion
GO:0032880	0.443536778836057	regulation of protein localization
GO:0050708	0.443536778836057	regulation of protein secretion
GO:0051046	0.443536778836057	regulation of secretion
GO:0051223	0.443536778836057	regulation of protein transport
GO:0070201	0.443536778836057	regulation of establishment of protein localization
GO:0090087	0.443536778836057	regulation of peptide transport
GO:1903530	0.443536778836057	regulation of secretion by cell
GO:0004197	0.441370543041986	cysteine-type endopeptidase activity
GO:0005488	0.437974683544304	binding
GO:0097159	0.432278481012658	organic cyclic compound binding
GO:1901363	0.432278481012658	heterocyclic compound binding
GO:0043170	0.416455696202532	macromolecule metabolic process
GO:0071554	0.415189873417722	cell wall organization or biogenesis
GO:0044260	0.412025316455696	cellular macromolecule metabolic process
GO:0006310	0.39873417721519	DNA recombination
GO:0000287	0.391772151898734	magnesium ion binding
GO:0009987	0.386708860759494	cellular process
GO:0006259	0.381645569620253	DNA metabolic process
GO:0009056	0.377215189873418	catabolic process
GO:0006950	0.372527303287982	response to stress
GO:0006807	0.369362245486045	nitrogen compound metabolic process
GO:1901575	0.368987341772152	organic substance catabolic process
GO:0043565	0.357335025838685	sequence-specific DNA binding
GO:0090304	0.337341772151899	nucleic acid metabolic process
GO:0006974	0.333544303797468	cellular response to DNA damage stimulus
GO:0015074	0.329113924050633	DNA integration
GO:0008907	0.328379634207571	integrase activity
GO:0044237	0.324050632911392	cellular metabolic process
GO:0033554	0.316455696202532	cellular response to stress
GO:0006139	0.31239120505118	nucleobase-containing compound metabolic process
GO:0006281	0.306962025316456	DNA repair
GO:0034641	0.306962025316456	cellular nitrogen compound metabolic process
GO:0008150	0.303164556962025	biological_process
GO:0043242	0.301571601472699	negative regulation of protein-containing complex disassembly
GO:0051129	0.301571601472699	negative regulation of cellular component organization
GO:0060567	0.301571601472699	negative regulation of DNA-templated transcription, termination
GO:0009890	0.296835443037975	negative regulation of biosynthetic process
GO:0009892	0.296835443037975	negative regulation of metabolic process
GO:0010558	0.296835443037975	negative regulation of macromolecule biosynthetic process
GO:0010605	0.296835443037975	negative regulation of macromolecule metabolic process
GO:0031324	0.296835443037975	negative regulation of cellular metabolic process
GO:0031327	0.296835443037975	negative regulation of cellular biosynthetic process
GO:0051172	0.296835443037975	negative regulation of nitrogen compound metabolic process
GO:2000113	0.296835443037975	negative regulation of cellular macromolecule biosynthetic process
GO:0048519	0.293037974683544	negative regulation of biological process
GO:0048523	0.293037974683544	negative regulation of cellular process
GO:0140096	0.291139240506329	catalytic activity, acting on a protein
GO:0046483	0.290506329113924	heterocycle metabolic process
GO:0006725	0.286708860759494	cellular aromatic compound metabolic process
GO:1901360	0.285443037974684	organic cyclic compound metabolic process
GO:0003697	0.280107615471423	single-stranded DNA binding
GO:0005198	0.280107615471423	structural molecule activity
GO:0006113	0.278232398721065	fermentation
GO:0019665	0.278232398721065	anaerobic amino acid catabolic process
GO:0019666	0.278232398721065	nitrogenous compound fermentation
GO:0019670	0.278232398721065	anaerobic glutamate catabolic process
GO:0050097	0.278232398721065	methylaspartate mutase activity
GO:0090305	0.273870868068695	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.273870868068695	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.273870868068695	5'-3' exonuclease activity
GO:0035312	0.273870868068695	5'-3' exodeoxyribonuclease activity
GO:0051908	0.273870868068695	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0006270	0.271518987341772	DNA replication initiation
GO:0046903	0.271518987341772	secretion
GO:0140097	0.270886075949367	catalytic activity, acting on DNA
GO:0006305	0.268987341772152	DNA alkylation
GO:0006306	0.268987341772152	DNA methylation
GO:0044728	0.268987341772152	DNA methylation or demethylation
GO:0043414	0.267721518987342	macromolecule methylation
GO:0009405	0.267088607594937	pathogenesis
GO:0006261	0.264556962025316	DNA-dependent DNA replication
GO:0006260	0.263291139240506	DNA replication
GO:0032259	0.255696202531646	methylation
GO:0005509	0.253051988114349	calcium ion binding
GO:0006353	0.249367088607595	DNA-templated transcription, termination
GO:0031554	0.24873417721519	regulation of DNA-templated transcription, termination
GO:0043244	0.24873417721519	regulation of protein-containing complex disassembly
GO:0001906	0.2468605093412	cell killing
GO:0031640	0.2468605093412	killing of cells of other organism
GO:0044179	0.2468605093412	hemolysis in other organism
GO:0051715	0.2468605093412	cytolysis in other organism
GO:0016798	0.239873417721519	hydrolase activity, acting on glycosyl bonds
GO:0008104	0.237974683544304	protein localization
GO:0015031	0.237974683544304	protein transport
GO:0045184	0.237974683544304	establishment of protein localization
GO:0032775	0.234810126582278	DNA methylation on adenine
GO:0009007	0.234810126582278	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.234810126582278	DNA-methyltransferase activity
GO:0071704	0.232278481012658	organic substance metabolic process
GO:0002790	0.229113924050633	peptide secretion
GO:0009306	0.229113924050633	protein secretion
GO:0032940	0.229113924050633	secretion by cell
