ann_term	q_val	annotation
GO:0016893	0.999473177859986	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0008375	0.999473177859986	acetylglucosaminyltransferase activity
GO:0044781	0.999473177859986	bacterial-type flagellum organization
GO:0070566	0.997019782663115	adenylyltransferase activity
GO:0006275	0.993377412676167	regulation of DNA replication
GO:0004181	0.993377412676167	metallocarboxypeptidase activity
GO:0070402	0.993377412676167	NADPH binding
GO:0009636	0.986365788301838	response to toxic substance
GO:0022607	0.976262088965673	cellular component assembly
GO:0009294	0.975963561321512	DNA mediated transformation
GO:0010035	0.96983232557294	response to inorganic substance
GO:0010038	0.96983232557294	response to metal ion
GO:0009617	0.96983232557294	response to bacterium
GO:0042742	0.96983232557294	defense response to bacterium
GO:0008198	0.968264024251969	ferrous iron binding
GO:0048518	0.966149203785831	positive regulation of biological process
GO:0048522	0.966149203785831	positive regulation of cellular process
GO:0006040	0.961917650272078	amino sugar metabolic process
GO:0016741	0.961793688441847	transferase activity, transferring one-carbon groups
GO:0015093	0.960910444051377	ferrous iron transmembrane transporter activity
GO:0033043	0.960220440044346	regulation of organelle organization
GO:0043462	0.950473325942556	regulation of ATPase activity
GO:0050790	0.950473325942556	regulation of catalytic activity
GO:0051336	0.950473325942556	regulation of hydrolase activity
GO:0065009	0.950473325942556	regulation of molecular function
GO:0007010	0.950473325942556	cytoskeleton organization
GO:0010638	0.950473325942556	positive regulation of organelle organization
GO:0051130	0.950473325942556	positive regulation of cellular component organization
GO:0051493	0.950473325942556	regulation of cytoskeleton organization
GO:0051495	0.950473325942556	positive regulation of cytoskeleton organization
GO:0008882	0.950473325942556	[glutamate-ammonia-ligase] adenylyltransferase activity
GO:0003899	0.94119717041475	DNA-directed 5'-3' RNA polymerase activity
GO:0034062	0.94119717041475	5'-3' RNA polymerase activity
GO:0097747	0.94119717041475	RNA polymerase activity
GO:0008113	0.94119717041475	peptide-methionine (S)-S-oxide reductase activity
GO:0003747	0.939231490764337	translation release factor activity
GO:0008079	0.939231490764337	translation termination factor activity
GO:0006352	0.932873957400094	DNA-templated transcription, initiation
GO:0046873	0.925034074484564	metal ion transmembrane transporter activity
GO:0006869	0.924773459055846	lipid transport
GO:0010876	0.924773459055846	lipid localization
GO:0015800	0.924773459055846	acidic amino acid transport
GO:0015807	0.924773459055846	L-amino acid transport
GO:0015813	0.924773459055846	L-glutamate transmembrane transport
GO:0015908	0.924773459055846	fatty acid transport
GO:1902001	0.924773459055846	fatty acid transmembrane transport
GO:1902475	0.924773459055846	L-alpha-amino acid transmembrane transport
GO:0005319	0.924773459055846	lipid transporter activity
GO:0015245	0.924773459055846	fatty acid transmembrane transporter activity
GO:0015501	0.924773459055846	glutamate:sodium symporter activity
GO:0140161	0.924773459055846	monocarboxylate:sodium symporter activity
GO:0005615	0.924773459055846	extracellular space
GO:0090729	0.924773459055846	toxin activity
GO:0030255	0.924773459055846	protein secretion by the type IV secretion system
GO:0044097	0.924773459055846	secretion by the type IV secretion system
GO:0031344	0.922262749974723	regulation of cell projection organization
GO:0060491	0.922262749974723	regulation of cell projection assembly
GO:1902115	0.922262749974723	regulation of organelle assembly
GO:1902208	0.922262749974723	regulation of bacterial-type flagellum assembly
GO:0070206	0.922262749974723	protein trimerization
GO:0044341	0.911034841065675	sodium-dependent phosphate transport
GO:0004417	0.911034841065675	hydroxyethylthiazole kinase activity
GO:0005436	0.911034841065675	sodium:phosphate symporter activity
GO:0071949	0.911034841065675	FAD binding
GO:0046915	0.911034841065675	transition metal ion transmembrane transporter activity
GO:0044764	0.910313467327278	multi-organism cellular process
GO:0051704	0.910313467327278	multi-organism process
GO:0065003	0.902063195940899	protein-containing complex assembly
GO:0008417	0.896707230775529	fucosyltransferase activity
GO:0016671	0.892121086421272	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0044282	0.880520565588124	small molecule catabolic process
GO:0006952	0.880380885093715	defense response
GO:0043546	0.869715406511462	molybdopterin cofactor binding
GO:0046411	0.869715406511462	2-keto-3-deoxygluconate transmembrane transport
GO:0015649	0.869715406511462	2-keto-3-deoxygluconate:proton symporter activity
GO:0008272	0.868453347302006	sulfate transport
GO:0072348	0.868453347302006	sulfur compound transport
GO:0015116	0.868453347302006	sulfate transmembrane transporter activity
GO:1901682	0.868453347302006	sulfur compound transmembrane transporter activity
GO:0030288	0.868453347302006	outer membrane-bounded periplasmic space
GO:0050829	0.868411452996526	defense response to Gram-negative bacterium
GO:0006772	0.866487381669053	thiamine metabolic process
GO:0009228	0.866487381669053	thiamine biosynthetic process
GO:0042723	0.866487381669053	thiamine-containing compound metabolic process
GO:0042724	0.866487381669053	thiamine-containing compound biosynthetic process
GO:0005216	0.864160100451397	ion channel activity
GO:0009605	0.864160100451397	response to external stimulus
GO:0016311	0.862044415559411	dephosphorylation
GO:0006094	0.855397590748199	gluconeogenesis
GO:0019319	0.855397590748199	hexose biosynthetic process
GO:0046364	0.855397590748199	monosaccharide biosynthetic process
GO:0016868	0.854141621006239	intramolecular transferase activity, phosphotransferases
GO:0006935	0.851900380288464	chemotaxis
GO:0042330	0.851900380288464	taxis
GO:0015355	0.848405938099351	secondary active monocarboxylate transmembrane transporter activity
GO:0004252	0.843464870297114	serine-type endopeptidase activity
GO:0006098	0.841418745414906	pentose-phosphate shunt
GO:0006740	0.841418745414906	NADPH regeneration
GO:0009428	0.839572337238191	bacterial-type flagellum basal body, distal rod, P ring
GO:0004497	0.838478590020859	monooxygenase activity
GO:0004499	0.838478590020859	N,N-dimethylaniline monooxygenase activity
GO:0016709	0.838478590020859	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0019184	0.836441586985966	nonribosomal peptide biosynthetic process
GO:0015926	0.833954586503729	glucosidase activity
GO:0008270	0.827440761223717	zinc ion binding
GO:1901564	0.826499898205818	organonitrogen compound metabolic process
GO:0004557	0.826499898205818	alpha-galactosidase activity
GO:0009029	0.825132456719054	tetraacyldisaccharide 4'-kinase activity
GO:0008131	0.817853741559096	primary amine oxidase activity
GO:0016641	0.817853741559096	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0051536	0.816725128826443	iron-sulfur cluster binding
GO:0051540	0.816725128826443	metal cluster binding
GO:0015370	0.81652943883507	solute:sodium symporter activity
GO:0016999	0.813916458715069	antibiotic metabolic process
GO:0017000	0.813916458715069	antibiotic biosynthetic process
GO:0017144	0.813916458715069	drug metabolic process
GO:0015698	0.813916458715069	inorganic anion transport
GO:0033743	0.813916458715069	peptide-methionine (R)-S-oxide reductase activity
GO:0008483	0.799990732985878	transaminase activity
GO:0043230	0.793567409859624	extracellular organelle
GO:0006536	0.781979118502573	glutamate metabolic process
GO:0006537	0.781979118502573	glutamate biosynthetic process
GO:0043650	0.781979118502573	dicarboxylic acid biosynthetic process
GO:0015930	0.781979118502573	glutamate synthase activity
GO:0016638	0.781722174783845	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0004190	0.777086304923406	aspartic-type endopeptidase activity
GO:0070001	0.777086304923406	aspartic-type peptidase activity
GO:0000746	0.771038720552539	conjugation
GO:0004425	0.771038720552539	indole-3-glycerol-phosphate synthase activity
GO:0032502	0.771038720552539	developmental process
GO:0008252	0.770939683036755	nucleotidase activity
GO:0008253	0.770939683036755	5'-nucleotidase activity
GO:0098542	0.768049015299793	defense response to other organism
GO:0015925	0.758117082141105	galactosidase activity
GO:0005283	0.758117082141105	amino acid:sodium symporter activity
GO:0005343	0.758117082141105	organic acid:sodium symporter activity
GO:0005416	0.758117082141105	amino acid:cation symporter activity
GO:0009426	0.748242545310074	bacterial-type flagellum basal body, distal rod
GO:0030694	0.748242545310074	bacterial-type flagellum basal body, rod
GO:0042578	0.747825204329119	phosphoric ester hydrolase activity
GO:0042802	0.743237284136766	identical protein binding
GO:0042803	0.743237284136766	protein homodimerization activity
GO:0006928	0.742868476348176	movement of cell or subcellular component
GO:0008811	0.742386285656253	chloramphenicol O-acetyltransferase activity
GO:0008237	0.740157038318166	metallopeptidase activity
GO:0009288	0.7355800180558	bacterial-type flagellum
GO:0008704	0.7355800180558	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity
GO:0016863	0.7355800180558	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0043213	0.7355800180558	bacteriocin transport
GO:0009425	0.732709545068671	bacterial-type flagellum basal body
GO:0017038	0.732188440199073	protein import
GO:0000003	0.732188440199073	reproduction
GO:0019954	0.732188440199073	asexual reproduction
GO:0022414	0.732188440199073	reproductive process
GO:0032505	0.732188440199073	reproduction of a single-celled organism
GO:0043093	0.732188440199073	FtsZ-dependent cytokinesis
GO:0043207	0.726820838355051	response to external biotic stimulus
GO:0051707	0.726820838355051	response to other organism
GO:0030638	0.724309682082045	polyketide metabolic process
GO:0044780	0.723749245347207	bacterial-type flagellum assembly
GO:0070925	0.723749245347207	organelle assembly
GO:0006274	0.723749245347207	DNA replication termination
GO:0016987	0.720972339921472	sigma factor activity
GO:0003954	0.720160411336342	NADH dehydrogenase activity
GO:0003955	0.720160411336342	NAD(P)H dehydrogenase (quinone) activity
GO:0008137	0.720160411336342	NADH dehydrogenase (ubiquinone) activity
GO:0016655	0.720160411336342	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0050136	0.720160411336342	NADH dehydrogenase (quinone) activity
