ann_term	CC	annotation
GO:0016998	0.858152898412655	cell wall macromolecule catabolic process
GO:0044036	0.858152898412655	cell wall macromolecule metabolic process
GO:0044403	0.848358196102521	symbiotic process
GO:0006026	0.846471591721987	aminoglycan catabolic process
GO:0006022	0.845881534095087	aminoglycan metabolic process
GO:1901136	0.843205101262338	carbohydrate derivative catabolic process
GO:0044265	0.838603277903089	cellular macromolecule catabolic process
GO:0003796	0.83405018651039	lysozyme activity
GO:0019835	0.830996065881043	cytolysis
GO:1901565	0.828540599241072	organonitrogen compound catabolic process
GO:0019076	0.821288223746517	viral release from host cell
GO:0035890	0.821288223746517	exit from host
GO:0035891	0.821288223746517	exit from host cell
GO:0052126	0.821288223746517	movement in host environment
GO:0051701	0.81838718326914	interaction with host
GO:0006027	0.817844163867659	glycosaminoglycan catabolic process
GO:0009253	0.817844163867659	peptidoglycan catabolic process
GO:0061783	0.817844163867659	peptidoglycan muralytic activity
GO:0009057	0.817419565626566	macromolecule catabolic process
GO:0000270	0.81655953532089	peptidoglycan metabolic process
GO:0030203	0.81655953532089	glycosaminoglycan metabolic process
GO:0016032	0.803015753746449	viral process
GO:0019058	0.803015753746449	viral life cycle
GO:0044419	0.763997367680566	interspecies interaction between organisms
GO:0044248	0.752780007874941	cellular catabolic process
GO:0004842	0.738196726898372	ubiquitin-protein transferase activity
GO:0019787	0.738196726898372	ubiquitin-like protein transferase activity
GO:0071554	0.713110871631582	cell wall organization or biogenesis
GO:0019627	0.697873133692452	urea metabolic process
GO:0043419	0.697873133692452	urea catabolic process
GO:0006323	0.690834327082398	DNA packaging
GO:0002791	0.683456315472792	regulation of peptide secretion
GO:0032880	0.683456315472792	regulation of protein localization
GO:0050708	0.683456315472792	regulation of protein secretion
GO:0051046	0.683456315472792	regulation of secretion
GO:0051223	0.683456315472792	regulation of protein transport
GO:0070201	0.683456315472792	regulation of establishment of protein localization
GO:0090087	0.683456315472792	regulation of peptide transport
GO:1903530	0.683456315472792	regulation of secretion by cell
GO:0001897	0.680254476988153	cytolysis by symbiont of host cells
GO:0001907	0.680254476988153	killing by symbiont of host cells
GO:0019836	0.680254476988153	hemolysis by symbiont of host erythrocytes
GO:0051801	0.680254476988153	cytolysis in other organism involved in symbiotic interaction
GO:0051883	0.680254476988153	killing of cells in other organism involved in symbiotic interaction
GO:0052331	0.680254476988153	hemolysis in other organism involved in symbiotic interaction
GO:0030597	0.680254476988153	RNA glycosylase activity
GO:0030598	0.680254476988153	rRNA N-glycosylase activity
GO:0000287	0.663401381553388	magnesium ion binding
GO:0016567	0.652314787013725	protein ubiquitination
GO:0032446	0.652314787013725	protein modification by small protein conjugation
GO:0070647	0.652314787013725	protein modification by small protein conjugation or removal
GO:0008907	0.649944483719634	integrase activity
GO:0005488	0.640024042120837	binding
GO:0016151	0.638900065104826	nickel cation binding
GO:1901575	0.638498538471404	organic substance catabolic process
GO:0004197	0.618704395465736	cysteine-type endopeptidase activity
GO:0009056	0.618642557527295	catabolic process
GO:0019068	0.618436923343115	virion assembly
GO:0043605	0.608344891520261	cellular amide catabolic process
GO:0003676	0.607258485305255	nucleic acid binding
GO:0006950	0.606595839408223	response to stress
GO:0140102	0.60071270358689	catalytic activity, acting on a rRNA
GO:0001906	0.597513113597773	cell killing
GO:0031640	0.597513113597773	killing of cells of other organism
GO:0044179	0.597513113597773	hemolysis in other organism
GO:0051715	0.597513113597773	cytolysis in other organism
GO:0140096	0.597443369725007	catalytic activity, acting on a protein
GO:0003677	0.589450522898702	DNA binding
GO:0071941	0.585025306379921	nitrogen cycle metabolic process
GO:0097159	0.571195572602346	organic cyclic compound binding
GO:1901363	0.571195572602346	heterocyclic compound binding
