ann_term	q_val	annotation
GO:0070011	0.941874919633836	peptidase activity, acting on L-amino acid peptides
GO:0016799	0.935937180132163	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0046873	0.914706960072508	metal ion transmembrane transporter activity
GO:0042578	0.906800302126949	phosphoric ester hydrolase activity
GO:0030255	0.890076579389914	protein secretion by the type IV secretion system
GO:0044097	0.890076579389914	secretion by the type IV secretion system
GO:0007010	0.886500695304138	cytoskeleton organization
GO:0010638	0.886500695304138	positive regulation of organelle organization
GO:0051130	0.886500695304138	positive regulation of cellular component organization
GO:0051493	0.886500695304138	regulation of cytoskeleton organization
GO:0051495	0.886500695304138	positive regulation of cytoskeleton organization
GO:0000041	0.877993745313422	transition metal ion transport
GO:0098754	0.877951271117895	detoxification
GO:0065003	0.87168657364515	protein-containing complex assembly
GO:0008375	0.853054273319762	acetylglucosaminyltransferase activity
GO:0051537	0.851318290276882	2 iron, 2 sulfur cluster binding
GO:0008270	0.84833084952475	zinc ion binding
GO:0022607	0.837685467283379	cellular component assembly
GO:0008094	0.836490896163888	DNA-dependent ATPase activity
GO:0006801	0.79323391758613	superoxide metabolic process
GO:0072593	0.79323391758613	reactive oxygen species metabolic process
GO:0015926	0.788480059755384	glucosidase activity
GO:0016741	0.784667802067936	transferase activity, transferring one-carbon groups
GO:0004252	0.782348440894513	serine-type endopeptidase activity
GO:0033043	0.781792479714487	regulation of organelle organization
GO:0048518	0.777070186422779	positive regulation of biological process
GO:0048522	0.777070186422779	positive regulation of cellular process
GO:0006644	0.777070186422779	phospholipid metabolic process
GO:0050829	0.768327483314564	defense response to Gram-negative bacterium
GO:0009605	0.766682724913527	response to external stimulus
GO:0015473	0.763250218266202	fimbrial usher porin activity
GO:1901564	0.758226896700192	organonitrogen compound metabolic process
GO:0009237	0.754543880640456	siderophore metabolic process
GO:0019290	0.754543880640456	siderophore biosynthetic process
GO:0019538	0.746687157440842	protein metabolic process
GO:0008657	0.733544293426174	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity
GO:0042030	0.733544293426174	ATPase inhibitor activity
