ann_term	CC	annotation
GO:0044403	0.798429442100328	symbiotic process
GO:0016032	0.788466947960619	viral process
GO:0019058	0.788466947960619	viral life cycle
GO:0016998	0.766033755274262	cell wall macromolecule catabolic process
GO:0044036	0.766033755274262	cell wall macromolecule metabolic process
GO:0006022	0.763736521331458	aminoglycan metabolic process
GO:0044265	0.762376933895921	cellular macromolecule catabolic process
GO:0006026	0.757337083919362	aminoglycan catabolic process
GO:1901136	0.754242850445382	carbohydrate derivative catabolic process
GO:0009057	0.721542428504454	macromolecule catabolic process
GO:0019835	0.72121425222691	cytolysis
GO:0003796	0.717463666197843	lysozyme activity
GO:1901565	0.710829817158931	organonitrogen compound catabolic process
GO:0051701	0.703111997925535	interaction with host
GO:0019076	0.700017583104538	viral release from host cell
GO:0035890	0.700017583104538	exit from host
GO:0035891	0.700017583104538	exit from host cell
GO:0052126	0.700017583104538	movement in host environment
GO:0000270	0.695593061415846	peptidoglycan metabolic process
GO:0030203	0.695593061415846	glycosaminoglycan metabolic process
GO:0006027	0.689029535864979	glycosaminoglycan catabolic process
GO:0009253	0.689029535864979	peptidoglycan catabolic process
GO:0061783	0.689029535864979	peptidoglycan muralytic activity
GO:0004842	0.672351627299235	ubiquitin-protein transferase activity
GO:0019787	0.672351627299235	ubiquitin-like protein transferase activity
GO:0044248	0.665260196905767	cellular catabolic process
GO:0003677	0.663361462728551	DNA binding
GO:0044419	0.66235349273324	interspecies interaction between organisms
GO:0003676	0.657172995780591	nucleic acid binding
GO:0097159	0.637576183778715	organic cyclic compound binding
GO:1901363	0.637576183778715	heterocyclic compound binding
GO:0019068	0.63351227191039	virion assembly
GO:0043170	0.610337552742616	macromolecule metabolic process
GO:0005488	0.608321612751992	binding
GO:0002791	0.598103368000579	regulation of peptide secretion
GO:0032880	0.598103368000579	regulation of protein localization
GO:0050708	0.598103368000579	regulation of protein secretion
GO:0051046	0.598103368000579	regulation of secretion
GO:0051223	0.598103368000579	regulation of protein transport
GO:0070201	0.598103368000579	regulation of establishment of protein localization
GO:0090087	0.598103368000579	regulation of peptide transport
GO:1903530	0.598103368000579	regulation of secretion by cell
GO:0016567	0.597425525998585	protein ubiquitination
GO:0032446	0.597425525998585	protein modification by small protein conjugation
GO:0070647	0.597425525998585	protein modification by small protein conjugation or removal
GO:0004197	0.597173887688847	cysteine-type endopeptidase activity
GO:0001897	0.596124099220494	cytolysis by symbiont of host cells
GO:0001907	0.596124099220494	killing by symbiont of host cells
GO:0019836	0.596124099220494	hemolysis by symbiont of host erythrocytes
GO:0051801	0.596124099220494	cytolysis in other organism involved in symbiotic interaction
GO:0051883	0.596124099220494	killing of cells in other organism involved in symbiotic interaction
GO:0052331	0.596124099220494	hemolysis in other organism involved in symbiotic interaction
GO:0030597	0.596124099220494	RNA glycosylase activity
GO:0030598	0.596124099220494	rRNA N-glycosylase activity
GO:0019627	0.590847050002493	urea metabolic process
GO:0043419	0.590847050002493	urea catabolic process
GO:0044260	0.590107829348336	cellular macromolecule metabolic process
GO:0071554	0.572550398499766	cell wall organization or biogenesis
GO:0006310	0.56840131270511	DNA recombination
GO:0000287	0.557993436474449	magnesium ion binding
GO:0006807	0.552180028129395	nitrogen compound metabolic process
GO:0009987	0.549203000468823	cellular process
GO:0009056	0.546929207688701	catabolic process
GO:0006259	0.542475386779184	DNA metabolic process
GO:1901575	0.531153305203938	organic substance catabolic process
GO:0006950	0.530379746835443	response to stress
GO:0043565	0.522714486638537	sequence-specific DNA binding
GO:0090304	0.492873886544773	nucleic acid metabolic process
GO:0044237	0.490857946554149	cellular metabolic process
GO:0015074	0.486427566807314	DNA integration
GO:0006974	0.482489451476793	cellular response to DNA damage stimulus
GO:0008907	0.478001872591587	integrase activity
GO:0006281	0.464345991561181	DNA repair
GO:0006139	0.458743553680263	nucleobase-containing compound metabolic process
GO:0033554	0.457008907641819	cellular response to stress
GO:0043242	0.441347641627011	negative regulation of protein-containing complex disassembly
GO:0051129	0.441347641627011	negative regulation of cellular component organization
GO:0060567	0.441347641627011	negative regulation of DNA-templated transcription, termination
GO:0034641	0.440506329113924	cellular nitrogen compound metabolic process
GO:0009890	0.432067510548523	negative regulation of biosynthetic process
GO:0009892	0.432067510548523	negative regulation of metabolic process
GO:0010558	0.432067510548523	negative regulation of macromolecule biosynthetic process
GO:0010605	0.432067510548523	negative regulation of macromolecule metabolic process
GO:0010629	0.432067510548523	negative regulation of gene expression
GO:0031324	0.432067510548523	negative regulation of cellular metabolic process
GO:0031327	0.432067510548523	negative regulation of cellular biosynthetic process
GO:0051172	0.432067510548523	negative regulation of nitrogen compound metabolic process
GO:2000113	0.432067510548523	negative regulation of cellular macromolecule biosynthetic process
GO:0140096	0.429371776840131	catalytic activity, acting on a protein
GO:0048519	0.428996718237225	negative regulation of biological process
GO:0048523	0.428996718237225	negative regulation of cellular process
GO:0046483	0.427988748241913	heterocycle metabolic process
GO:0006725	0.423581809657759	cellular aromatic compound metabolic process
GO:1901360	0.421143928738865	organic cyclic compound metabolic process
GO:0003697	0.411275199249883	single-stranded DNA binding
GO:0005198	0.409001406469761	structural molecule activity
GO:0006270	0.404031879981247	DNA replication initiation
GO:0140097	0.401593999062353	catalytic activity, acting on DNA
GO:0006305	0.400234411626817	DNA alkylation
GO:0006306	0.400234411626817	DNA methylation
GO:0044728	0.400234411626817	DNA methylation or demethylation
GO:0043414	0.400187529301453	macromolecule methylation
GO:0006261	0.393600562587904	DNA-dependent DNA replication
GO:0046903	0.389006094702297	secretion
GO:0009405	0.38441162681669	pathogenesis
GO:0006260	0.383684950773558	DNA replication
GO:0032259	0.383309892170652	methylation
GO:0006353	0.379723394280356	DNA-templated transcription, termination
GO:0031554	0.37934833567745	regulation of DNA-templated transcription, termination
GO:0043244	0.37934833567745	regulation of protein-containing complex disassembly
GO:0090305	0.366992415015915	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.366992415015915	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.366992415015915	5'-3' exonuclease activity
GO:0035312	0.366992415015915	5'-3' exodeoxyribonuclease activity
GO:0051908	0.366992415015915	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0008104	0.365822784810127	protein localization
GO:0015031	0.365822784810127	protein transport
GO:0045184	0.365822784810127	establishment of protein localization
GO:0006113	0.362256345198002	fermentation
GO:0019665	0.362256345198002	anaerobic amino acid catabolic process
GO:0019666	0.362256345198002	nitrogenous compound fermentation
GO:0019670	0.362256345198002	anaerobic glutamate catabolic process
GO:0050097	0.362256345198002	methylaspartate mutase activity
GO:0071704	0.361392405063291	organic substance metabolic process
GO:0016798	0.352859821847164	hydrolase activity, acting on glycosyl bonds
GO:0004536	0.342100328176278	deoxyribonuclease activity
GO:0045892	0.341233005157056	negative regulation of transcription, DNA-templated
GO:0045934	0.341233005157056	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.341233005157056	negative regulation of RNA metabolic process
GO:1902679	0.341233005157056	negative regulation of RNA biosynthetic process
GO:1903507	0.341233005157056	negative regulation of nucleic acid-templated transcription
GO:0006323	0.341186122831692	DNA packaging
GO:0001906	0.339835582148	cell killing
GO:0031640	0.339835582148	killing of cells of other organism
GO:0044179	0.339835582148	hemolysis in other organism
GO:0051715	0.339835582148	cytolysis in other organism
GO:0032775	0.339076418190342	DNA methylation on adenine
GO:0009007	0.339076418190342	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.339076418190342	DNA-methyltransferase activity
GO:0002790	0.330215658696671	peptide secretion
GO:0009306	0.330215658696671	protein secretion
GO:0032940	0.330215658696671	secretion by cell
GO:0035592	0.330215658696671	establishment of protein localization to extracellular region
GO:0071692	0.330215658696671	protein localization to extracellular region
GO:0140352	0.330215658696671	export from cell
GO:0008757	0.328879512423816	S-adenosylmethionine-dependent methyltransferase activity
GO:0015833	0.327027660571964	peptide transport
GO:0005509	0.32311678340744	calcium ion binding
GO:0004553	0.32037037037037	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0008234	0.316670144198858	cysteine-type peptidase activity
GO:0042886	0.312681669010783	amide transport
GO:0051128	0.312306610407876	regulation of cellular component organization
GO:0006464	0.311556493202063	cellular protein modification process
GO:0036211	0.311556493202063	protein modification process
GO:0008233	0.310618846694796	peptidase activity
GO:0022411	0.310501640881388	cellular component disassembly
GO:0032984	0.310501640881388	protein-containing complex disassembly
GO:0006996	0.299132676980778	organelle organization
GO:0006508	0.297552142246918	proteolysis
GO:0017148	0.290981583854034	negative regulation of translation
GO:0032269	0.290981583854034	negative regulation of cellular protein metabolic process
GO:0034249	0.290981583854034	negative regulation of cellular amide metabolic process
GO:0051248	0.290981583854034	negative regulation of protein metabolic process
GO:0043933	0.284950773558369	protein-containing complex subunit organization
GO:0016788	0.282841068917018	hydrolase activity, acting on ester bonds
GO:0004803	0.278293483356775	transposase activity
GO:0046872	0.274800750117206	metal ion binding
GO:0006313	0.267463666197843	transposition, DNA-mediated
GO:0032196	0.267463666197843	transposition
GO:0071103	0.260079699953118	DNA conformation change
GO:0060703	0.25980161057766	deoxyribonuclease inhibitor activity
GO:0009036	0.252457992111552	type II site-specific deoxyribonuclease activity
GO:0015666	0.252457992111552	restriction endodeoxyribonuclease activity
GO:0016888	0.252457992111552	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0051276	0.250257852789498	chromosome organization
GO:0044238	0.243319268635724	primary metabolic process
GO:0016043	0.242428504453821	cellular component organization
GO:1901135	0.241561181434599	carbohydrate derivative metabolic process
GO:0004518	0.229723394280356	nuclease activity
GO:0016151	0.222034692920769	nickel cation binding
GO:0003729	0.220933693040537	mRNA binding
GO:0015293	0.220276605719644	symporter activity
GO:0008170	0.21980778246601	N-methyltransferase activity
GO:0033036	0.218917018284107	macromolecule localization
GO:0006030	0.217767922836516	chitin metabolic process
GO:0006032	0.217767922836516	chitin catabolic process
GO:0046348	0.217767922836516	amino sugar catabolic process
GO:1901071	0.217767922836516	glucosamine-containing compound metabolic process
GO:1901072	0.217767922836516	glucosamine-containing compound catabolic process
GO:0004568	0.217767922836516	chitinase activity
GO:0071840	0.213361462728551	cellular component organization or biogenesis
GO:0071705	0.212470698546648	nitrogen compound transport
GO:0043169	0.211275199249883	cation binding
GO:0004386	0.205414908579466	helicase activity
GO:0043412	0.205016408813877	macromolecule modification
GO:0006417	0.201758087201125	regulation of translation
GO:0010608	0.201758087201125	posttranscriptional regulation of gene expression
GO:0032268	0.201758087201125	regulation of cellular protein metabolic process
GO:0034248	0.201758087201125	regulation of cellular amide metabolic process
GO:0051246	0.201758087201125	regulation of protein metabolic process
GO:0016787	0.198757618377872	hydrolase activity
GO:0004529	0.190576652601969	exodeoxyribonuclease activity
GO:0016796	0.190576652601969	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016895	0.190576652601969	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0004519	0.188349742147211	endonuclease activity
GO:0008150	0.186638537271449	biological_process
GO:0005727	0.185581098131037	extrachromosomal circular DNA
GO:0046821	0.185581098131037	extrachromosomal DNA
GO:0004527	0.18131739334271	exonuclease activity
GO:0019069	0.181134651749863	viral capsid assembly
GO:0006304	0.180918893577121	DNA modification
GO:0006605	0.175925925925926	protein targeting
GO:0006886	0.175925925925926	intracellular protein transport
GO:0034613	0.175925925925926	cellular protein localization
GO:0046907	0.175925925925926	intracellular transport
GO:0051641	0.175925925925926	cellular localization
GO:0051649	0.175925925925926	establishment of localization in cell
GO:0070727	0.175925925925926	cellular macromolecule localization
GO:0007155	0.174988279418659	cell adhesion
GO:0022610	0.174988279418659	biological adhesion
GO:0140102	0.174238162212846	catalytic activity, acting on a rRNA
GO:0000746	0.168623578390369	conjugation
GO:0071555	0.168026254102203	cell wall organization
GO:0045229	0.164908579465541	external encapsulating structure organization
GO:0008168	0.16488513830286	methyltransferase activity
GO:0008484	0.16305672761369	sulfuric ester hydrolase activity
GO:0009291	0.161929259338152	unidirectional conjugation
GO:0015694	0.160708019979279	mercury ion transport
GO:0046689	0.160708019979279	response to mercury ion
GO:0050787	0.160708019979279	detoxification of mercury ion
GO:0061687	0.160708019979279	detoxification of inorganic compound
GO:0072511	0.160708019979279	divalent inorganic cation transport
GO:0015097	0.160708019979279	mercury ion transmembrane transporter activity
GO:0004857	0.157360525082044	enzyme inhibitor activity
GO:0042995	0.153961556493202	cell projection
GO:0009289	0.152367557430849	pilus
GO:0008107	0.151261748497996	galactoside 2-alpha-L-fucosyltransferase activity
GO:0031127	0.151261748497996	alpha-(1,2)-fucosyltransferase activity
GO:0003978	0.149022362187543	UDP-glucose 4-epimerase activity
GO:0018941	0.148600702196486	organomercury metabolic process
GO:0018942	0.148600702196486	organometal metabolic process
GO:0046413	0.148600702196486	organomercury catabolic process
GO:0018836	0.148600702196486	alkylmercury lyase activity
GO:0005576	0.144636098290663	extracellular region
GO:0098657	0.143821464598412	import into cell
GO:0000150	0.142850445382091	recombinase activity
GO:0004175	0.139709329582747	endopeptidase activity
GO:0019867	0.137669948429442	outer membrane
GO:0043900	0.125215348131301	regulation of multi-organism process
GO:0046999	0.125215348131301	regulation of conjugation
GO:0030234	0.124660103141116	enzyme regulator activity
GO:0098772	0.124660103141116	molecular function regulator
GO:0043531	0.124239931344603	ADP binding
GO:0006276	0.118478277564556	plasmid maintenance
GO:0046914	0.113877168307548	transition metal ion binding
GO:0003887	0.108134083450539	DNA-directed DNA polymerase activity
GO:0034061	0.108134083450539	DNA polymerase activity
GO:0003896	0.105789967182372	DNA primase activity
GO:0009268	0.104751314663097	response to pH
GO:0009628	0.104751314663097	response to abiotic stimulus
GO:0010447	0.104751314663097	response to acidic pH
GO:0042262	0.103699150777378	DNA protection
GO:0044764	0.102930145335209	multi-organism cellular process
GO:0051704	0.102930145335209	multi-organism process
GO:0043605	0.0910454758556024	cellular amide catabolic process
GO:0046906	0.0901781528363807	tetrapyrrole binding
