ann_term	q_val	annotation
GO:0016247	0.00340929752672077	channel regulator activity
GO:0099106	0.00340929752672077	ion channel regulator activity
GO:0032879	0.00992611119102513	regulation of localization
GO:2000026	0.00992611119102513	regulation of multicellular organismal development
GO:0048584	0.00992611119102513	positive regulation of response to stimulus
GO:0022843	0.00992611119102513	voltage-gated cation channel activity
GO:0002682	0.020587034317408	regulation of immune system process
GO:0050776	0.020587034317408	regulation of immune response
GO:0005249	0.028793012267735	voltage-gated potassium channel activity
GO:0045995	0.0314334264143022	regulation of embryonic development
GO:0051262	0.0314334264143022	protein tetramerization
GO:0007275	0.0314334264143022	multicellular organism development
GO:0048731	0.0314334264143022	system development
GO:0001518	0.0314334264143022	voltage-gated sodium channel complex
GO:0034706	0.0314334264143022	sodium channel complex
GO:0005248	0.0314334264143022	voltage-gated sodium channel activity
GO:0042611	0.0314334264143022	MHC protein complex
GO:0042613	0.0314334264143022	MHC class II protein complex
GO:0016604	0.0314334264143022	nuclear body
GO:0016607	0.0314334264143022	nuclear speck
GO:0008083	0.0314334264143022	growth factor activity
GO:0032502	0.0354594898963632	developmental process
GO:0005540	0.0395006310515373	hyaluronic acid binding
GO:0048856	0.0395006310515373	anatomical structure development
GO:0005539	0.0395006310515373	glycosaminoglycan binding
GO:0016477	0.0395006310515373	cell migration
GO:0030334	0.0395006310515373	regulation of cell migration
GO:0048513	0.043499577772418	animal organ development
GO:0007417	0.043499577772418	central nervous system development
GO:0007420	0.043499577772418	brain development
GO:0060322	0.043499577772418	head development
GO:0002684	0.0475118788755037	positive regulation of immune system process
GO:0050793	0.0498732472866366	regulation of developmental process
GO:0005246	0.0498732472866366	calcium channel regulator activity
GO:0007517	0.0498732472866366	muscle organ development
GO:0061061	0.0498732472866366	muscle structure development
GO:0050778	0.0498732472866366	positive regulation of immune response
GO:0007212	0.0498732472866366	dopamine receptor signaling pathway
GO:0048268	0.0498732472866366	clathrin coat assembly
GO:0071867	0.0498732472866366	response to monoamine
GO:0071868	0.0498732472866366	cellular response to monoamine stimulus
GO:0071869	0.0498732472866366	response to catecholamine
GO:0071870	0.0498732472866366	cellular response to catecholamine stimulus
GO:1903350	0.0498732472866366	response to dopamine
GO:1903351	0.0498732472866366	cellular response to dopamine
GO:0030276	0.0498732472866366	clathrin binding
GO:0032051	0.0498732472866366	clathrin light chain binding
GO:0140297	0.0498732472866366	DNA-binding transcription factor binding
GO:0007129	0.0498732472866366	synapsis
GO:0007130	0.0498732472866366	synaptonemal complex assembly
GO:0045143	0.0498732472866366	homologous chromosome segregation
GO:0070192	0.0498732472866366	chromosome organization involved in meiotic cell cycle
GO:0070193	0.0498732472866366	synaptonemal complex organization
GO:0002376	0.0534041188050923	immune system process
GO:0006955	0.0553813069766468	immune response
GO:0035257	0.0553813069766468	nuclear hormone receptor binding
GO:0051427	0.0553813069766468	hormone receptor binding
GO:0061629	0.0553813069766468	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0019882	0.0573797833709082	antigen processing and presentation
GO:0030141	0.0586394899606421	secretory granule
GO:0099503	0.0586394899606421	secretory vesicle
GO:0004511	0.0626117702727921	tyrosine 3-monooxygenase activity
GO:0001775	0.067179887089137	cell activation
